"capture_id"	"status"	"source_ids"	"asset_ids"	"source_kind"	"url_or_path"	"accessed_at"	"cutoff_status"	"capture_method"	"target_local_path"	"expected_hash_fields"	"quote_limit_words"	"allowed_use"	"robots_rights_note"	"blocked_claims"	"next_action"	"owner_pass"
"CAP-20260526-2111"	"failed"	"S-0277"	"A-0178"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Front%20of%20server%20racks%20at%20NERSC.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2111__nersc-server-racks.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2112"	"failed"	"S-0278"	"A-0179"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Datacenter%20Server%20Racks%20(22370909788).jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2112__datacenter-server-racks.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2113"	"failed"	"S-0279"	"A-0180"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Outdoor%20cooling%20equipment%20at%20NERSC%20(2).jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2113__nersc-outdoor-cooling.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2114"	"failed"	"S-0289"	"A-0181"	"html"	"https://openai.com/index/chatgpt/"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2114__openai-chatgpt.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2115"	"failed"	"S-0290"	"A-0182"	"html"	"https://openai.com/index/gpt-4/"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2115__openai-gpt4.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2116"	"done"	"S-0291"	"A-0183"	"html"	"https://www.anthropic.com/news/claude-4"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2116__anthropic-claude4.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2117"	"done"	"S-0292"	"A-0184"	"html"	"https://blog.google/technology/ai/google-gemini-ai/"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2117__google-gemini.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2118"	"done"	"S-0293"	"A-0185"	"html"	"https://ai.meta.com/blog/meta-llama-3-1/"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2118__meta-llama-3-1.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2119"	"done"	"S-0294"	"A-0186"	"pdf"	"https://arxiv.org/pdf/2501.12948"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2119__deepseek-r1.pdf"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2120"	"done"	"S-0295"	"A-0187"	"pdf"	"https://arxiv.org/pdf/2412.19437"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2120__deepseek-v3.pdf"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2121"	"done"	"S-0296"	"A-0188"	"html"	"https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2121__microsoft-openai-partnership.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2122"	"done"	"S-0297"	"A-0189"	"html"	"https://www.nvidia.com/en-us/data-center/h100/"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2122__nvidia-h100.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2123"	"done"	"S-0298"	"A-0190"	"html"	"https://www.asml.com/en/products/euv-lithography-systems"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2123__asml-euv.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2124"	"failed"	"S-0299"	"A-0191"	"html"	"https://www.tsmc.com/english/dedicatedFoundry/manufacturing/fab_capacity"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2124__tsmc-fab-capacity.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2125"	"done"	"S-0300"	"A-0192"	"html"	"https://www.anthropic.com/claude-code"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2125__anthropic-claude-code.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2126"	"done"	"S-0301"	"A-0193"	"html"	"https://docs.anthropic.com/en/docs/claude-code/overview"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2126__anthropic-claude-code-overview.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
"CAP-20260526-2127"	"failed"	"S-0302"	"A-0194"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Substation%20at%20sunset%202017.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2127__substation-at-sunset.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2128"	"failed"	"S-0303"	"A-0195"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Braemar%20Power%20Station.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2128__braemar-power-station.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2129"	"failed"	"S-0304"	"A-0196"	"image"	"https://commons.wikimedia.org/wiki/Special:FilePath/Outdoor%20power%20substation.jpg"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2129__outdoor-power-substation.jpg"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"replace_or_retry_with_verified_url"	"I-0210"
"CAP-20260526-2130"	"done"	"S-0305"	"A-0197"	"html"	"https://www.deepseek.com/"	"2026-05-26"	"source_surface_or_subject_pre_cutoff_review_needed"	"invoke-webrequest"	"assets\source_media\i0210_wave1\CAP-20260526-2130__deepseek-home.html"	"sha256;file_size_bytes"	"25"	"private_visual_reference_until_rights_review"	"license_or_terms_review_needed"	"no_adoption;no_revenue;no_market_share;no_capacity;no_workload;no_performance_rank;no_safety;no_current_ui"	"rights_review_and_manifest_decision"	"I-0210"
