"qa_id"	"chapter"	"asset_id"	"planned_slot"	"experience_class"	"final_role"	"current_caption"	"teach_one_thing"	"provenance_hook"	"claim_safety_gate"	"caption_next_action"
"I0216-CAP-011"	"7"	"A-0016"	"Ch07-01"	"scene"	"ChatGPT business timeline"	"Figure 7.x - ChatGPT: From Interface Event To Business Surface. Sourced timeline for ChatGPT launch, Plus, plugins, Enterprise release-note entry, GPTs, and GPT-4o with a blocked adoption/productivity lane."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated ChatGPT interface-to-business timeline / S-0006;S-0014;S-0044;S-0045;S-0046;S-0077;S-0078;S-0079;S-0089;S-0090;SNAP-20260525-013;SNAP-20260525-014;SNAP-20260525-015 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-012"	"7"	"A-0036"	"Ch07-02"	"source_texture"	"ChatGPT launch surface"	"Figure 1/7.x - ChatGPT launch surface. Private-use screenshot slot for the product page that made chat feel like a general interface."	"Orient the reader in time, actor, or scene without broadening the claim."	"OpenAI ChatGPT launch page / S-0006 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-013"	"7"	"A-0037"	"Ch07-03"	"source_texture"	"ChatGPT Plus surface"	"Figure 7.x - ChatGPT Plus conversion. Private-use screenshot slot for subscription/reliability productization."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"OpenAI ChatGPT Plus page / S-0078 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-014"	"7"	"A-0038"	"Ch07-04"	"source_texture"	"Enterprise surface"	"Figure 7/8.x - ChatGPT Enterprise launch surface. Private-use screenshot slot for workplace administration framing."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"OpenAI ChatGPT Enterprise page / S-0079 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-015"	"7"	"A-0039"	"Ch07-05"	"source_texture"	"plugins surface"	"Figure 7/18.x - ChatGPT plugins surface. Private-use screenshot slot for tool-use bridge."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"OpenAI ChatGPT plugins page / S-0044 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-016"	"8"	"A-0056"	"Ch08-01"	"scene"	"cloud bargain timeline"	"Figure 8.1 - Microsoft/OpenAI: The Cloud Bargain Timeline. Sourced chronology from 2019 compute partnership to Microsoft 365 Copilot with blocked outcome lane."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated Microsoft/OpenAI partnership chronology / S-0125;S-0126;S-0127;S-0132;S-0129;S-0130;S-0133;S-0131 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-017"	"8"	"A-0057"	"Ch08-02"	"evidence"	"cloud-to-product flywheel"	"Figure 8.2 - Cloud-To-Product Flywheel. Azure capacity, OpenAI models, Microsoft surfaces, and demand pressure reinforce each other as a strategic mechanism."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 8 cloud-to-product flywheel / S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-018"	"8"	"A-0058"	"Ch08-03"	"mechanism"	"inference cost stack"	"Figure 8.3 - Inference Cost Stack: What The Chat Box Hides. Non-quantified stack of latency, governance, serving software, accelerators, and physical datacenter layers."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 8 inference cost stack / S-0126;S-0129;S-0131;S-0133;S-0041 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-019"	"8"	"A-0059"	"Ch08-04"	"comparison"	"enterprise blocker map"	"Figure 8.4 - Enterprise Claim Blocker Map. Access routes and product surfaces are allowed now; revenue, ROI, productivity, adoption, search share, and margin need stronger rows."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 8 enterprise claim blocker map / S-0129;S-0131;S-0132;S-0133 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-020"	"9"	"A-0086"	"Ch09-01"	"scene"	"Google conversion timeline"	"Figure 9.1 - Research Became Product In Stages. Google/DeepMind chronology is shown as a conversion sequence from Transformer and PaLM to Bard, Gemini, long context, and Gemini 2.5 thinking."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated Chapter 9 research-to-product conversion timeline / S-0002;S-0108;S-0115;S-0016;S-0118;S-0121;S-0116;S-0122;S-0117;S-0123;S-0124;S-0119 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-021"	"9"	"A-0087"	"Ch09-02"	"mechanism"	"Gemini surface conversion"	"Figure 9.2 - Google's Gemini Question Was Surface Conversion. Research, TPUs, Search, Workspace, Android, developer APIs, and cloud are mapped as product surfaces."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Generated Chapter 9 TPU/Search/Workspace surface map / S-0115;S-0121;S-0118;S-0122;S-0123;S-0124 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-022"	"9"	"A-0088"	"Ch09-03"	"mechanism"	"long-context product grammar"	"Figure 9.3 - Long Context Became A Product Grammar. Gemini 1.5 technical, consumer, and developer/cloud access-path lanes are separated."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 9 Gemini long-context lane / S-0117;S-0123;S-0124 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-023"	"9"	"A-0089"	"Ch09-04"	"comparison"	"Gemini claim blockers"	"Figure 9.4 - The Tempting Gemini Claims Need Different Evidence. Supported Google/Gemini claims are separated from benchmark, adoption, revenue, Search economics, and TPU outcome blockers."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 9 benchmark/adoption blocker grid / S-0119;S-0120;S-0061;data/chapter9_google_deepmind_claim_audit_i0111.tsv / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-024"	"9"	"A-0129"	"Ch09-05"	"source_texture"	"Gemini/Bard source surface"	"Figure 8.x - Gemini/Bard Product Surface. Private-use screenshot slot for Google's assistant/product conversion under existing distribution pressure."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Gemini/Bard product source surface / S-0121;S-0123;S-0124;S-0119 / 2026-05-26"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-025"	"10"	"A-0030"	"Ch10-01"	"scene"	"Llama family map"	"Figure 10.1 - Llama Family Open-Weight Map. Release-and-claim map for LLaMA, Llama 2, Code Llama, Llama 3, Llama 3.1, and Llama 4 with source and caveat bands."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated Llama family open-weight map / S-0111;S-0023;S-0025;S-0024;S-0113;S-0008 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-026"	"10"	"A-0112"	"Ch10-02"	"mechanism"	"open-weight control stack"	"Figure 10.2 - Open-Weight Control Stack. Weights, license, data transparency, hosting, safety, ecosystem work, and benchmark permission are separated."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 10 open-weight control stack / S-0023;S-0024;S-0025;S-0111;S-0112;S-0113;S-0114;CH10-11AUD-003 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-027"	"10"	"A-0113"	"Ch10-03"	"mechanism"	"adopter burden transfer"	"Figure 10.3 - What Moves To The Adopter. Open-weight deployments shift hosting, monitoring, updates, evals, security, governance, and incident response outward."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 10 adopter burden transfer diagram / S-0023;S-0024;S-0114;CH10-11AUD-003 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-028"	"10"	"A-0044"	"Ch10-04"	"source_texture"	"LLaMA launch surface"	"Figure 10.x - LLaMA launch surface. Private-use screenshot slot for the open-weight shock."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Meta LLaMA launch page / S-0111 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-029"	"10"	"A-0047"	"Ch10-05"	"source_texture"	"Llama repository surface"	"Figure 10/19.x - Llama GitHub surface. Private-use screenshot slot for developer-facing open weights."	"Make the evidence boundary visible and attach the claim to its source scope."	"Meta Llama GitHub repository / S-0114 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-030"	"11"	"A-0031"	"Ch11-01"	"evidence"	"China source-permission map"	"Figure 11.1 - China Open-Model Source Map. Source-permission map for Qwen, DeepSeek, GLM, Kimi, and source-gap lanes for unsupported China/open-model claims."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated China open-model source-permission map / S-0026;S-0027;S-0028;S-0029;S-0030;S-0031;C-0007 / 2026-05-25"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-031"	"11"	"A-0118"	"Ch11-02"	"scene"	"supported-vs-gap board"	"Figure 11.x - Supported Lanes And Visible Gaps. Primary sources support selected Qwen, DeepSeek, GLM, and Kimi mechanism lanes; unsupported families stay as source targets, not happened-release or ranking claims."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated Chapter 11 supported-vs-gap source board / S-0026;S-0027;S-0028;S-0029;S-0030;S-0031;C-0007;I-0105;CH11CHINA-001;CH11CHINA-008;CH10-11AUD-005;CH10-11AUD-009 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-032"	"11"	"A-0048"	"Ch11-03"	"source_texture"	"Qwen2 source surface"	"Figure 11.x - Qwen2 source surface. Private-use source screenshot slot for primary-paper provenance."	"Make the evidence boundary visible and attach the claim to its source scope."	"Qwen2 technical report arXiv page / S-0026 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-033"	"11"	"A-0049"	"Ch11-04"	"source_texture"	"Qwen3 source surface"	"Figure 11.x - Qwen3 source surface. Private-use source screenshot slot for supported Qwen3 lane."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Qwen3 technical report arXiv page / S-0027 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-034"	"11"	"A-0050"	"Ch11-05"	"source_texture"	"DeepSeek-R1 source surface"	"Figure 11/21.x - DeepSeek-R1 source surface. Private-use source screenshot slot for reasoning bridge."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"DeepSeek-R1 arXiv page / S-0029 / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-035"	"12"	"A-0094"	"Ch12-01"	"mechanism"	"Constitutional AI behavior grammar"	"Figure 12.1 - Constitutional AI As Behavior Grammar. Written principles, critique/revision, AI feedback, and evaluation loops can shape assistant behavior, but they do not prove solved alignment or moral guarantees."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 12 Constitutional AI behavior loop / S-0019;CH12CLAUDE-001 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-036"	"12"	"A-0095"	"Ch12-02"	"scene"	"Claude product family"	"Figure 12.2 - Claude Becomes A Product Family. Haiku, Sonnet, Opus, computer use, Claude Code, and Claude 4 mark release surfaces and product positioning, not permanent best-model status."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated Chapter 12 Claude model-family timeline / S-0020;S-0021;S-0109;S-0048;S-0007;CH12CLAUDE-002;CH12CLAUDE-004;CH12CLAUDE-005;CH12CLAUDE-006;CH12CLAUDE-007;CL4BENCH-001 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-037"	"12"	"A-0096"	"Ch12-03"	"mechanism"	"assistant-to-action surface"	"Figure 12.3 - From Assistant To Action Surface. Anthropic's computer-use, MCP, and Claude Code materials show a move toward tool-connected assistants, with permissions and review as part of the system."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Generated Chapter 12 computer-use/MCP/Claude Code bridge / S-0109;S-0055;S-0022;S-0049;S-0050;S-0051;S-0007;CH12CLAUDE-005;CH12CLAUDE-008;CH12CLAUDE-009;CL4BENCH-005;CL4BENCH-008;CL4BENCH-009 / 2026-05-25"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-038"	"12"	"A-0097"	"Ch12-04"	"comparison"	"Claude claim blockers"	"Figure 12.4 - The Tempting Claude Claims Are Not The Sourced Ones. Vendor launch pages and docs can show product direction, but outcome claims need benchmark, pricing, adoption, productivity, and safety evidence at the same scope."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 12 safety/productivity blocker grid / S-0110;S-0007;S-0035;S-0037;S-0060;C-0013;C-0046;CH12CLAUDE-003;CH12CLAUDE-010;CL4BENCH-002;CL4BENCH-003;CL4BENCH-004;CL4BENCH-010 / 2026-05-25"	"caption_long;claim_language_review"	"Compress caption body and move caveats to a nearby source note or footnote."
"I0216-CAP-039"	"12"	"A-0119"	"Ch12-05"	"source_texture"	"computer-use source surface"	"Figure 12.x - Computer Use Source Surface. Private-use screenshot slot for the October 2024 computer-use announcement, scoped to source texture and product-direction chronology."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Anthropic computer-use announcement source surface / S-0109 / 2026-05-26"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-040"	"12"	"A-0130"	"Ch12-06"	"scene"	"Claude product source surface"	"Figure 12.x - Claude Product Surface. Private-use screenshot slot for Claude's product/model-family source texture."	"Orient the reader in time, actor, or scene without broadening the claim."	"Claude product/model source surface / S-0007;S-0245 / 2026-05-26"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-041"	"13"	"A-0014"	"Ch13-01"	"comparison"	"leaderboard methodology"	"Figure 13.y - How Arena Rows Become Rank Claims. Sourced flow diagram for human preference votes, config/category filters, rating uncertainty, publication date, snapshot ID, and chart permission gates."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Arena leaderboard methodology flow / S-0036;S-0056;S-0057;S-0080;SNAP-20260525-008 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-042"	"13"	"A-0013"	"Ch13-02"	"comparison"	"historical leaderboard slice"	"Figure 13.x - LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated LMArena historical leaderboard chart / S-0080;SNAP-20260525-008 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-043"	"13"	"A-0019"	"Ch13-03"	"comparison"	"price-quality exclusion map"	"Figure 13.3 - Price-Quality Exclusion Map. The current evidence allows an exclusion/permission map, not a price-quality frontier: rows can enter only when rank snapshot, exact model/version, cutoff-compatible price, pricing basis, and scope caveats align."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated price-quality exclusion map / C-0046;data/price_quality_join_audit_i0036.tsv / 2026-05-25"	"caption_long"	"Compress caption body and move caveats to a nearby source note or footnote."
"I0216-CAP-044"	"14"	"A-0071"	"Ch14-01"	"mechanism"	"CUDA stack"	"Figure 14.1 - CUDA Stack: The Moat Under The Moat. Frameworks, libraries, CUDA programming model, runtime, accelerators, and cloud operations form one stack."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated Chapter 14 CUDA stack / S-0138;S-0141;S-0142 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-045"	"14"	"A-0072"	"Ch14-02"	"mechanism"	"GPU memory/interconnect"	"Figure 14.2 - GPU Memory and Interconnect: The Traffic Pattern. Host orchestration, HBM, GPU shards, and interconnect fabric make LLM systems a communication problem."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 14 GPU memory/interconnect schematic / S-0039;S-0139;S-0140;S-0143 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-046"	"14"	"A-0073"	"Ch14-03"	"comparison"	"training-vs-inference capacity"	"Figure 14.3 - Training vs Inference: Two Capacity Problems. Training runs and inference services stress the same GPU stack in different ways."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 14 training-vs-inference capacity map / S-0139;S-0142;S-0143;C-0146 / 2026-05-26"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-047"	"14"	"A-0133"	"Ch14-04"	"source_texture"	"lithography/ASML proxy"	"Figure 14/16.x candidate - Lithography/ASML proxy physical texture."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"EUV lithography / ASML proxy photo candidate / S-0273;S-0274 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-048"	"14"	"A-0134"	"Ch14-05"	"source_texture"	"cleanroom photo"	"Figure 14.x candidate - Cleanroom manufacturing environment."	"Make the evidence boundary visible and attach the claim to its source scope."	"Fab cleanroom photo candidate / S-0275 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-049"	"14"	"A-0136"	"Ch14-06"	"source_texture"	"server rack photo"	"Figure 14/16.x candidate - Server racks as compute infrastructure."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"Server rack photo candidate / S-0277 / 2026-05-26"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-050"	"15"	"A-0012"	"Ch15-01"	"mechanism"	"AI factory stack"	"Figure 15.1 - AI Factory Stack. Sourced block diagram separating NVIDIA's GTC framing from infrastructure layers: model serving, accelerators, networking, data movement, facilities, and token economics."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated AI factory stack visual / 2026-05-25"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-051"	"15"	"A-0024"	"Ch15-02"	"evidence"	"GTC AI-factory thesis card"	"Figure 15.x - GTC Page 29: AI Factory Thesis. Lightweight card labeling NVIDIA's AI factory thesis as announced/framing evidence from local keynote page 29."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated GTC page 29 AI factory thesis card / S-0001;A-0004;C-0047 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-052"	"15"	"A-0027"	"Ch15-03"	"scene"	"GTC system comparison card"	"Figure 15.x - GTC Page 49: System Comparison. Lightweight card labeling NVIDIA's one-gigawatt AI factory comparison as performance/system-framing evidence."	"Orient the reader in time, actor, or scene without broadening the claim."	"Generated GTC page 49 system comparison card / S-0001;S-0010;A-0007;C-0047 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-053"	"15"	"A-0028"	"Ch15-04"	"evidence"	"GTC roadmap cadence card"	"Figure 15.x - GTC Page 50: Roadmap Cadence. Lightweight card preserving NVIDIA's 2024/2026/2028 platform cadence as roadmap evidence."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated GTC page 50 roadmap card / S-0001;S-0065;S-0067;A-0008;C-0047 / 2026-05-25"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-054"	"15"	"A-0029"	"Ch15-05"	"evidence"	"GTC DSX platform card"	"Figure 15.x - GTC Page 51: DSX Platform Frame. Lightweight card labeling DSX as NVIDIA reference-design and AI factory platform framing."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated GTC page 51 DSX platform card / S-0001;S-0066;A-0009;C-0047 / 2026-05-25"	"claim_language_review"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-055"	"15"	"A-0004"	"Ch15-06"	"source_texture"	"GTC page 29 slide render"	"Figure 15.x - NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"GTC-2026-Keynote.pdf / page 29 / 2026-05-24"	"claim_language_review;rights_or_private_use_cue_required"	"Review tempting outcome language and add explicit blocker wording."
"I0216-CAP-056"	"15"	"A-0106"	"Ch15-07"	"source_texture"	"page 29 hashed source surface"	"Figure 15.x candidate - NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric."	"Add concrete source texture while refusing business, adoption, safety, or current-UI proof."	"GTC 2026 page 29 AI-factory source surface / S-0001;A-0004;A-0024 / 2026-05-26"	"rights_or_private_use_cue_required"	"Add rights/private-use cue and blocked-claim wording before final layout."
"I0216-CAP-057"	"16"	"A-0015"	"Ch16-01"	"mechanism"	"power-to-token flow"	"Figure 16.1 - Power To Token Flow. Sourced Chapter 16 flow diagram tracing electricity demand, grid interconnection, facility cooling, accelerators, inference scheduling, and token output with caveat bands."	"Make the evidence boundary visible and attach the claim to its source scope."	"Generated power-to-token flow visual / S-0001;S-0039;S-0040;S-0066;S-0083;S-0084;S-0085;S-0086;S-0087;S-0088 / 2026-05-25"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-058"	"16"	"A-0020"	"Ch16-02"	"mechanism"	"load scenarios"	"Figure 16.2 - Data-Centre Load Scenarios. IEA, LBNL, and DOE rows show measured/current estimates separately from forecast and scenario ranges for global and U.S. data-centre electricity demand."	"Teach the mechanism or system relationship in one sentence."	"Generated Chapter 16 data-centre load scenarios visual / S-0083;S-0084;S-0085;CH16Q-001;CH16Q-002;CH16Q-003;CH16Q-004;CH16Q-005;CH16Q-006;CH16Q-011;CH16Q-012 / 2026-05-25"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
"I0216-CAP-059"	"16"	"A-0021"	"Ch16-03"	"evidence"	"interconnection queue"	"Figure 16.3 - The Interconnection Queue. EPRI and DOE-SEAB evidence can show facility-scale requests and one-to-three-year grid lead-time pressure, but not a complete project-level delay database."	"Explain what can and cannot be compared before any ranking or outcome inference."	"Generated Chapter 16 interconnection queue schematic / S-0083;S-0086;S-0087;CH16Q-007;CH16Q-008;CH16Q-009;CH16Q-010;CH16Q-013;CH16Q-014 / 2026-05-25"	"caption_contract_ok"	"Preserve caption structure; verify layout length during render QA."
