pass_id	chapter	title	date_span	lane	timeline_1	timeline_2	timeline_3	cutoff_note	source_ids
I-0316	14	NVIDIA and CUDA: The Moat Under the Moat	2006-2025	Hardware stack	2006: CUDA begins as a developer platform	2020-2024: H100 and Blackwell define the accelerator era	2025: roadmap language points forward but is not delivery proof	Roadmaps are labeled as roadmaps where the source says so.	S-0039;S-0040
I-0316	15	GTC 2026: The AI Factory Sells Itself	March 2026	Infrastructure stage	March 2026: GTC frames the AI factory as a product narrative	March 2026: Vera Rubin and DSX are presented as source-actor claims	May 24, 2026: the cutoff freezes what can be told as history	Announcements are not treated as deployed capacity.	S-0001;S-0010;S-0064;S-0065;S-0066;S-0067;S-0068
I-0316	16	Datacenters, Power, and the Physical Internet	2023-2026	Physical constraint	2023: accelerator clusters become infrastructure politics	2024-2025: power, cooling, and interconnection become bottlenecks	2026: AI-factory language meets the grid and supply chain	Capacity, emissions, and deployment claims require independent support.	S-0001;S-0064
I-0316	17	Data, Tokens, and the Library Problem	2003-2026	Data supply	2003-2021: web corpora and dataset practices form the raw material	2020-2024: tokenizer and contamination questions become visible	Through May 2026: data remains a constraint, not a solved pantry	Closed training mixtures are not guessed.	S-0042;S-0043
I-0316	18	Tools, Retrieval, and the Agent Turn	2023-2026	Tool use	2020: retrieval-augmented generation gives the old idea a modern shape	2023: plugins make tool use visible to users	2024-2026: protocols and harnesses turn tools into an operating layer	Agent language is kept bounded to observed interfaces and docs.	S-0038;S-0044;S-0055
I-0316	19	Code as the Second Native Language	2021-2026	Code models	2021: Codex and Copilot make code a native model surface	2023-2024: code benchmarks get stricter	2025-2026: coding agents move from autocomplete toward repository work	Productivity and replacement claims stay blocked unless independently supported.	S-0052;S-0070;S-0035;S-0037;S-0054
I-0316	20	Claude Code and the Industrialization of Pair Programming	2024-2026	Repository work	2024: coding docs normalize tool loops	2025: Claude Code enters the public product chronology	By May 2026: permissions, review, and context management define the practical boundary	Coding-agent claims do not imply autonomous correctness.	S-0022;S-0048;S-0049;S-0050;S-0051
I-0316	21	Reasoning, Test-Time Compute, and the New Scaling Axis	2024-2026	Reasoning	2024: reasoning becomes a visible model-family axis	2025: DeepSeek-R1 and related reports make inference-time structure legible	2026: evaluation remains unstable across tasks and settings	Reasoning labels are not treated as universal intelligence proof.	S-0029;S-0031
I-0316	22	The Economics of Intelligence on Tap	2023-2026	Economics	2023: API and subscription tiers turn tokens into a meter	2024-2025: context, latency, and routing become economic levers	2026: cutoff price snapshots require date labels	Live pricing and margins are not inferred from stale pages.	S-0058;S-0060;S-0061;S-0062;S-0063
I-0316	23	Failure Modes, Truth, and Trust	2022-2026	Trust	2022: helpfulness makes failures easier to encounter	2023-2024: system cards and model specs formalize control language	2025-2026: evidence trails, evaluation, and deployment boundaries stay contested	Safety claims remain scoped to the source and test condition.	S-0005;S-0075;S-0076;S-0077
I-0316	24	Next Token	through May 24, 2026	Cutoff synthesis	2017-2026: the race turns architecture into infrastructure	May 24, 2026: the book's historical clock stops	After the cutoff: only forecasts known by the cutoff may appear as forecasts	No event after May 24, 2026 is narrated as completed history.	S-0001;S-0056;S-0080
