"rhythm_id"	"chapter"	"planned_slot"	"asset_id"	"asset_type"	"experience_class"	"final_role"	"selection_status"	"rights_status"	"pacing_note"	"next_gate"
"I0215-RHY-020"	"9"	"Ch09-01"	"A-0086"	"svg_diagram"	"scene"	"Google conversion timeline"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Keep benchmark/adoption blockers visible."
"I0215-RHY-021"	"9"	"Ch09-02"	"A-0087"	"svg_diagram"	"mechanism"	"Gemini surface conversion"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Check overlap with A-0086."
"I0215-RHY-022"	"9"	"Ch09-03"	"A-0088"	"svg_diagram"	"mechanism"	"long-context product grammar"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Verify exact source rows before final caption."
"I0215-RHY-023"	"9"	"Ch09-04"	"A-0089"	"svg_diagram"	"comparison"	"Gemini claim blockers"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Use if prose makes tempting claims nearby."
"I0215-RHY-024"	"9"	"Ch09-05"	"A-0129"	"screenshot_slot"	"source_texture"	"Gemini/Bard source surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; block Search-share and productivity claims."
"I0215-RHY-025"	"10"	"Ch10-01"	"A-0030"	"svg_diagram"	"scene"	"Llama family map"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Check current license-state caveats."
"I0215-RHY-026"	"10"	"Ch10-02"	"A-0112"	"svg_diagram"	"mechanism"	"open-weight control stack"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Prioritize over duplicate Llama screenshots."
"I0215-RHY-027"	"10"	"Ch10-03"	"A-0113"	"svg_diagram"	"mechanism"	"adopter burden transfer"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Use with Chapter 10 prose, not as generic open-source claim."
"I0215-RHY-028"	"10"	"Ch10-04"	"A-0044"	"screenshot_slot"	"source_texture"	"LLaMA launch surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; block adoption."
"I0215-RHY-029"	"10"	"Ch10-05"	"A-0047"	"screenshot_slot"	"source_texture"	"Llama repository surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; mutable repo numbers blocked."
"I0215-RHY-030"	"11"	"Ch11-01"	"A-0031"	"svg_diagram"	"evidence"	"China source-permission map"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Update if later Qwen/DeepSeek sources mature."
"I0215-RHY-031"	"11"	"Ch11-02"	"A-0118"	"svg_diagram"	"scene"	"supported-vs-gap board"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Keep as chapter control surface."
"I0215-RHY-032"	"11"	"Ch11-03"	"A-0048"	"source_screenshot_slot"	"source_texture"	"Qwen2 source surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; do not rank."
"I0215-RHY-033"	"11"	"Ch11-04"	"A-0049"	"source_screenshot_slot"	"source_texture"	"Qwen3 source surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; Qwen 3.5/3.6 remains blocked."
"I0215-RHY-034"	"11"	"Ch11-05"	"A-0050"	"source_screenshot_slot"	"source_texture"	"DeepSeek-R1 source surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; benchmark extraction separate."
"I0215-RHY-035"	"12"	"Ch12-01"	"A-0094"	"svg_diagram"	"mechanism"	"Constitutional AI behavior grammar"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Confirm Chapter 12 title/placement."
"I0215-RHY-036"	"12"	"Ch12-02"	"A-0095"	"svg_diagram"	"scene"	"Claude product family"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Check overlap with A-0130."
"I0215-RHY-037"	"12"	"Ch12-03"	"A-0096"	"svg_diagram"	"mechanism"	"assistant-to-action surface"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Pair with source screenshot only once."
"I0215-RHY-038"	"12"	"Ch12-04"	"A-0097"	"svg_diagram"	"comparison"	"Claude claim blockers"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Use near prose with safety temptation."
"I0215-RHY-039"	"12"	"Ch12-05"	"A-0119"	"screenshot_slot"	"source_texture"	"computer-use source surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; block autonomy."
"I0215-RHY-040"	"12"	"Ch12-06"	"A-0130"	"screenshot_slot"	"scene"	"Claude product source surface"	"selected_100"	"private_capture_needed"	"Scene/chronology beat; use to orient before dense mechanism."	"Capture/hash; block safety success."
"I0215-RHY-041"	"13"	"Ch13-01"	"A-0014"	"svg_diagram"	"comparison"	"leaderboard methodology"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Keep before A-0013 in reading order."
"I0215-RHY-042"	"13"	"Ch13-02"	"A-0013"	"svg_chart"	"comparison"	"historical leaderboard slice"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"No live rank; snapshot caption required."
"I0215-RHY-043"	"13"	"Ch13-03"	"A-0019"	"svg_diagram"	"comparison"	"price-quality exclusion map"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Keep if economics chapter does not repeat it."
"I0215-RHY-044"	"14"	"Ch14-01"	"A-0071"	"svg_diagram"	"mechanism"	"CUDA stack"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Do not broaden into all semiconductor history."
"I0215-RHY-045"	"14"	"Ch14-02"	"A-0072"	"svg_diagram"	"mechanism"	"GPU memory/interconnect"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Verify legibility at book trim."
"I0215-RHY-046"	"14"	"Ch14-03"	"A-0073"	"svg_diagram"	"comparison"	"training-vs-inference capacity"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Keep if not redundant with GTC slides."
"I0215-RHY-047"	"14"	"Ch14-04"	"A-0133"	"photo_candidate_slot"	"source_texture"	"lithography/ASML proxy"	"selected_100"	"rights_review_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Find stronger ASML-machine photo or caption as proxy."
"I0215-RHY-048"	"14"	"Ch14-05"	"A-0134"	"photo_candidate_slot"	"source_texture"	"cleanroom photo"	"selected_100"	"rights_review_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Verify exact license and attribution."
"I0215-RHY-049"	"14"	"Ch14-06"	"A-0136"	"photo_candidate_slot"	"source_texture"	"server rack photo"	"selected_100"	"rights_review_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Verify license; block named workload."
"I0215-RHY-050"	"15"	"Ch15-01"	"A-0012"	"svg_diagram"	"mechanism"	"AI factory stack"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Anchor before GTC source surfaces."
"I0215-RHY-051"	"15"	"Ch15-02"	"A-0024"	"svg_claim_card"	"evidence"	"GTC AI-factory thesis card"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Choose card or slide render, not both if crowded."
"I0215-RHY-052"	"15"	"Ch15-03"	"A-0027"	"svg_claim_card"	"scene"	"GTC system comparison card"	"selected_100"	"ready_svg"	"Scene/chronology beat; use to orient before dense mechanism."	"Keep caption narrow."
"I0215-RHY-053"	"15"	"Ch15-04"	"A-0028"	"svg_claim_card"	"evidence"	"GTC roadmap cadence card"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Block delivery/performance claims."
"I0215-RHY-054"	"15"	"Ch15-05"	"A-0029"	"svg_claim_card"	"evidence"	"GTC DSX platform card"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Pair with Chapter 16 handoff."
"I0215-RHY-055"	"15"	"Ch15-06"	"A-0004"	"extracted_slide_render"	"source_texture"	"GTC page 29 slide render"	"selected_100"	"local_ignored_hash_available"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Choose against A-0024; avoid duplication."
"I0215-RHY-056"	"15"	"Ch15-07"	"A-0106"	"source_screenshot_slot"	"source_texture"	"page 29 hashed source surface"	"selected_100"	"local_ignored_hash_available"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Use as private evidence handle or final source surface after rights review."
"I0215-RHY-057"	"16"	"Ch16-01"	"A-0015"	"svg_diagram"	"mechanism"	"power-to-token flow"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep as physical-internet spine."
"I0215-RHY-058"	"16"	"Ch16-02"	"A-0020"	"svg_diagram"	"mechanism"	"load scenarios"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Ensure forecasts stay labeled."
"I0215-RHY-059"	"16"	"Ch16-03"	"A-0021"	"svg_diagram"	"evidence"	"interconnection queue"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Pair with physical grid photo if possible."
"I0215-RHY-060"	"16"	"Ch16-04"	"A-0022"	"svg_diagram"	"mechanism"	"cooling/rack-density note"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Consider replacing with photo if layout is diagram-heavy."
"I0215-RHY-061"	"16"	"Ch16-05"	"A-0023"	"svg_diagram"	"comparison"	"clean procurement vs physical supply"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Keep near PPA/clean-power prose."
"I0215-RHY-062"	"16"	"Ch16-06"	"A-0137"	"photo_candidate_slot"	"source_texture"	"data-center hall photo"	"selected_100"	"rights_review_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Verify original license trail."
"I0215-RHY-063"	"16"	"Ch16-07"	"A-0139"	"photo_candidate_slot"	"source_texture"	"substation photo"	"selected_100"	"rights_review_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Verify license; no site-service claim."
"I0215-RHY-064"	"16"	"Ch16-08"	"A-0141"	"photo_candidate_slot"	"source_texture"	"gas turbine photo"	"selected_100"	"rights_review_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Verify license and caption as generic."
"I0215-RHY-065"	"16"	"Ch16-09"	"A-0143"	"photo_candidate_slot"	"source_texture"	"nuclear/cooling tower photo"	"selected_100"	"rights_review_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Verify license and attribution."
"I0215-RHY-066"	"17"	"Ch17-01"	"A-0064"	"svg_diagram"	"mechanism"	"tokenization ladder"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Verify tokenizer caveats stay visible."
"I0215-RHY-067"	"17"	"Ch17-02"	"A-0065"	"svg_diagram"	"mechanism"	"web-corpus filter funnel"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Block closed-corpus composition claims."
"I0215-RHY-068"	"17"	"Ch17-03"	"A-0066"	"svg_diagram"	"mechanism"	"data mixture control board"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep schematic, not measured shares."
"I0215-RHY-069"	"17"	"Ch17-04"	"A-0067"	"svg_diagram"	"comparison"	"memorization blocker map"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Keep prevalence claims blocked."
"I0215-RHY-070"	"18"	"Ch18-01"	"A-0060"	"svg_diagram"	"evidence"	"RAG evidence conveyor"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Do not duplicate trust chapter."
"I0215-RHY-071"	"18"	"Ch18-02"	"A-0061"	"svg_diagram"	"evidence"	"function-call boundary"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Pair with API docs screenshot."
"I0215-RHY-072"	"18"	"Ch18-03"	"A-0062"	"svg_diagram"	"mechanism"	"agent loop as harness"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep distinct from Chapter 20."
"I0215-RHY-073"	"18"	"Ch18-04"	"A-0063"	"svg_diagram"	"mechanism"	"prompt-injection boundary"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep near untrusted-retrieval prose."
"I0215-RHY-074"	"18"	"Ch18-05"	"A-0124"	"screenshot_slot"	"source_texture"	"ChatGPT tools/GPTs surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; block adoption."
"I0215-RHY-075"	"19"	"Ch19-01"	"A-0090"	"svg_diagram"	"mechanism"	"code as language"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Check density with prose."
"I0215-RHY-076"	"19"	"Ch19-02"	"A-0091"	"svg_diagram"	"mechanism"	"assistant at cursor"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Pair with one screenshot only."
"I0215-RHY-077"	"19"	"Ch19-03"	"A-0092"	"svg_diagram"	"comparison"	"coding score harness"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Do not repeat Chapter 20 matrix."
"I0215-RHY-078"	"19"	"Ch19-04"	"A-0093"	"svg_diagram"	"mechanism"	"repository as prompt"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep as chapter-ending setup."
"I0215-RHY-079"	"19"	"Ch19-05"	"A-0127"	"screenshot_slot"	"source_texture"	"GitHub Copilot surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; block productivity."
"I0215-RHY-080"	"20"	"Ch20-01"	"A-0032"	"svg_diagram"	"mechanism"	"coding-agent harness loop"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep human review boundary."
"I0215-RHY-081"	"20"	"Ch20-02"	"A-0033"	"svg_diagram"	"comparison"	"coding benchmark caveat matrix"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Keep near benchmark prose."
"I0215-RHY-082"	"20"	"Ch20-03"	"A-0034"	"svg_diagram"	"evidence"	"tool-call lifecycle"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Pair with Claude Code docs."
"I0215-RHY-083"	"20"	"Ch20-04"	"A-0035"	"svg_diagram"	"comparison"	"productivity blocker map"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Use if chapter has vendor-product claims."
"I0215-RHY-084"	"20"	"Ch20-05"	"A-0131"	"screenshot_slot"	"source_texture"	"Claude Code surface"	"selected_100"	"private_capture_needed"	"Concrete surface beat; use to vary diagram-heavy stretches without importing outcome claims."	"Capture/hash; block autonomy."
"I0215-RHY-085"	"21"	"Ch21-01"	"A-0078"	"svg_diagram"	"mechanism"	"reasoning compute axis"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep train-time vs answer-time distinction."
"I0215-RHY-086"	"21"	"Ch21-02"	"A-0079"	"svg_diagram"	"mechanism"	"reasoning loop"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Caption must block truth guarantees."
"I0215-RHY-087"	"21"	"Ch21-03"	"A-0080"	"svg_diagram"	"comparison"	"inference contract"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Use before benchmark mentions."
"I0215-RHY-088"	"21"	"Ch21-04"	"A-0081"	"svg_diagram"	"mechanism"	"thinking cost tradeoff"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep value claims blocked."
"I0215-RHY-089"	"22"	"Ch22-01"	"A-0082"	"svg_diagram"	"mechanism"	"visible meter"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Verify price/currentness caveats."
"I0215-RHY-090"	"22"	"Ch22-02"	"A-0083"	"svg_diagram"	"mechanism"	"routing/caching/batching/distillation"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep distinct from Chapter 8 cost stack."
"I0215-RHY-091"	"22"	"Ch22-03"	"A-0084"	"svg_diagram"	"mechanism"	"business models"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Caption blocks margin and ARR claims."
"I0215-RHY-092"	"22"	"Ch22-04"	"A-0085"	"svg_diagram"	"comparison"	"economics claim blockers"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Use as sidebar if layout is dense."
"I0215-RHY-093"	"23"	"Ch23-01"	"A-0074"	"svg_diagram"	"mechanism"	"failure modes separation"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Prevent incident montage."
"I0215-RHY-094"	"23"	"Ch23-02"	"A-0075"	"svg_diagram"	"mechanism"	"trust stack"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Check if final chapter repeats it."
"I0215-RHY-095"	"23"	"Ch23-03"	"A-0076"	"svg_diagram"	"mechanism"	"evaluation shadow"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Use with benchmark chapters cross-reference."
"I0215-RHY-096"	"23"	"Ch23-04"	"A-0077"	"svg_diagram"	"comparison"	"auditable claim loop"	"selected_100"	"ready_svg"	"Comparison/permission beat; avoid adjacent comparison overload."	"Pair with source-density prose."
"I0215-RHY-097"	"24"	"Ch24-01"	"A-0108"	"svg_diagram"	"mechanism"	"next-token system map"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Keep from becoming generic summary wallpaper."
"I0215-RHY-098"	"24"	"Ch24-02"	"A-0109"	"svg_diagram"	"mechanism"	"five conversion gates"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Use if final prose follows conversion motif."
"I0215-RHY-099"	"24"	"Ch24-03"	"A-0110"	"svg_diagram"	"evidence"	"unsettled claims board"	"selected_100"	"ready_svg"	"Evidence-control beat; keep caption concise and claim-scoped."	"Keep if not too apparatus-heavy."
"I0215-RHY-100"	"24"	"Ch24-04"	"A-0111"	"svg_diagram"	"mechanism"	"human judgment loop"	"selected_100"	"ready_svg"	"Mechanism beat; surround with scene/source texture nearby when possible."	"Use as closing visual if layout has room."
