pass_id	phase	workstream	primary_target	readiness_metric_moved	evidence_required	exit_gate
I-0214	balance	Chapters 21-24 ending arc	Choose reasoning/economics/trust/finale visuals that sustain late-book tension.	chapter balance	Chapter 21-24 sequence board	Ending does not collapse into dashboards or generic summary art.
I-0215	design	whole-book visual rhythm board	Classify every selected exhibit as scene, mechanism, evidence, comparison, or source texture.	visual pacing	100-row rhythm board	No chapter has monotonous exhibit roles without a recorded reason.
I-0216	editing	caption excellence	Write/QA captions so every selected exhibit teaches one thing and blocks one risk.	caption readiness	Caption table for selected 100	Every selected row has concise caption, source hook, and blocked-claim note.
I-0217	QA	source-note attribution audit	Verify source IDs, access dates, rights status, manifest rows, and blocked claims.	provenance completeness	Attribution QA table with defects and fixes	Zero selected rows with missing provenance, rights status, story purpose, or blocker.
I-0218	design	style-system hardening	Finalize typography, palette, line weights, source-card style, figure labels, and contrast rules.	visual consistency	Style guide and sample updates	All visual families can be judged against one house system.
I-0219	QA	chart legibility QA	Inspect SVG/chart exhibits for print/PDF readability, axes, footnotes, source labels, contrast.	render legibility	Chart QA table and defect fixes	No selected chart has unreadable small text or missing source/caveat labels.
I-0220	QA	screenshot legibility QA	Inspect screenshots/source surfaces for crop, resolution, PII/secrets, quote limits, caption neutrality.	screenshot readiness	Screenshot QA table	All selected screenshots are either book-grade, replaced, or dropped.
I-0221	production	source-card batch 1	Produce strongest 10 source-excerpt cards with quote-limit checks and page/source provenance.	source texture	10 final or near-final source-card rows	Quote limits and paraphrase fallbacks are recorded before manifest promotion.
I-0222	production	source-card batch 2	Produce surprising/fun source cards: launch lines, benchmark caveats, model warnings, infrastructure phrasing.	reader delight	Second source-card batch with blockers	Cards add texture without copyright, rank, safety, adoption, or productivity leakage.
I-0223	narrative	Chapter 1 cold-open package	Choose/design first 3 exhibits and one unforgettable opening visual.	first-impression beauty	Opening visual package and render check	First visual sequence sells premise and preserves evidence lanes.
I-0224	narrative	recurring motif system	Define recurring visual motifs: tokens, power, time, prompts, chips, context, agency.	narrative coherence	Motif system board	Motifs recur for meaning, not decoration or filler.
I-0225	narrative	timeline spine package	Create master timeline and chapter-local timeline strips through May 24, 2026.	chronological clarity	Timeline source/cutoff QA	No post-cutoff event appears as happened history.
I-0226	production	company/lab/network map	Create institutional map for labs, funders, suppliers, benchmarks, open ecosystems.	reader orientation	Map package with source roles	Map does not imply equivalence, adoption, funding amounts, or dominance without sources.
I-0227	production	AI-factory systems spread	Create signature system diagram linking user demand, inference, chips, networking, cooling, power, software.	infrastructure synthesis	Source-backed spread or detailed spec	Spread separates NVIDIA rhetoric from independent physical constraints.
I-0228	production	token-economics package	Create diagrams/charts for tokens, context, pricing, compute, latency, routing, marginal cost.	economics clarity	Same-scope economics source table and visuals	No price-quality, margin, ROI, cost-per-token, or revenue claim lacks matching evidence.
I-0229	QA	figure list and numbering	Assign stable figure IDs, chapter anchors, alt text, source IDs, and final/pending status.	publication infrastructure	Figure register	Every selected/final exhibit has stable ID and cross-reference status.
I-0230	render QA	visual family smoke pages	Render sample pages for SVGs, screenshots, source cards, photos, dense captions.	page-level proof	Sample renders and defect log	No visual family proceeds to full render with unresolved systemic defects.
I-0231	render QA	full-book page-flow mock	Place representative exhibits through all chapters and measure rhythm, whitespace, orphans, fatigue.	reading experience	Page-flow mock and defects	Full-book visual rhythm is proven by spread-level evidence, not intent.
I-0232	benchmarking	competitor visual audit	Benchmark against Chip War, The Prize, Isaacson-style bios, The Thinking Machine, and AI/business books.	visual ambition	Competitor audit table	Next Token has explicit standards for maps, charts, openings, images, and source surfaces.
I-0233	narrative	reader-addiction visual audit	Mark where visuals raise suspense, surprise, delight, or clarity; remove slowing visuals.	Goodreads appeal	Reader-effect audit	Every major visual has a reader-effect job beyond quota.
I-0234	writing	prose-around-figures pass	Rewrite paragraphs before/after key exhibits so visuals land as story beats.	figure integration	Before/after prose audit	Key exhibits are introduced and paid off in prose, not dropped into layout.
I-0235	rights QA	final rights-risk triage	Classify every selected exhibit as publish, redraw, replace, permission-needed, fair-use-review, or drop.	publication readiness	Rights triage board with replacements	No selected exhibit remains ambiguous on publication path.
I-0236	audit	readiness recomputation	Recompute dashboard after capture, redraw, caption, rights, and render work.	metrics closure	Updated readiness dashboard and final blockers	99% readiness is accepted only if evidence proves it; otherwise the next blockers are explicit.
