"qa_id"	"chapter"	"asset_id"	"asset_type"	"final_role"	"manifest_status"	"manifest_file_path"	"file_exists"	"captured_evidence"	"raster_gate"	"resolution_gate"	"crop_gate"	"pii_secrets_gate"	"quote_limit_gate"	"caption_neutrality_gate"	"small_type_gate"	"rights_gate"	"source_note_gate"	"issue_count"	"issue_mix"	"publication_gate"	"next_action"
"I0220-SS-011"	"11"	"A-0049"	"source_screenshot_slot"	"Qwen3 source surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0049_qwen3_arxiv_abs.png"	"no"	"source_html_hash_recorded_no_raster"	"source_surface_hash_only_no_screenshot"	"unproven_hash_only"	"crop_unproven_source_surface_only"	"low_expected_manual_check"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_source_handle_only"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"hash_only_no_screenshot;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"source_handle_only_needs_screenshot_or_card"	"Either capture raster screenshot with viewport/hash or convert to source-card; do not count as book-grade screenshot yet."
"I0220-SS-012"	"11"	"A-0050"	"source_screenshot_slot"	"DeepSeek-R1 source surface"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0050_deepseek_r1_arxiv_abs.png"	"no"	"source_html_hash_recorded_no_raster"	"source_surface_hash_only_no_screenshot"	"unproven_hash_only"	"crop_unproven_source_surface_only"	"low_expected_manual_check"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_source_handle_only"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"hash_only_no_screenshot;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"source_handle_only_needs_screenshot_or_card"	"Either capture raster screenshot with viewport/hash or convert to source-card; do not count as book-grade screenshot yet."
"I0220-SS-013"	"12"	"A-0119"	"screenshot_slot"	"computer-use source surface"	"acquisition_ready"	"assets/private_use_screenshots/i0148/A-0119_claude_computer_use_announcement.png"	"no"	"source_html_hash_recorded_no_raster"	"source_surface_hash_only_no_screenshot"	"unproven_hash_only"	"crop_unproven_source_surface_only"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_source_handle_only"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"hash_only_no_screenshot;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"source_handle_only_needs_screenshot_or_card"	"Either capture raster screenshot with viewport/hash or convert to source-card; do not count as book-grade screenshot yet."
"I0220-SS-014"	"12"	"A-0130"	"screenshot_slot"	"Claude product source surface"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0130_claude_product_surface.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-015"	"14"	"A-0133"	"photo_candidate_slot"	"lithography/ASML proxy"	"acquisition_ready"	"assets/photo_candidates/i0181/A-0133_lithography_asml_proxy_candidate.txt"	"no"	"not_captured_or_not_verified"	"photo_file_rights_and_resolution_unproven"	"manual_resolution_review"	"crop_and_subject_specificity_unproven"	"manual_pii_secrets_review_needed"	"no_quote_extraction_recorded"	"caption_neutrality_ok_proxy"	"small_type_unproven_source_handle_only"	"rights_review_needed"	"provenance_contract_ok"	"6"	"photo_rights_resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;small_type_readability_unproven;rights_or_private_use_pending"	"photo_rights_and_resolution_blocked"	"Resolve exact photo license/creator/revision and local resolution before final use."
"I0220-SS-016"	"14"	"A-0134"	"photo_candidate_slot"	"cleanroom photo"	"acquisition_ready"	"assets/photo_candidates/i0181/A-0134_fab_cleanroom_candidate.txt"	"no"	"not_captured_or_not_verified"	"photo_file_rights_and_resolution_unproven"	"manual_resolution_review"	"crop_and_subject_specificity_unproven"	"manual_pii_secrets_review_needed"	"no_quote_extraction_recorded"	"caption_neutrality_ok_proxy"	"small_type_unproven_source_handle_only"	"rights_review_needed"	"provenance_contract_ok"	"6"	"photo_rights_resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;small_type_readability_unproven;rights_or_private_use_pending"	"photo_rights_and_resolution_blocked"	"Resolve exact photo license/creator/revision and local resolution before final use."
"I0220-SS-017"	"14"	"A-0136"	"photo_candidate_slot"	"server rack photo"	"acquisition_ready"	"assets/photo_candidates/i0181/A-0136_gpu_server_rack_candidate.txt"	"no"	"not_captured_or_not_verified"	"photo_file_rights_and_resolution_unproven"	"manual_resolution_review"	"crop_and_subject_specificity_unproven"	"manual_pii_secrets_review_needed"	"no_quote_extraction_recorded"	"caption_neutrality_ok_proxy"	"small_type_unproven_source_handle_only"	"rights_review_needed"	"provenance_contract_ok"	"6"	"photo_rights_resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;small_type_readability_unproven;rights_or_private_use_pending"	"photo_rights_and_resolution_blocked"	"Resolve exact photo license/creator/revision and local resolution before final use."
"I0220-SS-018"	"15"	"A-0004"	"extracted_slide_render"	"GTC page 29 slide render"	"available_local_ignored"	"assets/gtc_2026/slides/page-029-ai-factories.png"	"yes"	"raster_hash_dimensions_recorded"	"raster_hash_dimensions_ok"	"high_res_source_render"	"crop_unproven_full_slide_available"	"low_expected_manual_check"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_page_proof_needed"	"private_use_hash_available_rights_pending"	"source_id_missing_for_non_codex;selection_rights_mismatch"	"7"	"crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending;source_note_provenance_issue"	"captured_but_page_crop_rights_review"	"Use as private source render only after crop, small-type, rights, and caption proximity page proof."
"I0220-SS-019"	"15"	"A-0106"	"source_screenshot_slot"	"page 29 hashed source surface"	"local_ignored_raster_hashed"	"assets/gtc_2026/slides/page-029-ai-factories.png"	"yes"	"manifest_capture_note_no_raster"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"low_expected_manual_check"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_use_hash_available_rights_pending"	"selection_rights_mismatch"	"9"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending;source_note_provenance_issue"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-020"	"16"	"A-0137"	"photo_candidate_slot"	"data-center hall photo"	"acquisition_ready"	"assets/photo_candidates/i0181/A-0137_data_center_hall_candidate.txt"	"no"	"not_captured_or_not_verified"	"photo_file_rights_and_resolution_unproven"	"manual_resolution_review"	"crop_and_subject_specificity_unproven"	"manual_pii_secrets_review_needed"	"no_quote_extraction_recorded"	"caption_neutrality_ok_proxy"	"small_type_unproven_source_handle_only"	"rights_review_needed"	"provenance_contract_ok"	"6"	"photo_rights_resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;small_type_readability_unproven;rights_or_private_use_pending"	"photo_rights_and_resolution_blocked"	"Resolve exact photo license/creator/revision and local resolution before final use."
"I0220-SS-021"	"16"	"A-0139"	"photo_candidate_slot"	"substation photo"	"acquisition_ready"	"assets/photo_candidates/i0181/A-0139_substation_candidate.txt"	"no"	"not_captured_or_not_verified"	"photo_file_rights_and_resolution_unproven"	"manual_resolution_review"	"crop_and_subject_specificity_unproven"	"manual_pii_secrets_review_needed"	"no_quote_extraction_recorded"	"caption_neutrality_ok_proxy"	"small_type_unproven_source_handle_only"	"rights_review_needed"	"provenance_contract_ok"	"6"	"photo_rights_resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;small_type_readability_unproven;rights_or_private_use_pending"	"photo_rights_and_resolution_blocked"	"Resolve exact photo license/creator/revision and local resolution before final use."
"I0220-SS-022"	"16"	"A-0141"	"photo_candidate_slot"	"gas turbine photo"	"acquisition_ready"	"assets/photo_candidates/i0181/A-0141_gas_turbine_candidate.txt"	"no"	"not_captured_or_not_verified"	"photo_file_rights_and_resolution_unproven"	"manual_resolution_review"	"crop_and_subject_specificity_unproven"	"manual_pii_secrets_review_needed"	"no_quote_extraction_recorded"	"caption_neutrality_ok_proxy"	"small_type_unproven_source_handle_only"	"rights_review_needed"	"provenance_contract_ok"	"6"	"photo_rights_resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;small_type_readability_unproven;rights_or_private_use_pending"	"photo_rights_and_resolution_blocked"	"Resolve exact photo license/creator/revision and local resolution before final use."
"I0220-SS-023"	"16"	"A-0143"	"photo_candidate_slot"	"nuclear/cooling tower photo"	"acquisition_ready"	"assets/photo_candidates/i0181/A-0143_nuclear_cooling_tower_candidate.txt"	"no"	"not_captured_or_not_verified"	"photo_file_rights_and_resolution_unproven"	"manual_resolution_review"	"crop_and_subject_specificity_unproven"	"manual_pii_secrets_review_needed"	"no_quote_extraction_recorded"	"caption_neutrality_ok_proxy"	"small_type_unproven_source_handle_only"	"rights_review_needed"	"provenance_contract_ok"	"6"	"photo_rights_resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;small_type_readability_unproven;rights_or_private_use_pending"	"photo_rights_and_resolution_blocked"	"Resolve exact photo license/creator/revision and local resolution before final use."
"I0220-SS-024"	"18"	"A-0124"	"screenshot_slot"	"ChatGPT tools/GPTs surface"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0124_chatgpt_tools_gpts_product_surface.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-025"	"19"	"A-0127"	"screenshot_slot"	"GitHub Copilot surface"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0127_github_copilot_product_surface.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"manual_pii_secrets_review_needed"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
"I0220-SS-026"	"20"	"A-0131"	"screenshot_slot"	"Claude Code surface"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0131_claude_code_product_surface.png"	"no"	"not_captured_or_not_verified"	"raster_missing"	"unproven_no_raster"	"crop_unproven_no_raster"	"low_expected_manual_check"	"quote_limit_or_visible_text_review_needed"	"caption_claim_review_needed"	"small_type_unproven_no_raster"	"private_capture_rights_pending"	"provenance_contract_ok"	"8"	"raster_missing;resolution_unproven;crop_unproven;pii_secrets_manual_review;quote_visible_text_review;caption_neutrality_review;small_type_readability_unproven;rights_or_private_use_pending"	"capture_required_before_publication"	"Capture screenshot/raster or replace/drop before publication-ready selection."
