pass_id	page	words	images	drawings	ink_ratio	dark_ratio	blank	severe_sparse	micro_visual	sample
I-0317	27	363	0	2	0.50099	0.08629	no	no	no	The encoder-decoder idea turned recurrence into a powerful machine for mapping one sequence to another. In sequence-to-sequence learning, a model could read an
I-0317	28	337	0	2	0.48373	0.07717	no	no	no	The later Transformer would radicalize that move. Instead of using attention as an addition to recurrent encoder-decoder machinery, it would put attention at th
I-0317	29	346	0	2	0.50419	0.08555	no	no	no	answer from shallow cues. The point is architectural permission, not epistemic guarantee What Attention Changed Attention is easy to describe badly. The lazy ve
I-0317	30	335	0	2	0.52786	0.08358	no	no	no	word order. Feed-forward blocks transformed the mixed representations. Stacked together, these components gave researchers a repeatable pattern: embed tokens, m
I-0317	31	295	0	2	0.44822	0.06632	no	no	no	hardware, software frameworks, evaluation culture, and capital all mattered. But an architecture that could absorb more compute without the same sequential bott
I-0317	32	361	0	3	0.54068	0.06262	no	no	no	By the time ChatGPT arrived, most users saw none of this. They saw a box. They typed. It answered. But the box was sitting on decades of answers to smaller ques
I-0317	33	20	2	9	0.18935	0.08679	no	no	no	Chapter 02 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Jupyter NumPy
I-0317	34	3	2	9	0.22880	0.08111	no	no	no	SciPy Geoffrey Hinton
I-0317	35	4	2	9	0.30473	0.04290	no	no	no	Yoshua Bengio Andrew Ng
I-0317	36	92	2	58	0.47904	0.03772	no	no	no	Christopher Manning Research And Data-Science Substrate The scientific Python and notebook strip makes the pre-LLM toolchain visible without turning it into a s
I-0317	37	47	0	66	0.56879	0.01331	no	no	no	classical ML library PERSON Deep-Learning And NLP Lineage The opening lineage strip anchors the book in researchers who made neural language work feel historica
I-0317	38	54	6	48	0.57125	0.00863	no	no	no	Geoffrey Hinton person image neural- network lineage human anchor Yoshua Bengio person image deep- learning lineage human anchor Yann LeCun person image open re
I-0317	39	0	0	4	0.07717	0.00000	no	no	no	
I-0317	40	78	0	9	0.15952	0.05128	no	no	no	Chapter 03: Scaling Laws: The Bet Becomes Measurable Date span: 2020 MEASUREMENT Cutoff guard: Later model claims remain tied to their source dates. 3. Scaling
I-0317	41	55	1	4	0.21179	0.02219	no	no	no	The Curve Before The Product Scaling Laws Page As Loss-Compute Evidence, shown as a paper or report page Before ChatGPT became an interface event and before the
I-0317	42	344	0	2	0.48471	0.08013	no	no	no	more like a measured process. Train bigger models. Feed more data. Spend more compute. Watch the loss move Loss is not a romantic word. It does not sound like i
I-0317	43	372	0	2	0.51603	0.09320	no	no	no	The Industrialization Of Prediction The scaling bet made language modeling feel industrial. The central object was no longer only a clever model. It was a train
I-0317	44	331	0	2	0.43466	0.06681	no	no	no	prove that every user-visible capability was a direct function of parameter count. It did not prove that truth, calibration, or safety would arrive automaticall
I-0317	45	366	0	2	0.51578	0.08481	no	no	no	This is one reason scaling laws belong in a narrative history. They changed the internal politics of labs. A scientist could say: the loss trend suggests a larg
I-0317	46	347	0	2	0.49975	0.08062	no	no	no	brittle. Some benchmarks could be gamed or contaminated. Some apparent capabilities depended heavily on prompt format. But the direction was enough to reorganiz
I-0317	47	342	0	2	0.48669	0.08333	no	no	no	The Chinchilla lesson also points toward the data chapter. If compute-optimal training asks for more tokens, then the supply, quality, legality, duplication, la
I-0317	48	354	0	2	0.46770	0.10281	no	no	no	The PaLM Example PaLM belongs here as a bounded example of the scaling era moving through a major lab. The PaLM paper presented a large language model trained w
I-0317	49	345	0	2	0.48471	0.07470	no	no	no	The safe statement is that larger models often showed new or stronger behaviors on tasks and benchmarks, and GPT-3 made in-context learning a central topic. The
I-0317	50	362	0	2	0.49088	0.08235	no	no	no	The scaling chapter can therefore teach a durable reading habit: ask what was measured, under what conditions, with what units, and what claim the measurement d
I-0317	51	343	0	3	0.45316	0.07249	no	no	no	What Scaling Did Not Buy Scaling did not buy truth. It did not buy source notes. It did not buy safe tool use. It did not buy memory in the human sense. It did
I-0317	52	21	1	6	0.17406	0.00542	no	no	no	Chapter 04 Image Sequence Images placed with this chapter to keep the visual evidence close to the story visual grammar prototype
I-0317	53	2	1	6	0.41321	0.36982	no	no	no	Ilya Sutskever
I-0317	54	147	2	28	0.44699	0.04734	no	no	no	Jeff Dean PAPER REPORT EXCERPT Transformer, GPT, And Scaling Origins The origin gallery shows the breakthrough papers as artifacts the reader can locate, not as
I-0317	55	40	0	6	0.57692	0.01307	no	no	no	PAPER REPORT EXCERPT Pretraining Lineage And Compute-Optimal Scale BERT, T5, Chinchilla, PaLM, and chain-of-thought establish the mechanism bridge into frontier
I-0317	56	112	1	24	0.55251	0.03649	no	no	no	BERT Pre- trainin BERT: Pre- training of Deep Bidirectio Transform paper/report excerpt Pre- Transformer to-LLM context for masked- language- modeling lineage E
I-0317	57	0	0	4	0.07717	0.00000	no	no	no	
I-0317	58	76	0	9	0.16691	0.03994	no	no	no	Chapter 04: GPT-1 to GPT-3: Pretraining Opens the Door Date span: 2018-2021 PRETRAINING Cutoff guard: The chapter ends before ChatGPT's public launch. 4. GPT-1
I-0317	59	78	1	4	0.31780	0.02885	no	no	no	The Model That Learned To Begin GPT-1 Paper Page As Pretraining Origin, shown as a paper or report page The first GPT paper did not read like the opening of a c
I-0317	60	330	0	2	0.50099	0.06090	no	no	no	This is the first conversion in the OpenAI spine. Chapter 4 made scale measurable; Chapter 5 shows a lab turning that measurement culture into a usable lineage:
I-0317	61	320	0	2	0.45316	0.07224	no	no	no	The Uncomfortable Release GPT-2 made the door visible. OpenAI's GPT-2 paper described language models as unsupervised multitask learners: train on a large, dive
I-0317	62	366	0	2	0.54068	0.07816	no	no	no	"Few-Shot As A Product Shape GPT-3 enlarged the bet until it became hard to ignore. The GPT-3 paper, ""Language Models are Few-Shot Learners,"" described a 175-bil"
I-0317	63	359	0	2	0.51430	0.09221	no	no	no	Prompting Was Programming Without The Compiler The central metaphor of GPT-3 was not conversation yet. It was prompting. A prompt could specify tone, task, form
I-0317	64	339	0	2	0.50173	0.07150	no	no	no	GitHub Copilot made that capability ordinary enough to be unsettling. GitHub introduced Copilot in June 2021 as a technical preview in Visual Studio Code, devel
I-0317	65	373	0	2	0.51307	0.08531	no	no	no	The prize-book version of this chapter should therefore be less about bigness than about conversion. A research technique converted unlabeled text into transfer
I-0317	66	402	0	2	0.54758	0.08555	no	no	no	itself became a design decision. The interface was no longer just between researcher and benchmark. It included the lab, the public, downstream users, and misus
I-0317	67	391	0	2	0.53575	0.09024	no	no	no	in a paper, a web playground, or a lab demo. It was next to the code a developer was already writing. At the cursor, the line between autocomplete and collabora
I-0317	68	369	0	2	0.52564	0.07372	no	no	no	contained far more unlabeled language than carefully labeled examples. If predicting the next token forced a model to compress syntax, semantics, facts, discour
I-0317	69	375	0	2	0.50616	0.08826	no	no	no	The model also changed what a task looked like. Translation could be cued in text. Summarization could be implied by a passage followed by a summary marker. Que
I-0317	70	354	0	2	0.50616	0.06484	no	no	no	the examples and get a different transformation. You could ask for a table, a JSON shape, a short answer, a tone, or a reasoning style. The control was informal
I-0317	71	385	0	2	0.55276	0.07224	no	no	no	The API Made Distribution A Technical Fact Distribution often gets treated as business context, something that happens after the science. In the GPT line, distr
I-0317	72	360	0	2	0.52342	0.07717	no	no	no	stack early: model capability as a service. ChatGPT would later make the interface feel simple enough for anyone to try, but the service idea was already there
I-0317	73	328	0	2	0.47214	0.08457	no	no	no	LLM assistance ambient in the developer workflow. That ambient placement made later coding agents imaginable because it taught users to treat model output as dr
I-0317	74	186	1	7	0.40015	0.04068	no	no	no	The hand-off should be sober. RLHF did not solve truth, safety, bias, robustness, jailbreaking, or misuse. It did not turn a base model into a moral agent. But
I-0317	75	19	2	9	0.21351	0.04093	no	no	no	Hugging Face GPT-2 model card, shown as a model-card page OpenAI GPT-2 GitHub repo, shown as a repository page
I-0317	76	97	1	11	0.54561	0.39349	no	no	no	Chapter 05: Instruction Tuning and RLHF: Alignment Enters the Product Date span: 2021-2022 ASSISTANT BEHAVIOR Cutoff guard: The chapter treats alignment as prod
I-0317	77	369	0	2	0.50592	0.08407	no	no	no	GPT-3 made the prompt feel like a temporary program: examples and instructions could sit inside the context window and steer the next completion. It also made t
I-0317	78	318	0	2	0.44601	0.08284	no	no	no	Visual integration: Figure 6.1,notes ledger, shows pretraining, supervised demonstrations, preference comparisons, reward/preference modeling, RL optimization,
I-0317	79	355	0	2	0.49433	0.07939	no	no	no	The older roots of the idea reached beyond LLMs. The 2017 human-preference reinforcement-learning work from OpenAI and DeepMind showed a way to train agents fro
I-0317	80	335	0	2	0.47041	0.08407	no	no	no	such a document is itself historically important. It shows that assistant behavior had become a specification surface, not merely a side effect of pretraining T
I-0317	81	202	1	4	0.59122	0.31879	no	no	no	This is where Anthropic enters the larger narrative before the Claude chapter. Claude was not only another model family. It was a product argument about how an
I-0317	82	335	0	2	0.46474	0.06805	no	no	no	had to explain. By 2023 and 2024, a frontier model launch was not only a benchmark table. It was also a package of caveats, mitigations, refusal policies, red-t
I-0317	83	337	0	2	0.50616	0.07569	no	no	no	Evaluation Was The Unfinished Loop The central weakness remained evaluation. Human preference data could improve behavior, but the reward model was not the worl
I-0317	84	356	0	2	0.51011	0.06558	no	no	no	principles could become part of the training story. System cards and model specifications showed that assistant behavior had become a public design surface The
I-0317	85	355	0	2	0.49778	0.08333	no	no	no	The fifth layer is policy optimization. The model is pushed toward the learned preference signal. Here the chapter should be especially careful with verbs. The
I-0317	86	172	1	4	0.42135	0.07372	no	no	no	What The Quote Table Allows Dario Amodei Public Profile Texture For OpenAI's instruction-following post, the table permits short, renderer- caveated phrases. Th
I-0317	87	389	0	2	0.53008	0.08851	no	no	no	"The quote table also carries a built-in antidote to hype: the phrase ""far from fully aligned."" That belongs near the chapter's strongest claims because it is th"
I-0317	88	364	0	2	0.51948	0.07347	no	no	no	of an answer but miss the responsibility of answering. Instruction tuning and preference optimization attempt to trade some raw continuation freedom for product
I-0317	89	353	0	2	0.49038	0.07396	no	no	no	That design choice solved one problem and created another. A refusal in ordinary language can educate, redirect, or de-escalate. It can keep a product from beco
I-0317	90	377	0	2	0.53895	0.08580	no	no	no	The ritual had several audiences. Users wanted to know whether the model was reliable. Developers wanted to know what could break. Enterprises wanted risk langu
I-0317	91	274	1	7	0.43368	0.05276	no	no	no	rewarded outputs people liked better. RL optimization tuned toward that reward. Specifications and policies arranged conflicts. Red teams and evals exposed fail
I-0317	92	23	2	9	0.27786	0.01504	no	no	no	OpenAI Model Spec behavior surface, shown as a public web page OpenAI GPT-4 System Card first page, shown as a public web page
I-0317	93	22	2	9	0.25616	0.02490	no	no	no	OpenAI GPT-4o System Card first page, shown as a public web page GPT-4 System Card first-page surface, shown as a report page
I-0317	94	20	2	9	0.20932	0.04142	no	no	no	GPT-4o System Card first-page surface, shown as a report page GPT-4 Technical Report first-page surface, shown as a report page
I-0317	95	113	2	28	0.44354	0.03575	no	no	no	John Schulman PAPER REPORT EXCERPT Alignment, Open Weights, And Model Families Traini langua model Training language models to follow instructio paper/report ex
I-0317	96	45	0	6	0.57692	0.01159	no	no	no	PDF DECK REPORT PAGE System Cards And GPT-4 Report Surfaces System-card and GPT-4 report pages anchor safety/product disclosure without overclaiming capability
I-0317	97	98	1	24	0.57766	0.02318	no	no	no	GTC 2026 datace GTC 2026 datacente surface presentation page Facility/data page for power and infrastructu chapters GPT- 4 System GPT-4 System Card first- page
I-0317	98	0	0	4	0.07717	0.00000	no	no	no	
I-0317	99	99	1	11	0.52342	0.38215	no	no	no	Chapter 06: The ChatGPT Shock: The Interface Goes Public Date span: November-December 2022 PUBLIC INTERFACE Cutoff guard: ChatGPT is a turning point after the t
I-0317	100	369	0	2	0.48397	0.08752	no	no	no	On November 30, 2022, OpenAI introduced ChatGPT as a conversational model, a sibling to InstructGPT, trained to follow instructions in a prompt and provide a de
I-0317	101	397	0	2	0.54561	0.08309	no	no	no	vocabulary. OpenAI'stiktokenrepository is one practical sign of that machinery: before the model can process text, language has to be chopped into pieces the ma
I-0317	102	372	0	2	0.51529	0.08013	no	no	no	The First Numbers Were Slippery The launch became legendary almost immediately, and legends like clean numbers. The evidence is less clean By the first Monday a
I-0317	103	196	1	4	0.48422	0.05819	no	no	no	pitch. A bored user might ask it to write like Shakespeare and then argue with it when the result felt wrong. The product invited misuse because it invited use
I-0317	104	330	0	2	0.47436	0.08309	no	no	no	Schools saw a different machine. Chalkbeat reported on January 3, 2023, that New York City's education department blocked ChatGPT on school devices and networks
I-0317	105	416	0	2	0.55572	0.08235	no	no	no	The interface packaged several ideas into one gesture. Pretraining supplied broad continuation ability. Instruction tuning and RLHF made the model more likely t
I-0317	106	334	0	2	0.45883	0.08457	no	no	no	easier, or because they fear someone else will use it first, or because the new interface reveals a possibility they cannot unsee. ChatGPT's ordinary usefulness
I-0317	107	329	0	2	0.48373	0.07322	no	no	no	policy, school blocks, and workplace restrictions were institutional versions of the same movement: this is useful enough to matter and unreliable enough to con
I-0317	108	183	1	4	0.50690	0.05966	no	no	no	The Hidden Factory First Institutional Response Chronology The chat box made computation feel weightless. It was not Behind each answer was a stack of trained w
I-0317	109	345	0	2	0.48373	0.08679	no	no	no	documents and workflows. Chip companies saw a market for training and inference systems. Model labs saw that public product feedback could become strategic evid
I-0317	110	360	0	2	0.50838	0.08013	no	no	no	system become dependent on chips, datacenters, energy, datasets, human feedback, benchmarks, product design, and cloud bargains? How did companies turn the same
I-0317	111	80	1	7	0.28550	0.01775	no	no	no	when the problem was humbler and more stubborn: given language as it had already been written, could a machine learn enough structure to guess what should come
I-0317	112	2	1	6	0.20168	0.00000	no	no	no	Satya Nadella
I-0317	113	126	1	11	0.47954	0.06928	no	no	no	Chapter 07: ChatGPT Becomes the Product Surface Date span: 2022-2023 PRODUCTIZATION Cutoff guard: Mutable product pages are handled as dated snapshots, not live
I-0317	114	413	0	2	0.57446	0.06657	no	no	no	and also the rupture. A research trajectory that had been moving through papers, demos, APIs, and benchmark tables arrived in the old shape of computing's most
I-0317	115	383	0	2	0.53304	0.09369	no	no	no	report later emphasized both capability and limitation: the model could perform impressively on many professional and academic benchmarks, but it could still ha
I-0317	116	143	0	2	0.20192	0.02441	no	no	no	that the chat box had escaped the product category OpenAI had given it: communities had to decide whether it was a tool, a shortcut, a cheating machine, a secur
I-0317	117	108	1	4	0.52663	0.28649	no	no	no	The Product Was A Training Method With A Face Sam Altman Public Profile Texture The quiet prehistory of ChatGPT is not a chat window. It is a change in training
I-0317	118	380	0	2	0.54536	0.07914	no	no	no	InstructGPT attacked that gap by using human feedback to train models to follow instructions better. The pipeline began with demonstrations, moved through compa
I-0317	119	356	0	2	0.52663	0.07840	no	no	no	The Disappearing Manual The most important consumer technologies hide a manual inside the object. A spreadsheet cell teaches formulas by accepting them. A searc
I-0317	120	190	1	4	0.46302	0.06534	no	no	no	discover the same pattern: if the answer was too long, ask for shorter; if the tone was wrong, ask for another tone; if the structure was messy, ask for a table
I-0317	121	356	0	2	0.50666	0.08284	no	no	no	That shift matters for the later chapters on agents and coding systems. A model that can call tools is a different product species from a model that only emits
I-0317	122	260	0	2	0.39349	0.03328	no	no	no	treat this carefully. The book is about LLMs, not a general history of image or video models. But GPT-4o belongs here because it shows the chat interface stretc
I-0317	123	164	1	4	0.48718	0.05276	no	no	no	The Cloud Behind The Conversation Enterprise ChatGPT added workplace controls. Figure 7/8.x - ChatGPT Enterprise launch surface A text box can make computation
I-0317	124	337	0	2	0.55104	0.07520	no	no	no	made better products. Better products generated more demand, more revenue possibilities, more data about user needs, and more pressure to buy compute. More comp
I-0317	125	336	0	2	0.49753	0.07939	no	no	no	The distinction is not pedantry. Enterprise software is where demos go to encounter procurement, data policy, security review, identity management, auditability
I-0317	126	355	0	2	0.50197	0.07840	no	no	no	entity. In reality, those behaviors could come from model training, system prompts, product rules, retrieval, tool orchestration, or interface state. The assist
I-0317	127	189	1	4	0.48595	0.05917	no	no	no	regulation chapter to name the product fact: when software speaks in complete sentences, people look for someone to hold responsible for the sentence Why Everyo
I-0317	128	349	0	2	0.52096	0.06065	no	no	no	Chinese labs and cloud firms had their own language, market, and policy environments. NVIDIA had the hardware everyone suddenly needed. The box made all of them
I-0317	129	359	0	2	0.49211	0.07396	no	no	no	The Door It Opened ChatGPT's deepest consequence was not that it answered questions. It changed what people expected software to tolerate. After November 2022,
I-0317	130	260	0	4	0.38585	0.05276	no	no	no	The box did not abolish the old computer. It taught the old computer a new front door. Behind that door were the same hard things as before: data, chips, power,
I-0317	131	24	2	9	0.39250	0.01381	no	no	no	OpenAI ChatGPT Plus launch text render, shown as a public web page OpenAI ChatGPT Enterprise launch text render, shown as a public web page
I-0317	132	8	1	6	0.20562	0.00690	no	no	no	paper page, shown as a public web page
I-0317	133	2	1	6	0.40754	0.37722	no	no	no	Andrej Karpathy
I-0317	134	4	2	9	0.22756	0.03304	no	no	no	Greg Brockman Mira Murati
I-0317	135	84	7	40	0.44675	0.03008	no	no	no	Wojciech Zaremba PERSON OpenAI Product And RLHF Line OpenAI's product, research, and RLHF figures tie the ChatGPT sequence to public organizational surfaces Cap
I-0317	136	42	0	54	0.57446	0.00863	no	no	no	John Schulman person image RLHF/Open human anchor Andrej Karpathy person image software/LL education human anchor Assistant Product Grammar Instruction tuning,
I-0317	137	285	1	74	0.51257	0.09640	no	no	no	Figure 7.x - ChatG Figure 7.x - ChatGPT From Interface Event To Business Surface. Sourced timeline for ChatGPT launch, Plus, plugins, Enterpris release- note en
I-0317	138	3	0	24	0.06977	0.00148	no	no	no	overlappi pressure diagram
I-0317	139	98	1	11	0.45488	0.07175	no	no	no	Chapter 08: Microsoft, OpenAI, and the Cloud Bargain Date span: 2019-2024 CLOUD AND CAPITAL Cutoff guard: Partnership chronology does not prove hidden terms or
I-0317	140	337	0	2	0.51282	0.07224	no	no	no	That difference is why Microsoft and OpenAI belong immediately after ChatGPT. The product felt weightless: a prompt, a pause, a paragraph. Serving it was anythi
I-0317	141	329	0	2	0.48077	0.08013	no	no	no	"ChatGPT, before the public interface shock, and before ""generative AI"" became a boardroom reflex. Microsoft was buying into a hypothesis before the category had"
I-0317	142	253	0	2	0.37796	0.06361	no	no	no	were no longer separable. Training a frontier model was becoming a relationship with a machine, and the machine was becoming a relationship with a cloud provide
I-0317	143	167	1	4	0.48126	0.25518	no	no	no	Licensing The Primitive Microsoft Copilot Product Surface, shown as a public web page The next turn was more explicit. In September 2020, Microsoft announced th
I-0317	144	356	0	2	0.51381	0.07816	no	no	no	"The important word is ""surface."" A model inside a paper has one audience. A model inside an API has another. A model inside GitHub, Office, Azure, Windows, Bing"
I-0317	145	272	0	2	0.40360	0.06607	no	no	no	Azure OpenAI Service The Azure OpenAI Service made the bargain available to enterprise and developer customers. Microsoft announced general availability in Janu
I-0317	146	167	1	4	0.47929	0.06534	no	no	no	The 2023 Extension What The Chat Box Hides In January 2023, Microsoft and OpenAI announced an extended partnership. Coming two months after ChatGPT's launch, th
I-0317	147	327	0	2	0.51183	0.06805	no	no	no	documents, email, meetings, spreadsheets, and workplace communication. Bing would use it in search and advertising competition. Security, Dynamics, Power Platfo
I-0317	148	282	0	2	0.41691	0.06090	no	no	no	"Copilot For Work Microsoft 365 Copilot made the platform thesis explicit. In March 2023, Microsoft introduced Microsoft 365 Copilot as ""your copilot for work,"""
I-0317	149	210	1	4	0.54463	0.05153	no	no	no	Search, Office, And The Incumbent's Revenge Access routes and product surfaces are allowed now; revenue, ROI, productivity, adoption, search share, and margin n
I-0317	150	373	0	2	0.51504	0.08555	no	no	no	Office was different. There, Microsoft was the incumbent. The Copilot move in Word, Excel, PowerPoint, Outlook, Teams, and business chat did not attack someone
I-0317	151	345	0	2	0.52737	0.06632	no	no	no	evidence. Workplace claims need customer-side usage, productivity, governance, and ROI evidence. This chapter can set up both pathways without pretending that p
I-0317	152	327	0	3	0.46967	0.07076	no	no	no	The safe claim for this chapter is conceptual: serving LLMs made cloud infrastructure and product distribution central to the race. The unsafe claims are exact
I-0317	153	50	2	9	0.40360	0.18565	no	no	no	and infrastructure, but now had to decide how much caution it could afford while the interface race moved in public Chapter 08 Image Sequence Images placed with
I-0317	154	86	2	44	0.52983	0.12401	no	no	no	Sebastian Bubeck Cloud, Hub, And Distribution Surfaces Distribution logos mark where models become APIs, hubs, clouds, routers, and developer products Caption:
I-0317	155	0	0	4	0.43960	0.00000	no	no	no	
I-0317	156	81	0	9	0.17357	0.06386	no	no	no	Chapter 09: Google and DeepMind Wake the Sleeping Giant Date span: 2022-2025 INCUMBENT RESPONSE Cutoff guard: Google and DeepMind claims stay anchored to public
I-0317	157	78	1	4	0.32544	0.03476	no	no	no	The Company That Had Already Built the Future PaLM Page As Google's Scale Surface, shown as a paper or report page The strangest thing about Google's generative
I-0317	158	384	0	2	0.52022	0.09615	no	no	no	into a public spectacle of superhuman play and scientific ambition. Search was the web's front door. Gmail, Docs, Android, Chrome, YouTube, Maps, and Cloud gave
I-0317	159	218	0	2	0.30942	0.04487	no	no	no	serving systems, datacenter control, and products that hid their machinery behind a search box or an app. PaLM fit that grammar. It was not a scrappy chatbot. I
I-0317	160	172	1	4	0.36193	0.05819	no	no	no	Bard As Defensive Interface Gemini API Model Docs Surface. Google Gemini API model-docs screenshot makes Gemini's developer model surface visible; mutable docs
I-0317	161	396	0	2	0.55005	0.07495	no	no	no	The containment was the story. ChatGPT had made the blank text box feel like a portal. Bard made the same box feel like a negotiation with an incumbent. It had
I-0317	162	162	0	2	0.21869	0.03156	no	no	no	is where Google's assets begin to look different from OpenAI's launch advantage. Google had YouTube, Android cameras, phones, documents, search queries, maps, c
I-0317	163	69	1	4	0.36070	0.02983	no	no	no	Long Context As Product Grammar Gemini 1.5 Report Page As Long-Context Surface Gemini 1.5 sharpened one of Google's strongest product arguments: context length.
I-0317	164	340	0	2	0.49679	0.06213	no	no	no	update the same month described Gemini 1.5 Pro and 1.5 Flash availability, and mentioned a two-million-token context window path for developers and cloud custom
I-0317	165	337	0	2	0.47239	0.07791	no	no	no	The TPU Difference Google's infrastructure story cannot be reduced to TPUs, but TPUs are the visible symbol of a deeper strategic choice. The Gemini launch mate
I-0317	166	208	1	4	0.40533	0.08037	no	no	no	Search Gravity T001 - Figure 09.04 - 2023 Model-Landscape Table. The 2023 benchmark/model-landscape table marks the year when Llama, Mistral, Code Llama, and to
I-0317	167	343	0	2	0.51824	0.05794	no	no	no	the old interface. It needed a gradual conversion: from search augmentation to assistant, from assistant to workspace layer, from workspace layer to developer p
I-0317	168	186	1	4	0.60281	0.37179	no	no	no	without snapshot and row normalization. This chapter uses it as evidence that Google maintained a model-card surface, not as permission to claim final ranks, ex
I-0317	169	374	0	2	0.54956	0.07249	no	no	no	customers toward Gemini Pro through the Gemini API, Vertex AI, and Google AI Studio. The May 2024 developer update kept the same pattern: Gemini was a model fam
I-0317	170	354	0	2	0.52367	0.07125	no	no	no	OpenAI's early public advantage came from focus. ChatGPT was one box. Users knew where to go. The interface taught the category. Google had to make Gemini mean
I-0317	171	231	0	4	0.33111	0.03723	no	no	no	Google's place in that sequence is the giant with too many muscles. It had the architecture roots, the custom silicon, the research brand, the product surfaces,
I-0317	172	12	2	9	0.21573	0.02885	no	no	no	Chapter 9 research-to-product conversion timeline Chapter 9 TPU/Search/Workspace surface map
I-0317	173	11	2	9	0.24137	0.03575	no	no	no	Chapter 9 Gemini long-context lane Chapter 9 benchmark/adoption blocker grid
I-0317	174	16	2	9	0.27170	0.18540	no	no	no	Google data center in The Dalles. web page Google Gemini, shown as a public web page
