balance_id	chapter	sequence_role	asset_id	source_table	decision	exhibit_job	reading_path	caption_firewall	next_dependency
I0214-RETF-011	22	rung_2_gtc_economics_surface	A-0145	data/gtc_2026_source_screenshot_extraction_i0185.tsv	reserve	GTC page 32 token-economics render is a source-actor reserve for NVIDIA's public framing, not a neutral economics chart.	Use only if axes and plotted rows are extracted and independently caveated.	Does not support same-scope cost curves, NVIDIA performance claims, margin, revenue, deployment, or market truth.	Requires axis extraction, source-actor label, and corroboration before public layout.
I0214-RETF-012	23	rung_3_failure_families	A-0074	data/chapter23_trust_visual_package_i0129.tsv	choose	Failure-mode map opens trust by separating different kinds of failure before any safety argument.	Show hallucination/truth, sycophancy, adversarial, proxy, evidence, and measurement failure families.	Does not support exact failure rates, deployed-product prevalence, uniform vulnerability, solved safety, incident generalization, or mitigation effectiveness.	Place before trust-stack controls so the problem space is not flattened.
I0214-RETF-013	23	rung_3_control_stack	A-0075	data/chapter23_trust_visual_package_i0129.tsv	choose	Trust stack turns the chapter from generic safety into authority engineering.	Show evidence selection, evidence use, authority, evaluation, permission/action, and audit memory as layered controls.	Does not support complete safety, vendor-card independence, RAG truth guarantees, prompt-injection prevalence, or governance adequacy.	Use as the chapter anchor after A-0074.
I0214-RETF-014	23	rung_3_eval_boundary	A-0076	data/chapter23_trust_visual_package_i0129.tsv	reserve	Eval blind-spot matrix is a permission figure for trust/eval claims.	Show what TruthfulQA, Arena, SWE-bench, and LiveCodeBench can illuminate and what they cannot prove.	Does not support live model crowns, safety claims, enterprise usefulness, productivity, current leaderboards, or global trust scores.	Promote if Chapter 23 needs benchmark contrast beyond Chapter 21/20 figures.
I0214-RETF-015	23	rung_3_provenance_workflow	A-0077	data/chapter23_trust_visual_package_i0129.tsv	choose	Provenance workflow is the handoff from trust to the finale: fluent output becomes auditable claim only through records and blockers.	Show question, retrieval, generation, audit, blocker, record, and publish steps.	Does not support compliance guarantees, complete auditability, mitigation effectiveness, or incident-free deployment.	End Chapter 23 with this so Chapter 24 can close on judgment rather than dashboarding.
I0214-RETF-016	24	rung_4_final_system	A-0108	data/chapter24_final_system_visual_package_i0141.tsv	choose	Next-token stack map is the final chapter's synthesis anchor.	Recombine data, architecture, training, products, tools, infrastructure, economics, and trust around next-token prediction.	Does not support consciousness, AGI, solved trust, revenue, productivity, energy, autonomy, or equal layer maturity.	Use early in Chapter 24 to orient the ending.
I0214-RETF-017	24	rung_4_conversion_pressure	A-0109	data/chapter24_final_system_visual_package_i0141.tsv	choose	Five conversion gates give the finale narrative pressure without forecasting.	Show prediction-to-interface, interface-to-product, model-to-platform, compute-to-infrastructure, and fluency-to-trust as overlapping pressures.	Does not support completed stages, inevitability, post-cutoff forecast, one-company victory, or clean linear chronology.	Place after A-0108 as the dynamic version of the final system map.
I0214-RETF-018	24	rung_4_unsettled_claims	A-0110	data/chapter24_final_system_visual_package_i0141.tsv	reserve	Unsettled claims board is a negative-control reserve, not the emotional ending.	Show tempting claims and same-scope evidence still required.	Does not support best-model crown, ROI, revenue, broad productivity, energy-per-token, solved safety, autonomy, labor replacement, or inevitable path.	Use only if final prose overclaims; otherwise keep blockers in ledgers and captions.
I0214-RETF-019	24	rung_4_human_judgment	A-0111	data/chapter24_final_system_visual_package_i0141.tsv	choose	Human judgment loop closes the book with responsibility, not prophecy.	Show user intent, model tokens, tools, evidence trace, audit, blockers, and human decision.	Does not support guaranteed correctness, safety, accountability, autonomous operation, solved trust, or replacement of human judgment.	Close the visual sequence here rather than with a scoreboard or claims board.
I0214-RETF-020	24	rung_4_prose_guardrail	n/a	data/chapter24_final_prose_claim_audit_i0146.tsv	gate	Final prose claim audit remains a required guardrail for the emotional close.	Use it as production apparatus, not visible endmatter, unless a claim needs explicit quarantine.	Does not support any unresolved claim merely because it is named as blocked.	Before final render, verify the ending carries motif and judgment while ledgers carry apparatus.
