balance_id	chapter	sequence_role	asset_id	source_table	decision	exhibit_job	reading_path	caption_firewall	next_dependency
I0213-DTC-011	18	rung_2_research_lineage	A-0149	data/canonical_paper_redraw_batch_i0205.tsv	reserve	Toolformer redraw gives pre-product tool-use lineage when the chapter needs research depth.	Place as a sidebar if the main flow feels too product-driven.	Does not support arbitrary tool mastery, safe execution, autonomy, or productivity claims.	Use sparingly so Chapter 18 remains a harness chapter, not a paper gallery.
I0213-DTC-012	18	rung_2_product_texture	A-0124	data/master_100_exhibit_selection_matrix_i0182.tsv	reserve	ChatGPT tools/GPTs screenshot slot can make the tool interface tangible.	Use as interface texture after mechanism figures, not before.	Does not support adoption, revenue, safety, current UI, plugin ecosystem dominance, or productivity claims.	Requires local raster capture, hash, viewport, rights review, and caption firewall.
I0213-DTC-013	19	rung_3_code_as_operation	A-0090	data/chapter19_code_visual_package_i0133.tsv	choose	Code-as-language ladder opens Chapter 19 by making code the operational form of language.	Show intent, syntax, execution feedback, repository context, and human review.	Does not support literal understanding, autonomous programming, productivity, adoption, security quality, or replacement claims.	Place immediately after Chapter 18 harness bridge.
I0213-DTC-014	19	rung_3_work_surface	A-0091	data/chapter19_code_visual_package_i0133.tsv	choose	Editor-to-repository workflow shows assistance arriving at the cursor rather than as a free agent.	Show context, suggestion, human review, tests, and repository integration.	Does not support active users, paid seats, productivity, code quality, security quality, broad acceptance, or replacement claims.	Keep before repository-as-prompt so the reader sees human review first.
I0213-DTC-015	19	rung_3_measurement_boundary	A-0092	data/chapter19_code_visual_package_i0133.tsv	reserve	Coding benchmark ladder is a permission figure for scores, not a narrative centerpiece.	Use if Chapter 19 includes HumanEval/AlphaCode/SWE-bench/LiveCodeBench transitions.	Does not support live ranks, best-coding-model claims, exact scores, productivity, or broad competence.	Coordinate with Chapter 20 benchmark caveat matrix to avoid duplicate score pedagogy.
I0213-DTC-016	19	rung_3_repo_context	A-0093	data/chapter19_code_visual_package_i0133.tsv	choose	Repository-as-prompt is the handoff figure from code assistance to coding agents.	Show files, docs, issues, tests, errors, and instructions as context, with review external.	Does not support autonomous engineering, secure deployment, replacement, productivity, terminal-agent product details, or job displacement.	End Chapter 19 with this so Chapter 20 can begin inside the repo workflow.
I0213-DTC-017	19	rung_3_product_texture	A-0127	data/master_100_exhibit_selection_matrix_i0182.tsv	reserve	GitHub Copilot screenshot slot can provide historical product-interface texture.	Use only after the editor/repository mechanism is established.	Does not support adoption, active users, revenue, productivity, code quality, security, or replacement claims.	Requires capture hash, viewport, rights review, and current-UI caveat.
I0213-DTC-018	20	rung_4_supervised_agent_loop	A-0032	data/chapter20_coding_agent_visual_package_i0108.tsv	choose	Coding-agent harness loop is Chapter 20's anchor because it turns the repo prompt into supervised action.	Show issue, context, scaffold, tools, tests, retries, review, and result.	Does not support best coding model, productivity, safety, or raw-score superiority.	Open Chapter 20 visual sequence with this rather than a product screenshot.
I0213-DTC-019	20	rung_4_benchmark_permission	A-0033	data/chapter20_coding_agent_visual_package_i0108.tsv	choose	Benchmark caveat matrix makes scores usable without turning them into crowns.	Show SWE-bench, LiveCodeBench, terminal tasks, and product metrics as different evidence kinds.	Does not support live rankings, enterprise outcomes, productivity, adoption, or broad autonomy.	Place before any Claude Code or benchmark prose that tempts rank language.
I0213-DTC-020	20	rung_4_tool_lifecycle	A-0034	data/chapter20_coding_agent_visual_package_i0108.tsv	choose	Tool-call lifecycle makes permissions and observations visible inside the terminal-agent loop.	Show propose, approve, execute, observe, retry, and return diff.	Does not support secure execution, reliable autonomy, complete task success, or production safety.	Use as the permissions close-up after the harness loop.
I0213-DTC-021	20	rung_4_outcome_firewall	A-0035	data/chapter20_coding_agent_visual_package_i0108.tsv	reserve	Productivity blocker map should appear only if the prose needs an explicit negative-control visual.	Show allowed workflow claims versus blocked productivity/adoption/replacement claims.	Does not support productivity, adoption, revenue, replacement, or enterprise-outcome claims.	Keep as reserve unless reviewers keep reading benchmark evidence as business proof.
I0213-DTC-022	20	rung_4_product_surface	A-0131	data/master_100_exhibit_selection_matrix_i0182.tsv	reserve	Claude Code product/docs screenshot slot supplies concrete product texture after the harness is understood.	Use as a private-use interface/source surface, not as the chapter anchor.	Does not support autonomy, productivity, security effectiveness, current UI, market adoption, or developer replacement.	Requires raster capture, local hash, viewport, rights review, and caption firewall.
I0213-DTC-023	20	rung_4_local_source_surface	A-0192	assets_manifest.tsv	source_media_reserve	Anthropic Claude Code page HTML is a local ignored source-media handle for production/reference.	Use to verify wording and visual texture privately, not as a committed raster.	Does not support adoption, revenue, safety, current UI, productivity, autonomy, or replacement claims.	Need rights/fair-use review and screenshot capture before any public-facing visual use.
I0213-DTC-024	20	rung_4_docs_source_surface	A-0193	assets_manifest.tsv	source_media_reserve	Anthropic Claude Code docs overview HTML is a local ignored documentation surface for permissions/workflow texture.	Use to support captions around workflow and controls only.	Does not support security effectiveness, outcome quality, productivity, adoption, or platform dominance.	Need quote limits, page anchors, screenshot capture, and rights review before layout.
