asset_id	chapter_or_slot	target_file_private_not_committed	visual_kind	source_ids	source_url_or_path	capture_subject	story_purpose	rights_or_capture_note	status	next_action
A-0046	Chapter 10	assets/private_use_screenshots/i0112/A-0046_llama31_launch_page.png	screenshot_slot	S-0113	https://ai.meta.com/blog/meta-llama-3-1/	Llama 3.1 launch page	Shows open-weight strategy at larger/context-expanded scale.	Private-use screenshot slot; exact spec claims need row extraction.	acquisition_ready	Capture release page with caption caveats.
A-0047	Chapter 10 / Chapter 19	assets/private_use_screenshots/i0112/A-0047_llama_github_repo.png	screenshot_slot	S-0114	https://github.com/meta-llama/llama	Meta Llama GitHub repository	Shows open weights as developer artifact, not only press narrative.	Private-use screenshot slot; stars/forks/current files are mutable and not cutoff facts.	acquisition_ready	Capture repository landing page with access date.
A-0048	Chapter 11	assets/private_use_screenshots/i0112/A-0048_qwen2_arxiv_abs.png	source_screenshot_slot	S-0026	https://arxiv.org/abs/2407.10671	Qwen2 arXiv abstract page	Shows China/open-model chapter primary-paper spine.	Private-use source screenshot slot; use for provenance, not for benchmark charting.	acquisition_ready	Capture arXiv abstract page or local source render.
A-0049	Chapter 11	assets/private_use_screenshots/i0112/A-0049_qwen3_arxiv_abs.png	source_screenshot_slot	S-0027	https://arxiv.org/abs/2505.09388	Qwen3 arXiv abstract page	Shows Qwen3 as supported cutoff-bounded source lane.	Private-use source screenshot slot; Qwen 3.5/3.6 remains blocked.	acquisition_ready	Capture arXiv abstract page or local source render.
A-0050	Chapter 11 / Chapter 21	assets/private_use_screenshots/i0112/A-0050_deepseek_r1_arxiv_abs.png	source_screenshot_slot	S-0029	https://arxiv.org/abs/2501.12948	DeepSeek-R1 arXiv abstract page	Visual bridge from China chapter into reasoning/test-time compute.	Private-use source screenshot slot; exact benchmark claims need extraction.	acquisition_ready	Capture arXiv abstract page.
A-0051	Chapter 11	assets/private_use_screenshots/i0112/A-0051_deepseek_v3_arxiv_abs.png	source_screenshot_slot	S-0028	https://arxiv.org/abs/2412.19437	DeepSeek-V3 arXiv abstract page	Shows DeepSeek-V3 supported technical lane.	Private-use source screenshot slot; no V4-era inference without sources.	acquisition_ready	Capture arXiv abstract page.
A-0052	Chapter 9	assets/private_use_screenshots/i0112/A-0052_bard_launch_page.png	screenshot_slot	S-0118	assets/source_docs/google_deepmind/S-0118_try-bard-google-blog.html	Google Bard launch page	Shows Google's defensive first assistant surface after ChatGPT.	Private-use screenshot from local HTML or live page; vendor page is product framing.	acquisition_ready	Render/capture local HTML page.
A-0053	Chapter 9	assets/private_use_screenshots/i0112/A-0053_gemini_launch_page.png	screenshot_slot	S-0121	assets/source_docs/google_deepmind/S-0121_google-gemini-ai-launch-blog.html	Gemini launch page	Shows Gemini as Google DeepMind model-family banner.	Private-use screenshot slot; benchmark claims blocked without rows.	acquisition_ready	Render/capture local HTML page.
A-0054	Chapter 9	assets/private_use_screenshots/i0112/A-0054_bard_becomes_gemini_page.png	screenshot_slot	S-0122	assets/source_docs/google_deepmind/S-0122_bard-becomes-gemini-blog.html	Bard becomes Gemini / Gemini Advanced page	Shows product consolidation and consumer app turn.	Private-use screenshot slot; subscription/revenue claims blocked.	acquisition_ready	Render/capture local HTML page.
A-0055	Chapter 9 / Chapter 18	assets/private_use_screenshots/i0112/A-0055_gemini_developer_update_page.png	screenshot_slot	S-0124	assets/source_docs/google_deepmind/S-0124_gemini-gemma-developer-updates-may-2024.html	Gemini developer update page	Shows developer access paths and long-context product conversion.	Private-use screenshot slot; availability details need date-specific captions.	acquisition_ready	Render/capture local HTML page.
