pass_id	figure_id	chapter	asset_id	asset_type	page	image_count	largest_image_width_in	largest_image_height_in	largest_image_area_pct	caption_present	source_note_present	rights_stage_present	min_caption_font_pt	image_within_page	caption_collision	source_note_proximity	legibility_status	issues
I-0280	F18.03	CH18	A-0062	svg_diagram	199	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F18.04	CH18	A-0063	svg_diagram	200	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F18.05	CH18	A-0260-003	source_excerpt_card_svg	203	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F19.01	CH19	A-0090	svg_diagram	206	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F19.02	CH19	A-0091	svg_diagram	208	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F19.03	CH19	A-0092	svg_diagram	210	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F19.04	CH19	A-0093	svg_diagram	212	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F19.05	CH19	A-0260-020	source_excerpt_card_svg	214	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F20.01	CH20	A-0032	svg_diagram	217	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F20.02	CH20	A-0033	svg_diagram	219	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F20.03	CH20	A-0034	svg_diagram	220	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F20.04	CH20	A-0035	svg_diagram	223	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F20.05	CH20	A-0260-019	source_excerpt_card_svg	225	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F21.01	CH21	A-0078	svg_diagram	228	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F21.02	CH21	A-0079	svg_diagram	229	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F21.03	CH21	A-0080	svg_diagram	230	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F21.04	CH21	A-0081	svg_diagram	231	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F22.01	CH22	A-0082	svg_diagram	239	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F22.02	CH22	A-0083	svg_diagram	241	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F22.03	CH22	A-0084	svg_diagram	243	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F22.04	CH22	A-0085	svg_diagram	245	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F23.01	CH23	A-0074	svg_diagram	248	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F23.02	CH23	A-0075	svg_diagram	249	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F23.03	CH23	A-0076	svg_diagram	250	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F23.04	CH23	A-0077	svg_diagram	251	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F24.01	CH24	A-0108	svg_diagram	258	1	4.70	3.03	26.4	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F24.02	CH24	A-0109	svg_diagram	259	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F24.03	CH24	A-0110	svg_diagram	260	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
I-0280	F24.04	CH24	A-0111	svg_diagram	261	1	4.70	3.02	26.3	yes	yes	yes	6.20	yes	no	same_page	warn	caption_or_source_note_too_small
