pass_id	inventory_id	visual_family	visual_category	board_or_section_id	pdf_page	asset_id	asset_type	title	file_path	sha256	source_or_provenance	private_use_status	story_purpose	blocked_claims	render_location	page_mapping_method_i0302	page_mapping_evidence_i0302
I-0302	FI-0011	expanded_300_exhibit	curated_chart_data_svg_visualization	F07.01	91	A-0016	svg_diagram	Figure 7.x - ChatGPT: From Interface Event To Business Surface. Sourced timeline for ChatGPT launch, Plus, plugins, Enterprise release-note entry, GPTs, and GPT-4o with a blocked adoption/productivity lane.	assets/visual_system/chatgpt-interface-business-timeline.svg	47c12f74423fd269fdf6f7e8ad025540b5bbca96c2a41d7c7e9d05fbd581c2d3	Source IDs: S-0006;S-0014;S-0044;S-0045;S-0046;S-0077;S-0078;S-0079;S-0089;S-0090;SNAP-20260525-013;SNAP-20260525-014;SNAP-20260525-015; Asset source: Generated ChatGPT interface-to-business timeline; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F07.01
I-0302	FI-0012	expanded_300_exhibit	person_image	F07.02	95	A-0284-052	real_world_person_image	Figure 07.02 - Sam Altman Public Profile Texture	assets/people/i0284/sam-altman.jpg	9c0463033365494acbeaac416b5cef1a887b676a0a2b3950b4cb0650650fecf4	Private-use visual acquired in 0284; page https://en.wikipedia.org/wiki/Sam_Altman; asset https://upload.wikimedia.org/wikipedia/commons/f/f8/Sam_Altman_TechCrunch_SF_2019_Day_2_Oct_3_%28cropped_3%29.jpg; local assets/people/i0284/sam-altman.jpg; sha256 9c0463033365494acbeaac416b5cef1a887b676a0a2b3950b4cb0650650fecf4.	private_use_visual_pending_final_rights_review	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Public-profile image only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F07.02
I-0302	FI-0013	expanded_300_exhibit	curated_chart_data_svg_visualization	F07.03	99	A-0260-001	source_excerpt_card_svg	Paid access became a product surface	assets/source_cards/i0260/sc-0260-001-paid-access-became-a-product-surface.svg	9fd7cba8266421a0099486dbb648c4c535b92210b09aaf19e696fe129f7c7c74	Source IDs: SNAP-20260525-013; Asset source: OpenAI ChatGPT Plus launch text render; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F07.03
I-0302	FI-0014	expanded_300_exhibit	curated_chart_data_svg_visualization	F07.04	102	A-0260-002	source_excerpt_card_svg	Enterprise ChatGPT added workplace controls	assets/source_cards/i0260/sc-0260-002-enterprise-chatgpt-added-workplace-controls.svg	4cc95e192635553d7284a645324dfba07e659da781b41b616f7759047db01c5d	Source IDs: SNAP-20260525-026; Asset source: OpenAI ChatGPT Enterprise launch text render; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F07.04
I-0302	FI-0015	expanded_300_exhibit	curated_chart_data_svg_visualization	F07.05	106	A-0260-003	source_excerpt_card_svg	Release notes are product archaeology	assets/source_cards/i0260/sc-0260-003-release-notes-are-product-archaeology.svg	09d11e362c10ba7dc6311760d2da445baa1aae71ec1dcb329ba74304cac3207e	Source IDs: SNAP-20260525-014; Asset source: OpenAI ChatGPT release notes source surface; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F07.05
I-0302	FI-0016	expanded_300_exhibit	curated_chart_data_svg_visualization	F08.01	111	A-0056	svg_diagram	Figure 8.1 - Microsoft/OpenAI: The Cloud Bargain Timeline. Sourced chronology from 2019 compute partnership to Microsoft 365 Copilot with blocked outcome lane.	assets/visual_system/chapter8-microsoft-openai-partnership-chronology.svg	b478606ce4e1db0f9c5b8c4288d17bd6afd85bfef6597e61a03c04cabf6d2adb	Source IDs: S-0125;S-0126;S-0127;S-0132;S-0129;S-0130;S-0133;S-0131; Asset source: Generated Microsoft/OpenAI partnership chronology; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F08.01
I-0302	FI-0017	expanded_300_exhibit	real_photo_screenshot_source_image	F08.02	115	A-0287-017	real_world_source_image	Figure 08.02 - Microsoft Copilot Product Surface	assets/private_use_screenshots/i0287_source_pages/src-0287-017-microsoft-copilot.png	96f1c5a4533cd1c71b6b0c472c2d79fe89e50e38e6d1d65a072233c4bf9a787c	Private-use visual acquired in 0287; page https://copilot.microsoft.com/; asset https://copilot.microsoft.com/; local assets/private_use_screenshots/i0287_source_pages/src-0287-017-microsoft-copilot.png; sha256 96f1c5a4533cd1c71b6b0c472c2d79fe89e50e38e6d1d65a072233c4bf9a787c.	private_use_visual_pending_final_rights_review	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F08.02
I-0302	FI-0018	expanded_300_exhibit	curated_chart_data_svg_visualization	F08.03	118	A-0058	svg_diagram	Figure 8.3 - Inference Cost Stack: What The Chat Box Hides. Non-quantified stack of latency, governance, serving software, accelerators, and physical datacenter layers.	assets/visual_system/chapter8-inference-cost-stack.svg	169f2ac4657e17e889e39089e3564c87938a97af7c87b40c3e5d09d1ed5d11ce	Source IDs: S-0126;S-0129;S-0131;S-0133;S-0041; Asset source: Generated Chapter 8 inference cost stack; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F08.03
I-0302	FI-0019	expanded_300_exhibit	curated_chart_data_svg_visualization	F08.04	121	A-0059	svg_diagram	Figure 8.4 - Enterprise Claim Blocker Map. Access routes and product surfaces are allowed now; revenue, ROI, productivity, adoption, search share, and margin need stronger rows.	assets/visual_system/chapter8-enterprise-claim-blocker-map.svg	258d7d14f8eba01b2f2ce36f15de1a0de9d1cf2794b8f957c603c60666789e05	Source IDs: S-0129;S-0131;S-0132;S-0133; Asset source: Generated Chapter 8 enterprise claim blocker map; Creator/org: Codex	publish_after_render_caption_source_note_qa	I-0261 source-file proof exists; I-0262 render embedding and I-0263 page-legibility QA still required.	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F08.04
I-0302	FI-0020	expanded_300_exhibit	paper_report_excerpt	F09.01	127	A-0288-004	source_surface_paper_report_excerpt	Figure 09.01 - PaLM Page As Google's Scale Surface	assets/source_surfaces/i0288/paper-0288-004-palm-scaling-language-modeling-with-pathways-p1.png	20a7b8e38a9b144505cc5c61b4f670001db8ff3682417688b10808386be8999f	Private-use source surface PAPER-0288-004 from https://arxiv.org/pdf/2204.02311; source file assets/source_media/i0288_pdfs/palm-scaling-language-modeling-with-pathways.pdf sha256 1e88f1f3027cd1abecb1713c1c08a89137c7730582549ec7ca78ca329f3f975d; page 1 render assets/source_surfaces/i0288/paper-0288-004-palm-scaling-language-modeling-with-pathways-p1.png sha256 20a7b8e38a9b144505cc5c61b4f670001db8ff3682417688b10808386be8999f; fallback/card assets/papers/i0288_cards/paper-0288-004-palm-scaling-language-modeling-with-pathways.svg sha256 25a1a1bbda29c7191527cc18d93e275e2e038d6df9fd7c0e4a79be6235cc2195.	private_use_source_surface_pending_final_rights_review	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not prove current Gemini quality, deployment, or product adoption.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F09.01
I-0302	FI-0021	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	F09.02	130	A-0289-004	benchmark_model_card_surface_documentation_surface	Figure 09.02 - Gemini API Model Docs Surface	assets/model_cards/i0289_screenshots/mcs-0289-005-google-gemini-api-model-docs.png	7937f4721701c8a26986af7d8410dc768cd0b705bc292b2c397310ce95ab1d53	Private-use model-card/docs/repo/leaderboard surface MCS-0289-005 from https://ai.google.dev/gemini-api/docs/models; HTML assets/source_media/i0289_model_card_html/mcs-0289-005-google-gemini-api-model-docs.html sha256 90dbf24912656a5e32f60a04f364e52126ccf80b3371aa6f879312c7030b4551; screenshot assets/model_cards/i0289_screenshots/mcs-0289-005-google-gemini-api-model-docs.png sha256 7937f4721701c8a26986af7d8410dc768cd0b705bc292b2c397310ce95ab1d53; fallback/card assets/model_cards/i0289_cards/mcs-0289-005-google-gemini-api-model-docs.svg sha256 3e2fdf6b0f687366930a2270d19fda1da1e776fb85847ab7e7184c8c0a288d7b.	private_use_benchmark_model_card_pending_final_rights_review	I-0292 screenshot/table, HTML/source IDs, card fallback, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Mutable docs do not prove live ranking, Search impact, pricing, or stable availability.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F09.02
I-0302	FI-0022	expanded_300_exhibit	pdf_deck_report_page	F09.03	133	A-0288-016	source_surface_pdf_technical_report_page	Figure 09.03 - Gemini 1.5 Report Page As Long-Context Surface	assets/source_surfaces/i0288/pdf-0288-006-gemini-1-5-technical-report-p1.png	10d6001c29af945028b734cb35dd0743ca2e79330ff1c0c57adb390f363ddea5	Private-use source surface PDF-0288-006 from https://arxiv.org/pdf/2403.05530; source file assets/source_media/i0288_pdfs/gemini-1-5-technical-report.pdf sha256 abcd3b8e4b54721ff2d2323204f7b2ad9212b0ff6c8ed77725657526a5418b13; page 1 render assets/source_surfaces/i0288/pdf-0288-006-gemini-1-5-technical-report-p1.png sha256 10d6001c29af945028b734cb35dd0743ca2e79330ff1c0c57adb390f363ddea5; fallback/card assets/papers/i0288_cards/pdf-0288-006-gemini-1-5-technical-report.svg sha256 a9fd9d7eb74b0eac4c9aa3b44c70cb2cc64e64b2faa4f64bd4c52b9ec40e810c.	private_use_source_surface_pending_final_rights_review	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not prove current product state, live model rank, or Search impact.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F09.03
I-0302	FI-0023	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	F09.04	136	A-0289-T001	benchmark_model_landscape_table	Figure 09.04 - 2023 Model-Landscape Table	assets/benchmarks/i0289_tables/bmt-0289-001-2023-benchmark-model-landscape.svg	5ec58cba146428d7c4e0e9f3e551d25c0a21548860f2795d5b1ae4de7fa43ca5	Private-use benchmark/model-landscape table BMT-0289-001 for 2023; SVG assets/benchmarks/i0289_tables/bmt-0289-001-2023-benchmark-model-landscape.svg sha256 5ec58cba146428d7c4e0e9f3e551d25c0a21548860f2795d5b1ae4de7fa43ca5; source IDs MCS-0286-004;MCS-0286-005;PAPER-0285-008;PAPER-0285-014;PAPER-0288-006;PAPER-0288-007;PDF-0285-012; coverage 2023-through-cutoff yearly and cutoff synthesis coverage; rows 3.	private_use_benchmark_model_card_pending_final_rights_review	I-0292 screenshot/table, HTML/source IDs, card fallback, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, safety proof, or product adoption claim.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F09.04
I-0302	FI-0024	expanded_300_exhibit	real_photo_screenshot_source_image	F09.05	139	A-0287-015	real_world_source_image	Figure 09.05 - Google AI Studio Product Surface	assets/private_use_screenshots/i0287_source_pages/src-0287-015-google-ai-studio.png	2678974be5cfa048602685012ade05afd48b3878f0203d81266f97bb12de4609	Private-use visual acquired in 0287; page https://aistudio.google.com/; asset https://aistudio.google.com/; local assets/private_use_screenshots/i0287_source_pages/src-0287-015-google-ai-studio.png; sha256 2678974be5cfa048602685012ade05afd48b3878f0203d81266f97bb12de4609.	private_use_visual_pending_final_rights_review	I-0290 local file, hash, callout, and manifest proof only; I-0293 render QA and final rights review still required.	Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F09.05
I-0302	FI-0025	expanded_300_exhibit	paper_report_excerpt	F10.01	144	A-0288-009	source_surface_paper_report_excerpt	Figure 10.01 - Llama 3 Herd Paper Page	assets/source_surfaces/i0288/paper-0288-009-the-llama-3-herd-of-models-p1.png	1595a587e394bde58b89d01383663d1afc8383db1db3426f0a2b0b191194665d	Private-use source surface PAPER-0288-009 from https://arxiv.org/pdf/2407.21783; source file assets/source_media/i0288_pdfs/the-llama-3-herd-of-models.pdf sha256 481f1599468f95a07d05e97fafe55bbe786dc1624c6f881bcb4c7d14c933d083; page 1 render assets/source_surfaces/i0288/paper-0288-009-the-llama-3-herd-of-models-p1.png sha256 1595a587e394bde58b89d01383663d1afc8383db1db3426f0a2b0b191194665d; fallback/card assets/papers/i0288_cards/paper-0288-009-the-llama-3-herd-of-models.svg sha256 7f38620208a1bc8f7b5de4f789f56fca4bd5640b633806257b2e8aa82eba31a9.	private_use_source_surface_pending_final_rights_review	I-0291 page-render, source-document, card, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not prove open-source legal status, adoption, or benchmark supremacy.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F10.01
I-0302	FI-0026	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	F10.02	147	A-0286-004	benchmark_model_card_surface_model_card	Figure 10.02 - Llama 2 Hugging Face Model Card	assets/model_cards/i0286_screenshots/mcs-0286-004-hugging-face-llama-2-model-card.png	8493dbb0cceb855eb513d714d7d61256b7c17a7035feeba201a8a2b55f4d7b53	Private-use model-card/docs/repo/leaderboard surface MCS-0286-004 from https://huggingface.co/meta-llama/Llama-2-7b-hf; HTML assets/source_media/i0286_model_card_html/mcs-0286-004-hugging-face-llama-2-model-card.html sha256 f3969f52763e33afbb5aea6f2f4bb9bdb9c7e1ed3a5385a9fe21fa9797935efd; screenshot assets/model_cards/i0286_screenshots/mcs-0286-004-hugging-face-llama-2-model-card.png sha256 8493dbb0cceb855eb513d714d7d61256b7c17a7035feeba201a8a2b55f4d7b53; fallback/card assets/model_cards/i0286_cards/mcs-0286-004-hugging-face-llama-2-model-card.svg sha256 6ed833e49dd2cc2fd919bc7c841a488e42cbb501369b9cbd9ca70b68e117bca0.	private_use_benchmark_model_card_pending_final_rights_review	I-0292 screenshot/table, HTML/source IDs, card fallback, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not prove open-source legal status, adoption, or benchmark rank.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F10.02
I-0302	FI-0027	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	F10.03	150	A-0286-011	benchmark_model_card_surface_model_card	Figure 10.03 - Llama 3 Hugging Face Model Card	assets/model_cards/i0286_screenshots/mcs-0286-011-hugging-face-llama-3-model-card.png	10ea67858d1aba713bf7ee3cc371e0a5c128dc2c030fbb438b2d76f5f3972404	Private-use model-card/docs/repo/leaderboard surface MCS-0286-011 from https://huggingface.co/meta-llama/Meta-Llama-3-8B; HTML assets/source_media/i0286_model_card_html/mcs-0286-011-hugging-face-llama-3-model-card.html sha256 69cd1cd158db5fa42143db2bd409f8921aa65576ce971fabec3a769118203a1c; screenshot assets/model_cards/i0286_screenshots/mcs-0286-011-hugging-face-llama-3-model-card.png sha256 10ea67858d1aba713bf7ee3cc371e0a5c128dc2c030fbb438b2d76f5f3972404; fallback/card assets/model_cards/i0286_cards/mcs-0286-011-hugging-face-llama-3-model-card.svg sha256 3de1a667deec9a7da227b0ecd496f2b62edb0098ed08de7bb3e0ea49fb52892c.	private_use_benchmark_model_card_pending_final_rights_review	I-0292 screenshot/table, HTML/source IDs, card fallback, hash, callout, and manifest proof only; I-0293 render QA and final rights/source-note review still required.	Does not prove open-source legal status, adoption, safety, or benchmark rank.	final_private_pdf_main_expanded_300_layer	figure_or_section_id	F10.03
