pass_id	pdf_page	mapped_visual_rows	visual_families	visual_categories	page_text_sample
I-0310	142	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	The Product Was A Training Method With A Face F07.02 / A-0284-052 - Figure 07.02 - Sam Altman Public Profile Texture Public-profile image of Sam Altman gives the ChatGPT chapter a human organizational anchor; it is not evidence for launch causality, adoption, 
I-0310	146	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; source_excerpt_card_svg=1	From Answer Box To Platform F07.03 / A-0260-001 - Paid access became a product surface Figure 7.x - ChatGPT Plus conversion. source-bound screenshot slot for subscription/reliability productization. Source: SNAP-20260525-013; provenance details are recorded in
I-0310	149	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; source_excerpt_card_svg=1	The Cloud Behind The Conversation F07.04 / A-0260-002 - Enterprise ChatGPT added workplace controls Figure 7/8.x - ChatGPT Enterprise launch surface. source-bound screenshot slot for workplace administration framing. Source: SNAP-20260525-026; provenance detai
I-0310	153	3	chart_data_svg_atlas=2; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; source_excerpt_card_svg=2	legally, ethically, and operationally. The chapter does not need to become a regulation chapter to name the product fact: when software speaks in complete sentences, people look for someone to hold responsible for the sentence. Why Everyone Had To Answer F07.0
I-0310	157	1	expanded_300_exhibit=1	paper_report_excerpt=1	Chapter 07 Visual Portfolio These visuals are placed with Chapter 07, ChatGPT: The Interface Event, so the reader sees the evidence and memory aids beside the argument they serve. VX085 / A-0259-001 - OpenAI ChatGPT Plus launch text render SSF-0259-001 - OpenA
I-0310	158	1	expanded_300_exhibit=1	paper_report_excerpt=1	VX086 / A-0259-002 - OpenAI ChatGPT Enterprise launch text render SSF-0259-002 - OpenAI ChatGPT Enterprise launch text render. Categories: paper_report_excerpt. Source/provenance: https://openai.com/index/introducing-chatgpt-enterprise/ Source note: source sur
I-0310	159	1	expanded_300_exhibit=1	paper_report_excerpt=1	VX087 / A-0259-003 - OpenAI ChatGPT release notes source surface SSF-0259-003 - OpenAI ChatGPT release notes source surface. Categories: paper_report_excerpt. Source/provenance: https://help.openai.com/en/articles/6825453-chatgpt-release-notes Source note: sou
I-0310	160	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX175 / A-0284-054 - Andrej Karpathy acquired person_image for private-edition visual layer: Andrej Karpathy. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Andrej_Karpathy Source note: source rights noted; Public-profile image only
I-0310	161	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX177 / A-0284-056 - Greg Brockman acquired person_image for private-edition visual layer: Greg Brockman. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Greg_Brockman Source note: source rights noted; Public-profile page screenshot 
I-0310	162	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX191 / A-0287-056 - Mira Murati completion-layer person_image for private-edition visual acquisition: Mira Murati. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Mira_Murati Source note: source rights noted; Public-profile page scr
I-0310	163	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX192 / A-0287-057 - Wojciech Zaremba completion-layer person_image for private-edition visual acquisition: Wojciech Zaremba. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Wojciech_Zaremba Source note: source rights noted; Public-p
I-0310	166	2	chart_data_svg_atlas=2	svg_diagram=2	PORTFOLIO PLATE - VISUAL BOARD Assistant Product Grammar Instruction tuning, product surfaces, enterprise blockers, and behavior boundaries. Caption: Assistant Product Grammar. Instruction tuning, product surfaces, enterprise blockers, and behavior boundaries.
I-0310	169	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Chapter 08: Microsoft, OpenAI, and the Cloud Bargain 8. Microsoft, OpenAI, and the Cloud Bargain The interface event created a capacity problem, and capacity turned Microsoft and OpenAI's bargain into strategy, distribution, and governance. The Backend Becomes
I-0310	173	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	Licensing The Primitive F08.02 / A-0287-017 - Figure 08.02 - Microsoft Copilot Product Surface Microsoft Copilot public-web screenshot gives the Microsoft/OpenAI flywheel a concrete product surface; it does not prove enterprise adoption, productivity lift, rev
I-0310	176	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	The door was the point. The 2023 Extension F08.03 / A-0058 - Figure 8.3 - Inference Cost Stack: What The Chat Box Hides. Non-quantified stack of latency, governance, serving software, accelerators, and physical datacenter layers. Figure 8.3 - Inference Cost St
I-0310	179	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	would draft, summarize, transform, search across context, and suggest next steps in the places where work already accumulated. That is why the chapter's title is the cloud bargain, not the cloud backend. The backend became a route into the foreground. Search, 
I-0310	184	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Chapter 08 Visual Portfolio These visuals are placed with Chapter 08, Microsoft, OpenAI, and the Cloud Bargain, so the reader sees the evidence and memory aids beside the argument they serve. VX024 / A-0057 - Chapter 8 cloud-to-product flywheel Figure 8.2 - Cl
I-0310	185	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	VX072 / A-0284-023 - IBM watsonx acquired source_image for private-edition visual layer: IBM watsonx. Categories: real_photo_screenshot_source_image. Source/provenance: https://www.ibm.com/watsonx Source note: source rights noted; Visual texture only; does not
I-0310	186	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX200 / A-0287-065 - Sebastian Bubeck completion-layer person_image for private-edition visual acquisition: Sebastian Bubeck. Categories: person_image. Source/provenance: https://www.microsoft.com/en- us/research/people/sebubeck/ Source note: source rights not
I-0310	190	2	expanded_300_exhibit=1; source_surface_gallery=1	paper_report_excerpt=2	The Company That Had Already Built the Future F09.01 / A-0288-004 - Figure 09.01 - PaLM Page As Google's Scale Surface PaLM page-one render gives the Google/DeepMind chapter a pre-Gemini scale artifact; it does not prove current Gemini quality, deployment, Sea
I-0310	193	1	expanded_300_exhibit=1	model_card_hf_benchmark_repo_docs_surface=1	Bard As Defensive Interface F09.02 / A-0289-004 - Figure 09.02 - Gemini API Model Docs Surface Google Gemini API model-docs screenshot makes Gemini's developer model surface visible; mutable docs do not prove cutoff-day availability, benchmark rank, Search imp
I-0310	196	2	expanded_300_exhibit=1; source_surface_gallery=1	pdf_deck_report_page=1; pdf_technical_report_page=1	Long Context As Product Grammar F09.03 / A-0288-016 - Figure 09.03 - Gemini 1.5 Report Page As Long- Context Surface Gemini 1.5 technical-report page-one render anchors long-context product grammar in a source surface; it does not prove current product state, 
I-0310	199	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	benchmark_model_landscape_table=1; benchmark_table=1; curated_chart_data_svg_visualization=1	The TPU difference belongs here as a strategic fact, not a victory lap. It explains why Google could remain technically serious even when its consumer narrative wobbled. It also prepares Chapter 14, where the GPU/CUDA moat shows why most of the industry did no
I-0310	202	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	Developers, Cloud, And The Second Audience F09.05 / A-0287-015 - Figure 09.05 - Google AI Studio Product Surface Google AI Studio public-web screenshot anchors Gemini as a developer- facing product surface; it does not prove benchmark rank, adoption, Search ec
I-0310	206	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Chapter 09 Visual Portfolio These visuals are placed with Chapter 09, Google and DeepMind Wake the Sleeping Giant, so the reader sees the evidence and memory aids beside the argument they serve. VX034 / A-0086 - Chapter 9 research-to-product conversion timelin
I-0310	207	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	VX035 / A-0087 - Chapter 9 TPU/Search/Workspace surface map Figure 9.2 - Google's Gemini Question Was Surface Conversion. Research, TPUs, Search, Workspace, Android, developer APIs, and cloud are mapped as product surfaces. Categories: curated_chart_data_svg_v
I-0310	208	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	VX036 / A-0088 - Chapter 9 Gemini long-context lane Figure 9.3 - Long Context Became A Product Grammar. Gemini 1.5 technical, consumer, and developer/cloud access-path lanes are separated. Categories: curated_chart_data_svg_visualization. Source/provenance: so
I-0310	209	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	VX037 / A-0089 - Chapter 9 benchmark/adoption blocker grid Figure 9.4 - The Tempting Gemini Claims Need Different Evidence. Supported Google/Gemini claims are separated from benchmark, adoption, revenue, Search economics, and TPU outcome blockers. Categories: 
I-0310	210	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	VX049 / A-0170 - Google data center in The Dalles Figure candidate - Google data center in The Dalles. Local source-media capture for private production; final caption requires rights, attribution, and claim review. Categories: real_photo_screenshot_source_ima
I-0310	211	2	expanded_300_exhibit=2	real_photo_screenshot_source_image=2	VX062 / A-0284-012 - Google Gemini acquired source_image for private-edition visual layer: Google Gemini. Categories: real_photo_screenshot_source_image. Source/provenance: https://gemini.google.com/ Source note: source rights noted; Visual texture only; does 
I-0310	212	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	VX084 / A-0287-016 - Vertex AI completion-layer source_image for private-edition visual acquisition: Vertex AI. Categories: real_photo_screenshot_source_image. Source/provenance: https://cloud.google.com/vertex-ai Source note: source rights noted; Screenshot s
I-0310	213	1	expanded_300_exhibit=1	paper_report_excerpt=1	VX093 / A-0259-009 - Google Gemini launch blog source surface SSF-0259-009 - Google Gemini launch blog source surface. Categories: paper_report_excerpt. Source/provenance: https://blog.google/products/gemini/google-gemini-ai/ Source note: source surface; right
I-0310	214	1	expanded_300_exhibit=1	paper_report_excerpt=1	VX094 / A-0259-010 - Bard becomes Gemini source surface SSF-0259-010 - Bard becomes Gemini source surface. Categories: paper_report_excerpt. Source/provenance: https://blog.google/products/gemini/bard-gemini-advanced-app/ Source note: source surface; rights an
I-0310	215	1	expanded_300_exhibit=1	paper_report_excerpt=1	VX095 / A-0259-011 - Gemini 1.5 arXiv source surface SSF-0259-011 - Gemini 1.5 arXiv source surface. Categories: paper_report_excerpt. Source/provenance: https://arxiv.org/abs/2403.05530 Source note: source surface; rights and attribution notes are recorded in
I-0310	216	2	expanded_300_exhibit=1; logo_people_strip=1	logo=2	VX129 / A-0284-030 - Google acquired logo for private-edition visual layer: Google. Categories: logo. Source/provenance: https://simpleicons.org/ Source note: source rights noted; Logo identifies an actor only; it does not imply endorsement, partnership, marke
I-0310	217	2	expanded_300_exhibit=1; logo_people_strip=1	logo=2	VX130 / A-0284-031 - Google Cloud acquired logo for private-edition visual layer: Google Cloud. Categories: logo. Source/provenance: https://simpleicons.org/ Source note: source rights noted; Logo identifies an actor only; it does not imply endorsement, partne
I-0310	218	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX180 / A-0284-060 - Demis Hassabis acquired person_image for private-edition visual layer: Demis Hassabis. Categories: person_image. Source/provenance: https://deepmind.google/about/leadership/demis-hassabis/ Source note: source rights noted; Public-profile p
I-0310	219	2	expanded_300_exhibit=1; logo_people_strip=1	person_image=2	VX181 / A-0284-061 - Sundar Pichai acquired person_image for private-edition visual layer: Sundar Pichai. Categories: person_image. Source/provenance: https://abc.xyz/investor/sundar-pichai/ Source note: source rights noted; Public-profile page screenshot only
I-0310	221	2	expanded_300_exhibit=1; source_surface_gallery=1	paper_report_excerpt=2	The Downloadable Object F10.01 / A-0288-009 - Figure 10.01 - Llama 3 Herd Paper Page The Llama 3 Herd of Models page-one render makes Meta's open-weight family visible as a report artifact; it does not prove open-source legal status, adoption, benchmark suprem
I-0310	224	1	expanded_300_exhibit=1	model_card_hf_benchmark_repo_docs_surface=1	For a book about computing, this matters because software history is full of moments when access to the object changed the field. The personal computer, Unix tools, Linux, the web browser, open-source libraries, and cloud APIs all mattered partly because peopl
I-0310	227	1	expanded_300_exhibit=1	model_card_hf_benchmark_repo_docs_surface=1	products. They made Meta's model family a substrate for other people's businesses and research. Even when Meta did not directly monetize every use, it gained influence over the default architecture of the ecosystem. Llama 3 Becomes A Herd F10.03 / A-0286-011 -
I-0310	230	1	expanded_300_exhibit=1	real_photo_screenshot_source_image=1	The Economics of Giving Away The Machine F10.04 / A-0287-019 - Figure 10.04 - Meta Llama Documentation Surface Meta Llama Docs public-web screenshot anchors Llama as a documented open-weight release surface; it does not prove openness beyond the cited license,
I-0310	233	2	expanded_300_exhibit=1; source_surface_gallery=1	paper_report_excerpt=2	The Open-Weight Caveats F10.05 / A-0285-008 - Figure 10.05 - Llama 2 Report Page As Open- Weight Infrastructure Llama 2 report page-one render anchors open-weight infrastructure in a source surface; it does not prove open-source legal status, adoption, superio
I-0310	237	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	Chapter 10 Visual Portfolio These visuals are placed with Chapter 10, Meta, Llama, and the Open- Weight Shock, so the reader sees the evidence and memory aids beside the argument they serve. VX018 / A-0030 - Llama family open-weight map Figure 10.1 - Llama Fam
I-0310	238	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	VX042 / A-0112 - Chapter 10 open-weight control stack Figure 10.2 - Open-Weight Control Stack. Weights, license, data transparency, hosting, safety, ecosystem work, and benchmark permission are separated. Categories: curated_chart_data_svg_visualization. Sourc
I-0310	239	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	VX043 / A-0113 - Chapter 10 adopter burden transfer diagram Figure 10.3 - What Moves To The Adopter. Open-weight deployments shift hosting, monitoring, updates, evals, security, governance, and incident response outward. Categories: curated_chart_data_svg_visu
I-0310	240	2	chart_data_svg_atlas=1; expanded_300_exhibit=1	curated_chart_data_svg_visualization=1; svg_diagram=1	VX044 / A-0114 - Chapter 10 Llama screenshot-priority board Figure 10.4 - Llama Screenshot Priorities. Existing Llama screenshot slots are prioritized as developer and release surfaces, not market evidence. Categories: curated_chart_data_svg_visualization. Sou
I-0310	241	2	expanded_300_exhibit=2	real_photo_screenshot_source_image=2	VX060 / A-0284-010 - Meta Llama acquired source_image for private-edition visual layer: Meta Llama. Categories: real_photo_screenshot_source_image. Source/provenance: https://www.llama.com/ Source note: source rights noted; Visual texture only; does not prove 
I-0310	242	2	expanded_300_exhibit=2	real_photo_screenshot_source_image=2	VX065 / A-0284-016 - Hugging Face acquired source_image for private-edition visual layer: Hugging Face. Categories: real_photo_screenshot_source_image. Source/provenance: https://huggingface.co/ Source note: source rights noted; Visual texture only; does not p
