"figure_id"	"chapter"	"asset_id"	"asset_type"	"figure_title"	"current_rights_status"	"triage_class"	"severity"	"publication_decision"	"replacement_candidate"	"rights_basis"	"blocked_claim_firewall"	"required_next_gate"
"F07.02"	"CH07"	"A-0036"	"screenshot_slot"	"ChatGPT launch surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F07.03"	"CH07"	"A-0037"	"screenshot_slot"	"ChatGPT Plus conversion"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F07.04"	"CH07"	"A-0038"	"screenshot_slot"	"ChatGPT Enterprise launch surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F07.05"	"CH07"	"A-0039"	"screenshot_slot"	"ChatGPT plugins surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F08.01"	"CH08"	"A-0056"	"svg_diagram"	"Microsoft/OpenAI: The Cloud Bargain Timeline"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Check if chapter can carry four diagrams."
"F08.02"	"CH08"	"A-0057"	"svg_diagram"	"Cloud-To-Product Flywheel"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Prune if it duplicates A-0056 in layout."
"F08.03"	"CH08"	"A-0058"	"svg_diagram"	"Inference Cost Stack: What The Chat Box Hides"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep for economics handoff."
"F08.04"	"CH08"	"A-0059"	"svg_diagram"	"Enterprise Claim Blocker Map"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"May become appendix/sidebar if chapter feels over-diagrammed."
"F09.01"	"CH09"	"A-0086"	"svg_diagram"	"Research Became Product In Stages"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Keep benchmark/adoption blockers visible."
"F09.02"	"CH09"	"A-0087"	"svg_diagram"	"Google's Gemini Question Was Surface Conversion"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Check overlap with A-0086."
"F09.03"	"CH09"	"A-0088"	"svg_diagram"	"Long Context Became A Product Grammar"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Verify exact source rows before final caption."
"F09.04"	"CH09"	"A-0089"	"svg_diagram"	"The Tempting Gemini Claims Need Different Evidence"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Use if prose makes tempting claims nearby."
"F09.05"	"CH09"	"A-0129"	"screenshot_slot"	"Gemini/Bard Product Surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F10.01"	"CH10"	"A-0030"	"svg_diagram"	"Llama Family Open-Weight Map"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Check current license-state caveats."
"F10.02"	"CH10"	"A-0112"	"svg_diagram"	"Open-Weight Control Stack"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Prioritize over duplicate Llama screenshots."
"F10.03"	"CH10"	"A-0113"	"svg_diagram"	"What Moves To The Adopter"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Use with Chapter 10 prose, not as generic open-source claim."
"F10.04"	"CH10"	"A-0044"	"screenshot_slot"	"LLaMA launch surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F10.05"	"CH10"	"A-0047"	"screenshot_slot"	"Llama GitHub surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F11.01"	"CH11"	"A-0031"	"svg_diagram"	"China Open-Model Source Map"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Update if later Qwen/DeepSeek sources mature."
"F11.02"	"CH11"	"A-0118"	"svg_diagram"	"Supported Lanes And Visible Gaps"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep as chapter control surface."
"F11.03"	"CH11"	"A-0048"	"source_screenshot_slot"	"Qwen2 source surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"paraphrase_first_source_card_or_original_schematic_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F11.04"	"CH11"	"A-0049"	"source_screenshot_slot"	"Qwen3 source surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"paraphrase_first_source_card_or_original_schematic_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F11.05"	"CH11"	"A-0050"	"source_screenshot_slot"	"DeepSeek-R1 source surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"paraphrase_first_source_card_or_original_schematic_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F12.01"	"CH12"	"A-0094"	"svg_diagram"	"Constitutional AI As Behavior Grammar"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Confirm Chapter 12 title/placement."
"F12.02"	"CH12"	"A-0095"	"svg_diagram"	"Claude Becomes A Product Family"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Check overlap with A-0130."
"F12.03"	"CH12"	"A-0096"	"svg_diagram"	"From Assistant To Action Surface"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Pair with source screenshot only once."
"F12.04"	"CH12"	"A-0097"	"svg_diagram"	"The Tempting Claude Claims Are Not The Sourced Ones"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Use near prose with safety temptation."
"F12.05"	"CH12"	"A-0119"	"screenshot_slot"	"Computer Use Source Surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F12.06"	"CH12"	"A-0130"	"screenshot_slot"	"Claude Product Surface"	"private_capture_needed"	"capture_or_replace"	"high"	"Capture/hash with viewport and rights/private-use note, or replace with source card/redraw."	"source_card_or_original_product-surface_timeline_redraw"	"Private-use screenshot/source-surface slot; publication readiness depends on capture, quote/crop, and rights review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F13.01"	"CH13"	"A-0014"	"svg_diagram"	"How Arena Rows Become Rank Claims"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block live rank, broad best-model, task-superiority, safety, productivity, price-quality, and enterprise-usefulness inference."	"Keep before A-0013 in reading order."
"F13.02"	"CH13"	"A-0013"	"svg_chart"	"LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19."	"ready_svg"	"review"	"medium"	"Review before layout."	"short_caption_variant_or_source_note_sidecar"	"Rights basis not classified."	"Block live rank, broad best-model, task-superiority, safety, productivity, price-quality, and enterprise-usefulness inference."	"No live rank; snapshot caption required."
"F13.03"	"CH13"	"A-0019"	"svg_diagram"	"Price-Quality Exclusion Map"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep if economics chapter does not repeat it."
"F14.01"	"CH14"	"A-0071"	"svg_diagram"	"CUDA Stack: The Moat Under The Moat"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Do not broaden into all semiconductor history."
"F14.02"	"CH14"	"A-0072"	"svg_diagram"	"GPU Memory and Interconnect: The Traffic Pattern"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Verify legibility at book trim."
"F14.03"	"CH14"	"A-0073"	"svg_diagram"	"Training vs Inference: Two Capacity Problems"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep if not redundant with GTC slides."
"F14.04"	"CH14"	"A-0133"	"photo_candidate_slot"	"Lithography/ASML proxy physical texture."	"rights_review_needed"	"permission_or_replace"	"high"	"Verify original license/author/attribution and story purpose, request permission if needed, or replace with schematic/source card."	"original_schematic_or_source_card"	"Real-world photo candidate; candidate text file is not publication clearance."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F14.05"	"CH14"	"A-0134"	"photo_candidate_slot"	"Cleanroom manufacturing environment."	"rights_review_needed"	"permission_or_replace"	"high"	"Verify original license/author/attribution and story purpose, request permission if needed, or replace with schematic/source card."	"original_schematic_or_source_card"	"Real-world photo candidate; candidate text file is not publication clearance."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F14.06"	"CH14"	"A-0136"	"photo_candidate_slot"	"Server racks as compute infrastructure."	"rights_review_needed"	"permission_or_replace"	"high"	"Verify original license/author/attribution and story purpose, request permission if needed, or replace with schematic/source card."	"original_schematic_or_source_card"	"Real-world photo candidate; candidate text file is not publication clearance."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F15.01"	"CH15"	"A-0012"	"svg_diagram"	"AI Factory Stack"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block roadmap, performance, partner, availability, deployment, revenue, and productivity inference unless independently sourced."	"Anchor before GTC source surfaces."
"F15.02"	"CH15"	"A-0024"	"svg_claim_card"	"GTC Page 29: AI Factory Thesis"	"ready_svg"	"permission_review"	"high"	"Use only if source-actor framing is essential; otherwise redraw as schematic or cut."	"original_schematic_redraw_with_source-actor_caption_or_cut_to_reserve"	"NVIDIA/company surface requires source-actor treatment and fair-use/permission review."	"Block roadmap, performance, partner, availability, deployment, revenue, and productivity inference unless independently sourced."	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.03"	"CH15"	"A-0027"	"svg_claim_card"	"GTC Page 49: System Comparison"	"ready_svg"	"permission_review"	"high"	"Use only if source-actor framing is essential; otherwise redraw as schematic or cut."	"original_schematic_redraw_with_source-actor_caption_or_cut_to_reserve"	"NVIDIA/company surface requires source-actor treatment and fair-use/permission review."	"Block roadmap, performance, partner, availability, deployment, revenue, and productivity inference unless independently sourced."	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.04"	"CH15"	"A-0028"	"svg_claim_card"	"GTC Page 50: Roadmap Cadence"	"ready_svg"	"permission_review"	"high"	"Use only if source-actor framing is essential; otherwise redraw as schematic or cut."	"original_schematic_redraw_with_source-actor_caption_or_cut_to_reserve"	"NVIDIA/company surface requires source-actor treatment and fair-use/permission review."	"Block roadmap, performance, partner, availability, deployment, revenue, and productivity inference unless independently sourced."	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.05"	"CH15"	"A-0029"	"svg_claim_card"	"GTC Page 51: DSX Platform Frame"	"ready_svg"	"permission_review"	"high"	"Use only if source-actor framing is essential; otherwise redraw as schematic or cut."	"original_schematic_redraw_with_source-actor_caption_or_cut_to_reserve"	"NVIDIA/company surface requires source-actor treatment and fair-use/permission review."	"Block roadmap, performance, partner, availability, deployment, revenue, and productivity inference unless independently sourced."	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.06"	"CH15"	"A-0004"	"extracted_slide_render"	"NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue."	"local_ignored_hash_available"	"permission_review"	"high"	"Use only if source-actor framing is essential; otherwise redraw as schematic or cut."	"original_schematic_redraw_with_source-actor_caption_or_cut_to_reserve"	"NVIDIA/company surface requires source-actor treatment and fair-use/permission review."	"Block roadmap, performance, partner, availability, deployment, revenue, and productivity inference unless independently sourced."	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.07"	"CH15"	"A-0106"	"source_screenshot_slot"	"NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric."	"local_ignored_hash_available"	"permission_review"	"high"	"Use only if source-actor framing is essential; otherwise redraw as schematic or cut."	"original_schematic_redraw_with_source-actor_caption_or_cut_to_reserve"	"NVIDIA/company surface requires source-actor treatment and fair-use/permission review."	"Block adoption, revenue, productivity, market share, safety success, autonomy, current-UI, and customer-outcome inference."	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F16.01"	"CH16"	"A-0015"	"svg_diagram"	"Power To Token Flow"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Keep as physical-internet spine."
"F16.02"	"CH16"	"A-0020"	"svg_diagram"	"Data-Centre Load Scenarios"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Ensure forecasts stay labeled."
"F16.03"	"CH16"	"A-0021"	"svg_diagram"	"The Interconnection Queue"	"ready_svg"	"publish_after_render"	"low"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"not_needed_if_render_and_caption_gates_pass"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Pair with physical grid photo if possible."
"F16.04"	"CH16"	"A-0022"	"svg_diagram"	"Cooling And Rack Density Are Constraints, Not Plumbing"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Consider replacing with photo if layout is diagram-heavy."
"F16.05"	"CH16"	"A-0023"	"svg_diagram"	"Clean Procurement Is Not Physical Supply"	"ready_svg"	"publish_after_render"	"medium"	"Publishable as original lightweight SVG after caption, source-note, style, and page-render gates pass."	"short_caption_variant_or_source_note_sidecar"	"Original Codex-generated SVG/data visualization; no external raster asset embedded."	"Keep source scope, caption caveat, and blocked-claim note visible at placement."	"Keep near PPA/clean-power prose."
"F16.06"	"CH16"	"A-0137"	"photo_candidate_slot"	"Data-center hall physical texture."	"rights_review_needed"	"permission_or_replace"	"high"	"Verify original license/author/attribution and story purpose, request permission if needed, or replace with schematic/source card."	"AI_factory_or_power_flow_schematic_with_optional_public-domain_photo_after_license_proof"	"Real-world photo candidate; candidate text file is not publication clearance."	"Block capacity, workload, customer/site identity, delivered power, emissions, yield, allocation, and energy-per-token inference."	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
