pass_id	figure_id	chapter	asset_id	asset_type	figure_title	rights_status	rights_stage	publication_decision	replacement_path	required_next_action	source_ids	manifest_file_path	manifest_status	real_world_candidate	claim_boundary
I-0250	F07.03	CH07	A-0037	screenshot_slot	ChatGPT Plus conversion	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0078	assets/private_use_screenshots/i0112/A-0037_chatgpt_plus_page.png	acquisition_ready	no	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F07.04	CH07	A-0038	screenshot_slot	ChatGPT Enterprise launch surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0079	assets/private_use_screenshots/i0112/A-0038_chatgpt_enterprise_page.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F07.05	CH07	A-0039	screenshot_slot	ChatGPT plugins surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0044	assets/private_use_screenshots/i0112/A-0039_chatgpt_plugins_page.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F08.01	CH08	A-0056	svg_diagram	Microsoft/OpenAI: The Cloud Bargain Timeline	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133	assets/visual_system/chapter8-microsoft-openai-partnership-chronology.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F08.02	CH08	A-0057	svg_diagram	Cloud-To-Product Flywheel	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133	assets/visual_system/chapter8-cloud-to-product-flywheel.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F08.03	CH08	A-0058	svg_diagram	Inference Cost Stack: What The Chat Box Hides	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0041;S-0126;S-0129;S-0131;S-0133	assets/visual_system/chapter8-inference-cost-stack.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F08.04	CH08	A-0059	svg_diagram	Enterprise Claim Blocker Map	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0129;S-0131;S-0132;S-0133	assets/visual_system/chapter8-enterprise-claim-blocker-map.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F09.01	CH09	A-0086	svg_diagram	Research Became Product In Stages	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0002;S-0016;S-0108;S-0115;S-0116;S-0117;S-0118;S-0119;S-0121;S-0122;S-0123;S-0124	assets/visual_system/chapter9-research-to-product-conversion-timeline.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F09.02	CH09	A-0087	svg_diagram	Google's Gemini Question Was Surface Conversion	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0115;S-0118;S-0121;S-0122;S-0123;S-0124	assets/visual_system/chapter9-tpu-search-workspace-surface-map.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F09.03	CH09	A-0088	svg_diagram	Long Context Became A Product Grammar	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0117;S-0123;S-0124	assets/visual_system/chapter9-gemini-long-context-lane.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F09.04	CH09	A-0089	svg_diagram	The Tempting Gemini Claims Need Different Evidence	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0061;S-0119;S-0120	assets/visual_system/chapter9-benchmark-adoption-blocker-grid.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F09.05	CH09	A-0129	screenshot_slot	Gemini/Bard Product Surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0119;S-0121;S-0123;S-0124	assets/private_use_screenshots/i0180/A-0129_gemini_bard_product_surface.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F10.01	CH10	A-0030	svg_diagram	Llama Family Open-Weight Map	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0008;S-0023;S-0024;S-0025;S-0111;S-0113	assets/visual_system/llama-family-open-weight-map.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F10.02	CH10	A-0112	svg_diagram	Open-Weight Control Stack	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0023;S-0024;S-0025;S-0111;S-0112;S-0113;S-0114	assets/visual_system/chapter10-open-weight-control-stack.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F10.03	CH10	A-0113	svg_diagram	What Moves To The Adopter	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0023;S-0024;S-0114	assets/visual_system/chapter10-adopter-burden-transfer.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F10.04	CH10	A-0044	screenshot_slot	LLaMA launch surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0111	assets/private_use_screenshots/i0112/A-0044_llama_launch_page.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F10.05	CH10	A-0047	screenshot_slot	Llama GitHub surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0114	assets/private_use_screenshots/i0112/A-0047_llama_github_repo.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F11.01	CH11	A-0031	svg_diagram	China Open-Model Source Map	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0026;S-0027;S-0028;S-0029;S-0030;S-0031	assets/visual_system/china-open-model-source-map.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F11.02	CH11	A-0118	svg_diagram	Supported Lanes And Visible Gaps	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0026;S-0027;S-0028;S-0029;S-0030;S-0031	assets/visual_system/chapter11-supported-vs-gap-source-board.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F11.03	CH11	A-0048	source_screenshot_slot	Qwen2 source surface	private_capture_needed	redraw_or_source_card_before_publication	redraw	Replace source-page screenshot with a house-style source card or paper/report first-page excerpt card after page-anchor proof.	Capture or verify source page locally, extract page/title metadata, then build an original source-card/redraw with quote limits and attribution.	S-0026	assets/private_use_screenshots/i0112/A-0048_qwen2_arxiv_abs.png	acquisition_ready	yes	Source-page visuals may prove provenance and chronology only; they do not authorize benchmark, superiority, adoption, safety, or company-result claims.
I-0250	F11.04	CH11	A-0049	source_screenshot_slot	Qwen3 source surface	private_capture_needed	redraw_or_source_card_before_publication	redraw	Replace source-page screenshot with a house-style source card or paper/report first-page excerpt card after page-anchor proof.	Capture or verify source page locally, extract page/title metadata, then build an original source-card/redraw with quote limits and attribution.	S-0027	assets/private_use_screenshots/i0112/A-0049_qwen3_arxiv_abs.png	acquisition_ready	yes	Source-page visuals may prove provenance and chronology only; they do not authorize benchmark, superiority, adoption, safety, or company-result claims.
I-0250	F11.05	CH11	A-0050	source_screenshot_slot	DeepSeek-R1 source surface	private_capture_needed	redraw_or_source_card_before_publication	redraw	Replace source-page screenshot with a house-style source card or paper/report first-page excerpt card after page-anchor proof.	Capture or verify source page locally, extract page/title metadata, then build an original source-card/redraw with quote limits and attribution.	S-0029	assets/private_use_screenshots/i0112/A-0050_deepseek_r1_arxiv_abs.png	acquisition_ready	yes	Source-page visuals may prove provenance and chronology only; they do not authorize benchmark, superiority, adoption, safety, or company-result claims.
I-0250	F12.01	CH12	A-0094	svg_diagram	Constitutional AI As Behavior Grammar	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0019	assets/visual_system/chapter12-constitutional-ai-behavior-loop.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F12.02	CH12	A-0095	svg_diagram	Claude Becomes A Product Family	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0007;S-0020;S-0021;S-0048;S-0109	assets/visual_system/chapter12-claude-model-family-timeline.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F12.03	CH12	A-0096	svg_diagram	From Assistant To Action Surface	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0007;S-0022;S-0049;S-0050;S-0051;S-0055;S-0109	assets/visual_system/chapter12-computer-use-mcp-code-bridge.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F12.04	CH12	A-0097	svg_diagram	The Tempting Claude Claims Are Not The Sourced Ones	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0007;S-0035;S-0037;S-0060;S-0110	assets/visual_system/chapter12-safety-productivity-blocker-grid.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F12.05	CH12	A-0119	screenshot_slot	Computer Use Source Surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0109	assets/private_use_screenshots/i0148/A-0119_claude_computer_use_announcement.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F12.06	CH12	A-0130	screenshot_slot	Claude Product Surface	private_capture_needed	screenshot_capture_and_use_review_required	permission-needed	Capture official source surface with date/provenance, then choose fair-use/local-only/permission path; if unresolved, replace with a self-made facsimile or source-card redraw.	Capture viewport, URL, access date, account/private-data state, crop, hash, rights note, attribution, and blocker language before publication layout.	S-0007;S-0245	assets/private_use_screenshots/i0180/A-0130_claude_product_surface.png	acquisition_ready	yes	Product screenshots may show interface/source texture only; they do not prove current UI, endorsement, adoption, revenue, productivity, safety, or market impact.
I-0250	F13.01	CH13	A-0014	svg_diagram	How Arena Rows Become Rank Claims	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0036;S-0056;S-0057;S-0080	assets/visual_system/leaderboard-methodology-flow.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F13.02	CH13	A-0013	svg_chart	LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19.	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0080	assets/visual_system/lmarena-may19-text-style-control-top12.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F13.03	CH13	A-0019	svg_diagram	Price-Quality Exclusion Map	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	C-0046;data/price_quality_join_audit_i0036.tsv	assets/visual_system/price-quality-exclusion-map.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F14.01	CH14	A-0071	svg_diagram	CUDA Stack: The Moat Under The Moat	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0138;S-0141;S-0142	assets/visual_system/chapter14-cuda-stack.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F14.02	CH14	A-0072	svg_diagram	GPU Memory and Interconnect: The Traffic Pattern	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0039;S-0139;S-0140;S-0143	assets/visual_system/chapter14-gpu-memory-interconnect.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F14.03	CH14	A-0073	svg_diagram	Training vs Inference: Two Capacity Problems	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0139;S-0142;S-0143	assets/visual_system/chapter14-training-vs-inference-capacity.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F14.04	CH14	A-0133	photo_candidate_slot	Lithography/ASML proxy physical texture.	rights_review_needed	photo_rights_review_required	permission-needed	Use only if license/credit/permission is verified; otherwise replace with public-domain/Wikimedia/company-permitted image or an original infrastructure diagram.	Resolve creator, license, credit line, publication permission, and exact file hash before layout; cut or replace if any link is ambiguous.	S-0273;S-0274	assets/photo_candidates/i0181/A-0133_lithography_asml_proxy_candidate.txt	acquisition_ready	yes	Photos provide physical texture only; they do not prove AI workload, site capacity, fuel mix, exact GPU inventory, or deployment outcomes.
I-0250	F14.05	CH14	A-0134	photo_candidate_slot	Cleanroom manufacturing environment.	rights_review_needed	photo_rights_review_required	permission-needed	Use only if license/credit/permission is verified; otherwise replace with public-domain/Wikimedia/company-permitted image or an original infrastructure diagram.	Resolve creator, license, credit line, publication permission, and exact file hash before layout; cut or replace if any link is ambiguous.	S-0275	assets/photo_candidates/i0181/A-0134_fab_cleanroom_candidate.txt	acquisition_ready	yes	Photos provide physical texture only; they do not prove AI workload, site capacity, fuel mix, exact GPU inventory, or deployment outcomes.
I-0250	F14.06	CH14	A-0136	photo_candidate_slot	Server racks as compute infrastructure.	rights_review_needed	photo_rights_review_required	permission-needed	Use only if license/credit/permission is verified; otherwise replace with public-domain/Wikimedia/company-permitted image or an original infrastructure diagram.	Resolve creator, license, credit line, publication permission, and exact file hash before layout; cut or replace if any link is ambiguous.	S-0277	assets/photo_candidates/i0181/A-0136_gpu_server_rack_candidate.txt	acquisition_ready	yes	Photos provide physical texture only; they do not prove AI workload, site capacity, fuel mix, exact GPU inventory, or deployment outcomes.
I-0250	F15.01	CH15	A-0012	svg_diagram	AI Factory Stack	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	local:data/ai_factory_stack_i0027.tsv	assets/visual_system/ai-factory-stack.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F15.02	CH15	A-0024	svg_claim_card	GTC Page 29: AI Factory Thesis	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0001	assets/visual_system/gtc-page29-ai-factory-thesis-card.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F15.03	CH15	A-0027	svg_claim_card	GTC Page 49: System Comparison	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0001;S-0010	assets/visual_system/gtc-page49-system-comparison-card.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F15.04	CH15	A-0028	svg_claim_card	GTC Page 50: Roadmap Cadence	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0001;S-0065;S-0067	assets/visual_system/gtc-page50-roadmap-card.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F15.05	CH15	A-0029	svg_claim_card	GTC Page 51: DSX Platform Frame	ready_svg	publish_after_render_caption_source_note_qa	publish	Keep current original SVG/lightweight chart; no external raster rights path required.	Render-proof at final size, compress any long caption, keep source IDs and blocked-claim note adjacent.	S-0001;S-0066	assets/visual_system/gtc-page51-dsx-platform-card.svg	available	no	Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0250	F15.06	CH15	A-0004	extracted_slide_render	NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue.	local_ignored_hash_available	local_only_until_permission_or_fair_use_review	local-only	Prefer A-0024/A-0027/A-0028/A-0029 SVG claim-card family for publication; keep GTC slide raster local-only unless permission/fair-use review clears it.	Do not ship raster/page render yet; record page crop, attribution, legibility, and source-actor review before any publication use.	S-0001;local:GTC-2026-Keynote.pdf page 29	assets/gtc_2026/slides/page-029-ai-factories.png	available_local_ignored	yes	Raw source surfaces support source texture and attribution only; vendor stagecraft, roadmap, performance, and future-availability claims remain bounded.
