pass_id	inventory_id	visual_family	asset_id	title	old_pdf_page_i0300	pdf_page_i0302	mapping_method	mapping_evidence	status
I-0302	FI-0050	expanded_300_exhibit	A-0287-001	Figure 15.01 - NVIDIA DGX Cloud Product Surface		236	figure_or_section_id	F15.01	mapped
I-0302	FI-0051	expanded_300_exhibit	A-0284-051	Figure 15.02 - Jensen Huang Public Profile Texture		239	figure_or_section_id	F15.02	mapped
I-0302	FI-0052	expanded_300_exhibit	A-0285-019	Figure 15.03 - GTC 2026 Rack-Scale Comparison Page		242	figure_or_section_id	F15.03	mapped
I-0302	FI-0053	expanded_300_exhibit	A-0285-018	Figure 15.04 - GTC 2026 Hardware Roadmap Page		244	figure_or_section_id	F15.04	mapped
I-0302	FI-0054	expanded_300_exhibit	A-0029	Figure 15.x - GTC Page 51: DSX Platform Frame. Lightweight card labeling DSX as NVIDIA reference-design and AI factory platform framing.		247	figure_or_section_id	F15.05	mapped
I-0302	FI-0055	expanded_300_exhibit	A-0285-017	Figure 15.06 - GTC 2026 AI Factory Framing Page		249	figure_or_section_id	F15.06	mapped
I-0302	FI-0056	expanded_300_exhibit	A-0260-022	Inference compute is a roadmap argument	252	252	figure_or_section_id	F15.07	mapped
I-0302	FI-0057	expanded_300_exhibit	A-0015	Figure 16.1 - Power To Token Flow. Sourced Chapter 16 flow diagram tracing electricity demand, grid interconnection, facility cooling, accelerators, inference scheduling, and token output with caveat bands.		258	figure_or_section_id	F16.01	mapped
I-0302	FI-0058	expanded_300_exhibit	A-0020	Figure 16.2 - Data-Centre Load Scenarios. IEA, LBNL, and DOE rows show measured/current estimates separately from forecast and scenario ranges for global and U.S. data-centre electricity demand.		261	figure_or_section_id	F16.02	mapped
I-0302	FI-0059	expanded_300_exhibit	A-0021	Figure 16.3 - The Interconnection Queue. EPRI and DOE-SEAB evidence can show facility-scale requests and one-to-three-year grid lead-time pressure, but not a complete project-level delay database.		263	figure_or_section_id	F16.03	mapped
I-0302	FI-0060	expanded_300_exhibit	A-0288-014	Figure 16.04 - GTC 2026 Data-Center Power/Cooling Page		266	figure_or_section_id	F16.04	mapped
I-0302	FI-0061	expanded_300_exhibit	A-0023	Figure 16.5 - Clean Procurement Is Not Physical Supply. IEA supply-mix projection language and DOE-SEAB flexibility categories support a distinction between corporate contracts/certificates and the electricity physically serving a site at a given hour.		268	figure_or_section_id	F16.05	mapped
I-0302	FI-0062	expanded_300_exhibit	A-0287-009	Figure 16.06 - Equinix AI Data-Center Surface	271	271	figure_or_section_id	F16.06	mapped
I-0302	FI-0063	expanded_300_exhibit	A-0261-004	Interconnection Is A Queue, Not Atmosphere	273	273	figure_or_section_id	F16.07	mapped
I-0302	FI-0064	expanded_300_exhibit	A-0261-005	Fast Power Is A Constraint Stack	277	277	figure_or_section_id	F16.08	mapped
I-0302	FI-0065	expanded_300_exhibit	A-0261-006	Nuclear Texture Needs Evidence, Not Steam	279	279	figure_or_section_id	F16.09	mapped
I-0302	FI-0066	expanded_300_exhibit	A-0064	Figure 17.1 - Tokenization Ladder. Human text becomes subword pieces, token IDs, context budget, and next-token prediction target.		281	figure_or_section_id	F17.01	mapped
I-0302	FI-0067	expanded_300_exhibit	A-0065	Figure 17.2 - Web Corpus Filter Funnel. Common Crawl style data becomes a training-mixture candidate through filtering, deduplication, and documentation decisions.		284	figure_or_section_id	F17.02	mapped
I-0302	FI-0068	expanded_300_exhibit	A-0066	Figure 17.3 - Data Mixture Control Board. Schematic corpus lanes show data mixtures as recipes with open-corpus rows and closed-corpus blockers.		289	figure_or_section_id	F17.03	mapped
I-0302	FI-0069	expanded_300_exhibit	A-0067	Figure 17.4 - Memorization and Contamination Blocker Map. Duplication, benchmark contamination, memorization, extraction, and blocker families are separated.		292	figure_or_section_id	F17.04	mapped
I-0302	FI-0070	expanded_300_exhibit	A-0060	Figure 18.1 - RAG Evidence Conveyor. Retrieval, ranking, context packing, generation, citation, and audit gates with failure labels.		296	figure_or_section_id	F18.01	mapped
I-0302	FI-0071	expanded_300_exhibit	A-0061	Figure 18.2 - Function-Call Boundary. The model proposes typed calls; application validation, permissions, execution, and logging decide what happens.		298	figure_or_section_id	F18.02	mapped
I-0302	FI-0072	expanded_300_exhibit	A-0062	Figure 18.3 - Agent Loop as Harness. Plan, act, observe, gate, context, and review form a bounded system loop.		302	figure_or_section_id	F18.03	mapped
I-0302	FI-0073	expanded_300_exhibit	A-0063	Figure 18.4 - Prompt Injection Boundary. Untrusted retrieved content tries to cross from data into instruction before a tool action.		304	figure_or_section_id	F18.04	mapped
I-0302	FI-0074	expanded_300_exhibit	A-0260-003	Release notes are product archaeology	106	307	figure_or_section_id	F18.05	mapped
I-0302	FI-0075	expanded_300_exhibit	A-0288-006	Figure 19.01 - Code Llama Paper Page As Code-Model Lineage		312	figure_or_section_id	F19.01	mapped
I-0302	FI-0076	expanded_300_exhibit	A-0289-007	Figure 19.02 - LiveCodeBench Leaderboard Surface		315	figure_or_section_id	F19.02	mapped
I-0302	FI-0077	expanded_300_exhibit	A-0289-T003	Figure 19.03 - 2025 Model-Landscape Table	318	318	figure_or_section_id	F19.03	mapped
I-0302	FI-0078	expanded_300_exhibit	A-0286-008	Figure 19.04 - SWE-bench GitHub Repository Surface		320	figure_or_section_id	F19.04	mapped
I-0302	FI-0079	expanded_300_exhibit	A-0286-T004	Figure 19.05 - 2021 Model-Landscape Table	324	324	figure_or_section_id	F19.05	mapped
I-0302	FI-0080	expanded_300_exhibit	A-0289-010	Figure 20.01 - OpenAI Evals Repository Surface	329	329	figure_or_section_id	F20.01	mapped
I-0302	FI-0081	expanded_300_exhibit	A-0285-013	Figure 20.02 - SWE-bench Paper Page As Harness Evidence		331	figure_or_section_id	F20.02	mapped
I-0302	FI-0082	expanded_300_exhibit	A-0285-014	Figure 20.03 - Toolformer Paper Page As Tool-Use Lineage		333	figure_or_section_id	F20.03	mapped
I-0302	FI-0083	expanded_300_exhibit	A-0289-008	Figure 20.04 - Berkeley Function Calling Leaderboard Surface		338	figure_or_section_id	F20.04	mapped
I-0302	FI-0084	expanded_300_exhibit	A-0284-014	Figure 20.05 - GitHub Copilot Product Surface	341	341	figure_or_section_id	F20.05	mapped
I-0302	FI-0085	expanded_300_exhibit	A-0289-T004	Figure 21.01 - 2026 Model-Landscape Table	346	346	figure_or_section_id	F21.01	mapped
I-0302	FI-0086	expanded_300_exhibit	A-0288-005	Figure 21.02 - Chain-of-Thought Paper Page	347	347	figure_or_section_id	F21.02	mapped
I-0302	FI-0087	expanded_300_exhibit	A-0285-012	Figure 21.03 - DeepSeek-R1 Report Page As Reasoning Surface		348	figure_or_section_id	F21.03	mapped
I-0302	FI-0088	expanded_300_exhibit	A-0286-T005	Figure 21.04 - 2022 Model-Landscape Table	349	349	figure_or_section_id	F21.04	mapped
I-0302	FI-0089	expanded_300_exhibit	A-0286-T001	Figure 22.01 - 2018 Model-Landscape Table	361	361	figure_or_section_id	F22.01	mapped
I-0302	FI-0090	expanded_300_exhibit	A-0287-026	Figure 22.02 - OpenRouter Logo As Routing-Ecosystem Handle		364	figure_or_section_id	F22.02	mapped
I-0302	FI-0091	expanded_300_exhibit	A-0286-T002	Figure 22.03 - 2019 Model-Landscape Table	367	367	figure_or_section_id	F22.03	mapped
I-0302	FI-0092	expanded_300_exhibit	A-0286-T003	Figure 22.04 - 2020 Model-Landscape Table	370	370	figure_or_section_id	F22.04	mapped
I-0302	FI-0093	expanded_300_exhibit	A-0074	Figure 23.1 - Failure Modes Are Different Claims. Hallucination/truth, sycophancy, adversarial, proxy, evidence, and measurement failures are separate evidence lanes.		375	figure_or_section_id	F23.01	mapped
I-0302	FI-0094	expanded_300_exhibit	A-0075	Figure 23.2 - Trust Is A Stack. Evidence selection, evidence use, authority, evaluation, permission/action, and audit memory form layered controls.		376	figure_or_section_id	F23.02	mapped
I-0302	FI-0095	expanded_300_exhibit	A-0076	Figure 23.3 - Every Evaluation Casts A Shadow. TruthfulQA, Arena preference, SWE-bench, and LiveCodeBench each illuminate a scoped slice and leave blind spots.		377	figure_or_section_id	F23.03	mapped
I-0302	FI-0096	expanded_300_exhibit	A-0077	Figure 23.4 - From Answer To Auditable Claim. Question, retrieval, generation, audit, blocker, record, and publish steps separate fluent output from scoped evidence.		378	figure_or_section_id	F23.04	mapped
I-0302	FI-0097	expanded_300_exhibit	A-0108	Figure 24.1 - From Next Token To Computing Stack. Next-token prediction is surrounded by data, architecture, training, products, tools, infrastructure, economics, and trust.		388	figure_or_section_id	F24.01	mapped
I-0302	FI-0098	expanded_300_exhibit	A-0109	Figure 24.2 - Five Conversion Gates. Prediction-to-interface, interface-to-product, model-to-platform, compute-to-infrastructure, and fluency-to-trust are shown as overlapping pressures.		389	figure_or_section_id	F24.02	mapped
I-0302	FI-0099	expanded_300_exhibit	A-0110	Figure 24.3 - Unsettled By The Cutoff. Tempting end-of-book claims are paired with the same-scope evidence still required.		390	figure_or_section_id	F24.03	mapped
I-0302	FI-0100	expanded_300_exhibit	A-0111	Figure 24.4 - Human Judgment Loop. User intent, model tokens, tools, evidence trace, audit, blockers, and human decision form the closing loop.		391	figure_or_section_id	F24.04	mapped
I-0302	FI-0101	expanded_300_exhibit	A-0001	Generated visual grammar prototype	402	402	figure_or_section_id	VX001	mapped
I-0302	FI-0102	expanded_300_exhibit	A-0002	Generated visual grammar prototype	402	403	figure_or_section_id	VX002	mapped
I-0302	FI-0103	expanded_300_exhibit	A-0003	Generated visual grammar prototype	402	404	figure_or_section_id	VX003	mapped
I-0302	FI-0104	expanded_300_exhibit	A-0010	Generated GPT lineage visual table	405	405	figure_or_section_id	VX004	mapped
I-0302	FI-0105	expanded_300_exhibit	A-0011	Generated RLHF and alignment pipeline visual	406	406	figure_or_section_id	VX005	mapped
I-0302	FI-0106	expanded_300_exhibit	A-0012	Generated AI factory stack visual	407	407	figure_or_section_id	VX006	mapped
I-0302	FI-0107	expanded_300_exhibit	A-0013	Generated LMArena historical leaderboard chart	408	408	figure_or_section_id	VX007	mapped
I-0302	FI-0108	expanded_300_exhibit	A-0014	Generated Arena leaderboard methodology flow	409	409	figure_or_section_id	VX008	mapped
I-0302	FI-0109	expanded_300_exhibit	A-0017	Generated Chapter 16 N16-1 note layout mock	410	410	figure_or_section_id	VX009	mapped
I-0302	FI-0110	expanded_300_exhibit	A-0018	Generated Chapter 16 parent inline-cue render	411	411	figure_or_section_id	VX010	mapped
I-0302	FI-0111	expanded_300_exhibit	A-0019	Generated price-quality exclusion map	412	412	figure_or_section_id	VX011	mapped
I-0302	FI-0112	expanded_300_exhibit	A-0022	Generated Chapter 16 cooling and rack-density note	413	413	figure_or_section_id	VX012	mapped
I-0302	FI-0113	expanded_300_exhibit	A-0024	Generated GTC page 29 AI factory thesis card	414	414	figure_or_section_id	VX013	mapped
I-0302	FI-0114	expanded_300_exhibit	A-0025	Generated GTC page 45 inference compute roadmap card	415	415	figure_or_section_id	VX014	mapped
I-0302	FI-0115	expanded_300_exhibit	A-0026	Generated GTC page 46 Vera Rubin partner card	416	416	figure_or_section_id	VX015	mapped
I-0302	FI-0116	expanded_300_exhibit	A-0027	Generated GTC page 49 system comparison card	417	417	figure_or_section_id	VX016	mapped
I-0302	FI-0117	expanded_300_exhibit	A-0028	Generated GTC page 50 roadmap card	418	418	figure_or_section_id	VX017	mapped
I-0302	FI-0118	expanded_300_exhibit	A-0030	Generated Llama family open-weight map	419	419	figure_or_section_id	VX018	mapped
I-0302	FI-0119	expanded_300_exhibit	A-0031	Generated China open-model source-permission map	420	420	figure_or_section_id	VX019	mapped
I-0302	FI-0120	expanded_300_exhibit	A-0032	Generated Chapter 20 coding-agent harness loop	421	421	figure_or_section_id	VX020	mapped
I-0302	FI-0121	expanded_300_exhibit	A-0033	Generated Chapter 20 coding benchmark caveat matrix	422	422	figure_or_section_id	VX021	mapped
I-0302	FI-0122	expanded_300_exhibit	A-0034	Generated Chapter 20 tool-call lifecycle	423	423	figure_or_section_id	VX022	mapped
I-0302	FI-0123	expanded_300_exhibit	A-0035	Generated Chapter 20 productivity claim blocker map	424	424	figure_or_section_id	VX023	mapped
I-0302	FI-0124	expanded_300_exhibit	A-0057	Generated Chapter 8 cloud-to-product flywheel	425	425	figure_or_section_id	VX024	mapped
I-0302	FI-0125	expanded_300_exhibit	A-0068	Generated Chapter 1 ChatGPT shock chronology	426	426	figure_or_section_id	VX025	mapped
I-0302	FI-0126	expanded_300_exhibit	A-0078	Generated Chapter 21 train-time versus test-time compute axes	427	427	figure_or_section_id	VX026	mapped
I-0302	FI-0127	expanded_300_exhibit	A-0079	Generated Chapter 21 verifier/search loop	428	428	figure_or_section_id	VX027	mapped
I-0302	FI-0128	expanded_300_exhibit	A-0080	Generated Chapter 21 inference-contract matrix	429	429	figure_or_section_id	VX028	mapped
I-0302	FI-0129	expanded_300_exhibit	A-0081	Generated Chapter 21 reasoning-budget routing map	430	430	figure_or_section_id	VX029	mapped
I-0302	FI-0130	expanded_300_exhibit	A-0082	Generated Chapter 22 token meter	431	431	figure_or_section_id	VX030	mapped
I-0302	FI-0131	expanded_300_exhibit	A-0083	Generated Chapter 22 routing/caching/batching levers	432	432	figure_or_section_id	VX031	mapped
I-0302	FI-0132	expanded_300_exhibit	A-0084	Generated Chapter 22 subscription/API/bundle map	433	433	figure_or_section_id	VX032	mapped
I-0302	FI-0133	expanded_300_exhibit	A-0085	Generated Chapter 22 margin and ROI blocker grid	434	434	figure_or_section_id	VX033	mapped
I-0302	FI-0134	expanded_300_exhibit	A-0086	Generated Chapter 9 research-to-product conversion timeline	435	435	figure_or_section_id	VX034	mapped
I-0302	FI-0135	expanded_300_exhibit	A-0087	Generated Chapter 9 TPU/Search/Workspace surface map	436	436	figure_or_section_id	VX035	mapped
I-0302	FI-0136	expanded_300_exhibit	A-0088	Generated Chapter 9 Gemini long-context lane	437	437	figure_or_section_id	VX036	mapped
I-0302	FI-0137	expanded_300_exhibit	A-0089	Generated Chapter 9 benchmark/adoption blocker grid	438	438	figure_or_section_id	VX037	mapped
I-0302	FI-0138	expanded_300_exhibit	A-0090	Generated Chapter 19 code-as-language ladder	439	439	figure_or_section_id	VX038	mapped
I-0302	FI-0139	expanded_300_exhibit	A-0091	Generated Chapter 19 editor-to-repository workflow	440	440	figure_or_section_id	VX039	mapped
I-0302	FI-0140	expanded_300_exhibit	A-0092	Generated Chapter 19 coding benchmark ladder	441	441	figure_or_section_id	VX040	mapped
I-0302	FI-0141	expanded_300_exhibit	A-0093	Generated Chapter 19 repository-as-prompt schematic	442	443	figure_or_section_id	VX041	mapped
I-0302	FI-0142	expanded_300_exhibit	A-0112	Generated Chapter 10 open-weight control stack	443	445	figure_or_section_id	VX042	mapped
I-0302	FI-0143	expanded_300_exhibit	A-0113	Generated Chapter 10 adopter burden transfer diagram	444	446	figure_or_section_id	VX043	mapped
I-0302	FI-0144	expanded_300_exhibit	A-0114	Generated Chapter 10 Llama screenshot-priority board	445	447	figure_or_section_id	VX044	mapped
I-0302	FI-0145	expanded_300_exhibit	A-0106	GTC 2026 page 29 AI-factory source surface	446	448	figure_or_section_id	VX045	mapped
I-0302	FI-0146	expanded_300_exhibit	A-0107	GTC 2026 page 51 DSX handoff source surface	447	449	figure_or_section_id	VX046	mapped
I-0302	FI-0147	expanded_300_exhibit	A-0168	Jensen Huang cropped portrait	448	450	figure_or_section_id	VX047	mapped
I-0302	FI-0148	expanded_300_exhibit	A-0169	TSMC Fab5 building	449	451	figure_or_section_id	VX048	mapped
I-0302	FI-0149	expanded_300_exhibit	A-0170	Google data center in The Dalles	450	452	figure_or_section_id	VX049	mapped
I-0302	FI-0150	expanded_300_exhibit	A-0171	Electrical substation	451	453	figure_or_section_id	VX050	mapped
I-0302	FI-0151	expanded_300_exhibit	A-0177	Silicon wafer	452	454	figure_or_section_id	VX051	mapped
I-0302	FI-0152	expanded_300_exhibit	A-0284-001	NVIDIA AI	453	455	figure_or_section_id	VX052	mapped
I-0302	FI-0153	expanded_300_exhibit	A-0284-002	NVIDIA Blackwell	454	456	figure_or_section_id	VX053	mapped
I-0302	FI-0154	expanded_300_exhibit	A-0284-003	NVIDIA GTC	455	457	figure_or_section_id	VX054	mapped
I-0302	FI-0155	expanded_300_exhibit	A-0284-004	AMD Instinct	456	458	figure_or_section_id	VX055	mapped
I-0302	FI-0156	expanded_300_exhibit	A-0284-005	CoreWeave	457	459	figure_or_section_id	VX056	mapped
I-0302	FI-0157	expanded_300_exhibit	A-0284-007	Anthropic Claude	211	460	figure_or_section_id	VX057	mapped
I-0302	FI-0158	expanded_300_exhibit	A-0284-008	Anthropic Claude 4	459	461	figure_or_section_id	VX058	mapped
I-0302	FI-0159	expanded_300_exhibit	A-0284-009	DeepSeek	460	462	figure_or_section_id	VX059	mapped
I-0302	FI-0160	expanded_300_exhibit	A-0284-010	Meta Llama	153	463	figure_or_section_id	VX060	mapped
I-0302	FI-0161	expanded_300_exhibit	A-0284-011	Meta AI	462	464	figure_or_section_id	VX061	mapped
I-0302	FI-0162	expanded_300_exhibit	A-0284-012	Google Gemini	130	465	figure_or_section_id	VX062	mapped
I-0302	FI-0163	expanded_300_exhibit	A-0284-013	Google Cloud AI	464	466	figure_or_section_id	VX063	mapped
I-0302	FI-0164	expanded_300_exhibit	A-0284-015	ASML	465	467	figure_or_section_id	VX064	mapped
I-0302	FI-0165	expanded_300_exhibit	A-0284-016	Hugging Face	147	468	figure_or_section_id	VX065	mapped
I-0302	FI-0166	expanded_300_exhibit	A-0284-017	Mistral AI	194	469	figure_or_section_id	VX066	mapped
I-0302	FI-0167	expanded_300_exhibit	A-0284-018	xAI	468	470	figure_or_section_id	VX067	mapped
I-0302	FI-0168	expanded_300_exhibit	A-0284-019	PyTorch	469	471	figure_or_section_id	VX068	mapped
I-0302	FI-0169	expanded_300_exhibit	A-0284-020	CUDA Toolkit	470	472	figure_or_section_id	VX069	mapped
I-0302	FI-0170	expanded_300_exhibit	A-0284-021	LMArena	471	473	figure_or_section_id	VX070	mapped
I-0302	FI-0171	expanded_300_exhibit	A-0284-022	Oracle AI	472	474	figure_or_section_id	VX071	mapped
I-0302	FI-0172	expanded_300_exhibit	A-0284-023	IBM watsonx	473	475	figure_or_section_id	VX072	mapped
I-0302	FI-0173	expanded_300_exhibit	A-0284-024	Databricks ML	474	476	figure_or_section_id	VX073	mapped
I-0302	FI-0174	expanded_300_exhibit	A-0284-025	Snowflake Cortex	475	477	figure_or_section_id	VX074	mapped
I-0302	FI-0175	expanded_300_exhibit	A-0287-003	NVIDIA CUDA Toolkit	476	478	figure_or_section_id	VX075	mapped
I-0302	FI-0176	expanded_300_exhibit	A-0287-004	AMD ROCm	477	479	figure_or_section_id	VX076	mapped
I-0302	FI-0177	expanded_300_exhibit	A-0287-005	AMD Instinct MI300	478	480	figure_or_section_id	VX077	mapped
I-0302	FI-0178	expanded_300_exhibit	A-0287-006	CoreWeave Cloud	479	481	figure_or_section_id	VX078	mapped
I-0302	FI-0179	expanded_300_exhibit	A-0287-007	Lambda GPU Cloud	480	482	figure_or_section_id	VX079	mapped
I-0302	FI-0180	expanded_300_exhibit	A-0287-008	Crusoe Cloud	481	483	figure_or_section_id	VX080	mapped
I-0302	FI-0181	expanded_300_exhibit	A-0287-010	Digital Realty AI	482	485	figure_or_section_id	VX081	mapped
