pass_id	inventory_id	visual_family	visual_category	asset_id	pdf_page	title	has_source	has_private_use_status	has_blocked_claims	boundary_verdict	missing_boundary_terms	blocked_claims
I-0303	FI-0011	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0016	91	Figure 7.x - ChatGPT: From Interface Event To Business Surface. Sourced timeline for ChatGPT launch, Plus, plugins, Enterprise release-note entry, GPTs, and GPT-4o with a blocked adoption/productivity lane.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0012	expanded_300_exhibit	person_image	A-0284-052	95	Figure 07.02 - Sam Altman Public Profile Texture	yes	yes	yes	pass		Public-profile image only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.
I-0303	FI-0013	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-001	99	Paid access became a product surface	yes	yes	yes	pass		Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.
I-0303	FI-0014	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-002	102	Enterprise ChatGPT added workplace controls	yes	yes	yes	pass		Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.
I-0303	FI-0015	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-003	106	Release notes are product archaeology	yes	yes	yes	pass		Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.
I-0303	FI-0016	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0056	111	Figure 8.1 - Microsoft/OpenAI: The Cloud Bargain Timeline. Sourced chronology from 2019 compute partnership to Microsoft 365 Copilot with blocked outcome lane.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0017	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-017	115	Figure 08.02 - Microsoft Copilot Product Surface	yes	yes	yes	pass		Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0303	FI-0018	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0058	118	Figure 8.3 - Inference Cost Stack: What The Chat Box Hides. Non-quantified stack of latency, governance, serving software, accelerators, and physical datacenter layers.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0019	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0059	121	Figure 8.4 - Enterprise Claim Blocker Map. Access routes and product surfaces are allowed now; revenue, ROI, productivity, adoption, search share, and margin need stronger rows.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0020	expanded_300_exhibit	paper_report_excerpt	A-0288-004	127	Figure 09.01 - PaLM Page As Google's Scale Surface	yes	yes	yes	pass		Does not prove current Gemini quality, deployment, or product adoption.
I-0303	FI-0021	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-004	130	Figure 09.02 - Gemini API Model Docs Surface	yes	yes	yes	pass		Mutable docs do not prove live ranking, Search impact, pricing, or stable availability.
I-0303	FI-0022	expanded_300_exhibit	pdf_deck_report_page	A-0288-016	133	Figure 09.03 - Gemini 1.5 Report Page As Long-Context Surface	yes	yes	yes	pass		Does not prove current product state, live model rank, or Search impact.
I-0303	FI-0023	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T001	136	Figure 09.04 - 2023 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, safety proof, or product adoption claim.
I-0303	FI-0024	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-015	139	Figure 09.05 - Google AI Studio Product Surface	yes	yes	yes	pass		Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0303	FI-0025	expanded_300_exhibit	paper_report_excerpt	A-0288-009	144	Figure 10.01 - Llama 3 Herd Paper Page	yes	yes	yes	pass		Does not prove open-source legal status, adoption, or benchmark supremacy.
I-0303	FI-0026	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0286-004	147	Figure 10.02 - Llama 2 Hugging Face Model Card	yes	yes	yes	pass		Does not prove open-source legal status, adoption, or benchmark rank.
I-0303	FI-0027	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0286-011	150	Figure 10.03 - Llama 3 Hugging Face Model Card	yes	yes	yes	pass		Does not prove open-source legal status, adoption, safety, or benchmark rank.
I-0303	FI-0028	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-019	153	Figure 10.04 - Meta Llama Documentation Surface	yes	yes	yes	pass		Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0303	FI-0029	expanded_300_exhibit	paper_report_excerpt	A-0285-008	156	Figure 10.05 - Llama 2 Report Page As Open-Weight Infrastructure	yes	yes	yes	pass		Does not prove open-source legal status, adoption, or superiority.
I-0303	FI-0030	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-001	160	Figure 11.01 - Qwen3 Hugging Face Model Card	yes	yes	yes	pass		Does not support unsupported Qwen 3.5/3.6 claims, live rank, safety, or broad adoption.
I-0303	FI-0031	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-002	162	Figure 11.02 - DeepSeek-V3 Hugging Face Model Card	yes	yes	yes	pass		Does not prove current production use, universal superiority, safety, or live benchmark rank.
I-0303	FI-0032	expanded_300_exhibit	paper_report_excerpt	A-0285-010	166	Figure 11.03 - Qwen2 Technical Report Page	yes	yes	yes	pass		Does not support Qwen3.5/3.6 claims or live model rank.
I-0303	FI-0033	expanded_300_exhibit	pdf_deck_report_page	A-0288-017	169	Figure 11.04 - Qwen3 Technical Report Page	yes	yes	yes	pass		Does not support unsupported Qwen 3.5/3.6 claims or live rank without later sources.
I-0303	FI-0034	expanded_300_exhibit	paper_report_excerpt	A-0285-011	172	Figure 11.05 - DeepSeek-V3 Technical Report Page	yes	yes	yes	pass		Does not prove post-cutoff V4 claims or neutral benchmark superiority.
I-0303	FI-0035	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0094	179	Figure 12.1 - Constitutional AI As Behavior Grammar. Written principles, critique/revision, AI feedback, and evaluation loops can shape assistant behavior, but they do not prove solved alignment or moral guarantees.	yes	yes	yes	bounded_title_risk		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0036	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0095	181	Figure 12.2 - Claude Becomes A Product Family. Haiku, Sonnet, Opus, computer use, Claude Code, and Claude 4 mark release surfaces and product positioning, not permanent best-model status.	yes	yes	yes	bounded_title_risk		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0037	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0096	186	Figure 12.3 - From Assistant To Action Surface. Anthropic's computer-use, MCP, and Claude Code materials show a move toward tool-connected assistants, with permissions and review as part of the system.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0038	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0097	191	Figure 12.4 - The Tempting Claude Claims Are Not The Sourced Ones. Vendor launch pages and docs can show product direction, but outcome claims need benchmark, pricing, adoption, productivity, and safety evidence at the same scope.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0039	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-017	188	Computer use was a product announcement	yes	yes	yes	pass		Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.
I-0303	FI-0040	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-018	189	Claude is a model-family product surface	yes	yes	yes	pass		Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.
I-0303	FI-0041	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0286-009	204	Figure 13.01 - LMArena Leaderboard Surface	yes	yes	yes	pass		Live leaderboard surface does not prove cutoff rank or general model quality.
I-0303	FI-0042	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T005	209	Figure 13.02 - May 2026 Cutoff Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, safety proof, or product adoption claim.
I-0303	FI-0043	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T002	214	Figure 13.03 - 2024 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, safety proof, or product adoption claim.
I-0303	FI-0044	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0071	219	Figure 14.1 - CUDA Stack: The Moat Under The Moat. Frameworks, libraries, CUDA programming model, runtime, accelerators, and cloud operations form one stack.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0045	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0072	221	Figure 14.2 - GPU Memory and Interconnect: The Traffic Pattern. Host orchestration, HBM, GPU shards, and interconnect fabric make LLM systems a communication problem.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0046	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0073	223	Figure 14.3 - Training vs Inference: Two Capacity Problems. Training runs and inference services stress the same GPU stack in different ways.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0047	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-001	227	Lithography Texture Becomes Packaging Logic	yes	yes	yes	pass		Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.
I-0303	FI-0048	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-002	230	Cleanrooms Are Too Weak Without Rights	yes	yes	yes	pass		Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.
I-0303	FI-0049	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-002	233	Figure 14.06 - NVIDIA GB200 NVL72 Hardware Surface	yes	yes	yes	pass		Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0303	FI-0050	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-001	236	Figure 15.01 - NVIDIA DGX Cloud Product Surface	yes	yes	yes	pass		Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0303	FI-0051	expanded_300_exhibit	person_image	A-0284-051	239	Figure 15.02 - Jensen Huang Public Profile Texture	yes	yes	yes	pass		Public-profile image only; does not support biography claims beyond separately sourced text, current title, motives, or private scenes.
I-0303	FI-0052	expanded_300_exhibit	pdf_deck_report_page	A-0285-019	242	Figure 15.03 - GTC 2026 Rack-Scale Comparison Page	yes	yes	yes	pass		Does not prove independent performance or customer outcome.
I-0303	FI-0053	expanded_300_exhibit	pdf_deck_report_page	A-0285-018	244	Figure 15.04 - GTC 2026 Hardware Roadmap Page	yes	yes	yes	pass		Roadmaps are not happened history after the cutoff.
I-0303	FI-0054	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0029	247	Figure 15.x - GTC Page 51: DSX Platform Frame. Lightweight card labeling DSX as NVIDIA reference-design and AI factory platform framing.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0055	expanded_300_exhibit	pdf_deck_report_page	A-0285-017	249	Figure 15.06 - GTC 2026 AI Factory Framing Page	yes	yes	yes	pass		Does not prove deployed capacity, revenue, or neutral definition.
I-0303	FI-0056	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-022	252	Inference compute is a roadmap argument	yes	yes	yes	pass		Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.
I-0303	FI-0057	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0015	258	Figure 16.1 - Power To Token Flow. Sourced Chapter 16 flow diagram tracing electricity demand, grid interconnection, facility cooling, accelerators, inference scheduling, and token output with caveat bands.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0058	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0020	261	Figure 16.2 - Data-Centre Load Scenarios. IEA, LBNL, and DOE rows show measured/current estimates separately from forecast and scenario ranges for global and U.S. data-centre electricity demand.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0059	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0021	263	Figure 16.3 - The Interconnection Queue. EPRI and DOE-SEAB evidence can show facility-scale requests and one-to-three-year grid lead-time pressure, but not a complete project-level delay database.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0060	expanded_300_exhibit	pdf_deck_report_page	A-0288-014	266	Figure 16.04 - GTC 2026 Data-Center Power/Cooling Page	yes	yes	yes	pass		Does not prove site-level grid impact, water use, or economics.
I-0303	FI-0061	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0023	268	Figure 16.5 - Clean Procurement Is Not Physical Supply. IEA supply-mix projection language and DOE-SEAB flexibility categories support a distinction between corporate contracts/certificates and the electricity physically serving a site at a given hour.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0062	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-009	271	Figure 16.06 - Equinix AI Data-Center Surface	yes	yes	yes	pass		Screenshot surface only; does not prove current product state, adoption, performance, revenue, safety, benchmark rank, or deployment outcome.
I-0303	FI-0063	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-004	273	Interconnection Is A Queue, Not Atmosphere	yes	yes	yes	pass		Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.
I-0303	FI-0064	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-005	277	Fast Power Is A Constraint Stack	yes	yes	yes	pass		Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.
I-0303	FI-0065	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-006	279	Nuclear Texture Needs Evidence, Not Steam	yes	yes	yes	pass		Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.
I-0303	FI-0066	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0064	281	Figure 17.1 - Tokenization Ladder. Human text becomes subword pieces, token IDs, context budget, and next-token prediction target.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0067	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0065	284	Figure 17.2 - Web Corpus Filter Funnel. Common Crawl style data becomes a training-mixture candidate through filtering, deduplication, and documentation decisions.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0068	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0066	289	Figure 17.3 - Data Mixture Control Board. Schematic corpus lanes show data mixtures as recipes with open-corpus rows and closed-corpus blockers.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0069	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0067	292	Figure 17.4 - Memorization and Contamination Blocker Map. Duplication, benchmark contamination, memorization, extraction, and blocker families are separated.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0070	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0060	296	Figure 18.1 - RAG Evidence Conveyor. Retrieval, ranking, context packing, generation, citation, and audit gates with failure labels.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0071	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0061	298	Figure 18.2 - Function-Call Boundary. The model proposes typed calls; application validation, permissions, execution, and logging decide what happens.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0072	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0062	302	Figure 18.3 - Agent Loop as Harness. Plan, act, observe, gate, context, and review form a bounded system loop.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0073	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0063	304	Figure 18.4 - Prompt Injection Boundary. Untrusted retrieved content tries to cross from data into instruction before a tool action.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0074	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-003	307	Release notes are product archaeology	yes	yes	yes	pass		Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.
I-0303	FI-0075	expanded_300_exhibit	paper_report_excerpt	A-0288-006	312	Figure 19.01 - Code Llama Paper Page As Code-Model Lineage	yes	yes	yes	pass		Does not prove developer replacement, production correctness, or current benchmark rank.
I-0303	FI-0076	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-007	315	Figure 19.02 - LiveCodeBench Leaderboard Surface	yes	yes	yes	pass		Does not prove developer replacement, production productivity, broad software quality, or live rank without dated rows.
I-0303	FI-0077	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T003	318	Figure 19.03 - 2025 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, safety proof, or product adoption claim.
I-0303	FI-0078	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0286-008	320	Figure 19.04 - SWE-bench GitHub Repository Surface	yes	yes	yes	pass		Does not prove developer replacement, productivity, or broad software quality.
I-0303	FI-0079	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T004	324	Figure 19.05 - 2021 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, or product adoption claim.
I-0303	FI-0080	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-010	329	Figure 20.01 - OpenAI Evals Repository Surface	yes	yes	yes	pass		Repository surface does not prove benchmark completeness, current use, or model quality.
I-0303	FI-0081	expanded_300_exhibit	paper_report_excerpt	A-0285-013	331	Figure 20.02 - SWE-bench Paper Page As Harness Evidence	yes	yes	yes	pass		Does not prove developer replacement or production productivity.
I-0303	FI-0082	expanded_300_exhibit	paper_report_excerpt	A-0285-014	333	Figure 20.03 - Toolformer Paper Page As Tool-Use Lineage	yes	yes	yes	pass		Does not prove autonomous reliability or current agent capability.
I-0303	FI-0083	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-008	338	Figure 20.04 - Berkeley Function Calling Leaderboard Surface	yes	yes	yes	pass		Does not prove autonomous reliability, general task superiority, or product safety.
I-0303	FI-0084	expanded_300_exhibit	real_photo_screenshot_source_image	A-0284-014	341	Figure 20.05 - GitHub Copilot Product Surface	yes	yes	yes	pass		Visual texture only; does not prove current product state, adoption, performance, revenue, safety, or benchmark rank.
I-0303	FI-0085	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T004	346	Figure 21.01 - 2026 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, safety proof, or product adoption claim.
I-0303	FI-0086	expanded_300_exhibit	paper_report_excerpt	A-0288-005	347	Figure 21.02 - Chain-of-Thought Paper Page	yes	yes	yes	pass		Does not prove robust reasoning, hidden cognition, or safety.
I-0303	FI-0087	expanded_300_exhibit	paper_report_excerpt	A-0285-012	348	Figure 21.03 - DeepSeek-R1 Report Page As Reasoning Surface	yes	yes	yes	pass		Does not prove universal reasoning, safe deployment, or current rank.
I-0303	FI-0088	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T005	349	Figure 21.04 - 2022 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, or product adoption claim.
I-0303	FI-0089	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T001	361	Figure 22.01 - 2018 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, or product adoption claim.
I-0303	FI-0090	expanded_300_exhibit	logo	A-0287-026	364	Figure 22.02 - OpenRouter Logo As Routing-Ecosystem Handle	yes	yes	yes	pass		Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or current product status.
I-0303	FI-0091	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T002	367	Figure 22.03 - 2019 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, or product adoption claim.
I-0303	FI-0092	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T003	370	Figure 22.04 - 2020 Model-Landscape Table	yes	yes	yes	pass		Model-landscape/benchmark-context table only; not a live rank, universal quality score, price-quality frontier, or product adoption claim.
I-0303	FI-0093	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0074	375	Figure 23.1 - Failure Modes Are Different Claims. Hallucination/truth, sycophancy, adversarial, proxy, evidence, and measurement failures are separate evidence lanes.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0094	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0075	376	Figure 23.2 - Trust Is A Stack. Evidence selection, evidence use, authority, evaluation, permission/action, and audit memory form layered controls.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0095	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0076	377	Figure 23.3 - Every Evaluation Casts A Shadow. TruthfulQA, Arena preference, SWE-bench, and LiveCodeBench each illuminate a scoped slice and leave blind spots.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0096	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0077	378	Figure 23.4 - From Answer To Auditable Claim. Question, retrieval, generation, audit, blocker, record, and publish steps separate fluent output from scoped evidence.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0097	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0108	388	Figure 24.1 - From Next Token To Computing Stack. Next-token prediction is surrounded by data, architecture, training, products, tools, infrastructure, economics, and trust.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0098	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0109	389	Figure 24.2 - Five Conversion Gates. Prediction-to-interface, interface-to-product, model-to-platform, compute-to-infrastructure, and fluency-to-trust are shown as overlapping pressures.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
I-0303	FI-0099	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0110	390	Figure 24.3 - Unsettled By The Cutoff. Tempting end-of-book claims are paired with the same-scope evidence still required.	yes	yes	yes	pass		Original workspace visual may support only its scoped data/mechanism claim; no outcome, rank, productivity, safety, or market conclusion without matching evidence.
