"qa_id"	"chapter"	"asset_id"	"asset_type"	"selection_rights_status"	"manifest_status"	"manifest_file_path"	"source_ids"	"missing_source_ids"	"source_title"	"source_page_or_time"	"creator_or_org"	"accessed_date"	"rights_or_private_use_note"	"blocked_claim_note"	"caption_gate"	"provenance_gate"	"next_action"
"I0217-SRC-011"	"7"	"A-0016"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chatgpt-interface-business-timeline.svg"	"S-0006;S-0014;S-0044;S-0045;S-0046;S-0077;S-0078;S-0079;S-0089;S-0090"	""	"Generated ChatGPT interface-to-business timeline"	"S-0006;S-0014;S-0044;S-0045;S-0046;S-0077;S-0078;S-0079;S-0089;S-0090;SNAP-20260525-013;SNAP-20260525-014;SNAP-20260525-015"	"Codex"	"2026-05-25"	"Original lightweight SVG generated from data/chatgpt_interface_business_timeline_i0046.tsv; no external image assets; C-0010 remains active and S-0079 remains blocked for original Enterprise product-post quotations."	"Original lightweight SVG generated from data/chatgpt_interface_business_timeline_i0046.tsv; no external image assets; C-0010 remains active and S-0079 remains blocked for original Enterprise product-post quotations."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-012"	"7"	"A-0036"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0036_chatgpt_launch_page.png"	"S-0006"	""	"OpenAI ChatGPT launch page"	"S-0006"	"OpenAI"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; capture date, viewport, browser, hash, and archive fallback required."	"Private-use acquisition slot only; do not commit raster; capture date, viewport, browser, hash, and archive fallback required."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-013"	"7"	"A-0037"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0037_chatgpt_plus_page.png"	"S-0078"	""	"OpenAI ChatGPT Plus page"	"S-0078"	"OpenAI"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; no adoption or revenue claim without separate evidence."	"Private-use acquisition slot only; do not commit raster; no adoption or revenue claim without separate evidence."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-014"	"7"	"A-0038"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0038_chatgpt_enterprise_page.png"	"S-0079"	""	"OpenAI ChatGPT Enterprise page"	"S-0079"	"OpenAI"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; customer/productivity claims require separate rows."	"Private-use acquisition slot only; do not commit raster; customer/productivity claims require separate rows."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-015"	"7"	"A-0039"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0039_chatgpt_plugins_page.png"	"S-0044"	""	"OpenAI ChatGPT plugins page"	"S-0044"	"OpenAI"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; no stable-ecosystem or adoption claim."	"Private-use acquisition slot only; do not commit raster; no stable-ecosystem or adoption claim."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-016"	"8"	"A-0056"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter8-microsoft-openai-partnership-chronology.svg"	"S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133"	""	"Generated Microsoft/OpenAI partnership chronology"	"S-0125;S-0126;S-0127;S-0132;S-0129;S-0130;S-0133;S-0131"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 8 chronology and claim-audit rows; no external image assets; CH8MS-009 through CH8MS-012 remain active."	"Original lightweight SVG generated from Chapter 8 chronology and claim-audit rows; no external image assets; CH8MS-009 through CH8MS-012 remain active."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-017"	"8"	"A-0057"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter8-cloud-to-product-flywheel.svg"	"S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133"	""	"Generated Chapter 8 cloud-to-product flywheel"	"S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 8 source and claim-audit rows; no external image assets; outcome claims remain blocked."	"Original lightweight SVG generated from Chapter 8 source and claim-audit rows; no external image assets; outcome claims remain blocked."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-018"	"8"	"A-0058"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter8-inference-cost-stack.svg"	"S-0041;S-0126;S-0129;S-0131;S-0133"	""	"Generated Chapter 8 inference cost stack"	"S-0126;S-0129;S-0131;S-0133;S-0041"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 8 source and claim-audit rows; no external image assets; CH8MS-009/010/011 remain active."	"Original lightweight SVG generated from Chapter 8 source and claim-audit rows; no external image assets; CH8MS-009/010/011 remain active."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-019"	"8"	"A-0059"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter8-enterprise-claim-blocker-map.svg"	"S-0129;S-0131;S-0132;S-0133"	""	"Generated Chapter 8 enterprise claim blocker map"	"S-0129;S-0131;S-0132;S-0133"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 8 claim-audit rows; no external image assets; CH8MS-009 through CH8MS-012 remain active."	"Original lightweight SVG generated from Chapter 8 claim-audit rows; no external image assets; CH8MS-009 through CH8MS-012 remain active."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-020"	"9"	"A-0086"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter9-research-to-product-conversion-timeline.svg"	"S-0002;S-0016;S-0108;S-0115;S-0116;S-0117;S-0118;S-0119;S-0121;S-0122;S-0123;S-0124"	""	"Generated Chapter 9 research-to-product conversion timeline"	"S-0002;S-0108;S-0115;S-0016;S-0118;S-0121;S-0116;S-0122;S-0117;S-0123;S-0124;S-0119"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 9 chronology and claim-audit rows; no external image assets; adoption, revenue, benchmark superiority, TPU-vs-GPU cost/performance, and Search-click claims remain blocked."	"Original lightweight SVG generated from Chapter 9 chronology and claim-audit rows; no external image assets; adoption, revenue, benchmark superiority, TPU-vs-GPU cost/performance, and Search-click claims remain blocked."	"caption_contract_ok"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-021"	"9"	"A-0087"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter9-tpu-search-workspace-surface-map.svg"	"S-0115;S-0118;S-0121;S-0122;S-0123;S-0124"	""	"Generated Chapter 9 TPU/Search/Workspace surface map"	"S-0115;S-0121;S-0118;S-0122;S-0123;S-0124"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 9 source and claim rows; no external image assets; no user preference, productivity, revenue, cloud-share, Search-click, or TPU-superiority claim."	"Original lightweight SVG generated from Chapter 9 source and claim rows; no external image assets; no user preference, productivity, revenue, cloud-share, Search-click, or TPU-superiority claim."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-022"	"9"	"A-0088"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter9-gemini-long-context-lane.svg"	"S-0117;S-0123;S-0124"	""	"Generated Chapter 9 Gemini long-context lane"	"S-0117;S-0123;S-0124"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 9 long-context rows; no external image assets; solved retrieval, memory, legal review, codebase understanding, enterprise knowledge, latency, and cost claims remain blocked."	"Original lightweight SVG generated from Chapter 9 long-context rows; no external image assets; solved retrieval, memory, legal review, codebase understanding, enterprise knowledge, latency, and cost claims remain blocked."	"caption_contract_ok"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-023"	"9"	"A-0089"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter9-benchmark-adoption-blocker-grid.svg"	"S-0061;S-0119;S-0120"	""	"Generated Chapter 9 benchmark/adoption blocker grid"	"S-0119;S-0120;S-0061;data/chapter9_google_deepmind_claim_audit_i0111.tsv"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 9 blocker rows; no external image assets; no neutral benchmark crown, live-rank, adoption, subscribers, productivity, revenue, ROI, margins, cloud share, Search-click, ad-economics, or TPU cost/performance claim."	"Original lightweight SVG generated from Chapter 9 blocker rows; no external image assets; no neutral benchmark crown, live-rank, adoption, subscribers, productivity, revenue, ROI, margins, cloud share, Search-click, ad-economics, or TPU cost/performance claim."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-024"	"9"	"A-0129"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0129_gemini_bard_product_surface.png"	"S-0119;S-0121;S-0123;S-0124"	""	"Gemini/Bard product source surface"	"S-0121;S-0123;S-0124;S-0119"	"Google"	"2026-05-26"	"Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review."	"Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-025"	"10"	"A-0030"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/llama-family-open-weight-map.svg"	"S-0008;S-0023;S-0024;S-0025;S-0111;S-0113"	""	"Generated Llama family open-weight map"	"S-0111;S-0023;S-0025;S-0024;S-0113;S-0008"	"Codex"	"2026-05-25"	"Original lightweight SVG generated from data/chapter10_llama_family_tree_i0104.tsv and local Meta/arXiv HTML captures; no external image assets."	"Original lightweight SVG generated from data/chapter10_llama_family_tree_i0104.tsv and local Meta/arXiv HTML captures; no external image assets."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-026"	"10"	"A-0112"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter10-open-weight-control-stack.svg"	"S-0023;S-0024;S-0025;S-0111;S-0112;S-0113;S-0114"	""	"Generated Chapter 10 open-weight control stack"	"S-0023;S-0024;S-0025;S-0111;S-0112;S-0113;S-0114;CH10-11AUD-003"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 10 source and audit rows; no external image assets; no open-source equivalence, license freedom, adoption, safety, benchmark superiority, price-quality, lower-cost, or full-transparency claim."	"Original lightweight SVG generated from Chapter 10 source and audit rows; no external image assets; no open-source equivalence, license freedom, adoption, safety, benchmark superiority, price-quality, lower-cost, or full-transparency claim."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-027"	"10"	"A-0113"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter10-adopter-burden-transfer.svg"	"S-0023;S-0024;S-0114"	""	"Generated Chapter 10 adopter burden transfer diagram"	"S-0023;S-0024;S-0114;CH10-11AUD-003"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 10 source and audit rows; no external image assets; no cheaper, safer, more adopted, higher-quality, better-performing, or enterprise-outcome claim."	"Original lightweight SVG generated from Chapter 10 source and audit rows; no external image assets; no cheaper, safer, more adopted, higher-quality, better-performing, or enterprise-outcome claim."	"caption_contract_ok"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-028"	"10"	"A-0044"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0044_llama_launch_page.png"	"S-0111"	""	"Meta LLaMA launch page"	"S-0111"	"Meta"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; license/current-status claims need separate rows."	"Private-use acquisition slot only; do not commit raster; license/current-status claims need separate rows."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-029"	"10"	"A-0047"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0047_llama_github_repo.png"	"S-0114"	""	"Meta Llama GitHub repository"	"S-0114"	"Meta"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; mutable repo metrics are not cutoff facts."	"Private-use acquisition slot only; do not commit raster; mutable repo metrics are not cutoff facts."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-030"	"11"	"A-0031"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/china-open-model-source-map.svg"	"S-0026;S-0027;S-0028;S-0029;S-0030;S-0031"	""	"Generated China open-model source-permission map"	"S-0026;S-0027;S-0028;S-0029;S-0030;S-0031;C-0007"	"Codex"	"2026-05-25"	"Original lightweight SVG generated from data/chapter11_china_open_model_source_map_i0105.tsv and local arXiv HTML captures; no external image assets."	"Original lightweight SVG generated from data/chapter11_china_open_model_source_map_i0105.tsv and local arXiv HTML captures; no external image assets."	"caption_contract_ok"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-031"	"11"	"A-0118"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter11-supported-vs-gap-source-board.svg"	"S-0026;S-0027;S-0028;S-0029;S-0030;S-0031"	""	"Generated Chapter 11 supported-vs-gap source board"	"S-0026;S-0027;S-0028;S-0029;S-0030;S-0031;C-0007;I-0105;CH11CHINA-001;CH11CHINA-008;CH10-11AUD-005;CH10-11AUD-009"	"Codex"	"2026-05-26"	"Original lightweight SVG generated from Chapter 11 source map and I-0137 audit; no external image assets; no adoption, market impact, benchmark superiority, price-quality, broad deployment, Qwen 3.5/3.6 happened-release, or DeepSeek V4-era chronology claim."	"Original lightweight SVG generated from Chapter 11 source map and I-0137 audit; no external image assets; no adoption, market impact, benchmark superiority, price-quality, broad deployment, Qwen 3.5/3.6 happened-release, or DeepSeek V4-era chronology claim."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-032"	"11"	"A-0048"	"source_screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0048_qwen2_arxiv_abs.png"	"S-0026"	""	"Qwen2 technical report arXiv page"	"S-0026"	"Qwen team"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; not a benchmark chart."	"Private-use acquisition slot only; do not commit raster; not a benchmark chart."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-033"	"11"	"A-0049"	"source_screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0049_qwen3_arxiv_abs.png"	"S-0027"	""	"Qwen3 technical report arXiv page"	"S-0027"	"Qwen team"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; Qwen 3.5/3.6 remains source-gap material."	"Private-use acquisition slot only; do not commit raster; Qwen 3.5/3.6 remains source-gap material."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-034"	"11"	"A-0050"	"source_screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0112/A-0050_deepseek_r1_arxiv_abs.png"	"S-0029"	""	"DeepSeek-R1 arXiv page"	"S-0029"	"DeepSeek-AI"	"2026-05-25"	"Private-use acquisition slot only; do not commit raster; exact benchmark claims need extraction."	"Private-use acquisition slot only; do not commit raster; exact benchmark claims need extraction."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-035"	"12"	"A-0094"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter12-constitutional-ai-behavior-loop.svg"	"S-0019"	""	"Generated Chapter 12 Constitutional AI behavior loop"	"S-0019;CH12CLAUDE-001"	"Codex"	"2026-05-25"	"Original lightweight SVG generated from existing Anthropic source and claim-audit rows; no external image assets; solved alignment, moral guarantee, and human-judgment replacement claims remain blocked."	"Original lightweight SVG generated from existing Anthropic source and claim-audit rows; no external image assets; solved alignment, moral guarantee, and human-judgment replacement claims remain blocked."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-036"	"12"	"A-0095"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter12-claude-model-family-timeline.svg"	"S-0007;S-0020;S-0021;S-0048;S-0109"	""	"Generated Chapter 12 Claude model-family timeline"	"S-0020;S-0021;S-0109;S-0048;S-0007;CH12CLAUDE-002;CH12CLAUDE-004;CH12CLAUDE-005;CH12CLAUDE-006;CH12CLAUDE-007;CL4BENCH-001"	"Codex"	"2026-05-25"	"Original lightweight SVG generated from Anthropic source rows; no external image assets; exact benchmark superiority, live-rank, pricing, adoption, and productivity claims remain blocked."	"Original lightweight SVG generated from Anthropic source rows; no external image assets; exact benchmark superiority, live-rank, pricing, adoption, and productivity claims remain blocked."	"claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-037"	"12"	"A-0096"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter12-computer-use-mcp-code-bridge.svg"	"S-0007;S-0022;S-0049;S-0050;S-0051;S-0055;S-0109"	""	"Generated Chapter 12 computer-use/MCP/Claude Code bridge"	"S-0109;S-0055;S-0022;S-0049;S-0050;S-0051;S-0007;CH12CLAUDE-005;CH12CLAUDE-008;CH12CLAUDE-009;CL4BENCH-005;CL4BENCH-008;CL4BENCH-009"	"Codex"	"2026-05-25"	"Original lightweight SVG generated from existing Anthropic and Claude Code rows; no external image assets; general autonomy, MCP dominance, secure-by-default agents, adoption, productivity, and reliable real-world-control claims remain blocked."	"Original lightweight SVG generated from existing Anthropic and Claude Code rows; no external image assets; general autonomy, MCP dominance, secure-by-default agents, adoption, productivity, and reliable real-world-control claims remain blocked."	"caption_contract_ok"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-038"	"12"	"A-0097"	"svg_diagram"	"ready_svg"	"available"	"assets/visual_system/chapter12-safety-productivity-blocker-grid.svg"	"S-0007;S-0035;S-0037;S-0060;S-0110"	""	"Generated Chapter 12 safety/productivity blocker grid"	"S-0110;S-0007;S-0035;S-0037;S-0060;C-0013;C-0046;CH12CLAUDE-003;CH12CLAUDE-010;CL4BENCH-002;CL4BENCH-003;CL4BENCH-004;CL4BENCH-010"	"Codex"	"2026-05-25"	"Original lightweight SVG generated from existing Anthropic, benchmark, and pricing blocker rows; no external image assets; best-coding-model, price-quality, productivity, enterprise adoption, solved-safety, general-memory, and replacement claims remain blocked."	"Original lightweight SVG generated from existing Anthropic, benchmark, and pricing blocker rows; no external image assets; best-coding-model, price-quality, productivity, enterprise adoption, solved-safety, general-memory, and replacement claims remain blocked."	"caption_long;claim_language_review"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-039"	"12"	"A-0119"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0148/A-0119_claude_computer_use_announcement.png"	"S-0109"	""	"Anthropic computer-use announcement source surface"	"S-0109"	"Anthropic"	"2026-05-26"	"Private-use acquisition slot only; do not commit raster; local HTML hash recorded in data/chapter12_20_anthropic_source_surface_hashes_i0148.tsv; publication use needs rights/fair-use review."	"Private-use acquisition slot only; do not commit raster; local HTML hash recorded in data/chapter12_20_anthropic_source_surface_hashes_i0148.tsv; publication use needs rights/fair-use review."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
"I0217-SRC-040"	"12"	"A-0130"	"screenshot_slot"	"private_capture_needed"	"acquisition_ready"	"assets/private_use_screenshots/i0180/A-0130_claude_product_surface.png"	"S-0007;S-0245"	""	"Claude product/model source surface"	"S-0007;S-0245"	"Anthropic"	"2026-05-26"	"Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review."	"Private-use acquisition slot only; do not commit raster; future capture must record raster sha256, source HTML hash, URL, page title, viewport, timestamp, and rights/fair-use review."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Preserve provenance row; verify source-note placement during render QA."
