chapter	outline_title	current_state	candidate_file	current_words	visual_assets	handoff_status	mandatory_topic_status	continuity_risk	next_action
13	Benchmarks, Arenas, and the Mirage of Rank	drafted	manuscript/13-model-rankings-appendix.md	3734	3	handoff from frontier-lab chapters into evaluation is conceptually strong	model rankings, arenas, benchmark caveats covered	medium: filename and sidecar notes still call it appendix while outline treats it as main chapter	promote naming and transitions from appendix posture to main-chapter posture
14	NVIDIA and CUDA: The Moat Under the Moat	missing	missing	0	0	no handoff from benchmark chapter into hardware moat	missing CUDA/GPU moat foundation before GTC	high: Chapter 15 starts at stagecraft without enough CUDA base	draft Chapter 14 before expanding more NVIDIA/GTC spectacle
15	GTC 2026: The AI Factory Sells Itself	drafted	manuscript/15-gtc-2026-ai-factory-sells-itself.md	4513	13	handoff from missing CUDA chapter is weak	GTC 2026 and AI-factory stagecraft covered	medium: visual density is high but too NVIDIA/GTC concentrated	add Chapter 14 foundation and diversify non-NVIDIA visuals later
16	Datacenters, Power, and the Physical Internet	drafted	manuscript/16-speed-to-power.md	5029	7	handoff from AI factory to physical constraints is strong	datacenters, power, cooling, interconnection covered	medium: source-cue density is high and photo layer absent	add real datacenter/power photo-slot acquisition plan
17	Data, Tokens, and the Library Problem	missing	missing	0	0	no handoff from physical infrastructure into data supply	missing datasets, tokenization, data mixtures, synthetic data	high: book lacks the other main input besides compute	draft Chapter 17 with dataset/tokenizer source pack
18	Tools, Retrieval, and the Agent Turn	missing	missing	0	0	no handoff from data supply into tool use	missing RAG, function calling, MCP, computer use, prompt injection	high: agent turn is currently squeezed into Anthropic/Chapter 20 material	draft Chapter 18 and reserve Chapter 20 for Claude Code case study
19	Code as the Second Native Language	missing	missing	0	0	no bridge from general tools to Claude Code case study	missing Codex, Copilot, AlphaCode, Code Llama, code-eval history	high: Chapter 20 carries too much coding-agent history by itself	draft Chapter 19 as the general code/coding-agent history layer
20	Claude Code and the Industrialization of Pair Programming	drafted	manuscript/20-claude-code-industrialized-pair-programming.md	4123	4	handoff from missing Chapter 19 is not yet built	Claude Code and industrialized pair programming covered	medium: strong case study, but risks absorbing Chapter 18/19 general material	keep as case-study chapter and backfill Chapters 18 and 19
21	Reasoning, Test-Time Compute, and the New Scaling Axis	missing	missing	0	0	no handoff from coding agents into reasoning compute	missing reasoning/test-time compute	high: late-book technical axis absent	draft Chapter 21 after tools/code chapters stabilize
22	The Economics of Intelligence on Tap	missing	missing	0	0	no handoff from reasoning costs into business economics	missing API pricing, subscriptions, margins, open/closed economics	high: revenue/business-book payoff absent	draft Chapter 22 with pricing snapshots and public-filings source pack
23	Failure Modes, Truth, and Trust	missing	missing	0	0	no handoff from economics into trust/failure	missing hallucination, sycophancy, jailbreaks, eval blind spots, provenance	high: book lacks a final reliability reckoning	draft Chapter 23 with system-card/eval/security source pack
24	Next Token	missing	missing	0	0	no final synthesis handoff yet	missing cutoff-bounded synthesis	high: no ending promise or unresolved-questions grid	draft only after major missing spine chapters exist
