pass_id	chapter	chapter_number	official_title	current_file	one_sentence_promise	opening_beat	candidate_opening_figure	candidate_opening_asset	reader_effect_job	claim_guardrail	next_integration_gate
I-0246	CH11	11	The Chinese Frontier	manuscript/11-chinese-frontier-open-models.md	Shows Chinese frontier labs as source surfaces with real capability and real evidence gaps.	Open with the temptation to rank the frontier, then refuse shortcuts by naming source lanes.	F11.01	A-0031	Plural frontier energy	No national ranking, benchmark crown, adoption, export-control effect, or unsupported future-model claim.	Use source cards where screenshots remain unresolved.
I-0246	CH12	12	Europe, xAI, and the Rest of the Frontier	manuscript/12-europe-xai-rest-frontier.md	Makes the rest-of-frontier chapter a problem of plurality rather than a survey of leftovers.	Start with the map widening until the reader sees why the frontier cannot be told as one lab race.	F12.01	A-0094	Plural frontier energy	No chapter identity drift, Claude/Anthropic duplication, unsupported xAI/Mistral adoption, or benchmark crown claim.	Resolve the Chapter 12 identity conflict before final opener polish.
I-0246	CH13	13	Benchmarks, Arenas, and the Mirage of Rank	manuscript/13-model-rankings-appendix.md	Turns leaderboards into suspense about measurement rather than a crown ceremony.	Open with a reader staring at a ranking row and wanting the false comfort of a winner.	F13.01	A-0014	Leaderboard suspense	No live rank, best-model claim, price-quality recommendation, ROI, or durable performance claim without dated snapshot.	Keep methodology caveat beside the first comparison figure.
I-0246	CH14	14	NVIDIA and CUDA: The Moat Under the Moat	manuscript/14-nvidia-cuda-moat.md	Reveals the invisible software layer under the visible GPU race.	Open beneath the demo: the answer on screen depends on a stack of kernels, libraries, drivers, and developer habit.	F14.01	A-0071	Developer delight	No performance, adoption, market-share, revenue, CUDA lock-in, or roadmap claim beyond sourced scope.	Close with a clean handoff to GTC stagecraft.
I-0246	CH15	15	GTC 2026: The AI Factory Sells Itself	manuscript/15-gtc-2026-ai-factory-sells-itself.md	Shows NVIDIA trying to rename the machine room as an AI factory.	Put the reader in the keynote room before the slide becomes a source-actor claim.	F15.01	A-0012	Company theater plus industrial machine	No neutral industry definition, deployed-capacity proof, performance proof, revenue, or customer-adoption claim from NVIDIA stagecraft alone.	Prune company-sourced visuals before final render.
I-0246	CH16	16	Datacenters, Power, and the Physical Internet	manuscript/16-speed-to-power.md	Makes tokens collide with substations, land, transformers, turbines, cooling, and time.	Open on the physical bottleneck: the future of a text box waiting for power.	F16.01	A-0015	Physical constraint	No delivered-electrons, site fuel mix, energy-per-token, named-campus workload, emissions, or guaranteed flexibility claim.	Use Chapter 16 as the house style for physical chapters.
I-0246	CH17	17	Data, Tokens, and the Library Problem	manuscript/17-data-tokens-library-problem.md	Shows data as a supply chain of collection, filtering, tokenization, memory, and debt.	Open with a sentence entering the library/filtering machine and becoming training material only after many choices.	F17.01	A-0064	Craft suspense	No closed-model corpus composition, legality, consent, representativeness, or data-quality superiority claim.	Add source texture if it interrupts the mechanism run.
I-0246	CH18	18	Tools, Retrieval, and the Agent Turn	manuscript/18-tools-retrieval-agent-turn.md	Shows the text box growing hands through retrieval, tools, permissions, and observations.	Open with the first boundary crossing: language no longer only answers, it reaches outward.	F18.01	A-0060	Agency tension	No production reliability, complete factuality, broad planning competence, or autonomous operation claim.	Keep the clearest loop and demote duplicate guardrail boards.
I-0246	CH19	19	Code as the Second Native Language	manuscript/19-code-as-the-second-native-language.md	Makes code the domain where language becomes executable and reviewable.	Open on intent becoming syntax under the unforgiving feedback of tests, compilers, and repos.	F19.01	A-0090	Developer delight	No autonomous programming, security quality, productivity lift, adoption, or broad replacement claim.	Check duplication against GPT lineage and Claude Code.
I-0246	CH20	20	Claude Code and the Industrialization of Pair Programming	manuscript/20-claude-code-industrialized-pair-programming.md	Shows coding agents as permissioned repository work, not disembodied autonomy.	Open with the terminal becoming a colleague only because files, commands, tests, and review are bounded.	F20.01	A-0032	Benchmark anxiety	No developer replacement, enterprise productivity, autonomy, secure-code guarantee, or benchmark transfer claim.	Place one human-facing example before dense benchmark comparison.
I-0246	CH21	21	Reasoning, Test-Time Compute, and the New Scaling Axis	manuscript/21-reasoning-test-time-compute.md	Explains thinking longer as an inference-time compute choice, not hidden consciousness.	Open with compute moving from training into the pause before an answer.	F21.01	A-0078	Cognitive suspense	No mind-access, faithful-chain-of-thought, solved reasoning, truth guarantee, or production autonomy claim.	End toward latency and economics rather than a blocker list.
I-0246	CH22	22	The Economics of Intelligence on Tap	manuscript/22-economics-intelligence-on-tap.md	Shows the visible token meter before the unknowable margin underneath it.	Open with a token meter running under the friendly chat box.	F22.01	A-0082	Economic pressure	No margin, ROI, cost-per-token, revenue, utilization, or price-quality frontier claim without same-scope evidence.	A/B the two meter/control visuals during render readiness.
I-0246	CH23	23	Failure Modes, Truth, and Trust	manuscript/23-failure-modes-truth-trust.md	Makes fluency feel dangerous precisely because it is useful.	Open with the unease of an answer that sounds finished before it is proven.	F23.01	A-0074	Trust dread	No production prevalence, uniform vulnerability, solved safety, all-model personality, or incident generalization claim.	Add source or case texture before abstract risk taxonomy.
I-0246	CH24	24	Next Token	manuscript/24-next-token.md	Returns the whole system to human judgment at the edge of the next token.	Open with the next-token motif as mechanism and cliff edge, then move toward responsibility rather than prophecy.	F24.01	A-0108	Resolution and responsibility	No governance adequacy, final-state prediction, AGI arrival, or technology-destiny claim.	Ensure the final visible note is prose, not apparatus.
