chapter	official_title	live_primary_file	chronology_span	key_dated_beats	source_rows	cutoff_status	timeline_order_status	narrative_handoff	integrity_risk	next_action
13	Benchmarks, Arenas, and the Mirage of Rank	manuscript/13-model-rankings-appendix.md	2023 to 2026	Chatbot Arena; SWE-bench; LiveCodeBench; provider pricing/ranking snapshots	S-0035;S-0036;S-0037;S-0060;SNAP-20260525-008	pre_cutoff_supported	good	After frontier-lab chapters, teaches why public rank is unstable evidence.	Live leaderboard, price-quality, and benchmark superiority claims can decay quickly.	Keep every rank/date/model/scaffold contract local to a snapshot.
14	NVIDIA and CUDA: The Moat Under the Moat	manuscript/14-nvidia-cuda-moat.md	2006 to 2025	CUDA ecosystem; GPU systems; H100/B200/GB200 context; training/inference stack	S-0039;S-0065;S-0066;S-0067;S-0068;S-0069	pre_cutoff_supported	good	Moves from model competition to the physical/software stack beneath it.	Hardware spec claims can become performance, supply, or market-power overclaims.	Keep CUDA/developer ecosystem as causal infrastructure, not spec-sheet victory.
15	GTC 2026: The AI Factory Sells Itself	manuscript/15-gtc-2026-ai-factory-sells-itself.md	2026-03 to 2026-05	GTC 2026 keynote; Vera Rubin/roadmap; AI factory rhetoric; DSX/source slides	S-0001;S-0010;S-0065;S-0067;A-0008;A-0009;A-0028;A-0029	pre_cutoff_supported_with_roadmap_labels	good_if_roadmap_labeled	Gives the NVIDIA chapter its stage moment and then points to physical constraints.	Roadmap slides can be laundered into shipped-history claims.	Label announced/roadmap/future items on every page and caption; mine GTC charts before final layout.
16	Datacenters, Power, and the Physical Internet	manuscript/16-speed-to-power.md	2023 to 2026	Datacenter power demand; grid interconnection; cooling; physical infrastructure constraints	S-0083;S-0084;S-0085;S-0086;S-0087;S-0088;S-0103	pre_cutoff_supported	good	Translates AI-factory rhetoric into land, power, cooling, and interconnection.	Photos/reports can imply site deployment, fuel mix, PUE, GPU counts, or energy-per-token without evidence.	Use I-0145 capture notes as negative controls before any physical-image prose or caption.
17	Data, Tokens, and the Library Problem	manuscript/17-data-tokens-library-problem.md	2007 to 2026	Common Crawl/C4/Pile-style corpora; tokenization; dedup/filtering; synthetic data; contamination	S-0040;S-0041;S-0042;S-0043;S-0044	pre_cutoff_supported	good	After compute constraints, shows the other supply chain: tokens.	Closed-model corpus composition, legal conclusions, and exact data shares are not supported.	Keep data as supply-chain story; add corpus/source exhibit shortlist later.
18	Tools, Retrieval, and the Agent Turn	manuscript/18-tools-retrieval-agent-turn.md	2020 to 2025	RAG; function/tool calling; MCP/computer use as connectors; prompt injection/tool risk	S-0038;S-0052;S-0053;S-0054;S-0055;S-0109	pre_cutoff_supported	good	Shows models beginning to use external systems before coding-specific chapters.	Overlap with Chapter 20 if Claude Code/MCP material is overused here.	Keep Chapter 18 general tools/RAG/security; let Chapter 20 own terminal/repository detail.
19	Code as the Second Native Language	manuscript/19-code-as-the-second-native-language.md	2021 to 2025	Codex; Copilot; AlphaCode; Code Llama; SWE-bench/LiveCodeBench; repo/task evaluation	S-0025;S-0035;S-0037;S-0056;S-0057;S-0058	pre_cutoff_supported	good	Shows why code became the measurable operational domain.	Productivity, job replacement, security quality, and live rank are not supported by benchmark alone.	Keep code as translation/workflow domain; reserve Claude Code as case study.
20	Claude Code and the Industrialization of Pair Programming	manuscript/20-claude-code-industrialized-pair-programming.md	2024 to 2026	Claude Code; Claude 3.7/4; permissions; context management; terminal/repository workflows	S-0022;S-0048;S-0049;S-0050;S-0051;S-0007;S-0035;S-0037	pre_cutoff_supported	good	Converts the broader code chapter into a concrete supervised-agent case study.	Can duplicate Chapter 12 Anthropic identity or Chapter 18 general tool loop; productivity claims remain blocked.	Use I-0143/I-0148 boundary rules and one selected docs screenshot surface.
21	Reasoning, Test-Time Compute, and the New Scaling Axis	manuscript/21-reasoning-test-time-compute.md	2024 to 2026	DeepSeek R1/Kimi reasoning; verifier/search/test-time compute; hidden-chain and inference-contract caveats	S-0029;S-0031;S-0059;S-0061;S-0062	pre_cutoff_supported	good	Moves from agents/code to inference as a new place to spend compute.	Reasoning claims can become live-rank, solved-reasoning, hidden-chain, or cost claims.	Attach model/date/task/tool/sample/retry/budget fields to every reasoning comparison.
22	The Economics of Intelligence on Tap	manuscript/22-economics-intelligence-on-tap.md	2023 to 2026	API pricing; subscriptions; caching/batch tiers; inference optimization; enterprise/cloud sales routes	S-0060;S-0063;S-0064;S-0128;S-0134	pre_cutoff_supported	good	Shows how the new capability becomes a meter and a business model.	Token price rows do not prove margins, ROI, utilization, or productivity.	Keep meters separate from margins and source every price/date/scope row.
23	Failure Modes, Truth, and Trust	manuscript/23-failure-modes-truth-trust.md	2022 to 2026	Hallucination; sycophancy; prompt injection; jailbreaks; eval blind spots; provenance/audit mechanisms	S-0005;S-0069;S-0070;S-0071;S-0072;S-0073;S-0074	pre_cutoff_supported	good	After economics, asks what can be trusted when fluency is cheap.	Incident anecdotes can imply prevalence; mitigation descriptions can imply solved safety.	Keep failure families separate and use incident rows only with scope limits.
24	Next Token	manuscript/24-next-token.md	through 2026-05-24	Cutoff-bounded synthesis: prediction, interface, infrastructure, data, tools, economics, trust, human judgment	CH24DRAFT-001;A-0108;A-0109;A-0110;A-0111	pre_cutoff_synthesis	good	Returns to the first act of prediction and closes with unresolved gates.	Final synthesis can slip into post-cutoff prophecy, AGI, inevitable winners, or solved-trust claims.	Polish rhythm and callback structure while keeping unresolved-by-cutoff blockers visible.
