pass_id	chapter	title	section_index	old_reader_text_sample	new_heading	figure_count	placement
I-0318	11	Anthropic, Claude, and the Plural Frontier	1	Chapter 12 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Anthropic Claude, shown as a public web page Anthropic Claude 4, shown as a public web page Anthropic Claude model docs Anthropic Danie	Context Images: Chapter 11, Anthropic, Claude, and the Plural Frontier	5	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	12	The Chinese Frontier	1	Chapter 11 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Generated China open-model DeepSeek, shown as a public web page Alibaba Cloud Baidu Xiaomi Frontier Labs And Model Families Lab and pla	Context Images: Chapter 12, The Chinese Frontier	5	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	13	Benchmarks, Arenas, and the Mirage of Rank	1	Chapter 13 Image Sequence Images placed with this chapter to keep the visual evidence close to the story LMArena historical leaderboard chart. Figure 13.x - LMArena/Arena historical text_style_control leaderboard, latest split, overall cate	Context Images: Chapter 13, Benchmarks, Arenas, and the Mirage of Rank	11	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	14	NVIDIA and CUDA: The Moat Under the Moat	1	Chapter 14 Image Sequence Images placed with this chapter to keep the visual evidence close to the story NVIDIA AI, shown as a public web page Nvidia Gtc, shown as a public web page AMD Instinct, shown as a public web page ASML, shown as a 	Context Images: Chapter 14, NVIDIA and CUDA: The Moat Under the Moat	22	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	15	GTC 2026: The AI Factory Sells Itself	1	Chapter 15 Image Sequence Images placed with this chapter to keep the visual evidence close to the story AI factory stack visual GTC page 29 AI factory thesis card. Figure 15.x - GTC Page 29: AI Factory Thesis GTC page 45 inference compute 	Context Images: Chapter 15, GTC 2026: The AI Factory Sells Itself	20	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	16	Datacenters, Power, and the Physical Internet	1	Chapter 16 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Chapter 16 N16-1 note layout mock. Figure 16.x - N16-1 Note Layout Mock Chapter 16 parent inline-cue render. Figure 16.x - Parent Inlin	Context Images: Chapter 16, Datacenters, Power, and the Physical Internet	4	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	17	Data, Tokens, and the Library Problem	1	Chapter 17 Image Sequence Images placed with this chapter to keep the visual evidence close to the story visual grammar prototype visual grammar prototype Databricks ML, shown as a public web page Snowflake Cortex, shown as a public web pag	Context Images: Chapter 17, Data, Tokens, and the Library Problem	10	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	18	Tools, Retrieval, and the Agent Turn	1	Chapter 18 Image Sequence Images placed with this chapter to keep the visual evidence close to the story LangChain OpenTelemetry Ray Dask Agent And Application Runtime Stack Agent software needs frameworks, APIs, runtimes, and web stacks; t	Context Images: Chapter 18, Tools, Retrieval, and the Agent Turn	4	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	19	Code as the Second Native Language	1	Chapter 19 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Chapter 19 code-as-language ladder Chapter 19 editor-to-repository workflow Chapter 19 coding benchmark ladder Chapter 19 repository-as	Context Images: Chapter 19, Code as the Second Native Language	8	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	20	Claude Code and the Industrialization of Pair Programming	1	Chapter 20 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Chapter 20 coding-agent harness loop Chapter 20 coding benchmark caveat matrix Chapter 20 tool-call lifecycle Workflow claims are allow	Context Images: Chapter 20, Claude Code and the Industrialization of Pair Programming	22	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	21	Reasoning, Test-Time Compute, and the New Scaling Axis	1	Chapter 21 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Chapter 21 train-time versus test-time compute axes Chapter 21 verifier/search loop Chapter 21 inference-contract matrix Chapter 21 rea	Context Images: Chapter 21, Reasoning, Test-Time Compute, and the New Scaling Axis	4	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	22	The Economics of Intelligence on Tap	1	Chapter 22 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Chapter 22 token meter Chapter 22 routing/caching/batching levers Chapter 22 subscription/API/bundle map Chapter 22 margin and ROI bloc	Context Images: Chapter 22, The Economics of Intelligence on Tap	4	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	23	Failure Modes, Truth, and Trust	1	Chapter 23 Image Sequence Images placed with this chapter to keep the visual evidence close to the story Sparks of AGI paper first-page surface, shown as a report page Percy Liang Economics, Trust, And Evaluation Pricing, productivity block	Context Images: Chapter 23, Failure Modes, Truth, and Trust	2	moved_after_chapter_opening_context; collapsed_chapter_separators=1
I-0318	24	Next Token	1	Chapter 24 Image Sequence Images placed with this chapter to keep the visual evidence close to the story xAI, shown as a public web page Crusoe Cloud, shown as a public web page And Source Notes Paid access became a product surface source e	Context Images: Chapter 24, Next Token	2	moved_after_chapter_opening_context; collapsed_chapter_separators=1
