pass_id	figure_id	chapter	chapter_anchor	asset_id	asset_type	figure_title	inserted_after_heading	planned_status	rights_status	caption_gate	provenance_gate	placement_status	next_gate
I-0242	F07.01	CH07	ch07-fig01	A-0016	svg_diagram	ChatGPT: From Interface Event To Business Surface	The Box	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Retain blocked adoption lane.
I-0242	F07.02	CH07	ch07-fig02	A-0036	screenshot_slot	ChatGPT launch surface	The Product Was A Training Method With A Face	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash or use archival fallback.
I-0242	F07.03	CH07	ch07-fig03	A-0037	screenshot_slot	ChatGPT Plus conversion	From Answer Box To Platform	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Choose one of A-0037/A-0122 in final layout.
I-0242	F07.04	CH07	ch07-fig04	A-0038	screenshot_slot	ChatGPT Enterprise launch surface	The Cloud Behind The Conversation	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block productivity and customer outcomes.
I-0242	F07.05	CH07	ch07-fig05	A-0039	screenshot_slot	ChatGPT plugins surface	Why Everyone Had To Answer	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block ecosystem adoption.
I-0242	F08.01	CH08	ch08-fig01	A-0056	svg_diagram	Microsoft/OpenAI: The Cloud Bargain Timeline	The Backend Becomes The Plot	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Check if chapter can carry four diagrams.
I-0242	F08.02	CH08	ch08-fig02	A-0057	svg_diagram	Cloud-To-Product Flywheel	Licensing The Primitive	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Prune if it duplicates A-0056 in layout.
I-0242	F08.03	CH08	ch08-fig03	A-0058	svg_diagram	Inference Cost Stack: What The Chat Box Hides	The 2023 Extension	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep for economics handoff.
I-0242	F08.04	CH08	ch08-fig04	A-0059	svg_diagram	Enterprise Claim Blocker Map	Search, Office, And The Incumbent's Revenge	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	May become appendix/sidebar if chapter feels over-diagrammed.
I-0242	F09.01	CH09	ch09-fig01	A-0086	svg_diagram	Research Became Product In Stages	The Company That Had Already Built the Future	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep benchmark/adoption blockers visible.
I-0242	F09.02	CH09	ch09-fig02	A-0087	svg_diagram	Google's Gemini Question Was Surface Conversion	Bard As Defensive Interface	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Check overlap with A-0086.
I-0242	F09.03	CH09	ch09-fig03	A-0088	svg_diagram	Long Context Became A Product Grammar	Long Context As Product Grammar	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify exact source rows before final caption.
I-0242	F09.04	CH09	ch09-fig04	A-0089	svg_diagram	The Tempting Gemini Claims Need Different Evidence	Search Gravity	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Use if prose makes tempting claims nearby.
I-0242	F09.05	CH09	ch09-fig05	A-0129	screenshot_slot	Gemini/Bard Product Surface	Developers, Cloud, And The Second Audience	selected_pending_capture	private_capture_needed	claim_language_review;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block Search-share and productivity claims.
I-0242	F10.01	CH10	ch10-fig01	A-0030	svg_diagram	Llama Family Open-Weight Map	The Downloadable Object	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Check current license-state caveats.
I-0242	F10.02	CH10	ch10-fig02	A-0112	svg_diagram	Open-Weight Control Stack	Llama 2 Turns Openness Into Strategy	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Prioritize over duplicate Llama screenshots.
I-0242	F10.03	CH10	ch10-fig03	A-0113	svg_diagram	What Moves To The Adopter	Llama 3 Becomes A Herd	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Use with Chapter 10 prose, not as generic open-source claim.
I-0242	F10.04	CH10	ch10-fig04	A-0044	screenshot_slot	LLaMA launch surface	The Economics of Giving Away The Machine	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block adoption.
I-0242	F10.05	CH10	ch10-fig05	A-0047	screenshot_slot	Llama GitHub surface	The Open-Weight Caveats	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; mutable repo numbers blocked.
I-0242	F11.01	CH11	ch11-fig01	A-0031	svg_diagram	China Open-Model Source Map	Too Important To Treat As A Footnote	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Update if later Qwen/DeepSeek sources mature.
I-0242	F11.02	CH11	ch11-fig02	A-0118	svg_diagram	Supported Lanes And Visible Gaps	Qwen and the Alibaba Route	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep as chapter control surface.
I-0242	F11.03	CH11	ch11-fig03	A-0048	source_screenshot_slot	Qwen2 source surface	GLM, Kimi, and The Broader Frontier	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; do not rank.
I-0242	F11.04	CH11	ch11-fig04	A-0049	source_screenshot_slot	Qwen3 source surface	Hardware Constraints and Model Style	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; Qwen 3.5/3.6 remains blocked.
I-0242	F11.05	CH11	ch11-fig05	A-0050	source_screenshot_slot	DeepSeek-R1 source surface	Why The Frontier Became Multipolar	selected_pending_capture	private_capture_needed	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; benchmark extraction separate.
I-0242	F12.01	CH12	ch12-fig01	A-0094	svg_diagram	Constitutional AI As Behavior Grammar	The Race Outside the Center	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Confirm Chapter 12 title/placement.
I-0242	F12.02	CH12	ch12-fig02	A-0095	svg_diagram	Claude Becomes A Product Family	xAI Makes Speed a Strategy	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Check overlap with A-0130.
I-0242	F12.03	CH12	ch12-fig03	A-0096	svg_diagram	From Assistant To Action Surface	"What ""Rest of Frontier"" Cannot Be Allowed to Mean"	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Pair with source screenshot only once.
I-0242	F12.04	CH12	ch12-fig04	A-0097	svg_diagram	The Tempting Claude Claims Are Not The Sourced Ones	Constitutional AI as Product Grammar	selected_pending_render	ready_svg	caption_long;claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Use near prose with safety temptation.
I-0242	F12.05	CH12	ch12-fig05	A-0119	screenshot_slot	Computer Use Source Surface	Sonnet Becomes The Workhorse	selected_pending_capture	private_capture_needed	claim_language_review;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block autonomy.
I-0242	F12.06	CH12	ch12-fig06	A-0130	screenshot_slot	Claude Product Surface	The Distribution Layer: APIs, Clouds, and Protocols	selected_pending_capture	private_capture_needed	claim_language_review;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block safety success.
I-0242	F13.01	CH13	ch13-fig01	A-0014	svg_diagram	How Arena Rows Become Rank Claims	The Desire For A Crown	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep before A-0013 in reading order.
I-0242	F13.02	CH13	ch13-fig02	A-0013	svg_chart	LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19.	Why The Best Model Sentence Fails	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	No live rank; snapshot caption required.
I-0242	F13.03	CH13	ch13-fig03	A-0019	svg_diagram	Price-Quality Exclusion Map	Benchmarks Are Not Escape Hatches	selected_pending_render	ready_svg	caption_long	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep if economics chapter does not repeat it.
I-0242	F14.01	CH14	ch14-fig01	A-0071	svg_diagram	CUDA Stack: The Moat Under The Moat	The Invisible Platform Under The Miracle	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Do not broaden into all semiconductor history.
I-0242	F14.02	CH14	ch14-fig02	A-0072	svg_diagram	GPU Memory and Interconnect: The Traffic Pattern	Parallelism Becomes A Habit	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify legibility at book trim.
I-0242	F14.03	CH14	ch14-fig03	A-0073	svg_diagram	Training vs Inference: Two Capacity Problems	Libraries As Strategy	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep if not redundant with GTC slides.
I-0242	F14.04	CH14	ch14-fig04	A-0133	photo_candidate_slot	Lithography/ASML proxy physical texture.	Blackwell, GB200, And The Rack Becomes The Computer	selected_pending_rights_review	rights_review_needed	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Find stronger ASML-machine photo or caption as proxy.
I-0242	F14.05	CH14	ch14-fig05	A-0134	photo_candidate_slot	Cleanroom manufacturing environment.	The Moat Is Also A Dependency	selected_pending_rights_review	rights_review_needed	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify exact license and attribution.
I-0242	F14.06	CH14	ch14-fig06	A-0136	photo_candidate_slot	Server racks as compute infrastructure.	What The NVIDIA Chapter Must Not Do	selected_pending_rights_review	rights_review_needed	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify license; block named workload.
I-0242	F15.01	CH15	ch15-fig01	A-0012	svg_diagram	AI Factory Stack	The Slide That Tried To Rename The Datacenter	selected_pending_render	ready_svg	rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Anchor before GTC source surfaces.
I-0242	F15.02	CH15	ch15-fig02	A-0024	svg_claim_card	GTC Page 29: AI Factory Thesis	A Keynote As A Sales Funnel For A Worldview	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Choose card or slide render, not both if crowded.
I-0242	F15.03	CH15	ch15-fig03	A-0027	svg_claim_card	GTC Page 49: System Comparison	Roadmaps Are Not Time Machines	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep caption narrow.
I-0242	F15.04	CH15	ch15-fig04	A-0028	svg_claim_card	GTC Page 50: Roadmap Cadence	Vera Rubin As A System Promise	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Block delivery/performance claims.
I-0242	F15.05	CH15	ch15-fig05	A-0029	svg_claim_card	GTC Page 51: DSX Platform Frame	DSX: The Factory Becomes A Reference Design	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Pair with Chapter 16 handoff.
I-0242	F15.06	CH15	ch15-fig06	A-0004	extracted_slide_render	NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue.	From Tokens To Capital Equipment	selected_pending_source_surface_review	local_ignored_hash_available	claim_language_review;rights_or_private_use_cue_required	source_id_missing_for_non_codex;selection_rights_mismatch	section_callout_inserted_not_final_layout	Choose against A-0024; avoid duplication.
I-0242	F15.07	CH15	ch15-fig07	A-0106	source_screenshot_slot	NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric.	The Moat Under The Factory	selected_pending_source_surface_review	local_ignored_hash_available	rights_or_private_use_cue_required	selection_rights_mismatch	section_callout_inserted_not_final_layout	Use as private evidence handle or final source surface after rights review.
I-0242	F16.01	CH16	ch16-fig01	A-0015	svg_diagram	Power To Token Flow	The Small Share That Became A Local Problem	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep as physical-internet spine.
I-0242	F16.02	CH16	ch16-fig02	A-0020	svg_diagram	Data-Centre Load Scenarios	Geography Beats Averages	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Ensure forecasts stay labeled.
I-0242	F16.03	CH16	ch16-fig03	A-0021	svg_diagram	The Interconnection Queue	The Queue Behind The Plug	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Pair with physical grid photo if possible.
I-0242	F16.04	CH16	ch16-fig04	A-0022	svg_diagram	Cooling And Rack Density Are Constraints, Not Plumbing	The Fuel Mix Is Not A Press Release	selected_pending_render	ready_svg	caption_long	provenance_contract_ok	section_callout_inserted_not_final_layout	Consider replacing with photo if layout is diagram-heavy.
I-0242	F16.05	CH16	ch16-fig05	A-0023	svg_diagram	Clean Procurement Is Not Physical Supply	Cooling Is Where The Slide Meets The Floor	selected_pending_render	ready_svg	caption_long	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep near PPA/clean-power prose.
I-0242	F16.06	CH16	ch16-fig06	A-0137	photo_candidate_slot	Data-center hall physical texture.	From Tokens Back To Land	selected_pending_rights_review	rights_review_needed	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify original license trail.
I-0242	F16.07	CH16	ch16-fig07	A-0139	photo_candidate_slot	Grid interconnection texture.	Useful Capacity Is Not Nameplate Capacity	selected_pending_rights_review	rights_review_needed	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify license; no site-service claim.
I-0242	F16.08	CH16	ch16-fig08	A-0141	photo_candidate_slot	Gas turbine speed-to-power texture.	What This Chapter Must Not Claim	selected_pending_rights_review	rights_review_needed	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify license and caption as generic.
I-0242	F16.09	CH16	ch16-fig09	A-0143	photo_candidate_slot	Nuclear/cooling tower power texture.	The Race For The Right To Plug In	selected_pending_rights_review	rights_review_needed	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify license and attribution.
I-0242	F17.01	CH17	ch17-fig01	A-0064	svg_diagram	Tokenization Ladder	The Library Before the Factory	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify tokenizer caveats stay visible.
I-0242	F17.02	CH17	ch17-fig02	A-0065	svg_diagram	Web Corpus Filter Funnel	Common Crawl and the Dirty Ocean	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Block closed-corpus composition claims.
I-0242	F17.03	CH17	ch17-fig03	A-0066	svg_diagram	Data Mixture Control Board	Long Context Is Not the Whole Library	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep schematic, not measured shares.
I-0242	F17.04	CH17	ch17-fig04	A-0067	svg_diagram	Memorization and Contamination Blocker Map	Synthetic Data and the Second Library	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep prevalence claims blocked.
I-0242	F18.01	CH18	ch18-fig01	A-0060	svg_diagram	RAG Evidence Conveyor	The Text Box Grows Hands	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Do not duplicate trust chapter.
I-0242	F18.02	CH18	ch18-fig02	A-0061	svg_diagram	Function-Call Boundary	Retrieval: Memory Without Memory	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Pair with API docs screenshot.
I-0242	F18.03	CH18	ch18-fig03	A-0062	svg_diagram	Agent Loop as Harness	Plugins, Computers, Connectors	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep distinct from Chapter 20.
I-0242	F18.04	CH18	ch18-fig04	A-0063	svg_diagram	Prompt Injection Boundary	Reasoning Plus Acting	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep near untrusted-retrieval prose.
I-0242	F18.05	CH18	ch18-fig05	A-0124	screenshot_slot	ChatGPT Tool Surface	The Harness Is The Product	selected_pending_capture	private_capture_needed	claim_language_review;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block adoption.
I-0242	F19.01	CH19	ch19-fig01	A-0090	svg_diagram	Code Was The Second Native Language	The Language That Compiles	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Check density with prose.
I-0242	F19.02	CH19	ch19-fig02	A-0091	svg_diagram	The Assistant Entered At The Cursor	From Snippet To Companion	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Pair with one screenshot only.
I-0242	F19.03	CH19	ch19-fig03	A-0092	svg_diagram	Coding Scores Need A Harness Story	The Contest Laboratory	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Do not repeat Chapter 20 matrix.
I-0242	F19.04	CH19	ch19-fig04	A-0093	svg_diagram	The Repository Became The Prompt	Open Code Models And The Diffusion Of Skill	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep as chapter-ending setup.
I-0242	F19.05	CH19	ch19-fig05	A-0127	screenshot_slot	GitHub Copilot Coding Surface	The Repository Becomes The Prompt	selected_pending_capture	private_capture_needed	claim_language_review;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block productivity.
I-0242	F20.01	CH20	ch20-fig01	A-0032	svg_diagram	Coding Agent Harness Loop	The Terminal Becomes A Colleague	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep human review boundary.
I-0242	F20.02	CH20	ch20-fig02	A-0033	svg_diagram	Coding Benchmark Caveat Matrix	From Prompt To Work Order	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep near benchmark prose.
I-0242	F20.03	CH20	ch20-fig03	A-0034	svg_diagram	Tool-Call Lifecycle	The Benchmark Was A Door, Not A Destination	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Pair with Claude Code docs.
I-0242	F20.04	CH20	ch20-fig04	A-0035	svg_diagram	Productivity Claim Blocker Map	The New Pair Programming	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Use if chapter has vendor-product claims.
I-0242	F20.05	CH20	ch20-fig05	A-0131	screenshot_slot	Claude Code Surface	What The Agent Still Cannot Own	selected_pending_capture	private_capture_needed	claim_language_review;rights_or_private_use_cue_required	provenance_contract_ok	section_callout_inserted_not_final_layout	Capture/hash; block autonomy.
I-0242	F21.01	CH21	ch21-fig01	A-0078	svg_diagram	Reasoning Adds A New Compute Axis	21. Reasoning, Test-Time Compute, and the New Scaling Axis	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep train-time vs answer-time distinction.
I-0242	F21.02	CH21	ch21-fig02	A-0079	svg_diagram	Reasoning Is A Loop, Not A Magic Thought Bubble	21. Reasoning, Test-Time Compute, and the New Scaling Axis	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Caption must block truth guarantees.
I-0242	F21.03	CH21	ch21-fig03	A-0080	svg_diagram	A Reasoning Score Needs An Inference Contract	21. Reasoning, Test-Time Compute, and the New Scaling Axis	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Use before benchmark mentions.
I-0242	F21.04	CH21	ch21-fig04	A-0081	svg_diagram	How Much Thinking Is This Worth? Fast path, think path, tool path, and human escalation/refusal are schematic routing lanes.	21. Reasoning, Test-Time Compute, and the New Scaling Axis	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep value claims blocked.
I-0242	F22.01	CH22	ch22-fig01	A-0082	svg_diagram	The Meter Is Visible Before The Margin Is Knowable	The Meter Appears	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Verify price/currentness caveats.
I-0242	F22.02	CH22	ch22-fig02	A-0083	svg_diagram	Routing, Caching, Batching, Distillation	The API Turns Intelligence Into Units	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep distinct from Chapter 8 cost stack.
I-0242	F22.03	CH22	ch22-fig03	A-0084	svg_diagram	Intelligence Is Sold Through More Than One Door	Inference Rent	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Caption blocks margin and ARR claims.
I-0242	F22.04	CH22	ch22-fig04	A-0085	svg_diagram	The Tempting Economics Claims Are Not The Sourced Ones	The Subsidy Question	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Use as sidebar if layout is dense.
I-0242	F23.01	CH23	ch23-fig01	A-0074	svg_diagram	Failure Modes Are Different Claims	23. Failure Modes, Truth, and Trust	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Prevent incident montage.
I-0242	F23.02	CH23	ch23-fig02	A-0075	svg_diagram	Trust Is A Stack	23. Failure Modes, Truth, and Trust	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Check if final chapter repeats it.
I-0242	F23.03	CH23	ch23-fig03	A-0076	svg_diagram	Every Evaluation Casts A Shadow	23. Failure Modes, Truth, and Trust	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Use with benchmark chapters cross-reference.
I-0242	F23.04	CH23	ch23-fig04	A-0077	svg_diagram	From Answer To Auditable Claim	23. Failure Modes, Truth, and Trust	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Pair with source-density prose.
I-0242	F24.01	CH24	ch24-fig01	A-0108	svg_diagram	From Next Token To Computing Stack	24. Next Token	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep from becoming generic summary wallpaper.
I-0242	F24.02	CH24	ch24-fig02	A-0109	svg_diagram	Five Conversion Gates	24. Next Token	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Use if final prose follows conversion motif.
I-0242	F24.03	CH24	ch24-fig03	A-0110	svg_diagram	Unsettled By The Cutoff	24. Next Token	selected_pending_render	ready_svg	caption_contract_ok	provenance_contract_ok	section_callout_inserted_not_final_layout	Keep if not too apparatus-heavy.
I-0242	F24.04	CH24	ch24-fig04	A-0111	svg_diagram	Human Judgment Loop	24. Next Token	selected_pending_render	ready_svg	claim_language_review	provenance_contract_ok	section_callout_inserted_not_final_layout	Use as closing visual if layout has room.
