pass_id	compressed_cluster_id	use_count	source_ids	claim_ids	cluster_note
I-0267	CL-00325	3	S-0023		S-0023 - Llama 2: Open Foundation and Fine-Tuned Chat Models (Touvron et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2307.09288) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00327	3	S-0025		S-0025 - Code Llama: Open Foundation Models for Code (Meta AI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2308.12950) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00331	3	S-0038		S-0038 - Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks (Lewis et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2005.11401) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00715	3	S-0039;S-0040		S-0039 - NVIDIA H100 Tensor Core GPU Architecture (NVIDIA; whitepaper; primary; accessed 2026-05-24; https://resources.nvidia.com/en-us-tensor-core/nvidia-tensor-core-gpu-datasheet) | S-0040 - NVIDIA Blackwell Architecture (NVIDIA; architecture page; primary; accessed 2026-05-24; https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00325	3	S-0050		S-0050 - Claude Code security (Anthropic; documentation; primary; accessed 2026-05-24; https://docs.anthropic.com/en/docs/claude-code/security) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00327	3	S-0052		S-0052 - Evaluating Large Language Models Trained on Code (Chen et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2107.03374) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00330	3	S-0055		S-0055 - Introducing the Model Context Protocol (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/model-context-protocol) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00327	3	S-0070		S-0070 - Introducing GitHub Copilot: your AI pair programmer (GitHub; product post; primary; accessed 2026-05-24; https://github.blog/news-insights/product-news/introducing-github-copilot-ai-pair-programmer/) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00332	3	S-0075		S-0075 - Model Spec (2024/05/08) (OpenAI; behavior specification; primary; accessed 2026-05-25; https://cdn.openai.com/spec/model-spec-2024-05-08.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00726	3	S-0076;S-0077		S-0076 - GPT-4 System Card (OpenAI; system card; primary; accessed 2026-05-25; https://cdn.openai.com/papers/gpt-4-system-card.pdf) | S-0077 - GPT-4o System Card (OpenAI; system card; primary; accessed 2026-05-25; https://cdn.openai.com/gpt-4o-system-card.pdf) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00335	3	S-0087		S-0087 - Recommendations on Powering Artificial Intelligence and Data Center Infrastructure (U.S. Secretary of Energy Advisory Board; report; primary; accessed 2026-05-25; https://www.energy.gov/sites/default/files/2024-08/Powering%20AI%20and%20Data%20Center%20Infrastructure%20Recommendations%20July%202024.pdf) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00326	3	S-0105		S-0105 - Efficient Estimation of Word Representations in Vector Space (Mikolov, Chen, Corrado, and Dean; arXiv / Google Research paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1301.3781) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00328	3	S-0107		S-0107 - Neural Machine Translation by Jointly Learning to Align and Translate (Bahdanau, Cho, and Bengio; arXiv paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1409.0473) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00330	3	S-0118		S-0118 - Sign up to try Bard from Google (Google; product blog local capture; primary vendor; accessed 2026-05-25; assets/source_docs/google_deepmind/S-0118_try-bard-google-blog.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-01864	2	S-0002;S-0104;S-0105;S-0106;S-0107		S-0002 - Attention Is All You Need (Vaswani et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/1706.03762) | S-0104 - A Neural Probabilistic Language Model (Bengio, Ducharme, Vincent, and Jauvin; JMLR paper; primary; accessed 2026-05-25; https://jmlr.org/papers/v3/bengio03a.html) | S-0105 - Efficient Estimation of Word Representations in Vector Space (Mikolov, Chen, Corrado, and Dean; arXiv / Google Research paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1301.3781) | S-0106 - Sequence to Sequence Learning with Neural Networks (Sutskever, Vinyals, and Le; arXiv / NeurIPS paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1409.3215) | S-0107 - Neural Machine Translation by Jointly Learning to Align and Translate (Bahdanau, Cho, and Bengio; arXiv paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1409.0473) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00710	2	S-0002;S-0108		S-0002 - Attention Is All You Need (Vaswani et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/1706.03762) | S-0108 - Transformer: A Novel Neural Network Architecture for Language Understanding (Google Research; official research blog; primary official commentary; accessed 2026-05-25; https://research.google/blog/transformer-a-novel-neural-network-architecture-for-language-understanding/) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-01088	2	S-0004;S-0011;S-0013		S-0004 - Language Models are Few-Shot Learners (Brown et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2005.14165) | S-0011 - Improving Language Understanding by Generative Pre-Training (OpenAI; paper; primary; accessed 2026-05-24; https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf) | S-0013 - Language Models are Unsupervised Multitask Learners (Radford et al.; paper; primary; accessed 2026-05-24; https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00328	2	S-0008		S-0008 - The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation (Meta AI; product post; primary; accessed 2026-05-24; https://ai.meta.com/blog/llama-4-multimodal-intelligence/) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-01864	2	S-0008;S-0023;S-0024;S-0111;S-0114		S-0008 - The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation (Meta AI; product post; primary; accessed 2026-05-24; https://ai.meta.com/blog/llama-4-multimodal-intelligence/) | S-0023 - Llama 2: Open Foundation and Fine-Tuned Chat Models (Touvron et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2307.09288) | S-0024 - The Llama 3 Herd of Models (Meta AI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2407.21783) | S-0111 - Introducing LLaMA: A foundational, 65-billion-parameter large language model (Meta AI; product post; primary local HTML asset; accessed 2026-05-25; https://ai.meta.com/blog/large-language-model-llama-meta-ai/) | S-0114 - Meta Llama GitHub repository (Meta Llama; GitHub repository page; primary local HTML asset; accessed 2026-05-25; https://github.com/meta-llama/llama) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00706	2	S-0012;S-0013		S-0012 - Better Language Models and Their Implications (OpenAI; research post; primary; accessed 2026-05-24; https://openai.com/index/better-language-models/) | S-0013 - Language Models are Unsupervised Multitask Learners (Radford et al.; paper; primary; accessed 2026-05-24; https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00715	2	S-0014;S-0074		S-0014 - Training language models to follow instructions with human feedback (Ouyang et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2203.02155) | S-0074 - Aligning language models to follow instructions (OpenAI; research/product post; primary; accessed 2026-05-25; https://openai.com/index/instruction-following/) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00327	2	S-0016		S-0016 - PaLM: Scaling Language Modeling with Pathways (Chowdhery et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2204.02311) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00324	2	S-0022		S-0022 - Claude Code overview (Anthropic; documentation; primary; accessed 2026-05-24; https://docs.anthropic.com/en/docs/claude-code/overview) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00710	2	S-0023;S-0024		S-0023 - Llama 2: Open Foundation and Fine-Tuned Chat Models (Touvron et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2307.09288) | S-0024 - The Llama 3 Herd of Models (Meta AI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2407.21783) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00326	2	S-0024		S-0024 - The Llama 3 Herd of Models (Meta AI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2407.21783) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00329	2	S-0027		S-0027 - Qwen3 Technical Report (Qwen Team; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2505.09388) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00330	2	S-0028		S-0028 - DeepSeek-V3 Technical Report (DeepSeek-AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2412.19437) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00331	2	S-0029		S-0029 - DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning (DeepSeek-AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2501.12948) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-01497	2	S-0036;S-0056;S-0057;S-0080		S-0036 - Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference (LMSYS; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2403.04132) | S-0056 - LMArena Leaderboard (LMArena; live leaderboard; primary; accessed 2026-05-24; https://lmarena.ai/leaderboard/) | S-0057 - LMArena Leaderboard Policy (LMArena; policy page; primary; accessed 2026-05-24; https://news.lmarena.ai/policy/) | S-0080 - Arena Leaderboard Dataset (lmarena-ai; Hugging Face historical dataset; primary; accessed 2026-05-25; https://huggingface.co/datasets/lmarena-ai/leaderboard-dataset) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00716	2	S-0036;S-0080		S-0036 - Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference (LMSYS; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2403.04132) | S-0080 - Arena Leaderboard Dataset (lmarena-ai; Hugging Face historical dataset; primary; accessed 2026-05-25; https://huggingface.co/datasets/lmarena-ai/leaderboard-dataset) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00330	2	S-0037		S-0037 - LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code (Jain et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2403.07974) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00715	2	S-0041;S-0047		S-0041 - Microsoft announces new supercomputer, lays out vision for future AI work (Microsoft; official blog; primary; accessed 2026-05-24; https://blogs.microsoft.com/blog/2020/05/19/microsoft-announces-new-supercomputer-lays-out-vision-for-future-ai-work/) | S-0047 - Microsoft and OpenAI extend partnership (Microsoft; official blog; primary; accessed 2026-05-24; https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00328	2	S-0044		S-0044 - ChatGPT plugins (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/blog/chatgpt-plugins) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00332	2	S-0048		S-0048 - Claude 3.7 Sonnet and Claude Code (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/claude-3-7-sonnet) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-01487	2	S-0060;S-0061;S-0062;S-0063		S-0060 - Claude API pricing (Anthropic; pricing page; primary; accessed 2026-05-24; https://platform.claude.com/docs/en/about-claude/pricing) | S-0061 - Gemini Developer API Pricing (Google AI for Developers; pricing page; primary; accessed 2026-05-24; https://ai.google.dev/gemini-api/docs/pricing) | S-0062 - Models and Pricing (xAI; documentation; primary; accessed 2026-05-24; https://docs.x.ai/docs/models) | S-0063 - Mistral Docs: Models (Mistral AI; documentation; primary; accessed 2026-05-24; https://docs.mistral.ai/models) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00331	2	S-0092		S-0092 - Sam Altman X post: ChatGPT crossed one million users (Sam Altman; X/social post; personal primary; accessed 2026-05-25; https://twitter.com/sama/status/1599668808285028353) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00325	2	S-0104		S-0104 - A Neural Probabilistic Language Model (Bengio, Ducharme, Vincent, and Jauvin; JMLR paper; primary; accessed 2026-05-25; https://jmlr.org/papers/v3/bengio03a.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00327	2	S-0106		S-0106 - Sequence to Sequence Learning with Neural Networks (Sutskever, Vinyals, and Le; arXiv / NeurIPS paper; primary; accessed 2026-05-25; https://arxiv.org/abs/1409.3215) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00322	2	S-0110		S-0110 - The Claude 3 Model Family: Opus, Sonnet, Haiku (Anthropic; model card PDF; primary local PDF asset; accessed 2026-05-25; https://assets.anthropic.com/m/61e7d27f8c8f5919/original/Claude-3-Model-Card.pdf) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00327	2	S-0115		S-0115 - PaLM: Scaling Language Modeling with Pathways (Chowdhery et al.; arXiv abs local capture; primary; accessed 2026-05-25; assets/source_docs/google_deepmind/S-0115_palm-arxiv-abs.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00324	2	S-0121		S-0121 - Introducing Gemini: Google's most capable AI model (Google and Google DeepMind; product blog local capture; primary vendor; accessed 2026-05-25; assets/source_docs/google_deepmind/S-0121_google-gemini-ai-launch-blog.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00324	2	S-0130		S-0130 - Microsoft and OpenAI extend partnership (Microsoft; official blog local capture; primary vendor; accessed 2026-05-25; assets/source_docs/microsoft_openai/S-0130_ms-openai-2023-extend-partnership.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00326	2	S-0132		S-0132 - Introducing GitHub Copilot: your AI pair programmer (GitHub; official product post local capture; primary vendor; accessed 2026-05-25; assets/source_docs/microsoft_openai/S-0132_github-copilot-ai-pair-programmer.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00328	2	S-0134		S-0134 - Function calling and other API updates (OpenAI; product/API post; primary candidate; accessed 2026-05-25; https://openai.com/blog/function-calling-and-other-api-updates) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00718	2	S-0135;S-0136		S-0135 - ReAct: Synergizing Reasoning and Acting in Language Models (Yao et al.; arXiv abs local capture; primary; accessed 2026-05-25; assets/source_docs/tools_agents/S-0135_react-arxiv-abs.html) | S-0136 - Toolformer: Language Models Can Teach Themselves to Use Tools (Schick et al.; arXiv abs local capture; primary; accessed 2026-05-25; assets/source_docs/tools_agents/S-0136_toolformer-arxiv-abs.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00331	2	S-0137		S-0137 - Prompt Injection Attacks Against GPT-3 (Crothers et al.; arXiv abs local capture; primary candidate; accessed 2026-05-25; assets/source_docs/tools_agents/S-0137_prompt-injection-arxiv-abs.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00332	2	S-0138		S-0138 - CUDA C++ Programming Guide (NVIDIA; documentation local capture; primary vendor; accessed 2026-05-25; assets/source_docs/nvidia_cuda/S-0138_cuda_programming_guide.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-00332	2	S-0147		S-0147 - Medium is the new large (Mistral AI; product post local capture; primary vendor; accessed 2026-05-26; assets/source_docs/frontier_i0119/S-0147_mistral-medium-3.html) | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-01865	1	S-0026;S-0027;S-0028;S-0029	C-0007	S-0026 - Qwen2 Technical Report (Qwen Team; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2407.10671) | S-0027 - Qwen3 Technical Report (Qwen Team; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2505.09388) | S-0028 - DeepSeek-V3 Technical Report (DeepSeek-AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2412.19437) | S-0029 - DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning (DeepSeek-AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2501.12948) | C-0007 - Chapter 11 supports Qwen2, Qwen3, DeepSeek-V3, and DeepSeek-R1 from local primary-source surfaces while keeping Qwen 3.5, Qwen 3.6, and DeepSeek V4-era references quarantined as gap-only, not happened-release prose. | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-02630	1	S-0026;S-0027;S-0028;S-0029;S-0030;S-0031	C-0007	S-0026 - Qwen2 Technical Report (Qwen Team; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2407.10671) | S-0027 - Qwen3 Technical Report (Qwen Team; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2505.09388) | S-0028 - DeepSeek-V3 Technical Report (DeepSeek-AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2412.19437) | S-0029 - DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning (DeepSeek-AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2501.12948) | S-0030 - GLM-4: Open Multilingual Multimodal Chat LMs (Zhipu AI / THUDM; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2406.12793) | S-0031 - Kimi k1.5: Scaling Reinforcement Learning with LLMs (Moonshot AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2501.12599) | C-0007 - Chapter 11 supports Qwen2, Qwen3, DeepSeek-V3, and DeepSeek-R1 from local primary-source surfaces while keeping Qwen 3.5, Qwen 3.6, and DeepSeek V4-era references quarantined as gap-only, not happened-release prose. | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-03405	1	S-0007;S-0022;S-0035;S-0037;S-0048;S-0049;S-0050;S-0051	C-0013	S-0007 - Introducing Claude 4 (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/claude-4) | S-0022 - Claude Code overview (Anthropic; documentation; primary; accessed 2026-05-24; https://docs.anthropic.com/en/docs/claude-code/overview) | S-0035 - SWE-bench: Can Language Models Resolve Real-World GitHub Issues? (Princeton NLP; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2310.06770) | S-0037 - LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code (Jain et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2403.07974) | S-0048 - Claude 3.7 Sonnet and Claude Code (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/claude-3-7-sonnet) | S-0049 - Best practices for Claude Code (Anthropic; documentation; primary; accessed 2026-05-24; https://code.claude.com/docs/en/best-practices) | S-0050 - Claude Code security (Anthropic; documentation; primary; accessed 2026-05-24; https://docs.anthropic.com/en/docs/claude-code/security) | S-0051 - Claude Code common workflows (Anthropic; documentation; primary; accessed 2026-05-24; https://docs.anthropic.com/en/docs/claude-code/common-workflows) | C-0013 - Claude 4 and coding-agent benchmark material may explain SWE-bench, LiveCodeBench, benchmark scaffolds, and evaluation caveats, but no Claude 4 numeric score, rank, or comparative superiority claim is promoted without a... | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-02623	1	S-0001;S-0064;S-0065;S-0066;S-0067	C-0021;C-0047	S-0001 - GTC-2026-Keynote.pdf (NVIDIA; presentation; primary; accessed 2026-05-24; local:GTC-2026-Keynote.pdf) | S-0064 - GTC 2026 News (NVIDIA; newsroom press kit; primary; accessed 2026-05-24; https://nvidianews.nvidia.com/online-press-kit/gtc-2026-news) | S-0065 - NVIDIA Launches Vera CPU, Purpose-Built for Agentic AI (NVIDIA; press release; primary; accessed 2026-05-24; https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Launches-Vera-CPU-Purpose-Built-for-Agentic-AI/default.aspx) | S-0066 - NVIDIA Releases Vera Rubin DSX AI Factory Reference Design and Omniverse DSX Digital Twin Blueprint With Broad Industry Support (NVIDIA; press release; primary; accessed 2026-05-24; https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Releases-Vera-Rubin-DSX-AI-Factory-Reference-Design-and-Omniverse-DSX-Digital-Twin-Blueprint-With-Broad-Industry-Support/default.aspx) | S-0067 - NVIDIA Launches BlueField-4 STX Storage Architecture With Broad Industry Adoption (NVIDIA; press release; primary; accessed 2026-05-24; https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Launches-BlueField-4-STX-Storage-Architecture-With-Broad-Industry-Adoption/default.aspx) | C-0021 - NVIDIA GTC performance, cost, throughput, revenue, and benchmark statements are treated as NVIDIA-attributed claims or source-actor framing, not independent happened facts, unless separately corroborated. | C-0047 - GTC slide-derived quantitative, partner, roadmap, availability, and deployment statements remain attributed NVIDIA/source-slide claims in prose, captions, and cards; they cannot be promoted as neutral facts without corr... | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
I-0267	CL-02231	1	S-0039;S-0040;S-0139;S-0140	C-0021;C-0047	S-0039 - NVIDIA H100 Tensor Core GPU Architecture (NVIDIA; whitepaper; primary; accessed 2026-05-24; https://resources.nvidia.com/en-us-tensor-core/nvidia-tensor-core-gpu-datasheet) | S-0040 - NVIDIA Blackwell Architecture (NVIDIA; architecture page; primary; accessed 2026-05-24; https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/) | S-0139 - NVIDIA Hopper Architecture In-Depth (NVIDIA; technical blog local capture; primary vendor; accessed 2026-05-25; assets/source_docs/nvidia_cuda/S-0139_hopper_architecture_blog.html) | S-0140 - NVIDIA Blackwell Architecture (NVIDIA; architecture page local capture; primary vendor with mutable-page caveat; accessed 2026-05-25; assets/source_docs/nvidia_cuda/S-0140_blackwell_architecture.html) | C-0021 - NVIDIA GTC performance, cost, throughput, revenue, and benchmark statements are treated as NVIDIA-attributed claims or source-actor framing, not independent happened facts, unless separately corroborated. | C-0047 - GTC slide-derived quantitative, partner, roadmap, availability, and deployment statements remain attributed NVIDIA/source-slide claims in prose, captions, and cards; they cannot be promoted as neutral facts without corr... | Boundary: Compressed repeated cluster; do not remove local claim caveats where prose needs them.
