pass_id	board_family	board_id	board_kind	chapter_range	title	story_purpose	asset_count	board_svg	board_svg_exists	board_sha256	html_page	caption	private_use_status	blocked_claims
I-0299	logo_people_strip	LP-PEOPLE-05	person	CH14-CH22	Hardware And Open Ecosystem Operators	The final people strip links accelerators, frontier startups, and open-model infrastructure to named public actors.	5	assets/visual_system/logo_people_strips_i0296/lp-people-05.svg	yes	5648232d3585d465507010de2a0f94411e8a048df0b7266706d0cc8b75525ec7	visual-board-lp-people-05	Hardware And Open Ecosystem Operators. The final people strip links accelerators, frontier startups, and open-model infrastructure to named public actors.	private_use_visual_strip_pending_final_layout_review	Identity and human/institutional texture only; no capability, adoption, safety, revenue, market, biography, rank, or current-product claim is promoted by this strip.
I-0299	source_surface_gallery	SS-PAPER-01	paper_report_excerpt	CH02-CH05	Transformer, GPT, And Scaling Origins	The origin gallery shows the breakthrough papers as artifacts the reader can locate, not as invisible bibliography.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-01.svg	yes	b57b65d5e68e13ced7fcdf07b79e414b6894c264241b3f472713b452869a3c4c	visual-board-ss-paper-01	Transformer, GPT, And Scaling Origins. The origin gallery shows the breakthrough papers as artifacts the reader can locate, not as invisible bibliography.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PAPER-02	paper_report_excerpt	CH06-CH11	Alignment, Open Weights, And Model Families	Instruction tuning, Constitutional AI, Meta, Google, and Qwen become visible source surfaces with claim boundaries.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-02.svg	yes	3480b3e47815d50ca52fd341f2bebe3e446732a29393319d88bc400f1b8ea04a	visual-board-ss-paper-02	Alignment, Open Weights, And Model Families. Instruction tuning, Constitutional AI, Meta, Google, and Qwen become visible source surfaces with claim boundaries.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PAPER-03	paper_report_excerpt	CH11-CH21	Reasoning, Coding, Tool Use, And Retrieval	The gallery gives the reasoning and agent chapters primary-paper handles without turning benchmark pages into universal truth.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-03.svg	yes	e21f705a6487565070d53192cac43c746f7940e15b452b001876adf9ba19d3e9	visual-board-ss-paper-03	Reasoning, Coding, Tool Use, And Retrieval. The gallery gives the reasoning and agent chapters primary-paper handles without turning benchmark pages into universal truth.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PAPER-04	paper_report_excerpt	CH02-CH09	Pretraining Lineage And Compute-Optimal Scale	BERT, T5, Chinchilla, PaLM, and chain-of-thought establish the mechanism bridge into frontier LLMs.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-04.svg	yes	8cef2c45ff242fe3720156dd7c8d7f9fe82e82199c77d6376684905073cbc225	visual-board-ss-paper-04	Pretraining Lineage And Compute-Optimal Scale. BERT, T5, Chinchilla, PaLM, and chain-of-thought establish the mechanism bridge into frontier LLMs.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PAPER-05	paper_report_excerpt	CH10-CH21	Open-Model, Code, And Benchmark Texture	Code Llama, Mistral, Mixtral, Llama 3, and LiveCodeBench make open-model and coding-eval diversity visible.	5	assets/visual_system/source_surface_galleries_i0297/ss-paper-05.svg	yes	0c72a6912b7c5f2fc3acdbb5c99325366cbd7d4854b3875ae21d5dc02c496caf	visual-board-ss-paper-05	Open-Model, Code, And Benchmark Texture. Code Llama, Mistral, Mixtral, Llama 3, and LiveCodeBench make open-model and coding-eval diversity visible.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PDF-01	pdf_deck_report_page	CH15-CH16	GTC Stagecraft: AI Factory Thesis	The first GTC gallery treats NVIDIA slides as attributed stage surfaces, not neutral infrastructure proof.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-01.svg	yes	bd6165f2cb73a7bbe3e689de8e4fafaef16a3aacc9cb2b50bd371210bc637902	visual-board-ss-pdf-01	GTC Stagecraft: AI Factory Thesis. The first GTC gallery treats NVIDIA slides as attributed stage surfaces, not neutral infrastructure proof.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PDF-02	pdf_deck_report_page	CH14-CH16	GTC Platform, Networking, And Facilities	The second GTC gallery ties software, networking, accelerator systems, and facilities into the AI-factory stack.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-02.svg	yes	aa26fc0cdc40c7d7960bff61f3ac116a1a113c79c83e3677771c0ee5fe0d5adc	visual-board-ss-pdf-02	GTC Platform, Networking, And Facilities. The second GTC gallery ties software, networking, accelerator systems, and facilities into the AI-factory stack.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PDF-03	pdf_deck_report_page	CH06-CH13	System Cards And GPT-4 Report Surfaces	System-card and GPT-4 report pages anchor safety/product disclosure without overclaiming capability or risk.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-03.svg	yes	0d5db01f9c290b997eb3728f56a443ffd9aceda99d10b97b6525e6e0cc0a8099	visual-board-ss-pdf-03	System Cards And GPT-4 Report Surfaces. System-card and GPT-4 report pages anchor safety/product disclosure without overclaiming capability or risk.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PDF-04	pdf_deck_report_page	CH15-CH16	GTC Infrastructure Constraint Surfaces	Blackwell/Rubin, NVLink, partners, power/cooling, and roadmap pages show infrastructure as staged argument.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-04.svg	yes	649f38b435e17581f2d7f88b58a0a8dcf461d347e9bc37fe0b36d29a99eaa8b3	visual-board-ss-pdf-04	GTC Infrastructure Constraint Surfaces. Blackwell/Rubin, NVLink, partners, power/cooling, and roadmap pages show infrastructure as staged argument.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	source_surface_gallery	SS-PDF-05	pdf_deck_report_page	CH09-CH13	Frontier Technical Reports Beyond The US Core	Gemini, Qwen3, GLM-4, Kimi, and Nemotron surfaces widen the model-race evidence beyond a single lab axis.	5	assets/visual_system/source_surface_galleries_i0297/ss-pdf-05.svg	yes	ca2f558a7c09bfbd94e4319e84aca40c66e47aede5e294c3da5ea7cb9265c03f	visual-board-ss-pdf-05	Frontier Technical Reports Beyond The US Core. Gemini, Qwen3, GLM-4, Kimi, and Nemotron surfaces widen the model-race evidence beyond a single lab axis.	private_use_source_surface_gallery_pending_final_layout_review	Private-use source-surface gallery only; no capability, safety, adoption, deployment, revenue, live-rank, benchmark-superiority, or roadmap-delivery claim is promoted by the gallery.
I-0299	chart_data_svg_atlas	ATLAS-01	chart_data_svg	CH01-CH05	Language Model Foundations	Tokens, attention, GPT lineage, scaling, and early benchmark context.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-01.svg	yes	308cb59c0893f282b1c9096e42e624b0f1068f64a2190935fe7d2a9d92d113b7	visual-board-atlas-01	Language Model Foundations. Tokens, attention, GPT lineage, scaling, and early benchmark context.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-02	chart_data_svg	CH06-CH08	Assistant Product Grammar	Instruction tuning, product surfaces, enterprise blockers, and behavior boundaries.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-02.svg	yes	7cb08ba29075c8a90239780a403e18d1189e41eea938310e47f87372c892949d	visual-board-atlas-02	Assistant Product Grammar. Instruction tuning, product surfaces, enterprise blockers, and behavior boundaries.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-03	chart_data_svg	CH09-CH13	Model Race And Benchmark Memory	Yearly landscape tables and model-race memory aids that do not claim live rank.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-03.svg	yes	0a4d6d257c9b021e0417d734ce31eeb43739a4896a9232d45cff541245b56122	visual-board-atlas-03	Model Race And Benchmark Memory. Yearly landscape tables and model-race memory aids that do not claim live rank.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-04	chart_data_svg	CH09-CH12	Labs, Open Weights, And Plural Frontier	Google, Meta, China, Anthropic, and open-model structure.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-04.svg	yes	8b112fa6b1cdc8b980bea5ba1dfff7d09ef44ce5c5b5d5505a85861a42a8d26d	visual-board-atlas-04	Labs, Open Weights, And Plural Frontier. Google, Meta, China, Anthropic, and open-model structure.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-05	chart_data_svg	CH14-CH16	Hardware, CUDA, And AI Factories	CUDA, accelerators, racks, networking, facilities, and token economics.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-05.svg	yes	4964e27563ba6a568ee95b42646a3635f44d4a37fc61ffbb4a7acb4483efff50	visual-board-atlas-05	Hardware, CUDA, And AI Factories. CUDA, accelerators, racks, networking, facilities, and token economics.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-06	chart_data_svg	CH16-CH18	Power, Data, And Token Supply Chains	Electricity, cooling, interconnection, data, tokenization, and retrieval diagrams.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-06.svg	yes	5ccc0ebe5f32ef13c3fa32551133739cca0c0508ffa63e06173fbb56ad0af8f5	visual-board-atlas-06	Power, Data, And Token Supply Chains. Electricity, cooling, interconnection, data, tokenization, and retrieval diagrams.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-07	chart_data_svg	CH18-CH21	Agents, Coding, And Tool Use	Tool use, coding benchmarks, repo loops, Claude Code, and software automation.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-07.svg	yes	6f4e219d747b7ec03fefbb68a6b4a9d61925fd7db33be4606b5cc6345fe2c2ad	visual-board-atlas-07	Agents, Coding, And Tool Use. Tool use, coding benchmarks, repo loops, Claude Code, and software automation.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-08	chart_data_svg	CH20-CH23	Economics, Trust, And Evaluation	Pricing, productivity blockers, safety boundaries, eval caveats, and trust diagrams.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-08.svg	yes	f46168ee43c75dc38952cd46ffe172e7308e03c2d171702595ca1b546c146856	visual-board-atlas-08	Economics, Trust, And Evaluation. Pricing, productivity blockers, safety boundaries, eval caveats, and trust diagrams.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-09	chart_data_svg	CH01-CH24	Source Cards And Claim Boundaries	Quote-safe cards, repair cards, and visual guardrails that keep evidence honest.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-09.svg	yes	2f869c65595c590a2c020c2ae6404f90acf23db56c6e35886f1fa0b0bd62af58	visual-board-atlas-09	Source Cards And Claim Boundaries. Quote-safe cards, repair cards, and visual guardrails that keep evidence honest.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
I-0299	chart_data_svg_atlas	ATLAS-10	chart_data_svg	CH01-CH24	Reader Memory Rails	Timelines, maps, network views, layout mockups, and chapter-spanning visual memory aids.	10	assets/visual_system/chart_data_svg_atlas_i0298/atlas-10.svg	yes	45f247de57a28476139757bd1701b0daf589c8b96e3b946e4704b5b74ee80f1a	visual-board-atlas-10	Reader Memory Rails. Timelines, maps, network views, layout mockups, and chapter-spanning visual memory aids.	private_use_chart_data_svg_atlas_pending_final_layout_review	Private-use chart/data/SVG atlas only; no live-rank, capability, adoption, safety, deployment, revenue, market-share, productivity, or roadmap-delivery claim is promoted by the atlas.
