row_id	snapshot_id	source_id	pricing_section	model	training_usd_per_hour	input_usd_per_1m_tokens	cached_input_usd_per_1m_tokens	output_usd_per_1m_tokens	batch_or_priority	cutoff_status	chart_readiness	caveat
OPR-0011	SNAP-20260525-001	S-0072	fine_tuning_batch	gpt-4.1-2025-04-14		1.50	0.50	6.00	batch	model_name_pre_cutoff_but_price_capture_post_cutoff	exclude_from_general_price_chart	Batch tier changes latency and product scope; keep separate from standard price-quality comparisons.
OPR-0012	SNAP-20260525-001	S-0072	fine_tuning_batch	gpt-4.1-mini-2025-04-14		0.40	0.10	1.60	batch	model_name_pre_cutoff_but_price_capture_post_cutoff	exclude_from_general_price_chart	Batch tier changes latency and product scope; keep separate from standard price-quality comparisons.
OPR-0013	SNAP-20260525-001	S-0072	fine_tuning_batch	gpt-4.1-nano-2025-04-14		0.10	0.025	0.40	batch	model_name_pre_cutoff_but_price_capture_post_cutoff	exclude_from_general_price_chart	Batch tier changes latency and product scope; keep separate from standard price-quality comparisons.
OPR-0014	SNAP-20260525-001	S-0072	fine_tuning_batch	gpt-4o-2024-08-06		1.875	0.9375	7.50	batch	model_name_pre_cutoff_but_price_capture_post_cutoff	exclude_from_general_price_chart	Batch tier changes latency and product scope; keep separate from standard price-quality comparisons.
OPR-0015	SNAP-20260525-001	S-0072	fine_tuning_batch	gpt-4o-mini-2024-07-18		0.15	0.075	0.60	batch	model_name_pre_cutoff_but_price_capture_post_cutoff	exclude_from_general_price_chart	Batch tier changes latency and product scope; keep separate from standard price-quality comparisons.
OPR-0016	SNAP-20260525-001	S-0072	tool_preview	computer-use-preview		1.50		6.00	standard	unclear_cutoff_status_in_post_cutoff_capture	exclude_until_cutoff_status_resolved	Visible row in the captured page, but not enough cutoff-status analysis has been done to use it in the book.
OPR-0017	SNAP-20260525-001	S-0072	priority_codex	gpt-5.3-codex					priority	post_cutoff_model_name_in_post_cutoff_capture	exclude_from_cutoff_book	Model name indicates a post-cutoff family in a post-cutoff capture; record only as a negative filter example.
OPR-0018	SNAP-20260525-001	S-0072	priority_codex	gpt-5.2-codex					priority	post_cutoff_model_name_in_post_cutoff_capture	exclude_from_cutoff_book	Model name indicates a post-cutoff family in a post-cutoff capture; record only as a negative filter example.
OPR-0019	SNAP-20260525-001	S-0072	priority_codex	gpt-5.1-codex-max					priority	post_cutoff_model_name_in_post_cutoff_capture	exclude_from_cutoff_book	Model name indicates a post-cutoff family in a post-cutoff capture; record only as a negative filter example.
OPR-0020	SNAP-20260525-001	S-0072	priority_codex	gpt-5.1-codex					priority	post_cutoff_model_name_in_post_cutoff_capture	exclude_from_cutoff_book	Model name indicates a post-cutoff family in a post-cutoff capture; record only as a negative filter example.
OPR-0021	SNAP-20260525-001	S-0072	priority_codex	gpt-5-codex					priority	post_cutoff_model_name_in_post_cutoff_capture	exclude_from_cutoff_book	Model name indicates a post-cutoff family in a post-cutoff capture; record only as a negative filter example.
