chapter	asset_id	current_status	i0212_decision	final_role	why	placement_rule	blocked_claims	next_gate
15	A-0024	selected_100	keep_core	GTC page 29 AI-factory thesis card	Strongest source-actor thesis surface; safer than raw slide because attribution and blockers are explicit.	Use as the first GTC source surface.	no_neutral_industry_definition;no_independent_economics;no_deployed_factory_performance;no_revenue_proof	Do not pair with raw A-0004 in main layout.
15	A-0027	selected_100	keep_core	GTC page 49 system comparison card	Best high-drama stagecraft card for the one-gigawatt argument, with claim status visible.	Use after A-0012/A-0024 when prose turns to NVIDIA's system argument.	no_exact_ratios;no_token_throughput;no_revenue;no_deployed_capacity;no_neutral_performance_proof	Caption must say NVIDIA promotional comparison.
15	A-0029	selected_100	keep_core	GTC page 51 DSX platform handoff	Best bridge from keynote stagecraft to Chapter 16 physical facility constraints.	Use as Chapter 15 closing or Chapter 16 handoff, not both.	no_customer_deployment;no_adoption_scale;no_facility_performance;no_energy_efficiency;no_power_solution	Final spread should decide exact chapter boundary.
15	A-0028	selected_100	keep_if_space	GTC page 50 roadmap cadence	Useful roadmap discipline figure, but subordinate to thesis, system comparison, and DSX handoff.	Use only if Chapter 15 can carry four GTC cards without becoming a slide gallery.	no_future_item_as_happened_history;no_guaranteed_delivery;no_specs;no_timing_proof	Reserve if layout is crowded.
15	A-0025	available	reserve_or_cite_only	GTC page 45 inference compute roadmap	Product-specific roadmap card adds clutter and can be prose-cited instead.	Reserve behind A-0028.	no_shipped_availability;no_verified_performance;no_product_delivery;no_cost_claim	Cite in prose unless replacing roadmap card.
15	A-0026	available	reserve_or_cite_only	GTC page 46 Vera Rubin partner/performance card	Useful source support, but stacking product announcement cards weakens the source-actor argument.	Reserve as sidebar only if A-0027 is dropped.	no_partner_confirmation;no_launch_status;no_performance_proof;no_availability	Use prose attribution first.
15	A-0004	selected_100	provenance_only	raw page 29 slide render	High drama but duplicates A-0024 and needs rights/fair-use review.	Keep as private evidence handle, not main figure beside A-0024.	no_independent_economics;no_deployed_performance;no_publication_rights_clearance	Rights/fair-use review before any raw slide layout.
15	A-0106	selected_100	provenance_only	page 29 hashed source surface	Useful provenance handle but redundant with A-0024.	Use for evidence trail, not additional main layout figure.	no_independent_economics;no_publication_rights_clearance;no_duplicate_thesis_surface	Keep out of visual count until rights/layout need appears.
15	A-0145	available_local_ignored	reserve_redraw_backlog	GTC page 32 token-economics source surface	Promising economics source, but axes/values and same-scope corroboration remain unresolved.	Reserve for future redraw or Chapter 22 handoff, not Chapter 15 main sequence.	no_exact_tps_per_mw;no_cost_per_token;no_energy_per_token;no_company_result;no_model_rank	Extract axes/rows and corroborate before visual promotion.
16	A-0015	selected_100	keep_core	power-to-token flow	Best Chapter 16 spine; traces electricity to interconnection, cooling, accelerators, scheduling, and token output.	Open Chapter 16 with A-0015.	no_energy_per_token_estimate;no_nvidia_performance_proof;no_deployment_claim	Keep as physical-internet mechanism spine.
16	A-0020	selected_100	keep_core	data-center load scenarios	Best quantitative permission visual; separates measured/current estimates from scenarios and forecasts.	Second Chapter 16 figure, after mechanism spine.	no_forecast_as_history;no_single_deterministic_future;no_workload_attribution;no_site_claim	Caption must keep scenario lanes visible.
16	A-0021	selected_100	keep_core	interconnection queue timing	Core speed-to-power bottleneck visual.	Third Chapter 16 figure before response taxonomy.	no_project_level_delay_database;no_named_campus_delay;no_capacity_claim;no_reliability_claim	Pair with one grid texture/substitute if layout allows.
16	A-0157	available	keep_substitute	speed-to-power response matrix	Best response taxonomy: gas, grid upgrades, storage, flexible load, clean procurement, and nuclear/long contracts remain distinct.	Use after A-0021 to prevent victory-lap power prose.	no_turbine_count;no_runtime;no_mw;no_emissions;no_ppa_fulfillment;no_delivered_capacity;no_workload_attribution	Promote in final matrix if Chapter 16 remains photo-risky.
16	A-0158	available	keep_substitute	cooling thermal loop	Better than unresolved cooling/nuclear photos because it teaches heat rejection without implying site service.	Use if cooling prose needs a visual; may replace A-0022 or photo slots.	no_water_use;no_pue;no_operator_claim;no_nuclear_service;no_site_efficiency;no_heat_load	Render/style QA before final matrix promotion.
16	A-0022	selected_100	reserve_or_merge	cooling/rack-density note	Useful but overlaps A-0158; keep whichever better fits final layout.	Do not use both A-0022 and A-0158 unless one is a note/sidebar.	no_detailed_engineering;no_universal_liquid_cooling;no_rack_density_quantification;no_pue_generalization	A/B in page-flow mock.
16	A-0023	selected_100	keep_or_sidebar	clean procurement vs physical supply	Important claim-control visual for PPAs/certificates and physical hourly supply, but can become sidebar if Chapter 16 is too dense.	Use near clean-power procurement prose or reserve for caption/note pass.	no_hourly_fuel_mix_claim;no_physical_delivery_to_site;no_emissions_outcome;no_ppa_fulfillment	Keep if prose has clean-power claims.
16	A-0137	selected_100	keep_texture_if_rights_clear	data-center hall photo	Most useful real-world Chapter 16 texture if license and attribution are clean.	Use one data-center interior/exterior texture, not a photo montage.	no_hidden_workload;no_energy_use;no_gpu_inventory;no_owner_claim;no_capacity	Final license and caption review.
16	A-0139	selected_100	keep_texture_if_rights_clear	substation photo	Good physical grid texture if license is clean; can pair with interconnection queue.	Use only if it does not duplicate A-0156.	no_site_service;no_capacity;no_energized_status;no_reliability;no_fuel_mix	Final license and attribution review.
16	A-0140	acquisition_ready	reserve_or_replace	transmission line photo	A-0156 is safer and more explanatory unless a license-clean line photo is needed for rhythm.	Reserve behind A-0156.	no_capacity;no_congestion;no_data_center_service;no_reliability;no_queue_position	Use substitute first.
16	A-0141	selected_100	replace_with_substitute	gas turbine photo	A-0157 teaches power-response choices without implying deployment, runtime, emissions, or delivered capacity.	Replace in main sequence with A-0157 unless final rights/caption burden is small.	no_turbine_count;no_runtime;no_emissions;no_fuel_contract;no_delivered_capacity;no_data_center_service	Keep as reserve only.
16	A-0142	acquisition_ready	reserve_texture	battery storage photo	Useful texture but less central than interconnection, response taxonomy, and cooling.	Reserve for design rhythm or power response sidebar.	no_solved_intermittency;no_capacity;no_duration;no_backup;no_emissions_claim	License verification if promoted.
16	A-0143	selected_100	replace_with_substitute	nuclear/cooling tower photo	A-0158 avoids implying delivered nuclear power or data-center service.	Reserve behind A-0158.	no_delivered_nuclear_power;no_ppa_fulfillment;no_smr_operation;no_site_service;no_emissions_outcome	Use only with exact license and non-service caption.
16	A-0144	acquisition_ready	reserve_or_replace	generic cooling tower photo	Lower evidence value than cooling-loop schematic.	Reserve behind A-0158.	no_data_center_cooling_method;no_water_consumption;no_heat_load;no_site_design;no_environmental_impact	Use substitute first.
16	A-0156	available	keep_substitute	transmission/interconnection schematic	Rights-safe companion or replacement for transmission photo; keeps timing and planning visible.	Use with A-0021 if physical photo rights remain unresolved.	no_capacity;no_congestion;no_queue_position;no_named_site_service;no_fuel_mix	Render/style QA before final matrix promotion.
16	A-0170	available_local_ignored	reserve_source_media	Google data center in The Dalles image	Local image adds real-world texture but needs rights/attribution and caption review before replacing A-0137.	Use as private production handle only for now.	no_owner_workload;no_energy_use;no_capacity;no_current_status;no_publication_rights_clearance	License/attribution and final image-quality review.
16	A-0171	available_local_ignored	reserve_source_media	electrical substation image	Local substation image may replace or support A-0139 after rights review.	Use as private evidence handle until rights cleared.	no_site_service;no_capacity;no_reliability;no_fuel_mix;no_publication_rights_clearance	License/attribution and final image-quality review.
