pass_id	chapter	technical_category	source_audit_file	audit_row_id	raw_status	technical_claim	source_ids	claim_guardrail_refs	evidence_field	blocked_or_caveat_field	fact_check_verdict	i0268_decision
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-009	interpretive bridge from measured scaling to lab strategy	The chapter frames training budget as a hypothesis about a point on a scaling curve while blocking direct business-model proof from the scaling-law papers.	S-0003		Allowed qualitatively.	Do not claim Kaplan proves revenue, product success, or safety outcomes.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-010	Chinchilla-based bridge plus explicit deferral	The chapter treats data quantity, quality, mixture, deduplication, and contamination as scaling constraints while deferring dataset-specific evidence to Chapter 17.	S-0015		Allowed as conceptual bridge.	Do not add dataset-specific claims without separate sources.	supported	allowed as bounded technical prose with source cue
I-0268	04	scaling	data/chapter3_scaling_claim_audit_i0094.tsv	CH3Q-011	primary GPT-3 paper plus evaluation caution	The chapter treats GPT-3-style prompting and benchmark evaluation as measured artifacts whose results depend on task wording, examples, scoring, and contamination controls.	S-0004		Allowed qualitatively.	Do not add benchmark results or contamination claims beyond the caution without separate rows.	supported	allowed as bounded technical prose with source cue
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-001	supported	GPT-1 mechanism	S-0011		Describe GPT-1 as generative Transformer pretraining followed by supervised transfer and as a mechanism milestone for reusable language representations.	Do not imply GPT-1 was a consumer assistant, ChatGPT precursor in product form, or proof of broad real-world adoption.	supported	allowed as bounded technical prose with source cue
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-002	supported	GPT-2 mechanism	S-0012;S-0013		Describe GPT-2 as prompted unsupervised multitask continuation and as a public release-strategy turning point.	Do not invent internal motives, exact risk assessments, or broad public reaction without secondary/source-specific rows.	supported	allowed as bounded technical prose with source cue
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-003	supported	GPT-3 few-shot interface	S-0004		Describe GPT-3 as showing zero-shot, one-shot, and few-shot prompting where examples in context can shape task behavior.	Do not claim all tasks became solved, task-specific systems became obsolete, or scale alone explains every capability.	supported	allowed as bounded technical prose with source cue
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-004	supported	OpenAI API distribution	S-0069		Describe the OpenAI API as hosted text-in/text-out access that made a general model callable by developers.	Do not claim exact usage, revenue, customer adoption, pricing history, or industry transformation without snapshots and normalization.	supported	allowed as bounded technical prose with source cue
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-005	caveated	GPT-3 app ecosystem	S-0071		May mention OpenAI-reported direction of API ecosystem growth only with explicit snapshot/adoption caveat.	Do not treat hundreds-of-apps or developer-count phrasing as final adoption history until local capture and source-chain checks exist.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-006	supported	Codex executable-language bridge	S-0052		Describe Codex/code-trained LMs as converting natural language or docstrings into candidate executable code and as measured with functional-correctness framing.	Do not promote benchmark superiority, production reliability, or coding-agent autonomy without harness-specific rows.	supported	allowed as bounded technical prose with source cue
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-007	supported	GitHub Copilot interface	S-0070		Describe Copilot as a Codex-powered VS Code technical preview that placed LLM suggestions at the developer cursor.	Do not claim adoption, productivity gains, licensing outcomes, or legal conclusions without separate triangulation.	supported	allowed as bounded technical prose with source cue
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-008	supported	Lineage table integration	S-0011;S-0012;S-0013;S-0004;S-0069;S-0052;S-0070		Use data/gpt_lineage_visual_table.tsv as a prose spine for interface conversion: pretraining, prompting, API infrastructure, executable code, and cursor assistance.	Do not count the visual again or turn its caveats into factual permission for quantitative claims.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-009	supported	Instruction-tuning handoff	S-0014		Hand off to Chapter 6 by saying RLHF/InstructGPT addressed the gap between continuation and instruction-following assistant behavior.	Do not claim RLHF solved truth, safety, bias, robustness, jailbreaking, or misuse.	supported	allowed as bounded technical prose with source cue
I-0268	05	gpt_lineage	data/chapter5_gpt_lineage_claim_audit_i0095.tsv	CH5Q-010	active	Unsupported outcome blockers		C-0029	Keep blockers visible for exact API usage, GPT-3 ecosystem counts, Copilot productivity, adoption, legal, licensing, and revenue claims.	Do not promote those claims from launch posts or product announcements alone.	blocked_not_promoted	keep_as_guardrail_or_followup; do not promote into neutral prose/chart/caption
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-001	supported	InstructGPT/RLHF pipeline	S-0014;S-0074		Describe supervised demonstrations, output rankings, reward modeling, and RL optimization as the practical sequence that shaped GPT-3-style models toward instruction-following assistant behavior.	Do not claim RLHF solves truth, safety, bias, robustness, jailbreaking, misuse, or all user-goal conflicts.	supported	allowed as bounded technical prose with source cue
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-002	supported	Human-preference RL lineage	S-0073		Use the 2017 human-preference RL paper as a lineage point for learning from comparisons where reward functions are hard to specify.	Do not imply the 2017 non-language work solved LLM alignment or directly produced ChatGPT behavior.	supported	allowed as bounded technical prose with source cue
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-003	supported	Quote-safe instruction-following wording	S-0074		Use short phrases such as following user intentions, safely perform, provide demonstrations, default language models, alignment tax, and far from fully aligned with renderer caveat.	Do not add longer exact product-post passages, detailed labeler-process claims, or broad deployment/adoption claims without separate extraction rows.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-004	supported	Model Spec behavior hierarchy	S-0075		Describe the Model Spec as a behavior specification using desired behavior, objectives/rules/defaults, and instruction-priority hierarchy.	Do not generalize 2024 Model Spec wording to all labs, all later OpenAI specs, or all deployed products.	supported	allowed as bounded technical prose with source cue
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-005	supported	System-card evaluation loop	S-0005;S-0076;S-0077		Describe GPT-4/GPT-4o system cards as first-party evidence that frontier launches included red teaming, evals, mitigations, and public safety documentation.	Do not treat system cards as independent certificates of safety or proof of absence of failures.	supported	allowed as bounded technical prose with source cue
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-006	supported	Constitutional AI/RLAIF branch	S-0019		Describe Anthropic's Constitutional AI as a principle-guided assistant-shaping branch using critiques, revisions, and AI feedback.	Do not claim it is morally superior, final, or sufficient; do not turn it into a Claude product history before later source rows.	supported	allowed as bounded technical prose with source cue
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-007	supported	Refusal as interface behavior	S-0014;S-0075;S-0076		Describe refusals as layered product behavior shaped by training, policy, system instructions, classifiers, and evaluation rather than as proof of model values.	Do not make claims about the model having beliefs, conscience, or solved values.	supported	allowed as bounded technical prose with source cue
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-008	supported	Alignment tax/product trade	S-0074		Explain alignment tax as a first-party OpenAI framing of possible tradeoffs between customer-task alignment and some academic NLP task performance, plus a narrative trade around product usefulness.	Do not turn alignment tax into a universal law across all models, labs, and tasks.	supported	allowed as bounded technical prose with source cue
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-009	supported	ChatGPT handoff	S-0006;S-0014		Hand off to Chapter 7 by saying ChatGPT's public assistant feel depended on pretraining plus instruction-following and preference-alignment work.	Do not claim ChatGPT solved hallucination, safety, memory, or evaluation.	supported	allowed as bounded technical prose with source cue
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-010	active	Regulation/copyright exclusion			Keep Chapter 6 focused on LLM product behavior, reliability, refusal, and deployment mechanics.	Do not turn the chapter into regulation, copyright, or generic AI ethics unless the issue changes assistant behavior.	blocked_not_promoted	keep_as_guardrail_or_followup; do not promote into neutral prose/chart/caption
I-0268	06	alignment	data/chapter6_alignment_claim_audit_i0096.tsv	CH6Q-011	active	Quote length/extraction blocker		C-0044	Keep longer system-card passages, red-team examples, exact policy wording, and detailed labeler-process claims gated behind row-specific extraction.	Do not promote exact long quotations or detailed examples merely because the source is captured.	blocked_not_promoted	keep_as_guardrail_or_followup; do not promote into neutral prose/chart/caption
I-0268	13	benchmarks	data/chapter13_rankings_expansion_claim_audit_i0098.tsv	CH13R-001	supported	Arena-style rank rows can support only date/config/split/category-labeled historical claims unless additional evidence is joined.	S-0036;S-0056;S-0057;S-0080		Historical captured dataset slice; methodology flow; permission gate.	Live best-model claims, universal quality claims, release-status claims, price-quality claims.	supported	allowed as bounded technical prose with source cue
I-0268	13	benchmarks	data/chapter13_rankings_expansion_claim_audit_i0098.tsv	CH13R-002	supported	A-0013 can show the top twelve rows in the LMArena text_style_control/latest/overall slice published 2026-05-19, with uncertainty-overlap caveats.	S-0080		Historical rank slice; crowded frontier; confidence-band cluster.	Live May 24 leaderboard, product availability, safety, latency, coding, enterprise, pricing, or context-window inference.	supported	allowed as bounded technical prose with source cue
I-0268	13	benchmarks	data/chapter13_rankings_expansion_claim_audit_i0098.tsv	CH13R-003	supported	The current price-quality evidence supports an exclusion/permission map but not a final frontier chart.	S-0060;S-0061;S-0062;S-0063;S-0080	C-0046	Candidate rows, exclusions, missing price, tiering, version mismatch, deprecated rows, and post-cutoff capture caveats.	Cheapest-best claims, final frontier curve, merged price bases, post-cutoff price-as-cutoff fact.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	13	benchmarks	data/chapter13_rankings_expansion_claim_audit_i0098.tsv	CH13R-004	supported	Benchmark, leaderboard, provider-price, context-window, and release-status evidence must remain separate lanes until their scope and dates align.	S-0035;S-0037;S-0036;S-0057;S-0060;S-0061;S-0062;S-0063		Evidence-lane framing; conditional model-choice prose.	Generic best model sentence or cross-lane inference without task/harness/version/price-basis labels.	supported	allowed as bounded technical prose with source cue
I-0268	14	gpu_cuda	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv	CH14CUDA-001	supported	CUDA can be framed as NVIDIA's general-purpose parallel computing platform and programming model for using NVIDIA GPUs beyond graphics.	S-0138		Mechanism and platform-history prose allowed.	Do not infer market dominance, lock-in value, or LLM-specific performance from the programming guide alone.	supported	allowed as bounded technical prose with source cue
I-0268	14	gpu_cuda	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv	CH14CUDA-002	supported	The chapter may explain CUDA's moat as a stack of programming model, runtime, libraries, tools, framework integrations, developer habits, and operational risk reduction.	S-0138;S-0141;S-0142		structural synthesis allowed from NVIDIA software sources.	Do not make antitrust, contract, pricing, or proprietary-lock-in claims without independent evidence.	supported	allowed as bounded technical prose with source cue
I-0268	14	gpu_cuda	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv	CH14CUDA-003	supported_with_caveat	Hopper/H100 can be described as NVIDIA's ChatGPT-era training/inference emblem with Tensor Cores, Transformer Engine, mixed precision, memory bandwidth, and GPU-to-GPU communication as relevant mechanisms.	S-0039;S-0139		Qualitative mechanism and NVIDIA-attributed product framing allowed.	No exact speedup, benchmark, availability, supply, or customer-deployment claims without row extraction.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	14	gpu_cuda	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv	CH14CUDA-004	supported_with_caveat	Blackwell/B200/GB200 can be framed as NVIDIA's shift from chip-level competition toward rack-scale generative-AI systems.	S-0040;S-0140		NVIDIA-attributed architecture and product-positioning prose allowed.	Do not treat performance ratios, TCO, energy, roadmap, or customer deployment claims as neutral facts.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	14	gpu_cuda	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv	CH14CUDA-005	supported_with_caveat	NVLink/NVSwitch can be described as important to large-model communication because multi-GPU systems need fast GPU-to-GPU data movement.	S-0143		Qualitative interconnect mechanism allowed with NVIDIA attribution.	No exact GB200 speedup, all-72-GPUs-as-one claim, bandwidth, or benchmark chart without row extraction and caveats.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	14	gpu_cuda	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv	CH14CUDA-006	supported	cuDNN and TensorRT-LLM support the claim that NVIDIA's LLM advantage includes libraries and inference software, not just silicon.	S-0141;S-0142		Library/software-stack argument allowed.	NVIDIA performance claims, TCO claims, production superiority, or broad framework dominance need separate rows.	supported	allowed as bounded technical prose with source cue
I-0268	14	gpu_cuda	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv	CH14CUDA-007	needs-verification	CUDA lock-in, switching cost, and accelerator competition are analytically important but need independent non-NVIDIA corroboration before final market-power prose.	S-0138;S-0141;S-0142		Allowed as cautious structural analysis in this draft, not as quantified market-power claim.	Do not claim customer coercion, market share, margins, illegal tying, or universal developer preference without independent sources.	blocked_not_promoted	keep_as_guardrail_or_followup; do not promote into neutral prose/chart/caption
I-0268	14	gpu_cuda	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv	CH14CUDA-008	supported_with_caveat	Vera Rubin and GTC 2026 material may be used only as cutoff-known NVIDIA roadmap/stagecraft context in Chapter 14, with detailed stage analysis reserved for Chapter 15.	S-0001;S-0010	C-0021;C-0047	Continuity context allowed with explicit roadmap/attribution labels.	Do not promote Vera Rubin performance, partner, availability, deployment, throughput, or revenue claims into neutral Chapter 14 facts.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-001	measured_estimate	roughly 1.5 percent of global electricity consumption in 2024	S-0083		May be used with IEA attribution to show data centres were still a small global electricity share.	Do not use to imply local insignificance; the chapter's point is local concentration and growth.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-002	forecast_scenario	more than doubled by 2030	S-0083		May be used only as IEA 2025 base-case projection language.	Forecast, not happened history; do not state as inevitable.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-003	measured_estimate	176 TWh of U.S. data-centre electricity use in 2023	S-0084;S-0085		May be used as LBNL/DOE reported estimate and U.S. quantitative anchor.	"Use ""about"" or ""reported""; verify final citation against report table before final layout."	supported	allowed as bounded technical prose with source cue
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-004	forecast_scenario	325-580 TWh by 2028	S-0084;S-0085		May be used as LBNL/DOE modeled scenario range.	Scenario range depends on assumptions; do not collapse to midpoint or imply certainty.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-005	measured_estimate	4.4 percent of U.S. electricity use in 2023	S-0084;S-0085		May be used as reported share paired with 176 TWh.	Use about/approximately and keep LBNL/DOE attribution.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-006	forecast_scenario	6.7 to 12 percent by 2028	S-0084;S-0085		May be used as projected scenario range for U.S. share.	Projection, not certainty; should not be used as a single forecast number.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-007	advisory_or_industry_estimate	100 to 1,000 MW new data-centre range	S-0086		May be used as EPRI-described facility-scale range.	Range is a planning/industry estimate; do not imply every AI data centre is this size.	supported	allowed as bounded technical prose with source cue
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-008	comparison	roughly 80,000 to 800,000 average homes	S-0086		May be used as EPRI comparison to make scale legible.	Household equivalence varies by region and time; preserve the existing caveat.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-009	advisory_or_industry_estimate	fifteen states accounting for an estimated 80 percent of U.S. data-centre load in 2023	S-0086		May be used to support geographic concentration.	EPRI scenario/simplification; avoid overreading exact state percentages or making local siting claims.	supported	allowed as bounded technical prose with source cue
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-010	risk_estimate	about 20 percent of planned data-centre projects could face delay risk	S-0083		May be used in future prose as IEA risk estimate if source label is included.	Not a count of specific delayed projects and not proof of delay for any named campus.	supported	allowed as bounded technical prose with source cue
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-011	forecast_scenario	460 TWh in 2024 to more than 1,000 TWh in 2030	S-0083		May be used as IEA projected global electricity generation for data centres.	"Projection, not happened history; use with ""projected"" and avoid implying all demand is AI."	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-012	forecast_scenario	renewables meeting nearly half of additional demand	S-0083		May be used to complicate one-note fossil-only or clean-only narratives.	Forecasted supply mix; must be separated from corporate procurement claims and physical hourly delivery.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-013	advisory_estimate	300 to 1,000 MW or larger hyperscale connection requests	S-0087		May be used as DOE-SEAB advisory-report evidence of interconnection scale.	Not a complete interconnection dataset and not evidence for any named project.	supported	allowed as bounded technical prose with source cue
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-014	advisory_estimate	one-to-three-year lead times	S-0087		May be used to explain grid-timing mismatch.	Advisory-report language from stakeholder review; do not generalize to all utilities or regions.	supported	allowed as bounded technical prose with source cue
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-015	operator_survey_signal	average PUE changed little for a sixth consecutive year	S-0088		May be used as Uptime operator-survey signal that efficiency improvements cannot be assumed.	Secondary/industry survey; corroborate before making final engineering-design claims.	supported	allowed as bounded technical prose with source cue
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-016	operator_survey_signal	only a small share of facilities exceeded 30 kW per rack	S-0088		May be used as rack-density/cooling caution.	Industry survey; exact share should not be inferred unless extracted from source table.	supported	allowed as bounded technical prose with source cue
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-017	blocked_nvidia_claim	AI factory performance, throughput, revenue, partner, roadmap, availability, or deployment claims	S-0001;S-0039;S-0040;S-0066		Do not convert NVIDIA/GTC quantitative or roadmap claims into neutral facts in Chapter 16.	C-0021/C-0047 remain active until independent triangulation or explicit attribution resolves each claim.	supported_with_caveat	allowed only with attribution/scope/date/harness/source-role caveat
I-0268	16	datacenter_power	data/chapter16_quant_claim_audit_i0043.tsv	CH16Q-018	explicit_exclusion	energy per token or Wh/token estimate	S-0083;S-0084;S-0087		Do not state or imply a quantified energy-per-token estimate from the current Chapter 16 evidence pack.	The visual is a mechanism diagram, not a measurement model; no row currently supports Wh/token.	supported	allowed as bounded technical prose with source cue
I-0268	17	data_tokens	data/chapter17_data_tokens_claim_audit_i0121.tsv	CH17DATA-001	supported	BPE and subword tokenization can be used to explain rare-word/open-vocabulary handling.	S-0153		Prose explains why words are too large as direct units.	Modern tokenizer quantitative comparisons need extracted rows.	supported	allowed as bounded technical prose with source cue
I-0268	17	data_tokens	data/chapter17_data_tokens_claim_audit_i0121.tsv	CH17DATA-002	supported	SentencePiece supports language-independent/raw-text tokenizer framing.	S-0154		Prose uses it to show tokenization as a general preprocessing layer.	Does not prove tokenization is practically language-neutral.	supported	allowed as bounded technical prose with source cue
I-0268	17	data_tokens	data/chapter17_data_tokens_claim_audit_i0121.tsv	CH17DATA-003	supported	tiktoken supports a modern OpenAI tokenizer implementation anchor.	S-0043		Prose uses it for token-ID explanation only.	Exact model-tokenizer behavior and token counts remain blocked.	supported	allowed as bounded technical prose with source cue
