unit	kind	action	source_lane	guardrail	status
CH20-CH21	boundary	already_absorbed	S-0029;S-0031;S-0059;S-0061;S-0062	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH21-CH22	boundary	already_absorbed	S-0060;S-0063;S-0064;S-0128;S-0134	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH22-CH23	boundary	already_absorbed	S-0005;S-0069;S-0070;S-0071;S-0072;S-0073;S-0074	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH23-CH24	boundary	already_absorbed	S-0006;S-0002;S-0003;S-0038;S-0075;S-0076;S-0077	Source lane supports chapter-level mechanism handoff only; it does not authorize new quotations, exact metrics, rankings, market claims, future fulfillment, or scene detail.	changed
CH01	opener	already_present		No fastest-growing-app superlative, OpenAI-confirmed 100M claim, revenue, retention, or productivity outcome without same-scope support.	not_changed
CH02	opener	already_present		No modern LLM capability, semantic understanding, or inevitability claim from early language-model mechanisms.	not_changed
CH03	opener	already_present		No attention-as-mind, consciousness, interpretability, or universal reasoning claim.	not_changed
CH04	opener	already_present		No product guarantee, emergence threshold, universal law, or safety inference from scaling curves.	not_changed
CH05	opener	already_present		No API usage scale, Copilot productivity, revenue, legal, licensing, or broad transformation claim.	not_changed
CH06	opener	already_present		No solved truth, solved safety, solved alignment, jailbreak resistance, conscience, or universal preference claim.	not_changed
CH07	opener	already_present		No adoption, revenue, paid-user, productivity, market-share, or current-UI claim beyond dated sources.	not_changed
CH08	opener	already_present		No revenue, customer ROI, active-use, margin, workload-volume, market-share, or model-superiority claim.	not_changed
CH09	opener	already_present		No adoption, search-share, click-behavior, revenue, benchmark-superiority, or product-preference claim.	not_changed
CH10	opener	already_present		No open-source legal equivalence, download count, adoption scale, benchmark superiority, safety, or ecosystem dominance claim.	not_changed
CH11	opener	already_present		No national ranking, benchmark crown, adoption, export-control effect, or unsupported future-model claim.	not_changed
CH12	opener	already_present		No chapter identity drift, Claude/Anthropic duplication, unsupported xAI/Mistral adoption, or benchmark crown claim.	not_changed
CH13	opener	already_present		No live rank, best-model claim, price-quality recommendation, ROI, or durable performance claim without dated snapshot.	not_changed
CH14	opener	already_present		No performance, adoption, market-share, revenue, CUDA lock-in, or roadmap claim beyond sourced scope.	not_changed
CH15	opener	already_present		No neutral industry definition, deployed-capacity proof, performance proof, revenue, or customer-adoption claim from NVIDIA stagecraft alone.	not_changed
CH16	opener	already_present		No delivered-electrons, site fuel mix, energy-per-token, named-campus workload, emissions, or guaranteed flexibility claim.	not_changed
CH17	opener	already_present		No closed-model corpus composition, legality, consent, representativeness, or data-quality superiority claim.	not_changed
CH18	opener	already_present		No production reliability, complete factuality, broad planning competence, or autonomous operation claim.	not_changed
CH19	opener	already_present		No autonomous programming, security quality, productivity lift, adoption, or broad replacement claim.	not_changed
CH20	opener	already_present		No developer replacement, enterprise productivity, autonomy, secure-code guarantee, or benchmark transfer claim.	not_changed
CH21	opener	already_present		No mind-access, faithful-chain-of-thought, solved reasoning, truth guarantee, or production autonomy claim.	not_changed
CH22	opener	already_present		No margin, ROI, cost-per-token, revenue, utilization, or price-quality frontier claim without same-scope evidence.	not_changed
CH23	opener	already_present		No production prevalence, uniform vulnerability, solved safety, all-model personality, or incident generalization claim.	not_changed
CH24	opener	already_present		No governance adequacy, final-state prediction, AGI arrival, or technology-destiny claim.	not_changed
