pass_id	figure_id	chapter	old_asset_id	old_asset_type	old_fail_closed_status	repair_action	new_asset_id	new_asset_type	new_source_file	new_source_file_exists	replacement_reason	claim_boundary	next_gate
I-0261	F11.04	CH11	A-0049	source_screenshot_slot	blocked_missing_source_file_redraw	replace_with_source_card	A-0260-015	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-015-qwen3-needs-its-own-dated-anchor.svg	yes	Qwen3 paper card replaces the unresolved Qwen3 source screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F11.05	CH11	A-0050	source_screenshot_slot	blocked_missing_source_file_redraw	replace_with_source_card	A-0260-016	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-016-deepseek-r1-anchors-reasoning-claims.svg	yes	DeepSeek-R1 paper card replaces the unresolved DeepSeek source screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F12.05	CH12	A-0119	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-017	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-017-computer-use-was-a-product-announcement.svg	yes	Computer-use announcement card replaces the unresolved Anthropic screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F12.06	CH12	A-0130	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-018	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-018-claude-is-a-model-family-product-surface.svg	yes	Claude product-family card replaces the unresolved Claude product screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F14.04	CH14	A-0133	photo_candidate_slot	blocked_missing_source_file_permission-needed	cut_photo_placeholder_replace_with_original_card	A-0261-001	svg_repair_source_card	assets/visual_system/i0261/i0261-f14-04-packaging-logic-card.svg	yes	Cut the unresolved ASML/photo placeholder and use an original advanced-packaging stack card instead.	Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F14.05	CH14	A-0134	photo_candidate_slot	blocked_missing_source_file_permission-needed	cut_photo_placeholder_replace_with_original_card	A-0261-002	svg_repair_source_card	assets/visual_system/i0261/i0261-f14-05-cleanroom-rights-card.svg	yes	Cut the unresolved cleanroom-photo placeholder and replace it with an original manufacturing-stack caution card.	Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F14.06	CH14	A-0136	photo_candidate_slot	blocked_missing_source_file_permission-needed	cut_photo_placeholder_replace_with_original_card	A-0261-003	svg_repair_source_card	assets/visual_system/i0261/i0261-f14-06-rack-system-card.svg	yes	Cut the unresolved generic rack-photo slot and replace it with an original AI-factory system-layer card.	Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F15.06	CH15	A-0004	extracted_slide_render	blocked_local-only	replace_with_source_card	A-0260-021	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-021-ai-factories-are-source-actor-framing.svg	yes	AI-factory source-actor card replaces the local-only raw GTC slide slot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F15.07	CH15	A-0106	source_screenshot_slot	blocked_local-only	replace_with_source_card	A-0260-022	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-022-inference-compute-is-a-roadmap-argument.svg	yes	Inference-compute roadmap card replaces the unresolved GTC source-surface slot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F16.06	CH16	A-0137	photo_candidate_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-025	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-025-dsx-is-a-reference-design-claim.svg	yes	DSX reference-design card replaces the unresolved data-center hall photo slot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F16.07	CH16	A-0139	photo_candidate_slot	blocked_missing_source_file_permission-needed	cut_photo_placeholder_replace_with_original_card	A-0261-004	svg_repair_source_card	assets/visual_system/i0261/i0261-f16-07-interconnection-queue-card.svg	yes	Cut the unresolved grid-photo placeholder and replace it with a transmission/interconnection process card.	Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F16.08	CH16	A-0141	photo_candidate_slot	blocked_missing_source_file_permission-needed	cut_photo_placeholder_replace_with_original_card	A-0261-005	svg_repair_source_card	assets/visual_system/i0261/i0261-f16-08-speed-to-power-card.svg	yes	Cut the unresolved gas-turbine photo placeholder and replace it with an original speed-to-power constraint card.	Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F16.09	CH16	A-0143	photo_candidate_slot	blocked_missing_source_file_permission-needed	cut_photo_placeholder_replace_with_original_card	A-0261-006	svg_repair_source_card	assets/visual_system/i0261/i0261-f16-09-clean-supply-card.svg	yes	Cut the unresolved nuclear/cooling-tower photo placeholder and replace it with a clean-supply evidence card.	Original lightweight SVG replacement card generated to cut an unresolved photo placeholder; no external raster or found photograph copied; final page/caption/source-note QA still required.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F18.05	CH18	A-0124	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-003	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-003-release-notes-are-product-archaeology.svg	yes	Release-note product archaeology card replaces the unresolved ChatGPT tool-surface screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F19.05	CH19	A-0127	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-020	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-020-copilot-entered-as-pair-programming-rhetoric.svg	yes	Copilot launch-positioning card replaces the unresolved coding-surface screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
I-0261	F20.05	CH20	A-0131	screenshot_slot	blocked_missing_source_file_permission-needed	replace_with_source_card	A-0260-019	source_excerpt_card_svg	assets/source_cards/i0260/sc-0260-019-claude-code-turned-coding-into-an-agent-surface.svg	yes	Claude Code product card replaces the unresolved Claude Code screenshot.	Original lightweight SVG generated from local source-surface ledger; paraphrase-first, quote fragment <=4 words, no raw screenshot/page reproduced; publication still needs final placement and rights/source-note review.	I-0262 full-book render must embed this file; I-0263 must inspect page legibility.
