id	chapter_scope	claim_or_blocker	status	risk_family	tempting_prose_or_chart	evidence_needed	fastest_route	disposition	source_ids_or_refs
UB-0150-011	9	CH9 tempting claims	blocked_by_chapter_audits	product_success_transfer	Gemini/Gemini 1.5/Gemini 2.5 thinking proves Google caught up, leads, or converted research into market success.	Benchmark contracts, adoption/revenue/search-distribution evidence, TPU cost/performance rows, and product usage metrics.	Use conversion-pressure frame; keep benchmark/adoption/revenue/TPU-performance claims blocked.	quarantine_rank_and_success_claims	data/chapter9_google_deepmind_claim_audit_i0111.tsv
UB-0150-012	10	CH10 tempting claims	blocked_by_chapter_audits	open_weight_halo	Open weights mean open source, safer, cheaper, more popular, easier, or more widely adopted.	License texts, data transparency evidence, deployment/adoption evidence, cost studies, safety evals, and ecosystem metrics.	Use control-stack/adopter-burden figures; delete halo language unless separately supported.	delete_halo_or_support_each_axis	data/chapter10_meta_llama_claim_audit_i0104.tsv;data/chapter10_open_weight_control_stack_visual_package_i0142.tsv
UB-0150-013	11	CH11 tempting claims	blocked_by_chapter_audits	frontier_logo_parade	Chinese/open frontier labs can be summarized by logos, national category, or implied leaderboard position.	Primary source rows per lab/family plus benchmark/date contracts for any comparison.	Use supported-vs-gap source board; keep unsupported MiniMax/Baidu/Tencent/Xiaomi/StepFun lanes as acquisition targets only.	quarantine_unsupported_labs	data/chapter11_china_open_model_claim_audit_i0105.tsv;data/chapter11_supported_gap_source_board_i0147.tsv
UB-0150-014	12;20	CH12/20 tempting claims	blocked_by_chapter_audits	agent_autonomy_safety_transfer	Claude computer use, MCP, and Claude Code docs prove autonomy, secure-by-default agents, MCP dominance, solved safety, productivity, or adoption.	Outcome studies, security evaluations, adoption data, productivity measurements, MCP ecosystem evidence, and deployment evidence.	Use source surfaces as documentation/provenance only; keep bridge-vs-loop boundary and screenshot blockers visible.	quarantine_outcome_claims	data/chapter12_20_anthropic_continuity_audit_i0143.tsv;data/chapter12_20_anthropic_screenshot_acquisition_i0148.tsv
UB-0150-015	14;15;16	CH14-16 tempting claims	blocked_by_chapter_audits	hardware_infrastructure_spec_transfer	GPU specs, CUDA stack diagrams, AI-factory slides, datacenter reports, or physical photos prove exact TCO, energy-per-token, supply, fuel mix, PUE, deployment scale, or market power.	Exact engineering rows, independent site data, operator filings, energy calculations, supply-chain evidence, and rights-cleared photo provenance.	Keep stack bottlenecks and physical constraints; use negative controls before any photo/chart becomes evidence.	quarantine_quantified_physical_claims	data/chapter14_nvidia_cuda_claim_audit_i0116.tsv;data/chapter15_16_infrastructure_continuity_audit_i0135.tsv;data/physical_infrastructure_capture_execution_i0145.tsv
UB-0150-016	17	CH17 tempting claims	blocked_by_chapter_audits	data_corpus_overreach	Closed-model corpus composition, exact data shares, legality, exhaustion, contamination rates, or synthetic-data sufficiency are known.	Model-specific corpus disclosures, dataset papers, legal-source rows where relevant, contamination studies, and exact definitions.	Tell data as supply-chain and uncertainty story; quarantine closed-corpus/legal/exact-share claims.	quarantine_closed_corpus_claims	data/chapter17_data_tokens_claim_audit_i0121.tsv
UB-0150-017	18;19;20	CH18-20 tempting claims	blocked_by_chapter_audits	automation_productivity_transfer	Tools, RAG, code models, SWE-bench, LiveCodeBench, and terminal agents prove autonomous work, software quality, security, productivity, or job replacement.	Benchmark contracts plus field studies, security review evidence, task definitions, human-review conditions, and productivity methodology.	Frame as supervised workflows and evaluation harnesses; do not infer workplace outcomes.	quarantine_productivity_replacement_claims	data/chapter18_tools_agents_claim_audit_i0115.tsv;data/chapter19_code_second_native_language_claim_audit_i0125.tsv;data/chapter20_coding_agents_claim_audit_i0107.tsv
UB-0150-018	21	CH21 tempting claims	blocked_by_chapter_audits	reasoning_rank_solvedness	Reasoning models prove solved reasoning, hidden chain access, exact test-time compute costs, or permanent live ranks.	Model/date/task/tool/sample/retry/budget/contamination contracts, cost/latency rows, and benchmark snapshots.	Attach inference contracts; quarantine live-rank, hidden-chain, exact-cost, and solved-reasoning claims.	quarantine_until_inference_contract_exists	data/chapter21_reasoning_claim_audit_i0122.tsv
UB-0150-019	23	CH23 tempting claims	blocked_by_chapter_audits	trust_prevalence_mitigation	Hallucination, sycophancy, prompt injection, jailbreak, and provenance examples prove prevalence or solved mitigation.	Incident rows with scope, prevalence studies, eval methodology, mitigation tests, product/version/date context.	Keep failure families separate; use incidents as scoped examples only.	quarantine_prevalence_and_solved_mitigation	data/chapter23_trust_claim_audit_i0128.tsv
UB-0150-020	24	CH24 tempting claims	blocked_by_chapter_audits	final_synthesis_prophecy	The final chapter can conclude AGI, consciousness, inevitable winners, labor replacement, solved trust, or post-cutoff outcomes.	Cutoff-bounded evidence and explicit unresolved-by-cutoff sections; no post-cutoff history.	Use Chapter 24 as synthesis of mechanisms and unresolved gates, not forecast or victory lap.	delete_prophecy_language	manuscript/24-next-token.md;data/chapter24_final_prose_claim_audit_i0146.tsv
