rank	shortlist_id	priority	chapter_targets	visual_surface	source_ids	related_asset_or_prior_candidate	recommended_treatment	chapter_value	rights_feasibility	allowed_caption	blocked_claims	next_action
11	CFP-0191-011	P0	16	Data-center hall	S-0278	A-0137;PPH-0181-005	photo_candidate	Good general industrial texture, but less evidentiary than grid/power surfaces.	medium_flickr_license_trail	A data-center hall can convey the industrial setting of inference and training.	No workload attribution, model training, energy use, owner identity, uptime, carbon intensity, or capacity.	Verify original Flickr license trail before final selection.
12	CFP-0191-012	P1	16	Data-center exterior / cooling equipment	S-0279	A-0138;PPH-0181-006	photo_candidate	Useful for visible footprint and support infrastructure.	good_if_license_clear	A data-center exterior/cooling image can show visible support infrastructure outside the server room.	No internal hardware, power draw, GPU inventory, workload, fuel mix, project economics, or operating status.	Keep as reserve behind substation/transmission/photo candidates.
13	CFP-0191-013	P1	14	Fab cleanroom	S-0275	A-0134;PPH-0181-002	photo_candidate	Classic chipmaking texture, but generic cleanroom images can feel decorative.	good_if_license_clear	Cleanroom imagery can show semiconductor manufacturing as a controlled physical process.	No named-fab AI-chip output, yield, capacity, customer allocation, node, or supply claim.	Use only if paired with EUV/packaging source context.
14	CFP-0191-014	P1	14	Silicon wafer material substrate	S-0276	A-0135;PPH-0181-003	photo_candidate	Simple physical texture; lower story value than package/HBM/EUV.	good_if_license_clear	A wafer photo can show chipmaking material substrate.	No accelerator identity, node, yield, supplier, cost, production volume, or performance.	Use as reserve or small opener texture, not core exhibit.
15	CFP-0191-015	P1	16	Battery storage as grid component	S-0083;S-0087;S-0283	A-0142;POWER-IMG-007	photo_or_source_card	Useful for response taxonomy, less central as a standalone visual.	medium_license_to_verify	Battery storage imagery can show one grid-support component.	No solved intermittency, named-site service, capacity, duration, emissions effect, or data-center backup claim.	Verify license; otherwise use a source card in the power-response matrix.
16	CFP-0191-016	P1	16	Clean procurement vs physical supply source card	S-0083;S-0087;A-0023	POWER-IMG-009;A-0023	extend_existing_svg_or_source_card	Conceptually important, but existing A-0023 may already cover it.	strong_existing_svg	The visual should distinguish corporate clean-energy procurement from hourly physical electricity supply.	No hourly fuel mix, PPA additionality, emissions accounting, or delivered-electron claim without matching data.	Do not add unless final layout needs another source-surface cue.
17	CFP-0191-017	P1	11;14	Export-control policy timeline	S-0227;S-0228	SUPPLY-IMG-010;SUPPLY-IMG-011	redrawn_policy_context_card	Important context, but not a photo and easy to drift away from LLM compute.	strong_public_domain_likely	Export-control documents can explain that advanced chips and manufacturing tools became policy-constrained inputs.	No legal advice, effectiveness, smuggling prevalence, national capability, market impact, or shipment-denial inference.	Keep as sidecard near China/hardware prose if needed.
18	CFP-0191-018	P2	14	High-NA EUV roadmap surface	S-0219	SUPPLY-IMG-002	source_card_only	Likely too roadmap-specific for final 100 unless Chapter 14 needs future-node context.	medium_company_rights	ASML framed High-NA EUV as a next-generation lithography system for advanced logic and memory.	No claim it was required for a specific LLM accelerator, delivered capacity, or actual cutoff-era AI-chip output.	Keep as reserve; do not prioritize rights work.
19	CFP-0191-019	P2	14;16	OSAT/Amkor advanced packaging source surface	S-0226	SUPPLY-IMG-009	source_card_or_context_lane	Useful ecosystem texture, but less direct than TSMC/IBIDEN/HBM rows.	medium_company_rights	OSAT/advanced packaging pages can show a broader assembly ecosystem.	No specific CoWoS participation, customer allocation, package volume, U.S. reshoring outcome, or supplier rank.	Use only as reserve if package cross-section needs a third-source lane.
20	CFP-0191-020	P2	16	Generic cooling tower / heat rejection	S-0285	A-0144;PPH-0181-012	reserve_photo	Can be atmospheric; evidentiary value is weaker than data-center exterior or nuclear tower.	license_to_verify	Cooling infrastructure can make heat rejection visible.	No data-center cooling method, water use, heat load, site design, efficiency, or environmental impact.	Drop unless final spread lacks cooling texture.
