"pass_id"	"chapter"	"chapter_number"	"official_title"	"primary_file"	"supplemental_file"	"primary_words"	"supplemental_words"	"assembled_source_words"	"target_band"	"words_below_4200"	"words_above_4800"	"length_band"	"gap_type"	"recommended_action"
"I-0239"	"CH11"	"11"	"The Chinese Frontier"	"manuscript/11-chinese-frontier-open-models.md"	""	"3823"	"0"	"3823"	"4200-4800"	"377"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 350-600 words of China/open-frontier connective tissue, but keep unsupported family lanes quarantined."
"I-0239"	"CH12"	"12"	"Europe, xAI, and the Rest of the Frontier"	"manuscript/12-europe-xai-rest-frontier.md"	"manuscript/12-anthropic-and-claude-spine-section.md"	"3702"	"3911"	"7613"	"4200-4800"	"0"	"2813"	"overlong_or_compound_review"	"compound_structure_review"	"Resolve compound structure: either trim 1200-1800 words by moving Anthropic sidecar material into Chapter 6/20/notes, or explicitly authorize a long compound frontier chapter after source-density review."
"I-0239"	"CH13"	"13"	"Benchmarks, Arenas, and the Mirage of Rank"	"manuscript/13-model-rankings-appendix.md"	""	"3935"	"0"	"3935"	"4200-4800"	"265"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 350-600 words of reader-facing leaderboard theater and benchmark caveat narrative; remove appendix posture."
"I-0239"	"CH14"	"14"	"NVIDIA and CUDA: The Moat Under the Moat"	"manuscript/14-nvidia-cuda-moat.md"	""	"3947"	"0"	"3947"	"4200-4800"	"253"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 250-500 words of CUDA/developer-habit texture if render rhythm permits."
"I-0239"	"CH15"	"15"	"GTC 2026: The AI Factory Sells Itself"	"manuscript/15-gtc-2026-ai-factory-sells-itself.md"	""	"4912"	"0"	"4912"	"4200-4800"	"0"	"112"	"long_acceptable"	"monitor"	"Monitor length; compress stagecraft if GTC visuals carry too much of the same argument."
"I-0239"	"CH16"	"16"	"Datacenters, Power, and the Physical Internet"	"manuscript/16-speed-to-power.md"	""	"5266"	"0"	"5266"	"4200-4800"	"0"	"466"	"overlong_or_compound_review"	"compression_or_partition_review"	"Compress 300-500 words if power/datacenter evidence repeats visual captions; keep physical-internet scene."
"I-0239"	"CH17"	"17"	"Data, Tokens, and the Library Problem"	"manuscript/17-data-tokens-library-problem.md"	""	"3903"	"0"	"3903"	"4200-4800"	"297"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 350-650 words on tokenizer/data-mixture consequences and library exhaustion without copyright drift."
"I-0239"	"CH18"	"18"	"Tools, Retrieval, and the Agent Turn"	"manuscript/18-tools-retrieval-agent-turn.md"	""	"3700"	"0"	"3700"	"4200-4800"	"500"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 400-700 words of tool/RAG/security examples; keep Chapter 20 out of the general agent lane."
"I-0239"	"CH19"	"19"	"Code as the Second Native Language"	"manuscript/19-code-as-the-second-native-language.md"	""	"3748"	"0"	"3748"	"4200-4800"	"452"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 350-650 words of code-history and benchmark-to-workflow bridge before Claude Code."
"I-0239"	"CH20"	"20"	"Claude Code and the Industrialization of Pair Programming"	"manuscript/20-claude-code-industrialized-pair-programming.md"	""	"4296"	"0"	"4296"	"4200-4800"	"0"	"0"	"target_band"	"monitor"	"Target band already; preserve as case study and do not absorb Chapters 18/19."
"I-0239"	"CH21"	"21"	"Reasoning, Test-Time Compute, and the New Scaling Axis"	"manuscript/21-reasoning-test-time-compute.md"	""	"4183"	"0"	"4183"	"4200-4800"	"17"	"0"	"thin_below_target_band"	"expansion_needed"	"Target band; add only if reasoning/test-time compute source snapshots reveal missing explanation."
"I-0239"	"CH22"	"22"	"The Economics of Intelligence on Tap"	"manuscript/22-economics-intelligence-on-tap.md"	""	"3668"	"0"	"3668"	"4200-4800"	"532"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 450-750 words of token-pricing/economics scene and margin caveats from same-scope evidence."
"I-0239"	"CH23"	"23"	"Failure Modes, Truth, and Trust"	"manuscript/23-failure-modes-truth-trust.md"	""	"3750"	"0"	"3750"	"4200-4800"	"450"	"0"	"thin_below_target_band"	"expansion_needed"	"Add 400-700 words of failure-mode incident texture and trust/provenance stakes."
"I-0239"	"CH24"	"24"	"Next Token"	"manuscript/24-next-token.md"	""	"3307"	"0"	"3307"	"4200-4800"	"893"	"0"	"critical_thin"	"expansion_needed"	"Add 700-1000 words of synthesis, unresolved questions, and ending force; this is the only critical-thin chapter."
