"figure_id"	"chapter"	"asset_id"	"asset_type"	"figure_title"	"triage_class"	"severity"	"rights_gate"	"capture_gate"	"caption_gate"	"provenance_gate"	"rhythm_gate"	"reader_gate"	"prose_bridge"	"render_gate"	"readiness_score"	"readiness_status"	"next_blocker"
"F07.05"	"CH07"	"A-0039"	"screenshot_slot"	"ChatGPT plugins surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"31"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F08.01"	"CH08"	"A-0056"	"svg_diagram"	"Microsoft/OpenAI: The Cloud Bargain Timeline"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Check if chapter can carry four diagrams."
"F08.02"	"CH08"	"A-0057"	"svg_diagram"	"Cloud-To-Product Flywheel"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Prune if it duplicates A-0056 in layout."
"F08.03"	"CH08"	"A-0058"	"svg_diagram"	"Inference Cost Stack: What The Chat Box Hides"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"bridge_ready"	"fail"	"75"	"render_pending"	"Keep for economics handoff."
"F08.04"	"CH08"	"A-0059"	"svg_diagram"	"Enterprise Claim Blocker Map"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"May become appendix/sidebar if chapter feels over-diagrammed."
"F09.01"	"CH09"	"A-0086"	"svg_diagram"	"Research Became Product In Stages"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Keep benchmark/adoption blockers visible."
"F09.02"	"CH09"	"A-0087"	"svg_diagram"	"Google's Gemini Question Was Surface Conversion"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Check overlap with A-0086."
"F09.03"	"CH09"	"A-0088"	"svg_diagram"	"Long Context Became A Product Grammar"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Verify exact source rows before final caption."
"F09.04"	"CH09"	"A-0089"	"svg_diagram"	"The Tempting Gemini Claims Need Different Evidence"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Use if prose makes tempting claims nearby."
"F09.05"	"CH09"	"A-0129"	"screenshot_slot"	"Gemini/Bard Product Surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F10.01"	"CH10"	"A-0030"	"svg_diagram"	"Llama Family Open-Weight Map"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Check current license-state caveats."
"F10.02"	"CH10"	"A-0112"	"svg_diagram"	"Open-Weight Control Stack"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Prioritize over duplicate Llama screenshots."
"F10.03"	"CH10"	"A-0113"	"svg_diagram"	"What Moves To The Adopter"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Use with Chapter 10 prose, not as generic open-source claim."
"F10.04"	"CH10"	"A-0044"	"screenshot_slot"	"LLaMA launch surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F10.05"	"CH10"	"A-0047"	"screenshot_slot"	"Llama GitHub surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F11.01"	"CH11"	"A-0031"	"svg_diagram"	"China Open-Model Source Map"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Update if later Qwen/DeepSeek sources mature."
"F11.02"	"CH11"	"A-0118"	"svg_diagram"	"Supported Lanes And Visible Gaps"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Keep as chapter control surface."
"F11.03"	"CH11"	"A-0048"	"source_screenshot_slot"	"Qwen2 source surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F11.04"	"CH11"	"A-0049"	"source_screenshot_slot"	"Qwen3 source surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F11.05"	"CH11"	"A-0050"	"source_screenshot_slot"	"DeepSeek-R1 source surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F12.01"	"CH12"	"A-0094"	"svg_diagram"	"Constitutional AI As Behavior Grammar"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"warn"	"not_bridge_target"	"fail"	"64"	"conditional_rhythm"	"Confirm Chapter 12 title/placement."
"F12.02"	"CH12"	"A-0095"	"svg_diagram"	"Claude Becomes A Product Family"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"warn"	"not_bridge_target"	"fail"	"64"	"conditional_rhythm"	"Check overlap with A-0130."
"F12.03"	"CH12"	"A-0096"	"svg_diagram"	"From Assistant To Action Surface"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"warn"	"not_bridge_target"	"fail"	"79"	"conditional_rhythm"	"Pair with source screenshot only once."
"F12.04"	"CH12"	"A-0097"	"svg_diagram"	"The Tempting Claude Claims Are Not The Sourced Ones"	"publish_after_render"	"medium"	"warn"	"pass"	"fail"	"pass"	"pass"	"warn"	"not_bridge_target"	"fail"	"56"	"blocked_caption"	"Use near prose with safety temptation."
"F12.05"	"CH12"	"A-0119"	"screenshot_slot"	"Computer Use Source Surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"warn"	"not_bridge_target"	"fail"	"37"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F12.06"	"CH12"	"A-0130"	"screenshot_slot"	"Claude Product Surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"warn"	"not_bridge_target"	"fail"	"37"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F13.01"	"CH13"	"A-0014"	"svg_diagram"	"How Arena Rows Become Rank Claims"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"warn"	"bridge_ready"	"fail"	"63"	"conditional_rhythm"	"Keep before A-0013 in reading order."
"F13.02"	"CH13"	"A-0013"	"svg_chart"	"LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19."	"review"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"58"	"conditional_rhythm"	"No live rank; snapshot caption required."
"F13.03"	"CH13"	"A-0019"	"svg_diagram"	"Price-Quality Exclusion Map"	"publish_after_render"	"medium"	"warn"	"pass"	"fail"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"50"	"blocked_caption"	"Keep if economics chapter does not repeat it."
"F14.01"	"CH14"	"A-0071"	"svg_diagram"	"CUDA Stack: The Moat Under The Moat"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Do not broaden into all semiconductor history."
"F14.02"	"CH14"	"A-0072"	"svg_diagram"	"GPU Memory and Interconnect: The Traffic Pattern"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Verify legibility at book trim."
"F14.03"	"CH14"	"A-0073"	"svg_diagram"	"Training vs Inference: Two Capacity Problems"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Keep if not redundant with GTC slides."
"F14.04"	"CH14"	"A-0133"	"photo_candidate_slot"	"Lithography/ASML proxy physical texture."	"permission_or_replace"	"high"	"fail"	"fail"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"53"	"blocked_high"	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F14.05"	"CH14"	"A-0134"	"photo_candidate_slot"	"Cleanroom manufacturing environment."	"permission_or_replace"	"high"	"fail"	"fail"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"53"	"blocked_high"	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F14.06"	"CH14"	"A-0136"	"photo_candidate_slot"	"Server racks as compute infrastructure."	"permission_or_replace"	"high"	"fail"	"fail"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"53"	"blocked_high"	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F15.01"	"CH15"	"A-0012"	"svg_diagram"	"AI Factory Stack"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"58"	"conditional_rhythm"	"Anchor before GTC source surfaces."
"F15.02"	"CH15"	"A-0024"	"svg_claim_card"	"GTC Page 29: AI Factory Thesis"	"permission_review"	"high"	"fail"	"fail"	"warn"	"pass"	"warn"	"warn"	"bridge_ready"	"fail"	"36"	"blocked_high"	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.03"	"CH15"	"A-0027"	"svg_claim_card"	"GTC Page 49: System Comparison"	"permission_review"	"high"	"fail"	"fail"	"warn"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"31"	"blocked_high"	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.04"	"CH15"	"A-0028"	"svg_claim_card"	"GTC Page 50: Roadmap Cadence"	"permission_review"	"high"	"fail"	"fail"	"pass"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"38"	"blocked_high"	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.05"	"CH15"	"A-0029"	"svg_claim_card"	"GTC Page 51: DSX Platform Frame"	"permission_review"	"high"	"fail"	"fail"	"warn"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"31"	"blocked_high"	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.06"	"CH15"	"A-0004"	"extracted_slide_render"	"NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue."	"permission_review"	"high"	"fail"	"fail"	"warn"	"warn"	"warn"	"warn"	"not_bridge_target"	"fail"	"23"	"blocked_high"	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F15.07"	"CH15"	"A-0106"	"source_screenshot_slot"	"NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric."	"permission_review"	"high"	"fail"	"fail"	"warn"	"warn"	"warn"	"warn"	"not_bridge_target"	"fail"	"23"	"blocked_high"	"Page-level provenance, source-actor caption, small-type proof, and independent-evidence return prose."
"F16.01"	"CH16"	"A-0015"	"svg_diagram"	"Power To Token Flow"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"warn"	"warn"	"bridge_ready"	"fail"	"78"	"conditional_rhythm"	"Keep as physical-internet spine."
"F16.02"	"CH16"	"A-0020"	"svg_diagram"	"Data-Centre Load Scenarios"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"73"	"conditional_rhythm"	"Ensure forecasts stay labeled."
"F16.03"	"CH16"	"A-0021"	"svg_diagram"	"The Interconnection Queue"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"73"	"conditional_rhythm"	"Pair with physical grid photo if possible."
"F16.04"	"CH16"	"A-0022"	"svg_diagram"	"Cooling And Rack Density Are Constraints, Not Plumbing"	"publish_after_render"	"medium"	"warn"	"pass"	"fail"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"50"	"blocked_caption"	"Consider replacing with photo if layout is diagram-heavy."
"F16.05"	"CH16"	"A-0023"	"svg_diagram"	"Clean Procurement Is Not Physical Supply"	"publish_after_render"	"medium"	"warn"	"pass"	"fail"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"50"	"blocked_caption"	"Keep near PPA/clean-power prose."
"F16.06"	"CH16"	"A-0137"	"photo_candidate_slot"	"Data-center hall physical texture."	"permission_or_replace"	"high"	"fail"	"fail"	"pass"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"38"	"blocked_high"	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F16.07"	"CH16"	"A-0139"	"photo_candidate_slot"	"Grid interconnection texture."	"permission_or_replace"	"high"	"fail"	"fail"	"pass"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"38"	"blocked_high"	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F16.08"	"CH16"	"A-0141"	"photo_candidate_slot"	"Gas turbine speed-to-power texture."	"permission_or_replace"	"high"	"fail"	"fail"	"pass"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"38"	"blocked_high"	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F16.09"	"CH16"	"A-0143"	"photo_candidate_slot"	"Nuclear/cooling tower power texture."	"permission_or_replace"	"high"	"fail"	"fail"	"pass"	"pass"	"warn"	"warn"	"not_bridge_target"	"fail"	"38"	"blocked_high"	"Trace original license and attribution; block site-capacity/customer/workload inference; otherwise replace."
"F17.01"	"CH17"	"A-0064"	"svg_diagram"	"Tokenization Ladder"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"82"	"conditional_rhythm"	"Verify tokenizer caveats stay visible."
"F17.02"	"CH17"	"A-0065"	"svg_diagram"	"Web Corpus Filter Funnel"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"82"	"conditional_rhythm"	"Block closed-corpus composition claims."
"F17.03"	"CH17"	"A-0066"	"svg_diagram"	"Data Mixture Control Board"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Keep schematic, not measured shares."
"F17.04"	"CH17"	"A-0067"	"svg_diagram"	"Memorization and Contamination Blocker Map"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Keep prevalence claims blocked."
"F18.01"	"CH18"	"A-0060"	"svg_diagram"	"RAG Evidence Conveyor"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Do not duplicate trust chapter."
"F18.02"	"CH18"	"A-0061"	"svg_diagram"	"Function-Call Boundary"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Pair with API docs screenshot."
"F18.03"	"CH18"	"A-0062"	"svg_diagram"	"Agent Loop as Harness"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Keep distinct from Chapter 20."
"F18.04"	"CH18"	"A-0063"	"svg_diagram"	"Prompt Injection Boundary"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Keep near untrusted-retrieval prose."
"F18.05"	"CH18"	"A-0124"	"screenshot_slot"	"ChatGPT Tool Surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F19.01"	"CH19"	"A-0090"	"svg_diagram"	"Code Was The Second Native Language"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Check density with prose."
"F19.02"	"CH19"	"A-0091"	"svg_diagram"	"The Assistant Entered At The Cursor"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Pair with one screenshot only."
"F19.03"	"CH19"	"A-0092"	"svg_diagram"	"Coding Scores Need A Harness Story"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Do not repeat Chapter 20 matrix."
"F19.04"	"CH19"	"A-0093"	"svg_diagram"	"The Repository Became The Prompt"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Keep as chapter-ending setup."
"F19.05"	"CH19"	"A-0127"	"screenshot_slot"	"GitHub Copilot Coding Surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F20.01"	"CH20"	"A-0032"	"svg_diagram"	"Coding Agent Harness Loop"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Keep human review boundary."
"F20.02"	"CH20"	"A-0033"	"svg_diagram"	"Coding Benchmark Caveat Matrix"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"bridge_ready"	"fail"	"75"	"render_pending"	"Keep near benchmark prose."
"F20.03"	"CH20"	"A-0034"	"svg_diagram"	"Tool-Call Lifecycle"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"88"	"render_pending"	"Pair with Claude Code docs."
"F20.04"	"CH20"	"A-0035"	"svg_diagram"	"Productivity Claim Blocker Map"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"73"	"conditional_medium"	"Use if chapter has vendor-product claims."
"F20.05"	"CH20"	"A-0131"	"screenshot_slot"	"Claude Code Surface"	"capture_or_replace"	"high"	"fail"	"fail"	"warn"	"pass"	"pass"	"pass"	"not_bridge_target"	"fail"	"46"	"blocked_high"	"Capture viewport/hash/date, add rights/private-use note, confirm quote/crop limits, or replace with source card."
"F21.01"	"CH21"	"A-0078"	"svg_diagram"	"Reasoning Adds A New Compute Axis"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"82"	"conditional_rhythm"	"Keep train-time vs answer-time distinction."
"F21.02"	"CH21"	"A-0079"	"svg_diagram"	"Reasoning Is A Loop, Not A Magic Thought Bubble"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Caption must block truth guarantees."
"F21.03"	"CH21"	"A-0080"	"svg_diagram"	"A Reasoning Score Needs An Inference Contract"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Use before benchmark mentions."
"F21.04"	"CH21"	"A-0081"	"svg_diagram"	"How Much Thinking Is This Worth? Fast path, think path, tool path, and human escalation/refusal are schematic routing lanes."	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Keep value claims blocked."
"F22.01"	"CH22"	"A-0082"	"svg_diagram"	"The Meter Is Visible Before The Margin Is Knowable"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"bridge_ready"	"fail"	"69"	"conditional_rhythm"	"Verify price/currentness caveats."
"F22.02"	"CH22"	"A-0083"	"svg_diagram"	"Routing, Caching, Batching, Distillation"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Keep distinct from Chapter 8 cost stack."
"F22.03"	"CH22"	"A-0084"	"svg_diagram"	"Intelligence Is Sold Through More Than One Door"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Caption blocks margin and ARR claims."
"F22.04"	"CH22"	"A-0085"	"svg_diagram"	"The Tempting Economics Claims Are Not The Sourced Ones"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Use as sidebar if layout is dense."
"F23.01"	"CH23"	"A-0074"	"svg_diagram"	"Failure Modes Are Different Claims"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Prevent incident montage."
"F23.02"	"CH23"	"A-0075"	"svg_diagram"	"Trust Is A Stack"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Check if final chapter repeats it."
"F23.03"	"CH23"	"A-0076"	"svg_diagram"	"Every Evaluation Casts A Shadow"	"publish_after_render"	"medium"	"warn"	"pass"	"warn"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"67"	"conditional_rhythm"	"Use with benchmark chapters cross-reference."
"F23.04"	"CH23"	"A-0077"	"svg_diagram"	"From Answer To Auditable Claim"	"publish_after_render"	"low"	"conditional_pass"	"pass"	"pass"	"pass"	"warn"	"pass"	"not_bridge_target"	"fail"	"82"	"conditional_rhythm"	"Pair with source-density prose."
