pass_id	placement_rank	figure_id	chapter	chapter_anchor	asset_id	asset_type	figure_title	candidate_kind	placement_decision	source_ids	source_media_candidate	manifest_file_path	local_media_status	diversity_role	story_fit_note	quality_note	rights_gate	publication_status	next_action
I-0243	14	F14.04	CH14	ch14-fig04	A-0133	photo_candidate_slot	Lithography/ASML proxy physical texture.	industrial_photo_or_page	selected_candidate_callout	S-0273;S-0274	S-0298	assets/photo_candidates/i0181/A-0133_lithography_asml_proxy_candidate.txt	source-media ledger candidate	lithography supply-chain texture	makes the chip chapter visibly depend on manufacturing systems, not just abstract silicon	ASML page capture exists; final should prefer licensed photo or clean source-page crop	permission or replacement image required for physical photo use	blocked_candidate	render ASML source page and search for license-clear lithography image alternative
I-0243	15	F14.05	CH14	ch14-fig05	A-0134	photo_candidate_slot	Cleanroom manufacturing environment.	industrial_photo	selected_candidate_callout	S-0275		assets/photo_candidates/i0181/A-0134_fab_cleanroom_candidate.txt	capture still required	cleanroom environment	adds human-scale and environmental context to fabrication capacity	needs a high-resolution licensed cleanroom image with non-generic caption	permission or public-domain/CC replacement required	blocked_candidate	select licensed cleanroom candidate and record image creator, license, and modifications
I-0243	16	F14.06	CH14	ch14-fig06	A-0136	photo_candidate_slot	Server racks as compute infrastructure.	infrastructure_photo	selected_candidate_callout	S-0277		assets/photo_candidates/i0181/A-0136_gpu_server_rack_candidate.txt	capture still required	server-rack compute texture	connects chip supply to deployed compute rooms and systems integration	needs non-stock image that matches AI compute context closely enough	photo license and source specificity pending	blocked_candidate	find license-clear rack photo or replace with original diagram if source remains generic
I-0243	17	F15.06	CH15	ch15-fig06	A-0004	extracted_slide_render	NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue.	slide_render	selected_candidate_callout	S-0001;local:GTC-2026-Keynote.pdf page 29	S-0001	assets/gtc_2026/slides/page-029-ai-factories.png	source-media ledger candidate	GTC keynote slide evidence	uses the local keynote asset to show NVIDIA's own AI-factory framing	local PDF source exists; needs page crop QA and quote-length/copyright discipline	presentation excerpt use and attribution review required	blocked_candidate	extract page image from GTC PDF with page number and caption only the visible framing
I-0243	18	F15.07	CH15	ch15-fig07	A-0106	source_screenshot_slot	NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric.	source_page	selected_candidate_callout	S-0001	S-0001;S-0297	assets/gtc_2026/slides/page-029-ai-factories.png	source-media ledger candidate	AI factory source rhetoric	pairs the chapter's infrastructure argument with an attributed NVIDIA surface	needs choice between keynote page render and H100/product-page context to avoid duplication	NVIDIA source-surface use and attribution pending	blocked_candidate	choose one NVIDIA surface after comparing clarity with F15.06
I-0243	19	F16.06	CH16	ch16-fig06	A-0137	photo_candidate_slot	Data-center hall physical texture.	infrastructure_photo	selected_candidate_callout	S-0278	S-0288	assets/photo_candidates/i0181/A-0137_data_center_hall_candidate.txt	source-media ledger candidate	data-center hall texture	makes the energy chapter start from physical halls rather than invisible demand curves	local Wikimedia candidate exists but must be checked for license, resolution, and crop	license, attribution, and suitability pending	blocked_candidate	verify Wikimedia license and crop candidate or replace with better licensed data-center hall
I-0243	20	F16.07	CH16	ch16-fig07	A-0139	photo_candidate_slot	Grid interconnection texture.	infrastructure_photo	selected_candidate_callout	S-0280		assets/photo_candidates/i0181/A-0139_substation_candidate.txt	capture still required	grid interconnection texture	moves the reader from compute demand to the bottleneck of grid connection	needs specific grid/interconnection image, not generic transmission-line wallpaper	photo source and license pending	blocked_candidate	source license-clear interconnection or substation image and tie caption to grid queue language
I-0243	21	F16.08	CH16	ch16-fig08	A-0141	photo_candidate_slot	Gas turbine speed-to-power texture.	infrastructure_photo	selected_candidate_callout	S-0282		assets/photo_candidates/i0181/A-0141_gas_turbine_candidate.txt	capture still required	gas turbine speed-to-power texture	visualizes the speed tradeoff in power procurement for compute campuses	needs credible plant/turbine image with dateable context	photo source and license pending	blocked_candidate	find licensed gas-turbine image or replace with schematic if rights remain weak
I-0243	22	F18.05	CH18	ch18-fig05	A-0124	screenshot_slot	ChatGPT Tool Surface	product_surface	selected_candidate_callout	S-0044;S-0045;S-0046		assets/private_use_screenshots/i0180/A-0124_chatgpt_tools_gpts_product_surface.png	capture still required	tool-enabled ChatGPT surface	shows the interface shift from text box to tool-using workbench	needs current UI capture with tool affordance visible and private content excluded	OpenAI UI terms, capture provenance, and no-private-data check pending	blocked_candidate	capture a clean tool-surface example and log exact prompt/content used
I-0243	23	F19.05	CH19	ch19-fig05	A-0127	screenshot_slot	GitHub Copilot Coding Surface	coding_surface	selected_candidate_callout	S-0070		assets/private_use_screenshots/i0180/A-0127_github_copilot_product_surface.png	capture still required	GitHub Copilot coding surface	grounds the coding chapter in the developer workflow where AI assistance appears	needs readable IDE or GitHub capture without proprietary code	UI terms, repository license, and code-content clearance pending	blocked_candidate	capture public demo/repo workflow or create controlled local example for screenshot
I-0243	24	F20.05	CH20	ch20-fig05	A-0131	screenshot_slot	Claude Code Surface	coding_agent_surface	selected_candidate_callout	S-0048;S-0049;S-0050;S-0051	S-0300;S-0301	assets/private_use_screenshots/i0180/A-0131_claude_code_product_surface.png	source-media ledger candidate	Claude Code product/docs surface	makes coding agents visible as a productized workflow rather than only a concept	local page/doc captures exist but need render crop and product-vs-docs choice	Anthropic page/docs capture rights and attribution pending	blocked_candidate	render both captured surfaces and pick the one with clearer task/action evidence
