pass_id	page	zone	text_chars	image_count	drawing_count	residue_hits	front_back_process_hits	blank_like	sample_text
I-0312	11	body	2201	0	2	0	0	no	Schools saw a different machine. Chalkbeat reported on January 3, 2023, that New York City's education department blocked ChatGPT on school devices and networks, citing concerns about learning and the safety and accuracy of content. [S-0094] Axios Seattle later reported that Seattle Public Schools h
I-0312	12	body	2477	0	2	0	0	no	The interface packaged several ideas into one gesture. Pretraining supplied broad continuation ability. Instruction tuning and RLHF made the model more likely to behave as a helpful assistant. Prompting let users specify tasks in natural language. The chat format gave the exchange a familiar rhythm:
I-0312	13	body	2192	0	2	0	0	no	it embodies a theory. They adopt it because it makes some annoying task easier, or because they fear someone else will use it first, or because the new interface reveals a possibility they cannot unsee. ChatGPT's ordinary usefulness made its extraordinary implications travel. This is why the chapter
I-0312	14	body	2167	0	2	0	0	no	policy, school blocks, and workplace restrictions were institutional versions of the same movement: this is useful enough to matter and unreliable enough to control. That double motion will shape the whole book. The LLM race is not a straight line from dumb machines to smart machines. It is a race t
I-0312	15	body	1252	1	4	0	0	no	The Hidden Factory F01.03 / A-0070 - Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Seattle schools, and JPMorgan become named local-control examples. Figure 1.3 - Local Alarms: First Institutional Response Chronology. Stack Overflow, NYC schools, Se
I-0312	16	body	2425	0	2	0	0	no	This is why later chapters spend so much time below the surface. GPUs matter because tokens are not free. CUDA matters because useful speed is software as much as silicon. Datacenters matter because a popular model becomes land, power, cooling, and grid interconnection. Inference economics matter be
I-0312	17	body	1980	0	2	0	0	no	was not. The Central Question This book is not a biography of one product. ChatGPT is the opening because it made the question unavoidable. How did a machine trained to predict the next token become a system people asked to write code, explain science, summarize documents, search memories, operate t
I-0312	18	body	1129	0	3	0	0	no	Handoff: Before The Box The shock, seen from the launch window, looked sudden. Seen from inside the machinery, it was the late public arrival of an older habit. Machines had been learning to guess language long before the web had a chat box. They had counted word frequencies, smoothed probabilities,
I-0312	19	body	802	1	6	0	0	no	Chapter 01 Visual Portfolio These visuals are placed with Chapter 01, The Shock, so the reader sees the evidence and memory aids beside the argument they serve. VX025 / A-0068 - Chapter 1 ChatGPT shock chronology Figure 1.1 - ChatGPT Shock Chronology. Launch and early adoption evidence are split int
I-0312	20	body	575	1	6	0	0	no	VX182 / A-0284-062 - Satya Nadella acquired person_image for private-edition visual layer: Satya Nadella. Categories: person_image. Source/provenance: https://news.microsoft.com/exec/satya-nadella/ Source note: source rights noted; Public-profile page screenshot only; does not support biography clai
I-0312	21	body	218	0	2	0	0	no	Chapter 02: Before the Transformer 2. Before the Transformer: The Machine Learns Sequence Before that box could feel natural, language had to be squeezed into representations a machine could compare, score, and extend.
I-0312	22	body	429	1	4	0	0	no	The Older Machine F02.01 / A-0285-001 - Figure 02.01 - Transformer Paper Page As The Breakthrough Surface Attention Is All You Need page-one render anchors the Transformer breakthrough as a primary source surface; it does not prove intention, later implementation details, modern product behavior, or
I-0312	23	body	2193	0	2	0	0	no	Use note: source boundaries are recorded in the project ledgers. Boundary: Does not prove modern implementation details, intention, truth, or later LLM behavior. Before the language model became a chat window, it was a much colder instrument: a machine that assigned probabilities to strings. The wor
I-0312	24	body	2294	0	2	0	0	no	"The important turn was not that researchers made language less discrete. It was that they made the discreteness negotiable. A word could remain a symbol in a vocabulary while also becoming a point in a learned space. ""Dog"" and ""cat"" would still be different tokens, but the model could learn that the"
I-0312	25	body	2130	0	2	0	0	no	more important: the paper helped show that high-quality word vectors could be learned efficiently from large text corpora, and that the resulting geometry captured enough regularity to become a practical substrate for later systems. The word-vector era matters because it built a bridge between symbo
I-0312	26	body	2218	0	2	0	0	no	This is why distributed representation was more than a technical convenience. It was a way to make the model less brittle in the face of novelty. Bengio and his coauthors described a neural language model that learned word feature vectors jointly with the probability function. The model could theref
I-0312	27	body	2400	0	2	0	0	no	principle, this made recurrence a natural fit for language. Humans read in order. Speech arrives in time. Text has sequence. A recurrent model matched the shape of the signal. But matching the shape of language is not the same as handling its demands. Long contexts are hard. Training can be unstable
I-0312	28	body	2074	0	2	0	0	no	"each target word. [S-0107] The important move was not the word ""attention"" by itself. It was the permission to stop treating the entire source sentence as a single compressed lump. Attention made the model's internal work feel less like a sealed bottle and more like a set of pointers. At each step, "
I-0312	29	body	2286	0	2	0	0	no	This is one of the bridges from translation to general-purpose LLMs. A future assistant answering a question, writing code, or summarizing a document faces the same class of pressure. Which earlier tokens matter now? Which instruction governs this sentence? Which variable name, legal condition, or f
I-0312	30	body	2438	0	2	0	0	no	This was not magic. It was an engineering change with scientific consequences. Parallelism matters because the modern LLM story is inseparable from compute. A model architecture that can better use accelerators can be trained at scales that change what the model can learn. The Transformer did not by
I-0312	31	body	2198	0	2	0	0	no	This is the first glimpse of a theme that will dominate the book later: model history is also infrastructure history. Ideas win partly because they are true or elegant, and partly because they run well on the machines available at the time. Self-attention gave researchers a powerful way to mix seque
I-0312	32	body	2300	0	2	0	0	no	The sequence-to-sequence question was: can one learned system read a token sequence and produce another? The attention question was: can the model decide which parts of the sequence matter for the next part of the sequence? The Transformer question was: what happens if that relational operation beco
I-0312	33	body	343	0	3	0	0	no	The old systems did not fail because words were boring; they failed because meaning kept arriving in the wrong place at the wrong time. The suspense of the next chapter is mechanical and human at once: attention makes the past of a sentence reachable, and that small act of reach begins to change who
I-0312	34	body	698	1	6	0	0	no	Chapter 02 Visual Portfolio These visuals are placed with Chapter 02, Before the Transformer, so the reader sees the evidence and memory aids beside the argument they serve. VX155 / A-0287-032 - Jupyter completion-layer logo for private-edition visual acquisition: Jupyter. Categories: logo. Source/p
I-0312	35	body	520	1	6	0	0	no	VX157 / A-0287-034 - NumPy completion-layer logo for private-edition visual acquisition: NumPy. Categories: logo. Source/provenance: https://simpleicons.org/ Source note: source rights noted; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or c
I-0312	36	body	520	1	6	0	0	no	VX159 / A-0287-036 - SciPy completion-layer logo for private-edition visual acquisition: SciPy. Categories: logo. Source/provenance: https://simpleicons.org/ Source note: source rights noted; Logo identifies an actor only; it does not imply endorsement, partnership, market share, model quality, or c
I-0312	37	body	578	1	6	0	0	no	VX184 / A-0284-064 - Geoffrey Hinton acquired person_image for private-edition visual layer: Geoffrey Hinton. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Geoffrey_Hinton Source note: source rights noted; Public-profile page screenshot only; does not support biography c
I-0312	38	body	573	1	6	0	0	no	VX185 / A-0284-065 - Yoshua Bengio acquired person_image for private-edition visual layer: Yoshua Bengio. Categories: person_image. Source/provenance: https://mila.quebec/en/person/yoshua-bengio/ Source note: source rights noted; Public-profile page screenshot only; does not support biography claims
I-0312	39	body	560	1	6	0	0	no	VX186 / A-0287-051 - Andrew Ng completion-layer person_image for private-edition visual acquisition: Andrew Ng. Categories: person_image. Source/provenance: https://www.andrewng.org/ Source note: source rights noted; Public-profile page screenshot only; does not support biography claims beyond separ
I-0312	40	body	589	1	6	0	0	no	VX199 / A-0287-064 - Christopher Manning completion-layer person_image for private-edition visual acquisition: Christopher Manning. Categories: person_image. Source/provenance: https://nlp.stanford.edu/~manning/ Source note: source rights noted; Public-profile page screenshot only; does not support 
I-0312	41	body	1942	0	65	0	0	no	PORTFOLIO PLATE - LOGO Research And Data- Science Substrate The scientific Python and notebook strip makes the pre-LLM toolchain visible without turning it into a separate history. Caption: Research And Data-Science Substrate. The scientific Python and notebook strip makes the pre-LLM toolchain visi
I-0312	42	body	1024	0	24	0	0	no	Source: https://simpl Blocked claims: Visual identity/prof texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state. Source: https://simpl Blocked claims: Visual identity/profi texture only; does not prove biography, a
I-0312	43	body	1877	6	31	0	0	no	PORTFOLIO PLATE - PERSON Deep-Learning And NLP Lineage The opening lineage strip anchors the book in researchers who made neural language work feel historically continuous. Caption: Deep-Learning And NLP Lineage. The opening lineage strip anchors the book in researchers who made neural language work
I-0312	44	body	259	0	8	0	0	no	Oriol Vinyals person image seq2seq/dee learning human anchor Source: https://en.wi Blocked claims: Visual identity/prof texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0312	45	body	232	0	2	0	0	no	Chapter 03: Attention Catches Fire 3. Attention Catches Fire: The Architecture That Wanted To Scale The next breakthrough begins with a bottleneck: sequence models could remember, but not freely enough for the scale that was coming.
I-0312	46	body	435	1	4	0	0	no	The Break In The Loop F03.01 / A-0288-001 - Figure 03.01 - BERT Page As Bidirectional Transformer Lineage BERT page-one render supplies masked-language-model lineage texture for the attention chapter; it does not make BERT a generative chatbot or prove later LLM behavior. Source: PAPER-0288-001;A-02
I-0312	47	body	2227	0	2	0	0	no	Boundary: Does not make BERT a generative chatbot or prove later LLM behavior. The Transformer begins as a revolt against waiting. In the older sequence-machine picture, language arrives like a train: one car after another. A recurrent network reads the sequence in order, updating a hidden state as 
I-0312	48	body	2371	0	2	0	0	no	This chapter should therefore avoid myth. The Transformer was not a magic mind. It was a mechanism. Its beauty is that the mechanism is simple enough to explain and rich enough to become a civilization-scale industrial object. Attention Without The Metaphor The word attention is dangerous because it
I-0312	49	body	2296	0	2	0	0	no	"The key phrase is ""becomes,"" not ""is."" A token enters as an embedding plus position information. One layer mixes it with a first pattern of context. Many layers transform it through many learned patterns. The representation is dynamic; that is why the same word can behave differently from one senten"
I-0312	50	body	2138	0	2	0	0	no	That framing matters because it names the public argument around the architecture: attention was not merely a performance trick. It was a way to make relationships more direct. Distance is the hinge. A recurrent model has to pass information step by step. In self-attention, a far token can be consid
I-0312	51	body	2110	0	2	0	0	no	The positional encoding detail also foreshadows later context-window chapters. Once language becomes token positions plus learned interaction, the length and structure of the context become product facts. How much can fit? How reliably does the model use what fits? Which positions matter? What happe
I-0312	52	body	2337	0	2	0	0	no	The GPT lineage later used Transformer language models trained on text to predict the next token, then adapted and scaled that recipe. GPT-1 used generative Transformer pretraining followed by supervised task adaptation. [S-0011] GPT-2 pushed unsupervised multitask framing. [S-0013] GPT-3 made scale
I-0312	53	body	2246	0	2	0	0	no	Those later GPT claims belong mostly in Chapter 5, but Chapter 2 needs the bridge because otherwise the reader may wonder how a translation architecture became a general text machine. The bridge is not mystical. The decoder can generate one token at a time. If the training objective is next- token p
I-0312	54	body	1933	0	2	0	0	no	"Transformer combined strong sequence modeling with a computation pattern that could ride accelerator improvements. That combination made it unusually fertile. The word ""fertile"" is useful because it avoids a false finality. Later models changed attention variants, normalization placement, activation"
I-0312	55	body	2305	0	2	0	0	no	Third, it fit accelerator-era training better than recurrence-heavy alternatives. The paper emphasized parallelization advantages, and the Google Research commentary likewise presented self-attention as central to the architecture's ability to model dependencies directly. [S-0002; S-0108] This does 
I-0312	56	body	2300	0	2	0	0	no	The second is a recurrence-versus-self-attention comparison. On the left, a recurrent chain passes state step by step. On the right, tokens connect through a self-attention pattern. The point is not that attention is free or omniscient. The point is the route of information flow and the opportunity 
I-0312	57	body	878	0	3	0	0	no	possible also creates pressure to pack more and more context into the window. The architecture that scales with accelerators also creates the physical infrastructure race. The Transformer therefore does not end the technical history. It starts the modern problem. Once the field had a scalable attent
I-0312	58	body	780	1	6	0	0	no	Chapter 03 Visual Portfolio These visuals are placed with Chapter 03, Attention Catches Fire, so the reader sees the evidence and memory aids beside the argument they serve. VX053 / A-0284-002 - NVIDIA Blackwell acquired source_image for private-edition visual layer: NVIDIA Blackwell. Categories: re
I-0312	59	body	586	1	6	0	0	no	VX188 / A-0287-053 - Oriol Vinyals completion-layer person_image for private-edition visual acquisition: Oriol Vinyals. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Oriol_Vinyals Source note: source rights noted; Public-profile page screenshot only; does not support bio
I-0312	60	body	589	1	6	0	0	no	VX189 / A-0287-054 - Ashish Vaswani completion-layer person_image for private-edition visual acquisition: Ashish Vaswani. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Ashish_Vaswani Source note: source rights noted; Public-profile page screenshot only; does not support 
I-0312	61	body	583	1	6	0	0	no	VX190 / A-0287-055 - Noam Shazeer completion-layer person_image for private-edition visual acquisition: Noam Shazeer. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Noam_Shazeer Source note: source rights noted; Public-profile page screenshot only; does not support biogra
I-0312	62	body	581	1	6	0	0	no	VX194 / A-0287-059 - Aidan Gomez completion-layer person_image for private-edition visual acquisition: Aidan Gomez. Categories: person_image. Source/provenance: https://cohere.com/researchers/aidan-gomez Source note: source rights noted; Public-profile page screenshot only; does not support biograph
I-0312	63	body	1888	6	31	0	0	no	PORTFOLIO PLATE - PERSON Transformer, Scaling, And Evaluation Line Architecture and evaluation figures give attention, MoE, systems, and reasoning sections human handles. Caption: Transformer, Scaling, And Evaluation Line. Architecture and evaluation figures give attention, MoE, systems, and reasoni
I-0312	64	body	232	0	8	0	0	no	evaluation/f models human anchor Source: https://cs.sta Blocked claims: Visual identity/prof texture only; does not prove biography, adoption, capability, market position, safety, revenue, deployment, rank, or current product state.
I-0312	65	body	5468	0	99	0	0	no	PORTFOLIO PLATE - VISUAL BOARD Language Model Foundations Tokens, attention, GPT lineage, scaling, and early benchmark context. Caption: Language Model Foundations. Tokens, attention, GPT lineage, scaling, and early benchmark context. Evidence boundary: chart/data/SVG atlas only; no live-rank, capab
I-0312	66	body	6169	0	107	0	0	no	Blocked claims: Curated visualization only; does not prove adoption, live rank, safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence- level source support. safety, deployment, revenue, productivity, market share, roadmap delivery, or 
I-0312	67	body	371	0	24	0	0	no	safety, deployment, revenue, productivity, market share, roadmap delivery, or universal model quality without sentence- level source support. delivery, or universal model quality without sentence- level source support. sentence- level source support. market share, roadmap delivery, or universal mode
I-0312	68	body	201	0	2	0	0	no	Chapter 04: The Scaling Bet 4. The Scaling Bet: When Loss Became A Map Scaling enters the story as an empirical gamble, where curves became strategy before anyone knew what products they would justify.
I-0312	69	body	484	1	4	0	0	no	The Curve Before The Product F04.01 / A-0285-005 - Figure 04.01 - Scaling Laws Page As Loss- Compute Evidence Scaling Laws for Neural Language Models page-one render grounds the scaling chapter in measured loss, model, data, and compute tradeoffs; it does not prove truth, safety, emergence threshold
I-0312	70	body	2383	0	2	0	0	no	Boundary: Does not prove automatic truth, safety, emergence thresholds, or business value. Before ChatGPT became an interface event and before the Transformer became a public synonym for modern AI, a quieter idea took hold inside labs: perhaps language models could be treated less like a collection 
I-0312	71	body	2129	0	2	0	0	no	"longer asked only, ""Can we build a better architecture?"" It asked, ""How much improvement can we buy by scaling the architecture we already have?"" The Industrialization Of Prediction The scaling bet made language modeling feel industrial. The central object was no longer only a clever model. It was a"
I-0312	72	body	2023	0	2	0	0	no	"What The Laws Measured Scaling-law prose can become slippery because ""performance"" sounds general. This chapter should keep the word tied to what the sources actually measured. Kaplan et al. studied language-model loss and related evaluation behavior across model size, data, and compute regimes. [S-"
I-0312	73	body	2355	0	2	0	0	no	That chain is full of ifs. Kaplan et al. did not prove the business model. They supplied a way to reason about the training side of the chain. [S-0003] The rest had to be supplied by product design, infrastructure, pricing, distribution, and trust. But even that partial map was powerful. It let tech
I-0312	74	body	2242	0	2	0	0	no	GPT-3 also made the scaling question feel urgent. If a bigger language model could perform a wider range of tasks from prompts, then every lab had to ask whether the next jump in scale would unlock more such behavior. The answer was never clean. Some improvements were smooth. Some tasks remained bri
I-0312	75	body	2404	0	2	0	0	no	The chapter should not use Chinchilla to make a universal numerical rule without extraction. It should use it as a conceptual pivot: scale had become precise enough that researchers could argue about optimality, not just magnitude. That is a sign of a field becoming industrial science. The Chinchill
I-0312	76	body	1994	0	2	0	0	no	backward into archives, code repositories, books, web pages, synthetic data pipelines, and licensing deals. The PaLM Example PaLM belongs here as a bounded example of the scaling era moving through a major lab. The PaLM paper presented a large language model trained with Google's Pathways system and
I-0312	77	body	2140	0	2	0	0	no	"Emergence, Or The Temptation To Overread Few words in the LLM era invite more trouble than emergence. It is tempting to say that new abilities ""emerge"" when models cross a scale threshold. Sometimes that word points to real surprises in evaluation behavior. Sometimes it smuggles in mystery where the"
I-0312	78	body	2313	0	2	0	0	no	That principle will matter later in the model-rankings chapter. Leaderboards are descendants of the scaling era's measurement culture. They promise order in a field that changes too quickly for ordinary readers to track. But a rank is only meaningful inside its source, date, task, sampling, prompt, 
I-0312	79	body	2057	0	3	0	0	no	reader how to read the chapter without being seduced by scale theater. These charts should be beautiful but sober. No glowing exponential rocket. No inevitability arrow pointing to artificial general intelligence. The visual grammar should say: here is what was measured; here is what was inferred; h
I-0312	80	body	376	0	2	0	0	no	A loss curve could promise direction, but it could not promise a business, a user habit, or a useful answer. It was a weather report, not a harvest. The GPT line made the bet frighteningly concrete: pretrain broadly, open a prompt- shaped door, and discover whether prediction could be coaxed into wo
I-0312	81	body	663	1	6	0	0	no	Chapter 04 Visual Portfolio These visuals are placed with Chapter 04, The Scaling Bet, so the reader sees the evidence and memory aids beside the argument they serve. VX003 / A-0003 - visual grammar prototype Tradeoff curve prototype for scaling, price-performance, latency-cost, and benchmark caveat
I-0312	82	body	565	1	6	0	0	no	VX174 / A-0284-053 - Ilya Sutskever acquired person_image for private-edition visual layer: Ilya Sutskever. Categories: person_image. Source/provenance: https://en.wikipedia.org/wiki/Ilya_Sutskever Source note: source rights noted; Public-profile image only; does not support biography claims beyond 
I-0312	83	body	571	1	6	0	0	no	VX187 / A-0287-052 - Jeff Dean completion-layer person_image for private-edition visual acquisition: Jeff Dean. Categories: person_image. Source/provenance: https://research.google/people/jeff/ Source note: source rights noted; Public-profile page screenshot only; does not support biography claims b
I-0312	84	body	4543	0	55	0	0	no	PORTFOLIO PLATE - PAPER REPORT EXCERPT Transformer, GPT, And Scaling Origins The origin gallery shows the breakthrough papers as artifacts the reader can locate, not as invisible bibliography. Caption: Transformer, GPT, And Scaling Origins. The origin gallery shows the breakthrough papers as artifac
I-0312	85	body	24	0	24	0	0	no	sentence- level support.
I-0312	86	body	4546	0	55	0	0	no	PORTFOLIO PLATE - PAPER REPORT EXCERPT Pretraining Lineage And Compute-Optimal Scale BERT, T5, Chinchilla, PaLM, and chain-of-thought establish the mechanism bridge into frontier LLMs. Caption: Pretraining Lineage And Compute-Optimal Scale. BERT, T5, Chinchilla, PaLM, and chain-of-thought establish 
I-0312	87	body	63	0	24	0	0	no	current product state without separate sentence- level support.
I-0312	88	body	211	0	2	0	0	no	Chapter 05: GPT-1 to GPT-3: The Door Opens 5. GPT-1 to GPT-3: The Door Opens The GPT line turns the gamble into a service surface, a door through which builders could start treating prediction as infrastructure.
I-0312	89	body	465	1	4	0	0	no	The Model That Learned To Begin F05.01 / A-0285-002 - Figure 05.01 - GPT-1 Paper Page As Pretraining Origin Improving Language Understanding by Generative Pre-Training page-one render anchors GPT-1 as a transfer/pretraining source surface; it does not prove ChatGPT, GPT-3, or broad product capabilit
I-0312	90	body	2363	0	2	0	0	no	Boundary: Does not prove ChatGPT, GPT-3, or broad product capability. The first GPT paper did not read like the opening of a consumer revolution. Its title was technical and modest: improving language understanding by generative pre-training. The idea was not to build a chatbot, a search engine, or 
I-0312	91	body	2273	0	2	0	0	no	GitHub Copilot as the cursor-level product surface. Its companion data lives in data/gpt_lineage_visual_table.tsv; its caveats should stay visible until usage, pricing, productivity, benchmark, and legal claims are separately snapshotted or triangulated. [S-0011] [S-0012] [S-0013] [S-0004] [S-0069] 
I-0312	92	body	2269	0	2	0	0	no	"because it had become a reliable witness. The same mechanism that made it general made it slippery. Few-Shot As A Product Shape GPT-3 enlarged the bet until it became hard to ignore. The GPT-3 paper, ""Language Models are Few-Shot Learners,"" described a 175-billion-parameter language model evaluated "
I-0312	93	body	2289	0	2	0	0	no	figures as a final adoption history until the page is snapshotted, but the direction is clear enough: GPT-3 made the large language model feel less like a one-off demo and more like a programmable substrate. Prompting Was Programming Without The Compiler The central metaphor of GPT-3 was not convers
I-0312	94	body	2211	0	2	0	0	no	could write snippets. It was that natural-language intent could be converted into executable artifacts. A comment could become a function. A docstring could become a loop. A failing attempt could be tested. GitHub Copilot made that capability ordinary enough to be unsettling. GitHub introduced Copil
I-0312	95	body	2362	0	2	0	0	no	Representation became prompting. Prompting became an API. The API became a developer ecosystem. Code generation became a proof that language could command machinery. The prize-book version of this chapter should therefore be less about bigness than about conversion. A research technique converted un
I-0312	96	body	2447	0	2	0	0	no	be hinted by context. [S-0013] The public release post made a second point visible: once a language model could produce persuasive synthetic text, publication itself became a design decision. [S-0012] The interface was no longer just between researcher and benchmark. It included the lab, the public,
I-0312	97	body	2487	0	2	0	0	no	GitHub Copilot brought that action into the editor. GitHub's announcement described a technical preview in Visual Studio Code, powered by OpenAI Codex and built with OpenAI. [S-0070] The location was the story. The model was not in a paper, a web playground, or a lab demo. It was next to the code a 
I-0312	98	body	2345	0	2	0	0	no	The reader should feel how practical that was. It did not require a philosophical claim about understanding. It required a calculation about where information was abundant. The web and books and documents contained far more unlabeled language than carefully labeled examples. If predicting the next t
I-0312	99	body	2318	0	2	0	0	no	that made the model exciting made it hard to release as a normal research object. A narrow classifier has a narrower misuse envelope. A general text generator travels. The model also changed what a task looked like. Translation could be cued in text. Summarization could be implied by a passage follo
I-0312	100	body	2360	0	2	0	0	no	example and poorly on the case that mattered. But it was still a machine of a kind. You could put in examples and get a transformation. You could change the examples and get a different transformation. You could ask for a table, a JSON shape, a short answer, a tone, or a reasoning style. The control
I-0312	101	body	2395	0	2	0	0	no	The API Made Distribution A Technical Fact Distribution often gets treated as business context, something that happens after the science. In the GPT line, distribution became technical. A model available only as a paper is different from a model available through a hosted endpoint. The endpoint shap
I-0312	102	body	2297	0	2	0	0	no	stack early: model capability as a service. ChatGPT would later make the interface feel simple enough for anyone to try, but the service idea was already there. Code Revealed The Difference Between Plausible And Correct Prose can disguise failure. Code is less forgiving. A generated paragraph can be
I-0312	103	body	2126	0	2	0	0	no	LLM assistance ambient in the developer workflow. That ambient placement made later coding agents imaginable because it taught users to treat model output as draft material inside real work, not just as text in a separate box. The same caveat remains: no productivity numbers, adoption figures, legal
I-0312	104	body	1004	0	3	0	0	no	The hand-off should be sober. RLHF did not solve truth, safety, bias, robustness, jailbreaking, or misuse. It did not turn a base model into a moral agent. But it changed the product surface. The model could be trained not merely to continue, but to respond in ways humans preferred under specified c
I-0312	105	body	795	1	6	0	0	no	Chapter 05 Visual Portfolio These visuals are placed with Chapter 05, GPT-1 to GPT-3: The Door Opens, so the reader sees the evidence and memory aids beside the argument they serve. VX004 / A-0010 - GPT lineage visual table Figure 5.1 - From Pretraining To The Cursor. Sourced visual table for GPT-1,
I-0312	106	body	637	1	6	0	0	no	VX116 / A-0286-001 - Hugging Face GPT-2 model card source-surface card for Hugging Face GPT-2 model card. Categories: model_card_hf_benchmark_repo_docs_surface. Source/provenance: https://huggingface.co/openai-community/gpt2 Source note: source rights noted; screenshot hash 89c086ee029e830cae183760e
I-0312	107	body	624	1	6	0	0	no	VX117 / A-0286-002 - OpenAI GPT-2 GitHub repo source-surface card for OpenAI GPT-2 GitHub repo. Categories: model_card_hf_benchmark_repo_docs_surface. Source/provenance: https://github.com/openai/gpt-2 Source note: source rights noted; screenshot hash 54786b57ae82e345449dc014672cc0805c49006f0cbd1043
I-0312	108	body	813	1	4	0	0	no	Chapter 06: Alignment Enters the Product 6. Alignment Enters the Product Once prediction became a product, the central problem changed from fluent continuation to behavior under instruction, pressure, and refusal. The Model That Needed A Boss F06.01 / A-0287-014 - Figure 06.01 - Anthropic Console Pr
I-0312	109	body	2338	0	2	0	0	no	GPT-3 made the prompt feel like a temporary program: examples and instructions could sit inside the context window and steer the next completion. [S-0004] It also made the product problem impossible to ignore. A base language model is trained to continue text. A user, however, does not usually want 
I-0312	110	body	2192	0	2	0	0	no	Visual integration: Figure 6.1, provenance ledger, shows pretraining, supervised demonstrations, preference comparisons, reward/preference modeling, RL optimization, Constitutional AI/RLAIF, product policy, red teaming, and evaluation loops as a layered assistant-behavior stack. The companion rows l
I-0312	111	body	2215	0	2	0	0	no	The older roots of the idea reached beyond LLMs. The 2017 human-preference reinforcement-learning work from OpenAI and DeepMind showed a way to train agents from human comparisons when the desired behavior was hard to specify directly as a reward function. [S-0073] By the time the idea reached Instr
I-0312	112	body	2197	0	2	0	0	no	existence of such a document is itself historically important. It shows that assistant behavior had become a specification surface, not merely a side effect of pretraining. The base model had learned language from the world. The assistant had to learn manners from an institution. Anthropic's Constit
I-0312	113	body	1366	1	4	0	0	no	This is where Anthropic enters the larger narrative before the Claude chapter. Claude was not only another model family. It was a product argument about how an assistant should behave. Constitutional AI gave that argument a research signature. Red Teams, System Cards, And The Public Boundary F06.02 
I-0312	114	body	2275	0	2	0	0	no	mitigations around a deployed frontier model. [S-0076] Later GPT-4o system- card work extended that pattern into a more multimodal product context, including external red teaming and risk evaluation before broader release. [S- 0077] These documents should not be read as neutral certificates of safet
I-0312	115	body	2105	0	2	0	0	no	companions, research tools, and creative aids could all share a base-model lineage while differing in instruction layers, tools, policies, and evaluation targets. Alignment, in this sense, was not only about stopping bad outputs. It was about making the model legible to a market. Evaluation Was The 
I-0312	116	body	2194	0	2	0	0	no	hallucinated. It still failed. It still reflected the limits of its training data, preference data, policies, and evaluation process. But it no longer felt like a raw completion engine. That was the product breakthrough. GPT-3 had shown that prompts could steer a base model. InstructGPT showed that 
