pass_id	figure_index	classes	old_caption	new_caption	changed
I-0314	21	atlas-figure;svg_diagram	visual grammar prototype. Tradeoff curve prototype for scaling, price-performance, latency-cost, and benchmark caveat figures.	visual grammar prototype.	yes
I-0314	22	atlas-figure;person_image	Ilya Sutskever. person_image. Source: https://en.wikipedia.org/wiki/Ilya_Sutskever.	Ilya Sutskever.	yes
I-0314	23	atlas-figure;person_image	Jeff Dean. person_image. Source: https://research.google/people/jeff/.	Jeff Dean.	yes
I-0314	24	book-figure;embedded-visual;source_surface_paper_report_excerpt	GPT-1 Paper Page As Pretraining Origin. Improving Language Understanding by Generative Pre-Training page-one render anchors GPT-1 as a transfer/pretraining source surface; it.	GPT-1 Paper Page As Pretraining Origin, shown as a paper or report page.	yes
I-0314	25	atlas-figure;svg_diagram	GPT lineage visual table. From Pretraining To The Cursor. Sourced visual table for GPT-1, GPT-2, GPT-3, OpenAI API, Codex, and GitHub Copilot with row-level caveats.	GPT lineage visual table.	yes
I-0314	26	atlas-figure;model_card	Hugging Face GPT-2 model card. source-surface card for Hugging Face GPT-2 model card.	Hugging Face GPT-2 model card, shown as a model-card page.	yes
I-0314	27	atlas-figure;repo_surface	OpenAI GPT-2 GitHub repo. source-surface card for OpenAI GPT-2 GitHub repo.	OpenAI GPT-2 GitHub repo, shown as a repository page.	yes
I-0314	28	book-figure;embedded-visual;real_world_source_image	Anthropic Console Product Surface. Anthropic Console public-web screenshot grounds the alignment-as-product discussion in a visible developer surface; it.	Anthropic Console Product Surface, shown as a public web page.	yes
I-0314	29	book-figure;embedded-visual;real_world_source_image	OpenAI API As Behavior Interface. OpenAI API source image anchors the chapter's behavior-as-interface discussion as reader-facing product texture; it.	OpenAI API As Behavior Interface, shown as a public web page.	yes
I-0314	30	book-figure;embedded-visual;real_world_person_image	Dario Amodei Public Profile Texture. Public-profile image of Dario Amodei adds a human organizational anchor near the Constitutional AI and assistant-behavior discussion; it.	Dario Amodei Public Profile Texture.	yes
I-0314	31	atlas-figure;svg_diagram	RLHF and alignment pipeline visual. Alignment As A Product Stack. Sourced diagram for pretraining, demonstrations, preference comparisons, reward model, RL optimization, Constitutional AI/RLAIF branch, behavior specification, red-team/eval loop, and assistant behavior caveats.	RLHF and alignment pipeline visual.	yes
I-0314	32	atlas-figure;source_surface_render	OpenAI Model Spec behavior surface. paper_report_excerpt. Source: https://cdn.openai.com/spec/model-spec-2024-05-08.html.	OpenAI Model Spec behavior surface, shown as a public web page.	yes
I-0314	33	atlas-figure;source_surface_render	OpenAI GPT-4 System Card first page. paper_report_excerpt. Source: https://cdn.openai.com/papers/gpt-4-system-card.pdf.	OpenAI GPT-4 System Card first page, shown as a public web page.	yes
I-0314	34	atlas-figure;source_surface_render	OpenAI GPT-4o System Card first page. paper_report_excerpt. Source: https://cdn.openai.com/gpt-4o-system-card.pdf.	OpenAI GPT-4o System Card first page, shown as a public web page.	yes
I-0314	35	atlas-figure;pdf_report_page	GPT-4 System Card first-page surface. source-surface card for GPT-4 System Card first-page surface.	GPT-4 System Card first-page surface, shown as a report page.	yes
I-0314	36	atlas-figure;pdf_report_page	GPT-4o System Card first-page surface. source-surface card for GPT-4o System Card first-page surface.	GPT-4o System Card first-page surface, shown as a report page.	yes
I-0314	37	atlas-figure;pdf_report_page	GPT-4 Technical Report first-page surface. source-surface card for GPT-4 Technical Report first-page surface.	GPT-4 Technical Report first-page surface, shown as a report page.	yes
I-0314	38	atlas-figure;person_image	John Schulman. person_image. Source: https://en.wikipedia.org/wiki/John_Schulman.	John Schulman.	yes
I-0314	39	book-figure;embedded-visual;svg_diagram	Figure 7.x - ChatGPT: From Interface Event To Business Surface. Sourced timeline for ChatGPT launch, Plus, plugins, Enterprise release-note entry, GPTs, and GPT-4o with a blocked adoption/productivity lane. source context are recorded in the endnotes.	ChatGPT: From Interface Event To Business Surface.	yes
I-0314	40	book-figure;embedded-visual;real_world_person_image	Sam Altman Public Profile Texture. Public-profile image of Sam Altman gives the ChatGPT chapter a human organizational anchor; it is not evidence for launch causality, adoption, governance, or biographical claims beyond the ledger label.	Sam Altman Public Profile Texture.	yes
I-0314	41	book-figure;embedded-visual;source_excerpt_card_svg	Paid access became a product surface. Figure 7.x - ChatGPT Plus conversion. screenshot slot for subscription/reliability productization.	Paid access became a product surface. Figure 7.x - ChatGPT Plus conversion.	yes
I-0314	42	book-figure;embedded-visual;source_excerpt_card_svg	Enterprise ChatGPT added workplace controls. Figure 7/8.x - ChatGPT Enterprise launch surface. screenshot slot for workplace administration framing.	Enterprise ChatGPT added workplace controls. Figure 7/8.x - ChatGPT Enterprise launch surface.	yes
I-0314	43	book-figure;embedded-visual;source_excerpt_card_svg	Release notes are product archaeology. Figure 7/18.x - ChatGPT plugins surface. screenshot slot for tool-use bridge.	Figure 7/18.x - ChatGPT plugins surface. screenshot slot for tool-use bridge.	yes
I-0314	44	atlas-figure;source_surface_render	OpenAI ChatGPT Plus launch text render. paper_report_excerpt. Source: https://openai.com/index/chatgpt-plus/.	OpenAI ChatGPT Plus launch text render, shown as a public web page.	yes
I-0314	45	atlas-figure;source_surface_render	OpenAI ChatGPT Enterprise launch text render. paper_report_excerpt. Source: https://openai.com/index/introducing-chatgpt-enterprise/.	OpenAI ChatGPT Enterprise launch text render, shown as a public web page.	yes
I-0314	46	atlas-figure;source_surface_render	OpenAI ChatGPT release notes source surface. paper_report_excerpt. Source: https://help.openai.com/en/articles/6825453-chatgpt-release-notes.	paper page, shown as a public web page.	yes
I-0314	47	atlas-figure;person_image	Andrej Karpathy. person_image. Source: https://en.wikipedia.org/wiki/Andrej_Karpathy.	Andrej Karpathy.	yes
I-0314	48	atlas-figure;person_image	Greg Brockman. person_image. Source: https://en.wikipedia.org/wiki/Greg_Brockman.	Greg Brockman.	yes
I-0314	49	atlas-figure;person_image	Mira Murati. person_image. Source: https://en.wikipedia.org/wiki/Mira_Murati.	Mira Murati.	yes
I-0314	50	atlas-figure;person_image	Wojciech Zaremba. person_image. Source: https://en.wikipedia.org/wiki/Wojciech_Zaremba.	Wojciech Zaremba.	yes
I-0314	51	book-figure;embedded-visual;svg_diagram	Microsoft/OpenAI: The Cloud Bargain Timeline. Sourced chronology from 2019 compute partnership to Microsoft 365 Copilot with blocked outcome lane. source context are recorded in the endnotes.	Microsoft/OpenAI: The Cloud Bargain Timeline.	yes
I-0314	52	book-figure;embedded-visual;real_world_source_image	Microsoft Copilot Product Surface. Microsoft Copilot public-web screenshot gives the Microsoft/OpenAI flywheel a concrete product surface; it.	Microsoft Copilot Product Surface, shown as a public web page.	yes
I-0314	53	book-figure;embedded-visual;svg_diagram	What The Chat Box Hides. Non-quantified stack of latency, governance, serving software, accelerators, and physical datacenter layers. source context are recorded in the endnotes.	What The Chat Box Hides.	yes
I-0314	54	book-figure;embedded-visual;svg_diagram	Enterprise Claim Blocker Map. Access routes and product surfaces are allowed now; revenue, ROI, productivity, adoption, search share, and margin need stronger rows. source context are recorded in the endnotes.	Access routes and product surfaces are allowed now; revenue, ROI, productivity, adoption, search share, and margin need stronger rows.	yes
I-0314	55	atlas-figure;svg_diagram	Chapter 8 cloud-to-product flywheel. Cloud-To-Product Flywheel. Azure capacity, OpenAI models, Microsoft surfaces, and demand pressure reinforce each other as a strategic mechanism.	Chapter 8 cloud-to-product flywheel.	yes
I-0314	56	atlas-figure;source_image	IBM watsonx. real_photo_screenshot_source_image. Source: https://www.ibm.com/watsonx.	IBM watsonx, shown as a public web page.	yes
I-0314	57	atlas-figure;person_image	Sebastian Bubeck. person_image. Source: https://www.microsoft.com/en-us/research/people/sebubeck/.	Sebastian Bubeck.	yes
I-0314	58	book-figure;embedded-visual;source_surface_paper_report_excerpt	PaLM Page As Google's Scale Surface. PaLM page-one render gives the Google/DeepMind chapter a pre-Gemini scale artifact; it.	PaLM Page As Google's Scale Surface, shown as a paper or report page.	yes
I-0314	59	benchmark_model_card_surface_documentation_surface;book-figure;embedded-visual	Gemini API Model Docs Surface. Google Gemini API model-docs screenshot makes Gemini's developer model surface visible; mutable docs.	Gemini API Model Docs Surface. Google Gemini API model-docs screenshot makes Gemini's developer model surface visible; mutable docs.	no
I-0314	60	book-figure;embedded-visual;source_surface_pdf_technical_report_page	Gemini 1.5 Report Page As Long-Context Surface. Gemini 1.5 technical-report page-one render anchors long-context product grammar in a source surface; it.	Gemini 1.5 Report Page As Long-Context Surface.	yes
I-0314	61	benchmark_model_landscape_table;book-figure;embedded-visual	T001 - Figure 09.04 - 2023 Model-Landscape Table. The 2023 benchmark/model-landscape table marks the year when Llama, Mistral, Code Llama, and tool-use/coding benchmarks entered the visible race; it is context,.	T001 - Figure 09.04 - 2023 Model-Landscape Table. The 2023 benchmark/model-landscape table marks the year when Llama, Mistral, Code Llama, and tool-use/coding benchmarks entered the visible race; it is context,.	no
I-0314	62	book-figure;embedded-visual;real_world_source_image	Google AI Studio Product Surface. Google AI Studio public-web screenshot anchors Gemini as a developer-facing product surface; it.	Google AI Studio Product Surface, shown as a public web page.	yes
I-0314	63	atlas-figure;svg_diagram	Chapter 9 research-to-product conversion timeline. Research Became Product In Stages. Google/DeepMind chronology is shown as a conversion sequence from Transformer and PaLM to Bard, Gemini, long context, and Gemini 2.5 thinking.	Chapter 9 research-to-product conversion timeline.	yes
I-0314	64	atlas-figure;svg_diagram	Chapter 9 TPU/Search/Workspace surface map. Google's Gemini Question Was Surface Conversion. Research, TPUs, Search, Workspace, Android, developer APIs, and cloud are mapped as product surfaces.	Chapter 9 TPU/Search/Workspace surface map.	yes
I-0314	65	atlas-figure;svg_diagram	Chapter 9 Gemini long-context lane. Long Context Became A Product Grammar. Gemini 1.5 technical, consumer, and developer/cloud access-path lanes are separated.	Chapter 9 Gemini long-context lane.	yes
I-0314	66	atlas-figure;svg_diagram	Chapter 9 benchmark/adoption blocker grid. The Tempting Gemini Claims Need Different Evidence. Supported Google/Gemini claims are separated from benchmark, adoption, revenue, Search economics, and TPU outcome blockers.	Chapter 9 benchmark/adoption blocker grid.	yes
I-0314	67	atlas-figure;source_media_image	Google data center in The Dalles. real_photo_screenshot_source_image. Source: https://commons.wikimedia.org/wiki/Special:FilePath/Google%20data%20center.jpg.	Google data center in The Dalles. web page.	yes
I-0314	68	atlas-figure;source_image	Google Gemini. real_photo_screenshot_source_image. Source: https://gemini.google.com/.	Google Gemini, shown as a public web page.	yes
I-0314	69	atlas-figure;source_image	Google Cloud AI. real_photo_screenshot_source_image. Source: https://cloud.google.com/products/ai.	Google Cloud AI, shown as a public web page.	yes
I-0314	70	atlas-figure;source_image	Vertex AI. real_photo_screenshot_source_image. Source: https://cloud.google.com/vertex-ai.	Vertex AI, shown as a public web page.	yes
I-0314	71	atlas-figure;source_surface_render	Google Gemini launch blog source surface. paper_report_excerpt. Source: https://blog.google/products/gemini/google-gemini-ai/.	paper page, shown as a public web page.	yes
I-0314	72	atlas-figure;source_surface_render	Bard becomes Gemini source surface. paper_report_excerpt. Source: https://blog.google/products/gemini/bard-gemini-advanced-app/.	paper page, shown as a public web page.	yes
I-0314	73	atlas-figure;source_surface_render	Gemini 1.5 arXiv source surface. paper_report_excerpt. Source: https://arxiv.org/abs/2403.05530.	paper page, shown as a public web page.	yes
I-0314	74	atlas-figure;logo	Google. logo. Source: https://simpleicons.org/.	Google logo.	yes
I-0314	75	atlas-figure;logo	Google Cloud. logo. Source: https://simpleicons.org/.	Google Cloud logo.	yes
I-0314	76	atlas-figure;person_image	Demis Hassabis. person_image. Source: https://deepmind.google/about/leadership/demis-hassabis/.	Demis Hassabis.	yes
I-0314	77	atlas-figure;person_image	Sundar Pichai. person_image. Source: https://abc.xyz/investor/sundar-pichai/.	Sundar Pichai.	yes
I-0314	78	book-figure;embedded-visual;source_surface_paper_report_excerpt	Llama 3 Herd Paper Page. The Llama 3 Herd of Models page-one render makes Meta's open-weight family visible as a report artifact; it.	Llama 3 Herd Paper Page, shown as a paper or report page.	yes
I-0314	79	benchmark_model_card_surface_model_card;book-figure;embedded-visual	Llama 2 Hugging Face Model Card. Llama 2 Hugging Face model-card screenshot gives the open-weight control stack a concrete distribution surface; it.	Llama 2 Hugging Face Model Card. Llama 2 Hugging Face model-card screenshot gives the open-weight control stack a concrete distribution surface; it.	no
I-0314	80	benchmark_model_card_surface_model_card;book-figure;embedded-visual	Llama 3 Hugging Face Model Card. Llama 3 Hugging Face model-card screenshot shows the adopter-facing model-family surface; it.	Llama 3 Hugging Face Model Card. Llama 3 Hugging Face model-card screenshot shows the adopter-facing model-family surface; it.	no
I-0314	81	book-figure;embedded-visual;real_world_source_image	Meta Llama Documentation Surface. Meta Llama Docs public-web screenshot anchors Llama as a documented open-weight release surface; it.	Meta Llama Documentation Surface, shown as a public web page.	yes
I-0314	82	book-figure;embedded-visual;source_surface_paper_report_excerpt	Llama 2 Report Page As Open-Weight Infrastructure. Llama 2 report page-one render anchors open-weight infrastructure in a source surface; it.	Llama 2 Report Page As Open-Weight Infrastructure, shown as a paper or report page.	yes
I-0314	83	atlas-figure;svg_diagram	Llama family open-weight map. Llama Family Open-Weight Map. Release-and-claim map for LLaMA, Llama 2, Code Llama, Llama 3, Llama 3.1, and Llama 4 with source and caveat bands.	Llama family open-weight map.	yes
I-0314	84	atlas-figure;svg_diagram	Chapter 10 open-weight control stack. Open-Weight Control Stack. Weights, license, data transparency, hosting, safety, ecosystem work, and benchmark permission are separated.	Chapter 10 open-weight control stack.	yes
I-0314	85	atlas-figure;svg_diagram	Chapter 10 adopter burden transfer diagram. What Moves To The Adopter. Open-weight deployments shift hosting, monitoring, updates, evals, security, governance, and incident response outward.	Chapter 10 adopter burden transfer diagram.	yes
I-0314	86	atlas-figure;svg_diagram	Chapter 10 Llama screenshot-priority board. Llama Screenshot Priorities. Existing Llama screenshot slots are prioritized as developer and release surfaces, not market evidence.	Chapter 10 Llama screenshot-priority board.	yes
I-0314	87	atlas-figure;source_image	Meta Llama. real_photo_screenshot_source_image. Source: https://www.llama.com/.	Meta Llama, shown as a public web page.	yes
I-0314	88	atlas-figure;source_image	Meta AI. real_photo_screenshot_source_image. Source: https://ai.meta.com/.	Meta AI, shown as a public web page.	yes
I-0314	89	atlas-figure;source_image	Hugging Face. real_photo_screenshot_source_image. Source: https://huggingface.co/.	Hugging Face, shown as a public web page.	yes
I-0314	90	atlas-figure;source_image	Mistral AI. real_photo_screenshot_source_image. Source: https://mistral.ai/.	Mistral AI, shown as a public web page.	yes
I-0314	91	atlas-figure;source_surface_render	Mistral pricing source surface. paper_report_excerpt. Source: https://mistral.ai/pricing.	paper page, shown as a public web page.	yes
I-0314	92	atlas-figure;model_card_screenshot_probe_source_html	local model-card screenshot surface. Local model-card-style page used to prove screenshot and PDF embedding route.	local model-card screenshot surface. Local model-card-style page used to prove screenshot and PDF embedding route.	no
I-0314	93	atlas-figure;model_card	Hugging Face BLOOM model card. source-surface card for Hugging Face BLOOM model card.	Hugging Face BLOOM model card, shown as a model-card page.	yes
I-0314	94	atlas-figure;model_card	Hugging Face Mistral 7B model card. source-surface card for Hugging Face Mistral 7B model card.	Hugging Face Mistral 7B model card, shown as a model-card page.	yes
I-0314	95	atlas-figure;model_card	Hugging Face Qwen2 model card. source-surface card for Hugging Face Qwen2 model card.	Hugging Face Qwen2 model card, shown as a model-card page.	yes
I-0314	96	atlas-figure;model_card	Hugging Face DeepSeek-R1 model card. source-surface card for Hugging Face DeepSeek-R1 model card.	Hugging Face DeepSeek-R1 model card, shown as a model-card page.	yes
I-0314	97	atlas-figure;documentation_surface	Mistral model docs. source-surface completion card for Mistral model docs.	Mistral model docs.	yes
I-0314	98	atlas-figure;logo	Meta. logo. Source: https://simpleicons.org/.	Meta logo.	yes
I-0314	99	atlas-figure;logo	Hugging Face. logo. Source: https://simpleicons.org/.	Hugging Face logo.	yes
I-0314	100	atlas-figure;logo	Mistral AI. logo. Source: https://simpleicons.org/.	Mistral AI logo.	yes
I-0314	101	atlas-figure;logo	Ollama. logo. Source: https://simpleicons.org/.	Ollama logo.	yes
I-0314	102	atlas-figure;person_image	Mark Zuckerberg. person_image. Source: https://about.meta.com/media-gallery/executives/mark-zuckerberg/.	Mark Zuckerberg.	yes
I-0314	103	atlas-figure;person_image	Yann LeCun. person_image. Source: https://ai.meta.com/people/yann-lecun/.	Yann LeCun.	yes
I-0314	104	atlas-figure;person_image	Arthur Mensch. person_image. Source: https://en.wikipedia.org/wiki/Arthur_Mensch.	Arthur Mensch.	yes
I-0314	105	atlas-figure;person_image	Clem Delangue. person_image. Source: https://huggingface.co/clem.	Clem Delangue.	yes
I-0314	106	atlas-figure;person_image	Thomas Wolf. person_image. Source: https://huggingface.co/ThomasW.	Thomas Wolf.	yes
I-0314	107	benchmark_model_card_surface_model_card;book-figure;embedded-visual	Qwen3 Hugging Face Model Card. Qwen3 Hugging Face model-card screenshot anchors the China/open-model map in a live distribution surface captured for private use; it does not support Qwen 3.5 or Qwen 3.6 claims, live rank, safety, or broad adoption.	Qwen3 Hugging Face Model Card. Qwen3 Hugging Face model-card screenshot anchors the China/open-model map in a live distribution surface captured for private use; it does not support Qwen 3.5 or Qwen 3.6 claims, live rank, safety, or broad adoption.	no
I-0314	108	benchmark_model_card_surface_model_card;book-figure;embedded-visual	DeepSeek-V3 Hugging Face Model Card. DeepSeek-V3 Hugging Face model-card screenshot adds a visible distribution surface for DeepSeek; it.	DeepSeek-V3 Hugging Face Model Card. DeepSeek-V3 Hugging Face model-card screenshot adds a visible distribution surface for DeepSeek; it.	no
I-0314	109	book-figure;embedded-visual;source_surface_paper_report_excerpt	Qwen2 Technical Report Page. Qwen2 technical-report page-one render gives the China/open-model chapter a dated Qwen source surface; it does not support Qwen 3.5 or Qwen 3.6 claims or live rank without later sources.	Qwen2 Technical Report Page, shown as a paper or report page.	yes
I-0314	110	book-figure;embedded-visual;source_surface_pdf_technical_report_page	Qwen3 Technical Report Page. Qwen3 technical-report page-one render adds a dated Qwen3 source surface; it does not support unsupported Qwen 3.5 or Qwen 3.6 claims or live ranking claims.	Qwen3 Technical Report Page.	yes
I-0314	111	book-figure;embedded-visual;source_surface_paper_report_excerpt	DeepSeek-V3 Technical Report Page. DeepSeek-V3 technical-report page-one render grounds the DeepSeek lane in a primary report surface; it.	DeepSeek-V3 Technical Report Page, shown as a paper or report page.	yes
I-0314	112	atlas-figure;svg_diagram	China open-model source-permission map. China Open-Model Source Map. Source-permission map for Qwen, DeepSeek, GLM, Kimi, and source-gap lanes for unsupported China/open-model claims.	Generated China open-model.	yes
I-0314	113	atlas-figure;source_image	DeepSeek. real_photo_screenshot_source_image. Source: https://www.deepseek.com/.	DeepSeek, shown as a public web page.	yes
I-0314	114	atlas-figure;logo	Alibaba Cloud. logo. Source: https://simpleicons.org/.	Alibaba Cloud logo.	yes
I-0314	115	atlas-figure;logo	Baidu. logo. Source: https://simpleicons.org/.	Baidu logo.	yes
I-0314	116	atlas-figure;logo	Xiaomi. logo. Source: https://simpleicons.org/.	Xiaomi logo.	yes
I-0314	117	book-figure;embedded-visual;svg_diagram	Constitutional AI As Behavior Grammar. Written principles, critique/revision, AI feedback, and evaluation loops can shape assistant behavior, but they. source context are recorded in the endnotes.	Constitutional AI As Behavior Grammar.	yes
I-0314	118	book-figure;embedded-visual;svg_diagram	Claude Becomes A Product Family. Haiku, Sonnet, Opus, computer use, Claude Code, and Claude 4 mark release surfaces and product positioning, not permanent best-model status. CL4BENCH-001.	Claude Becomes A Product Family.	yes
I-0314	119	book-figure;embedded-visual;svg_diagram	From Assistant To Action Surface. Anthropic's computer-use, MCP, and Claude Code materials show a move toward tool-connected assistants, with permissions and review as part of the system. CL4BENCH-005;CL4BENCH-008;CL4BENCH-009.	From Assistant To Action Surface.	yes
I-0314	120	book-figure;embedded-visual;source_excerpt_card_svg	Computer use was a product announcement. Figure 12.x - Computer Use Source Surface. screenshot slot for the October 2024 computer-use announcement, scoped to source texture and product-direction chronology.	Computer use was a product announcement.	yes
I-0314	121	book-figure;embedded-visual;source_excerpt_card_svg	Claude is a model-family product surface. Figure 12.x - Claude Product Surface. screenshot slot for Claude's product/model-family source texture.	Claude is a model-family product surface. Figure 12.x - Claude Product Surface.	yes
I-0314	122	book-figure;embedded-visual;svg_diagram	The Tempting Claude Claims Are Not The Sourced Ones. Vendor launch pages and docs can show product direction, but outcome claims need benchmark, pricing, adoption, productivity, and safety evidence at the same scope. CL4BENCH-002;CL4BENCH-003;CL4BENCH-004;CL4BENCH-010.	The Tempting Claude Claims Are Not The Sourced Ones.	yes
I-0314	123	atlas-figure;source_image	Anthropic Claude. real_photo_screenshot_source_image. Source: https://www.anthropic.com/claude.	Anthropic Claude, shown as a public web page.	yes
I-0314	124	atlas-figure;source_image	Anthropic Claude 4. real_photo_screenshot_source_image. Source: https://www.anthropic.com/news/claude-4.	Anthropic Claude 4, shown as a public web page.	yes
I-0314	125	atlas-figure;documentation_surface	Anthropic Claude model docs. source-surface completion card for Anthropic Claude model docs.	Anthropic Claude model docs.	yes
I-0314	126	atlas-figure;logo	Anthropic. logo. Source: https://simpleicons.org/.	Anthropic logo.	yes
I-0314	127	atlas-figure;person_image	Daniela Amodei. person_image. Source: https://en.wikipedia.org/wiki/Daniela_Amodei.	Daniela Amodei.	yes
I-0314	128	benchmark_model_card_surface_leaderboard_surface;book-figure;embedded-visual	LMArena Leaderboard Surface. LMArena leaderboard screenshot anchors arena-rank claims as a mutable benchmark surface; it.	LMArena Leaderboard Surface. LMArena leaderboard screenshot anchors arena-rank claims as a mutable benchmark surface; it.	no
I-0314	129	benchmark_model_landscape_table;book-figure;embedded-visual	T005 - Figure 13.02 - May 2026 Cutoff Model-Landscape Table. The May 2026 cutoff benchmark/model-landscape table gives the model-race chapter a frozen memory aid through the cutoff; it is not a live leaderboard, universal quality score, price-quality frontier, safety proof, or adoption claim.	T005 - Figure 13.02 - May 2026 Cutoff Model-Landscape Table.	yes
I-0314	130	benchmark_model_landscape_table;book-figure;embedded-visual	T002 - Figure 13.03 - 2024 Model-Landscape Table. The 2024 benchmark/model-landscape table shows the year as model-card and benchmark context, not as a price-quality frontier, safety result, live rank, or adoption proof.	T002 - Figure 13.03 - 2024 Model-Landscape Table. The 2024 benchmark/model-landscape table shows the year as model-card and benchmark context, not as a price-quality frontier, safety result, live rank, or adoption proof.	no
I-0314	131	atlas-figure;svg_chart	LMArena historical leaderboard chart. Figure 13.x - LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19.	LMArena historical leaderboard chart. Figure 13.x - LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19.	no
I-0314	132	atlas-figure;svg_diagram	Arena leaderboard methodology flow. Figure 13.y - How Arena Rows Become Rank Claims. Sourced flow diagram for human preference votes, config/category filters, rating uncertainty, publication date, snapshot ID, and chart permission gates.	Arena leaderboard methodology flow.	yes
I-0314	133	atlas-figure;svg_diagram	price-quality exclusion map. Price-Quality Exclusion Map. The current evidence allows an exclusion/permission map, not a price-quality frontier: rows can enter only when rank snapshot, exact model/version, cutoff-compatible price, pricing basis, and scope caveats align.	price-quality exclusion map.	yes
I-0314	134	atlas-figure;source_media_image	Jensen Huang cropped portrait. real_photo_screenshot_source_image. Source: https://commons.wikimedia.org/wiki/Special:FilePath/Jensen%20Huang%20(cropped).jpg.	Jensen Huang cropped portrait. web page.	yes
I-0314	135	atlas-figure;source_media_image	TSMC Fab5 building. real_photo_screenshot_source_image. Source: https://commons.wikimedia.org/wiki/Special:FilePath/TSMC%20Fab5.JPG.	TSMC Fab5 building. web page.	yes
I-0314	136	atlas-figure;source_media_image	Electrical substation. real_photo_screenshot_source_image. Source: https://commons.wikimedia.org/wiki/Special:FilePath/Electrical%20Substation.JPG.	Electrical substation. web page.	yes
I-0314	137	atlas-figure;source_media_image	Silicon wafer. real_photo_screenshot_source_image. Source: https://commons.wikimedia.org/wiki/Special:FilePath/Silicon%20wafer.jpg.	Silicon wafer. web page.	yes
I-0314	138	atlas-figure;source_image	LMArena. real_photo_screenshot_source_image. Source: https://lmarena.ai/.	LMArena, shown as a public web page.	yes
