paper_id	priority	chapter_targets	source_id_or_gap	title	creators	year	source_url	technical_role	figure_candidates	figure_rights_lane	quote_limit	allowed_claims	blocked_claims	next_action
P-0011	high	3,9	S-0016	PaLM: Scaling Language Modeling with Pathways	Chowdhery et al.	2022	https://arxiv.org/abs/2204.02311	Google large-scale Transformer and Pathways-era source	Training-system overview; benchmark table caution	cite_mostly_redraw_selectively	Short labels only	PaLM as Google scaling milestone and Pathways framing	Benchmark superiority; TPU performance; solved reasoning	Use only after exact row extraction
P-0012	high	3,17	S-0155	Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer	Raffel et al.	2019	https://arxiv.org/abs/1910.10683	Text-to-text framing and C4 link	Text-to-text task conversion; C4 pipeline	redraw_preferred	Short labels only	Unified text-to-text interface and C4 as visible corpus lane	SOTA claims; C4 legal/quality conclusions without secondary rows	Add to data/interface bridge
P-0013	core	5	S-0011	Improving Language Understanding by Generative Pre-Training	OpenAI / Radford et al.	2018	https://cdn.openai.com/research-covers/language-unsupervised/language_understanding_paper.pdf	GPT-1 pretraining plus supervised fine-tuning	Two-stage pretrain/fine-tune schematic	redraw_preferred	Short quote after PDF extraction	GPT-1 as generative pretraining milestone	Modern ChatGPT inevitability; exact benchmark claims without extraction	Redraw lineage step for GPT chapter
P-0014	core	5	S-0189	Language Models are Unsupervised Multitask Learners	OpenAI / Radford et al.	2019	https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf	GPT-2 zero-shot and staged-release paper	Task-performance grid; WebText source description	cite_mostly	Under 20 words	GPT-2 paper framing and unsupervised multitask claim as source claim	Independent proof of general intelligence; threat claims; result tables without extraction	Add PDF source row and one source-excerpt candidate
P-0015	core	5	S-0012	Better Language Models and Their Implications	OpenAI	2019	https://openai.com/index/better-language-models/	GPT-2 release/staged-disclosure product context	OpenAI release-page screenshot; staged release timeline	private_screenshot_or_excerpt_card	Under 25 words	OpenAI public staged-release framing	Actual social risk magnitude; policy correctness	Capture as source-page evidence, not paper figure
P-0016	core	5	S-0004	Language Models are Few-Shot Learners	Brown et al.	2020	https://arxiv.org/abs/2005.14165	GPT-3 few-shot prompting and scale milestone	Few-shot prompt diagram; model-size table; task format	redraw_required	Short labels only	Few-shot prompting as interface shift; GPT-3 scale as paper-reported	Benchmark crown; API adoption; economic value; human equivalence	Redraw prompt-format figure, not full benchmark table
P-0017	high	5,19	S-0052	Evaluating Large Language Models Trained on Code	OpenAI / Chen et al.	2021	https://arxiv.org/abs/2107.03374	Codex and HumanEval source	Codex evaluation loop; sample/pass-at-k caveat	cite_mostly_redraw_selectively	Short labels only	Codex as code-generation research milestone	Productivity, security quality, best coding model, job displacement	Normalize pass-at-k caveats before visual use
P-0018	core	6	S-0014	Training language models to follow instructions with human feedback	Ouyang et al.	2022	https://arxiv.org/abs/2203.02155	InstructGPT and RLHF pipeline	Demonstrations/comparisons/reward model/RL loop	redraw_required	Short labels only	RLHF/instruction-following pipeline and assistant behavior shaping	Solved alignment; detailed labeler policy without extraction; universal preference transfer	Make house-style RLHF mechanism redraw
P-0019	high	6	S-0192	WebGPT: Browser-assisted question-answering with human feedback	Nakano et al.	2021	https://arxiv.org/abs/2112.09332	Browsing plus human feedback precursor	Browser-action loop; quote/action interface	redraw_preferred	Short labels only	Web browsing as tool-mediated QA research lineage	Truth solved by browsing; production search-agent reliability	Add to tool-use/alignment bridge source board
P-0020	core	6,12	S-0019	Constitutional AI: Harmlessness from AI Feedback	Anthropic	2022	https://arxiv.org/abs/2212.08073	Anthropic RLAIF and behavior-shaping source	Constitutional AI two-phase process; critique/revision loop	redraw_required	Short labels only	Principle-guided critique/revision and AI-feedback training approach	Solved harmlessness; constitutional principles as universal law; deployment safety	Redraw as behavior pipeline, not safety proof
P-0021	high	6,23	S-0076	GPT-4 Technical Report	OpenAI	2023	https://arxiv.org/abs/2303.08774	System-card era and evaluation posture	System-card/evaluation map; benchmark table caution	cite_mostly	Short labels only	OpenAI-reported GPT-4 evaluation and limitation framing	Live rank; exact product safety; deployed behavior proof	Keep as citation/source-excerpt, not chart
P-0022	medium	6,23	S-0193	Training Verifiers to Solve Math Word Problems	Cobbe et al.	2021	https://arxiv.org/abs/2110.14168	Outcome verifier precursor for reasoning and RLHF	Generate-many/select-by-verifier loop	redraw_preferred	Short labels only	Verifier/reranking mechanism on math-word problems	Solved math reasoning; broad truth guarantee	Add as reasoning lineage row
P-0023	high	10	S-0191	LLaMA: Open and Efficient Foundation Language Models	Touvron et al.	2023	https://arxiv.org/abs/2302.13971	Meta open-weight foundation model paper	Data/token/model-size table; training recipe overview	cite_mostly_redraw_selectively	Short labels only	LLaMA as research-release/open-weight milestone	Open-source equivalence; adoption/popularity; safety/cost superiority	Add to Chapter 10 source/figure board
P-0024	high	10	S-0112	Introducing Meta Llama 3: The most capable openly available LLM to date	Meta AI	2024	https://ai.meta.com/blog/meta-llama-3/	Llama 3 release surface	Model-family table; release-page screenshot	private_screenshot_or_excerpt_card	Under 25 words	Meta-attributed product/release claims	Neutral rank; adoption; benchmark crown	Capture page only with vendor-attribution caption
P-0025	medium	10	S-0145	Mistral 7B	Jiang et al.	2023	https://arxiv.org/abs/2310.06825	Compact open-weight efficiency lane	Grouped-query/sliding-window diagram; comparison table caution	redraw_preferred	Short labels only	Mistral 7B architecture choices and open-weight release context	Superiority, cost, adoption, sovereignty claims	Use if Chapter 11 needs mechanism gate
P-0026	medium	10	S-0146	Mixtral of Experts	Mistral AI	2024	https://arxiv.org/abs/2401.04088	MoE mechanism in open model lane	Expert-routing schematic	redraw_preferred	Short labels only	Sparse MoE routing as mechanism	Exact speed/cost superiority; deployment share	Queue for architecture sidebar
P-0027	high	11	S-0027	Qwen Technical Report / Qwen2 Technical Report	Alibaba / Qwen Team	2023-2024	https://arxiv.org/abs/2309.16609;https://arxiv.org/abs/2407.10671	Qwen open-model technical lineage	Model-family table; multilingual/data table caution	cite_mostly_redraw_selectively	Short labels only	Qwen paper-reported model-family and training/eval framing	Unsupported Qwen 3.5/3.6 details; live rank; adoption	Consolidate Qwen source IDs in future pass
P-0028	core	11,21	S-0029	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	DeepSeek-AI	2025	https://arxiv.org/abs/2501.12948	RL reasoning and distillation lane	RL pipeline; distillation figure; benchmark table caution	redraw_required	Short labels only	DeepSeek-R1 paper-reported RL and distillation approach	DeepSeek V4 claims; live rank; exact cost; geopolitical conclusions	Redraw RL/distillation mechanism with benchmark blockers
P-0029	high	11,21	S-0036	Kimi k1.5: Scaling Reinforcement Learning with LLMs	Moonshot AI	2025	https://arxiv.org/abs/2501.12599	Long-context/reasoning RL source	RL scaling diagram; context/eval table caution	cite_mostly_redraw_selectively	Short labels only	Kimi paper-reported RL/reasoning framing	Live model rank; production behavior; exact cost	Use for Chapter 21 source comparison only
P-0030	medium	11	S-0160	GLM-4 Technical Report	Zhipu AI	2024	https://arxiv.org/abs/2406.12793	China frontier lab technical source	Model-family/eval table caution	cite_mostly	Short labels only	GLM technical-report framing	Best-model, adoption, sovereignty claims	Keep in source-gap board until exact extraction
P-0031	medium	11	S-0161	MiniMax-01: Scaling Foundation Models with Lightning Attention	MiniMax	2025	https://arxiv.org/abs/2501.08313	Frontier architecture variation	Lightning attention concept	redraw_possible_after_review	Short labels only	Paper-reported architecture mechanism	Frontier rank; deployment/adoption; cost claims	Review if Chapter 11 needs supported MiniMax lane
P-0032	medium	11	S-0162	ERNIE 4.5 Technical Report	Baidu	2025	https://arxiv.org/abs/2505.12777	Baidu technical-report lane	Model-family table caution	cite_mostly	Short labels only	Baidu technical-report framing under cutoff	Unsupported current availability; live rank; adoption	Keep as gap-lane support pending date/version check
P-0033	medium	11	S-0163	Hunyuan-Large: An Open-Source MoE Model with 52 Billion Activated Parameters	Tencent	2024	https://arxiv.org/abs/2411.02265	Tencent model lane	MoE architecture table	cite_mostly_redraw_selectively	Short labels only	Tencent open-model technical-report framing	Adoption, rank, production integration claims	Add to frontier lab acquisition board
P-0034	medium	11	S-0164	MiMo: Unlocking the Reasoning Potential of Language Model	Xiaomi	2025	https://arxiv.org/abs/2505.07608	Xiaomi reasoning model lane	RL pipeline/table caution	cite_mostly	Short labels only	Xiaomi paper-reported reasoning-training framing	Deployment, rank, cost, phone integration claims	Keep as support-pending gap lane
P-0035	medium	11	S-0165	Step-1X: A 100B-Parameter Multimodal Reasoning Model	StepFun	2025	https://arxiv.org/abs/2505.15165	StepFun source lane	Model-family/eval caution	cite_mostly	Short labels only	StepFun paper-reported model framing	Unsupported release or adoption claims	Add only if source extraction confirms cutoff timing
P-0036	medium	11	S-0166	Nemotron-4 340B Technical Report	NVIDIA	2024	https://arxiv.org/abs/2406.11704	NVIDIA model-family source	Model/data/eval table caution	cite_mostly	Short labels only	NVIDIA model technical-report framing	Model superiority; commercial deployment; hardware sales linkage	Use as model lane, not chip-market proof
P-0037	core	18,21	S-0135	ReAct: Synergizing Reasoning and Acting in Language Models	Yao et al.	2022	https://arxiv.org/abs/2210.03629	Reason/action/observation tool loop	Thought-action-observation trace; agent loop	redraw_preferred	Short labels only	ReAct as research-lineage loop combining reasoning and acting	Production reliability; autonomous planning; tool mastery	Redraw loop with trust-boundary labels
P-0038	core	18	S-0136	Toolformer: Language Models Can Teach Themselves to Use Tools	Schick et al.	2023	https://arxiv.org/abs/2302.04761	Tool-use self-supervision research	API-call insertion pipeline	redraw_preferred	Short labels only	Tool-use research lineage and self-supervised API-call data	Arbitrary tool mastery; production assistant safety	Queue source-excerpt plus redraw
P-0039	high	18	S-0038	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	Lewis et al.	2020	https://arxiv.org/abs/2005.11401	RAG evidence-flow source	Retrieve/read/generate architecture	redraw_preferred	Short labels only	RAG mechanism and retrieval/generation split	RAG guarantees truth; current product reliability	Add to tools chapter visual shortlist
P-0040	medium	18	S-0137	Prompt Injection Attacks Against GPT-3	Crothers et al.	2022	https://arxiv.org/abs/2211.09527	Prompt-injection early risk framing	Instruction/data boundary concept	cite_mostly_redraw_selectively	Short labels only	Early prompt-injection risk framing	Exploit prevalence; mitigation effectiveness; incident claims	Use only with stronger security rows for details
P-0041	core	19,20	S-0035	SWE-bench: Can Language Models Resolve Real-World GitHub Issues?	Princeton NLP	2023	https://arxiv.org/abs/2310.06770	Repository issue benchmark	SWE-bench task pipeline; harness caveat matrix	redraw_required	Short labels only	Benchmark design around real GitHub issues	Raw model productivity; live ranking; enterprise outcomes	Redraw benchmark contract with fields
P-0042	core	19,20	S-0037	LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code	Jain et al.	2024	https://arxiv.org/abs/2403.07974	Code-evaluation contamination caveat	Time-window/evaluation pipeline	redraw_required	Short labels only	Benchmark design and contamination-aware framing	Best coding model; production quality; security	Redraw benchmark contract beside SWE-bench
P-0043	medium	19	S-0194	AlphaCode: Competition-Level Code Generation with AlphaCode	DeepMind	2022	https://www.science.org/doi/10.1126/science.abq1158	Code-generation contest milestone	Sampling/filtering/ranking pipeline	cite_mostly	Short labels only	AlphaCode as contest-programming research milestone	General software engineering; productivity; deployment impact	Add source row if chapter needs figure extraction
P-0044	medium	19	S-0195	Code Llama: Open Foundation Models for Code	Meta AI	2023	https://arxiv.org/abs/2308.12950	Open code model lane	Model-family table; infilling diagram	cite_mostly_redraw_selectively	Short labels only	Code Llama as code-specialized open model	Adoption, safety, productivity, best model	Add to coding-agent source board
P-0045	core	21	S-0170	Chain-of-Thought Prompting Elicits Reasoning in Large Language Models	Wei et al.	2022	https://arxiv.org/abs/2201.11903	Intermediate reasoning prompt lineage	Chain-of-thought prompt example schematic	redraw_preferred	Short labels only	CoT prompting as task-conditioned reasoning trace method	Faithful explanation; human-like thought; universal improvement	Use tiny paraphrased example only
P-0046	core	21	S-0171	Self-Consistency Improves Chain of Thought Reasoning in Language Models	Wang et al.	2022	https://arxiv.org/abs/2203.11171	Sample-many reasoning paths and consensus	Multiple paths to answer vote schematic	redraw_preferred	Short labels only	Self-consistency as inference-time sampling method	Truth guarantee; broad reliability; exact cost	Pair with inference-contract visual
P-0047	core	21	S-0172	Let's Verify Step by Step	OpenAI / Lightman et al.	2023	https://openai.com/index/lets-verify-step-by-step/;https://arxiv.org/abs/2305.20050	Process supervision and verifier line	Process vs outcome supervision concept	redraw_preferred	Under 25 words from post; paper labels only	Process-supervision framing	Truth solved; safety solved; deployed behavior	Use with OpenAI attribution and task scope
P-0048	core	21	S-0173	Tree of Thoughts: Deliberate Problem Solving with Large Language Models	Yao et al.	2023	https://arxiv.org/abs/2305.10601	Tree search over reasoning states	Tree-search branching schematic	redraw_preferred	Short labels only	Search over intermediate reasoning states	General planning reliability; production autonomy	Redraw as search metaphor with task contract
P-0049	high	21	S-0196	Training Language Models to Reason in a Continuous Latent Space	Hao et al.	2024	https://arxiv.org/abs/2412.06769	Reasoning-method variant	Latent reasoning-space schematic	cite_mostly	Short labels only	Alternative reasoning-representation research	Current product behavior; superiority	Review only if chapter needs breadth
P-0050	high	21	S-0168	Learning to Reason with LLMs / Introducing OpenAI o1	OpenAI	2024	https://openai.com/index/learning-to-reason-with-llms/;https://openai.com/index/introducing-openai-o1-preview/	o1 product/research framing	Source-page screenshot; thinking-before-answering concept	private_screenshot_or_excerpt_card	Under 25 words	OpenAI-attributed o1 reasoning-model framing	Hidden chain access; independent benchmark crown; exact cost/latency	Capture as vendor source surface
P-0051	high	21	S-0169	Introducing OpenAI o3 and o4-mini	OpenAI	2025	https://openai.com/index/introducing-o3-and-o4-mini/	o3/o4-mini tool/reasoning product framing	Source-page screenshot; tool-use diagram if present	private_screenshot_or_excerpt_card	Under 25 words	OpenAI-attributed product framing	Availability beyond cutoff; live rank; exact routing behavior	Capture with cutoff and vendor labels
P-0052	medium	22	S-0197	FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance	Chen et al.	2023	https://arxiv.org/abs/2305.05176	Model routing/economics source	Cascade/routing schematic	redraw_preferred	Short labels only	Model-routing as cost/quality tradeoff research	Actual enterprise ROI; universal price-quality frontier	Add if economics chapter needs source-backed routing figure
P-0053	medium	22	S-0198	FlexGen: High-Throughput Generative Inference of Large Language Models with a Single GPU	Sheng et al.	2023	https://arxiv.org/abs/2303.06865	Inference serving/memory pressure source	Memory hierarchy schedule	cite_mostly_redraw_selectively	Short labels only	Inference memory/offloading pressure	Modern cloud cost or performance claims	Add to infrastructure/economics source backlog
P-0054	medium	14,22	S-0199	FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness	Dao et al.	2022	https://arxiv.org/abs/2205.14135	Attention kernel/performance systems source	IO-aware attention tile schematic	redraw_preferred	Short labels only	Kernel/IO-awareness as systems-level constraint	Exact deployed speedups; hardware-market implications	Add to CUDA/software-stack figure backlog
P-0055	medium	17	S-0154	SentencePiece: A simple and language independent subword tokenizer and detokenizer	Kudo and Richardson	2018	https://arxiv.org/abs/1808.06226	Tokenization implementation source	Subword/token boundary example	redraw_preferred	Short labels only	Language-independent subword tokenizer mechanism	Exact tokenizer costs across languages without extraction	Use for tokenizer demo visual
