strip_id	chapter	chapter_title	date_span	anchor_events	source_ids_or_assets	strip_role	blocked_claims	render_gate
TL-11	11	Chinese Frontier/Open Models	2024 to 2026	DeepSeek-R1; Qwen/GLM/Kimi/MiniMax/Baidu/Tencent/Xiaomi/StepFun source-permission lanes	S-0029;A-0031	Show source-surface permission and visible gaps.	national logo parade; unsupported version claims; live rank; sovereignty proof; best-model claim	Keep support-pending rows visible for weakly sourced labs.
TL-12	12	Anthropic And Claude	2022 to 2025	Constitutional AI; Claude model-family surfaces; computer-use/MCP/Claude Code bridge	S-0019;S-0110;S-0245;A-0094;A-0095	Show behavior-to-action transition without stealing Chapter 20.	safety success; productivity; adoption; benchmark superiority; enterprise outcome	Separate model-family chronology from coding-agent workflows.
TL-13	13	Model Rankings And Measurement	2023 to 2026	Arena/LMArena snapshots; benchmark methodology; price-quality exclusions	S-0036;S-0080;S-0035;S-0037;A-0013;A-0014;A-0019	Show measurement surfaces as dated contracts.	live crown; universal intelligence; price-quality frontier; task transfer; safety	Every date/split/filter must travel with the strip.
TL-14	14	NVIDIA And CUDA Moat	2006 to 2026	CUDA/software stack; GPU memory/interconnect; H100/B200/GB200/Vera Rubin roadmap context	A-0071;A-0072;A-0073	Show accelerator/software substrate before GTC stagecraft.	performance crown; market dominance; availability; exact TCO; supply share	Keep product roadmap separate from shipped/deployed claims.
TL-15	15	GTC 2026 AI Factory	2024 to 2026	GTC stagecraft; page 29 thesis; roadmap; DSX handoff	S-0001;S-0064;S-0066;S-0205;A-0024;A-0028;A-0029;A-0216	Show NVIDIA source-actor argument, not independent proof.	deployed capacity; revenue; economics; partner outcomes; facility performance	GTC slide/page provenance must remain explicit.
TL-16	16	Speed To Power	2023 to 2028 scenarios	Data-center electricity reports; interconnection; cooling; clean procurement vs physical supply	S-0083;S-0084;S-0085;S-0086;S-0087;S-0088;A-0015;A-0020;A-0021;A-0023	Connect AI-factory rhetoric to power constraints.	delivered electrons; emissions outcome; named-campus workload; energy-per-token; scenario as history	Forecast/scenario markers must be visually distinct from measured estimates.
TL-17	17	Data, Tokens, Library Problem	2019 to 2025	Tokenization; Common Crawl/C4/Pile/Dolma/FineWeb/DataComp; dedup/memorization evidence	S-0043;S-0160;S-0161;S-0162;S-0163;A-0064;A-0065;A-0066;A-0067	Show data as supply chain and transformation history.	closed-model corpus composition; legality; exact shares; representativeness; solved memorization	Draw transformation lanes, not ownership claims.
TL-18	18	Tools, Retrieval, Agent Turn	2020 to 2025	RAG; ReAct; function calling/tools; prompt-injection boundary	S-0038;S-0135;A-0060;A-0061;A-0062;A-0063;A-0204	Show evidence retrieval and action loops as separate promises.	RAG as truth; reliable tool use; autonomy; safety; MCP dominance	Use context and agency motifs with explicit checks.
TL-19	19	Code As Native Language	2021 to 2024	Copilot; Codex/code models; repository-as-prompt; SWE-bench/LiveCodeBench context	S-0070;S-0025;S-0035;S-0037;A-0090;A-0091;A-0092;A-0093	Show code moving from text generation to operational workflows.	productivity; developer replacement; secure code; best coder; all software engineering	Distinguish benchmark task from workplace outcome.
TL-20	20	Claude Code And Coding Agents	2025 to 2026	Claude 3.7/4; Claude Code launch/docs; permissions/security/workflow surfaces	S-0048;S-0049;S-0050;S-0051;S-0007;A-0205;A-0217	Show supervised repository work with permissions and review.	autonomous engineer; productivity lift; secure-by-default; enterprise adoption; replacement	Every agency motif must show permission/check/review.
TL-21	21	Reasoning And Test-Time Compute	2024 to 2026	o1/o3/o4-mini; Gemini thinking; DeepSeek-R1; Kimi; reasoning methods	S-0168;S-0169;S-0029;A-0078;A-0079;A-0080;A-0081;A-0206	Show inference-time spending as a new axis.	hidden chain-of-thought access; live rank; exact cost/latency; solved reasoning	Use train-time vs answer-time distinction.
TL-22	22	Economics On Tap	2023 to 2026	API pricing; subscriptions; routing/caching/batching; token meters	S-0059;S-0060;S-0061;A-0082;A-0083;A-0084;A-0085	Show token economics as metering and routing, not provider profit proof.	margin; revenue; customer ROI; price-quality frontier; exact inference cost	Prices need snapshot/date/model scope.
TL-23	23	Failure, Truth, Trust	2021 to 2025	TruthfulQA; sycophancy; adversarial attacks; reward tampering; provenance controls	S-0164;S-0165;S-0166;S-0167;A-0074;A-0075;A-0076;A-0077;A-0207	Show failure families as separate evidence lanes.	all-model prevalence; current product exploitability; solved trust; complete auditability	Do not merge research test behavior with production incident claims.
TL-24	24	Next Token	2022 to 2026 cutoff	System recombination; conversion gates; human judgment boundary	A-0108;A-0109;A-0110;A-0111;A-0219	Synthesize motifs without future-history claims.	AGI; one-company victory; post-cutoff forecasts as fact; labor replacement; prophecy	Use May 24 2026 cutoff marker and unresolved-claim note.
