chapter	title	live_file	opener_score	close_score	central_question_score	scene_density_score	stakes_score	technical_awe_score	page_turn_score	total_score	diagnosis	surgical_upgrade
11	The Chinese Frontier	manuscript/11-chinese-frontier-open-models.md	6	8	8	5	8	7	7	49	The chapter has disciplined scope and a strong map-widening close, but risks reading like an evidence ledger.	Open with one supported model-family contrast, then immediately state why shortcuts fail in this frontier.
12	Europe, xAI, and the Rest of the Frontier	manuscript/12-europe-xai-rest-frontier.md	7	9	8	5	7	7	9	52	The close is excellent and the aperture-widening role is clear; the chapter still carries structural conflict with Anthropic.	Resolve the Chapter 12 identity conflict before polishing, then make the opener pose plurality as a problem rather than a survey.
13	Benchmarks, Arenas, and the Mirage of Rank	manuscript/13-model-rankings-appendix.md	8	8	9	4	7	7	8	51	"The Desire For A Crown" is a strong conceptual hook, but the chapter still has appendix energy.	Add a short scene of a reader/operator staring at a leaderboard before the methodology apparatus begins.
14	NVIDIA and CUDA: The Moat Under the Moat	manuscript/14-nvidia-cuda-moat.md	6	4	8	5	8	8	5	44	The title and mechanism are good, but the opening is front matter and the close is future-work bullets.	Open on the invisible CUDA layer under an LLM demo; close with a clean handoff to GTC 2026 stagecraft.
15	GTC 2026: The AI Factory Sells Itself	manuscript/15-gtc-2026-ai-factory-sells-itself.md	7	9	8	8	9	8	9	58	The stagecraft-to-loading-dock close is very strong; source apparatus still precedes the live show.	Move source/visual sequence notes below the first keynote-stage scene so the reader enters the room before the caveats.
16	Datacenters, Power, and the Physical Internet	manuscript/16-speed-to-power.md	10	10	9	8	9	8	10	64	This is the benchmark chapter for narrative pull: substation, bottleneck, and industrial contradiction all land cleanly.	Use Chapter 16 as the house style for future physical chapters: plain image, then mechanism, then constraint.
17	Data, Tokens, and the Library Problem	manuscript/17-data-tokens-library-problem.md	6	4	8	5	7	8	5	43	The subject has strong supply-chain potential, but metadata opens the chapter and closing bullets stop momentum.	Open with a token entering the library/filtering machine and close by handing from data supply to tools/retrieval.
18	Tools, Retrieval, and the Agent Turn	manuscript/18-tools-retrieval-agent-turn.md	7	4	8	6	7	8	6	46	"The Text Box Grows Hands" is a good hook, but the chapter closes in reconciliation tasks.	Keep the title as opener, add one concrete tool-boundary example, and end with code as the first domain where hands became measurable.
19	Code as the Second Native Language	manuscript/19-code-as-the-second-native-language.md	7	4	8	7	8	8	6	48	"The Language That Compiles" works, but source notes and closing tasks blunt the chapter's personal stakes for builders.	Open with intent becoming executable syntax under test feedback; end with why Claude Code deserves a case-study chapter.
20	Claude Code and the Industrialization of Pair Programming	manuscript/20-claude-code-industrialized-pair-programming.md	8	4	8	7	8	7	6	48	"The Terminal Becomes A Colleague" has strong interface drama, but the close remains a workplan.	Close on permissioned repository work as an industrial form of pair programming, not a list of future source tasks.
21	Reasoning, Test-Time Compute, and the New Scaling Axis	manuscript/21-reasoning-test-time-compute.md	9	4	9	5	8	9	6	50	The opening sentence relocates compute beautifully, but the ending is a blocker list.	Keep the opener; turn the close into the cost/latency handoff to economics while preserving inference-contract caveats.
22	The Economics of Intelligence on Tap	manuscript/22-economics-intelligence-on-tap.md	7	4	8	5	8	7	6	45	"The Meter Appears" is clean, but the chapter needs more business drama and a non-bullet close.	Open with a token meter running under a chat box; close by asking what happens when cheap fluency still cannot be trusted.
23	Failure Modes, Truth, and Trust	manuscript/23-failure-modes-truth-trust.md	9	4	9	7	9	8	7	53	The opener is vivid and serious; the ending falls back into source-control bullets.	End with the reader carrying suspicion into the final chapter: fluency was useful because it was dangerous, not despite danger.
24	Next Token	manuscript/24-next-token.md	9	4	9	6	8	8	7	51	The opening motif is strong and truthful, but the visible ending currently includes task bullets after the prose.	Polish the last page so the human-judgment ending is the final visible note, with source/blocker notes moved out of the emotional close.
