asset_id	target_chapter	exhibit_type	source_or_candidate	source_url_or_path	status_after_pass	execution_path	required_hash_or_proof	rights_basis	alt_caption	story_purpose	blocked_claims	next_action
A-0049	11	source screenshot	Qwen3 arXiv abstract page	assets/source_docs/china/S-0027_qwen3-arxiv-abs.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0049_qwen3_arxiv_abs.png	local HTML SHA256 302D7A6B6C4CC556A3C6DD1FDE20415EA922C99463E3D60CB09286A02E167C0B; PNG hash still required	arXiv source surface; private-use/fair-use review required before publication	Qwen3 abstract surface as a supported source lane, not a leaderboard or unsupported later-release claim.	Make Chapter 11's supported China/open-model lane visible.	Qwen 3.5/3.6; current rankings; adoption; benchmark superiority; market share.	Priority Chapter 11 source-surface capture after final chapter spread decides Qwen vs DeepSeek emphasis.
A-0050	11/21	source screenshot	DeepSeek-R1 arXiv abstract page	assets/source_docs/china/S-0029_deepseek-r1-arxiv-abs.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0050_deepseek_r1_arxiv_abs.png	local HTML SHA256 0166B468D8D8650065CB9B8A72017B25EB51970FC948C2C59F5D4D66FE088171; PNG hash still required	arXiv source surface; private-use/fair-use review required before publication	DeepSeek-R1 abstract surface as a bridge from China/open models to reasoning/test-time compute.	Connect Chapter 11 to Chapter 21 without turning the page into a benchmark crown.	Exact benchmark superiority; live rank; solved reasoning; cost/latency; DeepSeek V4 inference.	Priority source-surface capture if Chapter 21 needs a primary-document visual.
A-0051	11	source screenshot	DeepSeek-V3 arXiv abstract page	assets/source_docs/china/S-0028_deepseek-v3-arxiv-abs.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0051_deepseek_v3_arxiv_abs.png	local HTML SHA256 FED22D7E672EE84B167125461ED980BA7997A4F844131F86038079197661B7C4; PNG hash still required	arXiv source surface; private-use/fair-use review required before publication	DeepSeek-V3 abstract surface as a supported technical lane, kept separate from later unsupported release-family claims.	Give Chapter 11 a second DeepSeek source lane if R1 is reserved for reasoning.	DeepSeek V4; live rank; benchmark superiority; adoption; cost; deployment scale; market share.	Use as backup if Chapter 11 needs technical-lane texture rather than the R1 reasoning bridge.
A-0052	09	product/source screenshot	Google Bard launch page	assets/source_docs/google_deepmind/S-0118_try-bard-google-blog.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0052_bard_launch_page.png	local HTML SHA256 B201A6D8FCFE0B82925F75D4EC35F3618D96E1FE42804CE58594B74309F3A27A; PNG hash still required	Google page captured locally; private-use/fair-use review required before publication	Bard as Google's assistant launch surface, captioned as vendor product conversion.	Add real interface-history texture to Chapter 9 without caricaturing Google.	Usage; product success; search impact; revenue; benchmark quality; current availability.	Use if Chapter 9 needs one pre-Gemini product surface.
A-0053	09	product/source screenshot	Google Gemini launch page	assets/source_docs/google_deepmind/S-0121_google-gemini-ai-launch-blog.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0053_gemini_launch_page.png	local HTML SHA256 2B04EC177E4CE357E5FD81E90004FE8145A02E9A0F8757878B5B77C9E7F3684C; PNG hash still required	Google/DeepMind page captured locally; private-use/fair-use review required before publication	Gemini launch surface as company-attributed model-family/product framing.	Anchor Chapter 9's research-to-product conversion sequence.	Benchmark crown; adoption; revenue; current rank; solved multimodality or long-context memory.	Priority Chapter 9 screenshot if only one Google surface fits.
A-0055	09/18	product/source screenshot	Gemini developer update page	assets/source_docs/google_deepmind/S-0124_gemini-gemma-developer-updates-may-2024.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0112/A-0055_gemini_developer_update_page.png	local HTML SHA256 6A696B463CBA6588C14070726D7CB8058F761F0A25ABF9DDC75E26D647AAC9EC; PNG hash still required	Google page captured locally; private-use/fair-use review required before publication	Gemini developer update surface as access-path/product-direction evidence, with date-specific availability wording.	Connect Chapter 9 product conversion to Chapter 18 developer/tool surfaces.	Developer adoption; availability beyond captured date; price-quality; benchmark superiority; cloud share.	Use only if developer-surface texture is more valuable than a launch-page screenshot.
A-0104	16	physical photo candidate	NREL/NLR warm-water liquid-cooling data-center page	https://www.nlr.gov/computational-science/warm-water-liquid-cooling	source_candidate_selected_no_raster	assets/source_candidates/i0140/A-0104_cooling_mechanical_yard_photo_candidate.txt	source URL, image alt text, credit line, license/public-domain basis, and optional later image SHA256	U.S. DOE national-lab/government-site image candidate; final credit and publication rights review still required	Warm-water liquid-cooling infrastructure in a DOE-lab data-center context, captioned as cooling texture rather than universal operator practice.	Give Chapter 16 a physical cooling candidate beside the cooling/rack-density schematic.	Universal liquid cooling; PUE proof; exact rack density; named AI facility; thermal engineering outcome; current facility performance.	Record image URL/credit before any raster download; do not commit image.
A-0105	16	physical facility photo candidate	NREL/NLR research facilities page with ESIF/RSF facility imagery	https://www.nrel.gov/research/partnering-facilities	source_candidate_selected_no_raster	assets/source_candidates/i0140/A-0105_data_center_exterior_photo_candidate.txt	source URL, selected image alt text, credit line, license/public-domain basis, and optional later image SHA256	U.S. DOE national-lab/government-site image candidate; final credit and publication rights review still required	Energy Systems Integration Facility or Research Support Facility exterior as physical infrastructure context, not proof of a specific AI workload.	Show that data-center power/cooling arguments live in buildings and facilities, not only diagrams.	Deployment scale; customer/workload proof; exact power draw; GPU inventory; AI-factory economics; site fuel mix.	Select one facility image only after final Chapter 16 layout decides whether exterior context is needed.
A-0119	12	documentation/product screenshot	Anthropic computer-use announcement	assets/source_docs/anthropic/S-0109_claude-3-5-computer-use.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0148/A-0119_claude_computer_use_announcement.png	local HTML SHA256 DC4C1466FEE43F58F719E16DFBABD97CEEB898B2229A00A3BAE4BA223E0C24FD; PNG hash still required	Anthropic page captured locally; private-use/fair-use review required before publication	Computer-use announcement as a behavior-to-action source surface, not evidence of safe autonomy.	Add Chapter 12 screenshot texture between behavior identity and action surfaces.	Autonomy; productivity; task success; safety in use; adoption; benchmark superiority.	Use only if Chapter 12 can fit a second source surface after Claude model-family material.
A-0120	12/20	documentation/product screenshot	Anthropic Model Context Protocol announcement	assets/source_docs/anthropic/S-0055_model-context-protocol.html	source_page_hash_recorded_screenshot_pending	assets/private_use_screenshots/i0148/A-0120_mcp_announcement_source_surface.png	local HTML SHA256 5AE4F07BC3D7D625D567175ECD855B272B99389930591FCD43B540134C08E717; PNG hash still required	Anthropic page captured locally; private-use/fair-use review required before publication	MCP announcement as attributed protocol/product-direction evidence, not ecosystem dominance.	Bridge Chapter 12 and Chapter 20 source surfaces without duplicating agent-loop diagrams.	MCP dominance; interoperability success; security; adoption; enterprise outcomes; autonomy.	Use only if final chapter order preserves the bridge-vs-loop separation.
