pass_id	source_id	note_ref_count	title	creator_or_org	source_type	primary_or_secondary	accessed_date	url_or_path	cutoff_relevance	used_in	bibliography_entry	caveat
I-0267	S-0017	1	Gemini: A Family of Highly Capable Multimodal Models	Google DeepMind	technical report	primary	2026-05-24	https://arxiv.org/abs/2312.11805	pre-cutoff Gemini source	manuscript/00-source-map.md	S-0017 - Gemini: A Family of Highly Capable Multimodal Models (Google DeepMind; technical report; primary; accessed 2026-05-24; https://arxiv.org/abs/2312.11805)	Use for Gemini family capabilities and caveats.
I-0267	S-0019	8	Constitutional AI: Harmlessness from AI Feedback	Anthropic	paper	primary local HTML asset	2026-05-25	https://arxiv.org/abs/2212.08073	pre-cutoff constitutional AI source	manuscript/00-source-map.md;manuscript/12-anthropic-claude-source-gap-permission-i0109.md;assets/source_docs/anthropic/S-0019_constitutional-ai-arxiv-abs.html	S-0019 - Constitutional AI: Harmlessness from AI Feedback (Anthropic; paper; primary local HTML asset; accessed 2026-05-25; https://arxiv.org/abs/2212.08073)	Use for Anthropic alignment approach; local arXiv HTML capture added in I-0109 for permission mapping.
I-0267	S-0020	4	The Claude 3 Model Family: Opus, Sonnet, Haiku	Anthropic	product post	primary	2026-05-24	https://www.anthropic.com/news/claude-3-family	pre-cutoff Claude 3 source	manuscript/00-source-map.md	S-0020 - The Claude 3 Model Family: Opus, Sonnet, Haiku (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/claude-3-family)	Use for Claude 3 product chronology and official capability claims.
I-0267	S-0021	2	Claude 3.5 Sonnet	Anthropic	product post	primary	2026-05-24	https://www.anthropic.com/news/claude-3-5-sonnet	pre-cutoff Claude 3.5 source	manuscript/00-source-map.md	S-0021 - Claude 3.5 Sonnet (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/claude-3-5-sonnet)	Use for Claude 3.5 chronology and computer/coding claims after exact checking.
I-0267	S-0022	5	Claude Code overview	Anthropic	documentation	primary	2026-05-24	https://docs.anthropic.com/en/docs/claude-code/overview	cutoff-bounded Claude Code source	manuscript/00-source-map.md	S-0022 - Claude Code overview (Anthropic; documentation; primary; accessed 2026-05-24; https://docs.anthropic.com/en/docs/claude-code/overview)	Live docs must be snapshotted before prose; use for workflow/tooling claims.
I-0267	S-0023	9	Llama 2: Open Foundation and Fine-Tuned Chat Models	Touvron et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2307.09288	pre-cutoff Llama 2 source	manuscript/00-source-map.md	S-0023 - Llama 2: Open Foundation and Fine-Tuned Chat Models (Touvron et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2307.09288)	Use for open-weight chapter and license distinctions.
I-0267	S-0024	8	The Llama 3 Herd of Models	Meta AI	paper	primary	2026-05-24	https://arxiv.org/abs/2407.21783	pre-cutoff Llama 3 source	manuscript/00-source-map.md	S-0024 - The Llama 3 Herd of Models (Meta AI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2407.21783)	Use for Llama 3 training/model-family details.
I-0267	S-0025	6	Code Llama: Open Foundation Models for Code	Meta AI	paper	primary	2026-05-24	https://arxiv.org/abs/2308.12950	pre-cutoff code model source	manuscript/00-source-map.md	S-0025 - Code Llama: Open Foundation Models for Code (Meta AI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2308.12950)	Use for code-model chapter and open-weight coding lineage.
I-0267	S-0026	8	Qwen2 Technical Report	Qwen Team	technical report	primary local HTML asset	2026-05-24	https://arxiv.org/abs/2407.10671	pre-cutoff Qwen2 source	manuscript/00-source-map.md;manuscript/11-chinese-frontier-open-models.md;assets/source_docs/china/S-0026_qwen2-arxiv-abs.html	S-0026 - Qwen2 Technical Report (Qwen Team; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2407.10671)	Use for Alibaba/Qwen chapter after checking exact variants; local arXiv abstract capture hash recorded in data/china_open_model_source_asset_hashes_i0105.tsv.
I-0267	S-0027	7	Qwen3 Technical Report	Qwen Team	technical report	primary local HTML asset	2026-05-24	https://arxiv.org/abs/2505.09388	cutoff-bounded Qwen3 source	manuscript/00-source-map.md;manuscript/11-chinese-frontier-open-models.md;assets/source_docs/china/S-0027_qwen3-arxiv-abs.html	S-0027 - Qwen3 Technical Report (Qwen Team; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2505.09388)	Use for Qwen3 only after confirming paper version/date; local arXiv abstract capture hash recorded in data/china_open_model_source_asset_hashes_i0105.tsv.
I-0267	S-0028	8	DeepSeek-V3 Technical Report	DeepSeek-AI	technical report	primary local HTML asset	2026-05-24	https://arxiv.org/abs/2412.19437	pre-cutoff DeepSeek V3 source	manuscript/00-source-map.md;manuscript/11-chinese-frontier-open-models.md;assets/source_docs/china/S-0028_deepseek-v3-arxiv-abs.html	S-0028 - DeepSeek-V3 Technical Report (DeepSeek-AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2412.19437)	Use for MoE/inference-efficiency claims; exact numerical rows need extraction before charting.
I-0267	S-0029	12	DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	DeepSeek-AI	technical report	primary local HTML asset	2026-05-24	https://arxiv.org/abs/2501.12948	pre-cutoff DeepSeek R1 source	manuscript/00-source-map.md;manuscript/11-chinese-frontier-open-models.md;assets/source_docs/china/S-0029_deepseek-r1-arxiv-abs.html	S-0029 - DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning (DeepSeek-AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2501.12948)	Use for reasoning/test-time compute chapter and Qwen/Llama distillation links; do not use for DeepSeek V4-era claims.
I-0267	S-0030	4	GLM-4: Open Multilingual Multimodal Chat LMs	Zhipu AI / THUDM	technical report	primary local HTML asset	2026-05-24	https://arxiv.org/abs/2406.12793	pre-cutoff GLM source	manuscript/00-source-map.md;manuscript/11-chinese-frontier-open-models.md;assets/source_docs/china/S-0030_glm-4-arxiv-abs.html	S-0030 - GLM-4: Open Multilingual Multimodal Chat LMs (Zhipu AI / THUDM; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2406.12793)	Use for Chinese frontier source cluster; extract exact GLM claims before comparisons.
I-0267	S-0031	8	Kimi k1.5: Scaling Reinforcement Learning with LLMs	Moonshot AI	technical report	primary local HTML asset	2026-05-24	https://arxiv.org/abs/2501.12599	pre-cutoff Kimi reasoning source	manuscript/00-source-map.md;manuscript/11-chinese-frontier-open-models.md;assets/source_docs/china/S-0031_kimi-k1-5-arxiv-abs.html	S-0031 - Kimi k1.5: Scaling Reinforcement Learning with LLMs (Moonshot AI; technical report; primary local HTML asset; accessed 2026-05-24; https://arxiv.org/abs/2501.12599)	Use for Moonshot/Kimi and reasoning-model comparisons; exact benchmark/product claims need extraction.
I-0267	S-0032	1	Mistral 7B	Jiang et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2310.06825	pre-cutoff Mistral source	manuscript/00-source-map.md	S-0032 - Mistral 7B (Jiang et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2310.06825)	Use for European efficient-model chapter.
I-0267	S-0033	1	Mixtral of Experts	Mistral AI	paper	primary	2026-05-24	https://arxiv.org/abs/2401.04088	pre-cutoff MoE source	manuscript/00-source-map.md	S-0033 - Mixtral of Experts (Mistral AI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2401.04088)	Use for mixture-of-experts and Mistral chapter.
I-0267	S-0034	1	Grok-1 Model Card	xAI	model card	primary	2026-05-24	https://x.ai/news/grok-os	pre-cutoff xAI source	manuscript/00-source-map.md	S-0034 - Grok-1 Model Card (xAI; model card; primary; accessed 2026-05-24; https://x.ai/news/grok-os)	Use for xAI open-weight/model-card claims after checking exact page state.
I-0267	S-0035	12	SWE-bench: Can Language Models Resolve Real-World GitHub Issues?	Princeton NLP	paper	primary	2026-05-24	https://arxiv.org/abs/2310.06770	pre-cutoff coding benchmark source	manuscript/00-source-map.md;manuscript/20-claude-code-industrialized-pair-programming.md	S-0035 - SWE-bench: Can Language Models Resolve Real-World GitHub Issues? (Princeton NLP; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2310.06770)	Use for coding-agent evaluation claims; local HTML captured in I-0107.
I-0267	S-0036	6	Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference	LMSYS	paper	primary	2026-05-24	https://arxiv.org/abs/2403.04132	pre-cutoff model-ranking source	manuscript/00-source-map.md	S-0036 - Chatbot Arena: An Open Platform for Evaluating LLMs by Human Preference (LMSYS; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2403.04132)	Use for arena methodology, not live leaderboard rank without snapshot.
I-0267	S-0037	12	LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code	Jain et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2403.07974	pre-cutoff coding benchmark source	manuscript/00-source-map.md;manuscript/20-claude-code-industrialized-pair-programming.md	S-0037 - LiveCodeBench: Holistic and Contamination Free Evaluation of Large Language Models for Code (Jain et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2403.07974)	Use for code-eval caveats and benchmark design; local HTML captured in I-0107.
I-0267	S-0038	12	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	Lewis et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2005.11401	pre-cutoff RAG source	manuscript/00-source-map.md	S-0038 - Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks (Lewis et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2005.11401)	Use for retrieval/tool-use chapter.
I-0267	S-0039	8	NVIDIA H100 Tensor Core GPU Architecture	NVIDIA	whitepaper	primary	2026-05-24	https://resources.nvidia.com/en-us-tensor-core/nvidia-tensor-core-gpu-datasheet	pre-cutoff H100 source	manuscript/00-source-map.md	S-0039 - NVIDIA H100 Tensor Core GPU Architecture (NVIDIA; whitepaper; primary; accessed 2026-05-24; https://resources.nvidia.com/en-us-tensor-core/nvidia-tensor-core-gpu-datasheet)	Verify URL/page before hardware prose; use NVIDIA architecture docs where exact whitepaper URL is stable.
I-0267	S-0040	8	NVIDIA Blackwell Architecture	NVIDIA	architecture page	primary	2026-05-24	https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/	pre-cutoff Blackwell source	manuscript/00-source-map.md	S-0040 - NVIDIA Blackwell Architecture (NVIDIA; architecture page; primary; accessed 2026-05-24; https://www.nvidia.com/en-us/data-center/technologies/blackwell-architecture/)	Use for B200/GB200 hardware claims after exact checking.
I-0267	S-0041	9	Microsoft announces new supercomputer, lays out vision for future AI work	Microsoft	official blog	primary	2026-05-24	https://blogs.microsoft.com/blog/2020/05/19/microsoft-announces-new-supercomputer-lays-out-vision-for-future-ai-work/	pre-cutoff Azure/OpenAI infrastructure source	manuscript/00-source-map.md	S-0041 - Microsoft announces new supercomputer, lays out vision for future AI work (Microsoft; official blog; primary; accessed 2026-05-24; https://blogs.microsoft.com/blog/2020/05/19/microsoft-announces-new-supercomputer-lays-out-vision-for-future-ai-work/)	Use for Microsoft/OpenAI compute partnership background.
I-0267	S-0042	2	The Pile: An 800GB Dataset of Diverse Text for Language Modeling	EleutherAI	paper	primary	2026-05-24	https://arxiv.org/abs/2101.00027	pre-cutoff dataset source	manuscript/00-source-map.md	S-0042 - The Pile: An 800GB Dataset of Diverse Text for Language Modeling (EleutherAI; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2101.00027)	Use for data chapter and dataset provenance caveats.
I-0267	S-0043	4	tiktoken	OpenAI	repository local capture	primary	2026-05-26	assets/source_docs/chatgpt_opener/S-0043_tiktoken_github.html	cutoff-compatible tokenizer source, locally captured	manuscript/00-source-map.md;manuscript/01-the-shock.md	S-0043 - tiktoken (OpenAI; repository local capture; primary; accessed 2026-05-26; assets/source_docs/chatgpt_opener/S-0043_tiktoken_github.html)	Use for tokenization explanation and diagrams; exact tokenizer/model behavior needs row extraction before quantitative claims.
I-0267	S-0044	4	ChatGPT plugins	OpenAI	product post	primary	2026-05-24	https://openai.com/blog/chatgpt-plugins	pre-cutoff ChatGPT tools/platform source	manuscript/07-chatgpt-interface-event.md	S-0044 - ChatGPT plugins (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/blog/chatgpt-plugins)	Use for plugins/tools chronology; snapshot before quoting protocol details.
I-0267	S-0045	2	Introducing GPTs	OpenAI	product post	primary	2026-05-24	https://openai.com/blog/introducing-gpts/	pre-cutoff custom GPTs source	manuscript/07-chatgpt-interface-event.md	S-0045 - Introducing GPTs (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/blog/introducing-gpts/)	Use for custom GPT/platform chronology; verify exact current page state before quoting.
I-0267	S-0046	2	Introducing GPT-4o and more tools to ChatGPT free users	OpenAI	product post	primary	2026-05-24	https://openai.com/index/gpt-4o-and-more-tools-to-chatgpt-free/	pre-cutoff GPT-4o/ChatGPT source	manuscript/07-chatgpt-interface-event.md	S-0046 - Introducing GPT-4o and more tools to ChatGPT free users (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/index/gpt-4o-and-more-tools-to-chatgpt-free/)	Use for GPT-4o and ChatGPT multimodal interface chronology; separate LLM interface claims from image/video history.
I-0267	S-0047	9	Microsoft and OpenAI extend partnership	Microsoft	official blog	primary	2026-05-24	https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/	pre-cutoff Microsoft/OpenAI partnership source	manuscript/07-chatgpt-interface-event.md	S-0047 - Microsoft and OpenAI extend partnership (Microsoft; official blog; primary; accessed 2026-05-24; https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/)	Use for January 2023 partnership chronology and platform framing.
I-0267	S-0048	7	Claude 3.7 Sonnet and Claude Code	Anthropic	product post	primary	2026-05-24	https://www.anthropic.com/news/claude-3-7-sonnet	pre-cutoff Claude Code launch source	manuscript/20-claude-code-industrialized-pair-programming.md	S-0048 - Claude 3.7 Sonnet and Claude Code (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/claude-3-7-sonnet)	Use for February 2025 Claude Code introduction and model chronology; snapshot before quoting.
I-0267	S-0049	5	Best practices for Claude Code	Anthropic	documentation	primary	2026-05-24	https://code.claude.com/docs/en/best-practices	cutoff-bounded Claude Code workflow source	manuscript/20-claude-code-industrialized-pair-programming.md	S-0049 - Best practices for Claude Code (Anthropic; documentation; primary; accessed 2026-05-24; https://code.claude.com/docs/en/best-practices)	Use for context-management and workflow claims; live docs need snapshot before exact quotation.
I-0267	S-0050	5	Claude Code security	Anthropic	documentation	primary	2026-05-24	https://docs.anthropic.com/en/docs/claude-code/security	cutoff-bounded Claude Code security source	manuscript/20-claude-code-industrialized-pair-programming.md	S-0050 - Claude Code security (Anthropic; documentation; primary; accessed 2026-05-24; https://docs.anthropic.com/en/docs/claude-code/security)	Use for permissions/security framing; avoid unsupported enterprise claims.
I-0267	S-0051	4	Claude Code common workflows	Anthropic	documentation	primary	2026-05-24	https://docs.anthropic.com/en/docs/claude-code/common-workflows	cutoff-bounded Claude Code workflow source	manuscript/20-claude-code-industrialized-pair-programming.md	S-0051 - Claude Code common workflows (Anthropic; documentation; primary; accessed 2026-05-24; https://docs.anthropic.com/en/docs/claude-code/common-workflows)	Use for task-type examples; snapshot before quoting commands.
I-0267	S-0052	12	Evaluating Large Language Models Trained on Code	Chen et al.	paper	primary	2026-05-24	https://arxiv.org/abs/2107.03374	pre-cutoff Codex/HumanEval source	manuscript/20-claude-code-industrialized-pair-programming.md	S-0052 - Evaluating Large Language Models Trained on Code (Chen et al.; paper; primary; accessed 2026-05-24; https://arxiv.org/abs/2107.03374)	Use for early Codex and code-model evaluation background.
I-0267	S-0053	5	Competitive programming with AlphaCode	Google DeepMind	research post	primary	2026-05-24	https://deepmind.google/blog/competitive-programming-with-alphacode	pre-cutoff AlphaCode source	manuscript/20-claude-code-industrialized-pair-programming.md	S-0053 - Competitive programming with AlphaCode (Google DeepMind; research post; primary; accessed 2026-05-24; https://deepmind.google/blog/competitive-programming-with-alphacode)	Use for AlphaCode contest-generation background; pair with paper before numeric claims.
I-0267	S-0054	3	Introducing Codex	OpenAI	product post	primary	2026-05-24	https://openai.com/index/introducing-codex/	pre-cutoff OpenAI Codex agent source	manuscript/20-claude-code-industrialized-pair-programming.md	S-0054 - Introducing Codex (OpenAI; product post; primary; accessed 2026-05-24; https://openai.com/index/introducing-codex/)	Use for 2025 Codex agent landscape; avoid post-cutoff page updates if later changed.
I-0267	S-0055	10	Introducing the Model Context Protocol	Anthropic	product post	primary	2026-05-24	https://www.anthropic.com/news/model-context-protocol	pre-cutoff MCP source	manuscript/20-claude-code-industrialized-pair-programming.md	S-0055 - Introducing the Model Context Protocol (Anthropic; product post; primary; accessed 2026-05-24; https://www.anthropic.com/news/model-context-protocol)	Use for MCP chronology and tool/context protocol framing.
I-0267	S-0056	3	LMArena Leaderboard	LMArena	live leaderboard	primary	2026-05-24	https://lmarena.ai/leaderboard/	cutoff-bounded live ranking source	manuscript/13-model-rankings-appendix.md	S-0056 - LMArena Leaderboard (LMArena; live leaderboard; primary; accessed 2026-05-24; https://lmarena.ai/leaderboard/)	HTML snapshot captured in SNAP-20260524-001; exact rank rows still need category/filter normalization before charting.
I-0267	S-0057	6	LMArena Leaderboard Policy	LMArena	policy page	primary	2026-05-24	https://news.lmarena.ai/policy/	cutoff-bounded ranking policy source	manuscript/13-model-rankings-appendix.md	S-0057 - LMArena Leaderboard Policy (LMArena; policy page; primary; accessed 2026-05-24; https://news.lmarena.ai/policy/)	Use for inclusion/methodology caveats; record policy date/version before quoting.
I-0267	S-0058	1	OpenAI API Pricing	OpenAI	pricing page	primary	2026-05-24	https://openai.com/api/pricing/	cutoff-bounded provider pricing source	manuscript/13-model-rankings-appendix.md	S-0058 - OpenAI API Pricing (OpenAI; pricing page; primary; accessed 2026-05-24; https://openai.com/api/pricing/)	SNAP-20260524-002 records shell capture blocked by HTTP 403; use OpenAI price rows only after browser screenshot or alternate official capture.
I-0267	S-0059	1	GPT-4.1 model docs	OpenAI	model documentation	primary	2026-05-24	https://platform.openai.com/docs/models/gpt-4.1	cutoff-bounded model documentation	manuscript/13-model-rankings-appendix.md	S-0059 - GPT-4.1 model docs (OpenAI; model documentation; primary; accessed 2026-05-24; https://platform.openai.com/docs/models/gpt-4.1)	Use for GPT-4.1 context/model details after local snapshot.
I-0267	S-0060	12	Claude API pricing	Anthropic	pricing page	primary	2026-05-24	https://platform.claude.com/docs/en/about-claude/pricing	cutoff-bounded provider pricing source	manuscript/13-model-rankings-appendix.md	S-0060 - Claude API pricing (Anthropic; pricing page; primary; accessed 2026-05-24; https://platform.claude.com/docs/en/about-claude/pricing)	HTML snapshot captured in SNAP-20260524-003; normalize price/context rows before charting.
I-0267	S-0061	11	Gemini Developer API Pricing	Google AI for Developers	pricing page	primary	2026-05-24	https://ai.google.dev/gemini-api/docs/pricing	cutoff-bounded provider pricing source	manuscript/13-model-rankings-appendix.md	S-0061 - Gemini Developer API Pricing (Google AI for Developers; pricing page; primary; accessed 2026-05-24; https://ai.google.dev/gemini-api/docs/pricing)	HTML snapshot captured in SNAP-20260524-004; distinguish free/paid/batch/grounding/audio/thinking-token tiers.
I-0267	S-0062	9	Models and Pricing	xAI	documentation	primary	2026-05-24	https://docs.x.ai/docs/models	cutoff-bounded provider pricing source	manuscript/13-model-rankings-appendix.md	S-0062 - Models and Pricing (xAI; documentation; primary; accessed 2026-05-24; https://docs.x.ai/docs/models)	HTML snapshot captured in SNAP-20260524-005; dynamic table and console/API caveats still apply.
I-0267	S-0063	5	Mistral Docs: Models	Mistral AI	documentation	primary	2026-05-24	https://docs.mistral.ai/models	cutoff-bounded model documentation	manuscript/13-model-rankings-appendix.md	S-0063 - Mistral Docs: Models (Mistral AI; documentation; primary; accessed 2026-05-24; https://docs.mistral.ai/models)	HTML snapshot captured in SNAP-20260524-006; pair with pricing/API docs before price charting.
I-0267	S-0064	5	GTC 2026 News	NVIDIA	newsroom press kit	primary	2026-05-24	https://nvidianews.nvidia.com/online-press-kit/gtc-2026-news	cutoff-bounded GTC 2026 source	manuscript/15-gtc-2026-source-pack.md	S-0064 - GTC 2026 News (NVIDIA; newsroom press kit; primary; accessed 2026-05-24; https://nvidianews.nvidia.com/online-press-kit/gtc-2026-news)	Use as official GTC 2026 release index; pages can change, snapshot before final quoting.
I-0267	S-0065	5	NVIDIA Launches Vera CPU, Purpose-Built for Agentic AI	NVIDIA	press release	primary	2026-05-24	https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Launches-Vera-CPU-Purpose-Built-for-Agentic-AI/default.aspx	cutoff-bounded GTC 2026 source	manuscript/15-gtc-2026-source-pack.md	S-0065 - NVIDIA Launches Vera CPU, Purpose-Built for Agentic AI (NVIDIA; press release; primary; accessed 2026-05-24; https://investor.nvidia.com/news/press-release-details/2026/NVIDIA-Launches-Vera-CPU-Purpose-Built-for-Agentic-AI/default.aspx)	Use for Vera CPU claims; preserve forward-looking disclaimer and exact availability wording.
