shortlist_id	rank	chapter_targets	source_ids	paper_or_source	figure_or_table_candidate	decision	redraw_scope	why_it_matters	rights_and_provenance_needed	blocked_claims	next_action
CPR-0190-011	11	2	S-0105	Efficient Estimation of Word Representations in Vector Space	Vector analogy / neighborhood concept	redraw_later	Tiny vector-space concept with warning label	Useful early technical image if kept humble.	Page/table refs if analogy example is source-derived; invented neutral tokens if not.	No human-like understanding, semantic completeness, or priority crown.	Use only if Chapter 2 still under target after Transformer redraw.
CPR-0190-012	12	2	S-0106;S-0107	Seq2seq and Bahdanau attention	Fixed-vector bottleneck plus alignment heatmap concept	redraw_later	One before/after schematic: encoder bottleneck to attention alignment	Makes attention feel like a response to a specific constraint.	Page/figure refs for both papers; redraw heatmap concept rather than copy.	No faithful explanation, complete translation history, exact BLEU results, or priority fight.	Combine into one early-mechanism card rather than two separate figures.
CPR-0190-013	13	5	S-0004	Language Models are Few-Shot Learners	Few-shot prompt format / in-context example layout	redraw_later	Prompt-format diagram with neutral invented task labels	Shows GPT-3's interface shift more clearly than a benchmark table.	Exact page refs; avoid reproducing long examples or benchmark tables.	No API adoption, economic value, broad intelligence, or benchmark crown.	Promote after Chapters 2-4 figure gaps are handled.
CPR-0190-014	14	5	S-0011;S-0189	GPT-1/GPT-2 papers	Pretrain/fine-tune and zero-shot/staged-release lineage	cite_or_source_card	Small lineage card, not a figure redraw unless Chapter 5 remains sparse	Useful chronology, but not as high-value as mechanism figures.	PDF page refs; OpenAI release page snapshot for staged-release context.	No inevitability to ChatGPT, threat magnitude, general intelligence, or adoption.	Use as source-excerpt card candidate rather than full redraw.
CPR-0190-015	15	17	S-0153;S-0154	BPE and SentencePiece tokenization papers	Subword merge ladder / token boundary example	redraw_later	Neutral invented tokenization example with source labels	Tokenization needs material texture across early and data chapters.	Page/figure refs; invented examples unless exact source examples are cleared.	No closed-model tokenizer behavior, language cost comparison, or legal/data claim.	Coordinate with data/corpus shortlist before drawing.
CPR-0190-016	16	17	S-0042;S-0157	The Pile and mixture-corpus sources	Dataset mixture board / component recipe	cite_mostly_redraw_selectively	Redraw only a simplified supply-chain recipe if component pages are extracted	Public data mixtures can make corpora visible, but full tables risk overclaiming.	Exact table/page refs and component extraction; rights review for table-like redraw.	No proprietary corpus composition, legality, representativeness, quality crown, or model impact.	Leave cited until corpus exhibit shortlist chooses exact surface.
CPR-0190-017	17	17;23	S-0160	Deduplicating Training Data Makes Language Models Better	Deduplication mechanism/effect schematic	redraw_later	Mechanism map linking duplication, memorization, and evaluation risk	Good bridge from corpus to trust/failure chapters.	Page/figure refs; effect-size extraction if quantified.	No universal improvement, exact prevalence, solved memorization, or product safety.	Add to data/corpus execution backlog.
CPR-0190-018	18	18	S-0038	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	Retrieve/read/generate architecture	redraw_later	Three-stage retrieval-to-generation evidence flow	Foundational source for evidence use and trust boundary.	Page/figure refs; avoid implying current product reliability.	No truth guarantee, complete grounding, or RAG-as-safety proof.	Use if Chapter 18 needs source-backed architecture rather than product screenshot.
CPR-0190-019	19	21	S-0170;S-0171	Chain-of-thought and self-consistency papers	Prompt trace plus sample-many vote	cite_or_small_redraw	Use small procedural schematic; avoid copying prompt examples	Test-time compute needs a visual grammar for spending more inference.	Page refs; paraphrased examples; hidden-CoT/product-policy caveat.	No faithful hidden thought, human-like reasoning, universal improvement, or truth guarantee.	Pair with existing Chapter 21 reasoning loop rather than full spread.
CPR-0190-020	20	21	S-0172	Process supervision paper / OpenAI post	Process vs outcome supervision contrast	redraw_later	Verifier/training contrast with task-scope label	Clear mechanism for verifier line in reasoning chapter.	Paper/post page refs; OpenAI attribution; task context.	No solved reasoning, truth, safety, or deployed behavior claim.	Extract exact figure/source surface before design.
CPR-0190-021	21	21	S-0173	Tree of Thoughts: Deliberate Problem Solving with Large Language Models	Tree search over intermediate states	redraw_later	Branching search diagram with task contract	Visually distinctive reasoning method, but secondary to core scaling/Transformer gaps.	Page refs; avoid copying example problem text.	No production planning reliability, autonomy, or general problem-solving proof.	Hold for reasoning chapter if layout needs one more method visual.
CPR-0190-022	22	14;22	S-0199	FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness	IO-aware attention tiling / memory movement	cite_mostly_redraw_selectively	Redraw only after hardware/software chapter chooses kernel-level visual	Connects algorithms to systems constraints, but is specialized.	Page/figure refs; exact speedups excluded unless extracted.	No deployed speedup, hardware-market implication, or current product performance claim.	Keep as systems backlog until Chapter 14 execution pass.
CPR-0190-023	23	22	S-0197	FrugalGPT	LLM cascade/routing schematic	redraw_later	Cascade/routing concept for inference economics	Useful for economics of intelligence-on-tap if grounded in task/cost scope.	Page/figure refs; metrics excluded unless normalized.	No enterprise ROI, universal price-quality frontier, provider recommendation, or current prices.	Coordinate with economics visual pass.
CPR-0190-024	24	19	S-0194;S-0195	AlphaCode and Code Llama sources	Sampling/filtering/ranking or code-model family table	cite_only_for_now	Cite in prose; do not redraw until code chapter lacks stronger visuals	Interesting but lower priority than SWE-bench/LiveCodeBench contracts.	Page refs only; table/figure extraction if future use.	No general software engineering, productivity, adoption, code quality, or best-model claim.	Keep cited and unseen unless final layout needs a code-history sidebar.
CPR-0190-025	25	11	S-0027;S-0036;S-0160;S-0161;S-0162;S-0163	China/open-frontier technical reports	Model-family/eval tables and architecture variants	cite_only_for_now	Do not redraw tables until source gaps and model-family support are normalized	Prevents a country/lab spread from turning into unsupported rank art.	Exact report page refs and version/date normalization; source-lane gap audit.	No live rank, national capability, adoption, deployment, cost, or unsupported Qwen/DeepSeek/GLM/Kimi future claim.	Use source-surface/gap boards first; redraw only specific mechanisms later.
