pass_id	board_index	id	title	image_count	text_sample
I-0319	11	visual-board-lp-logo-03	Cloud, Hub, And Distribution Surfaces	9	Cloud, Hub, And Distribution Surfaces Distribution logos mark where models become APIs, hubs, clouds, routers, and developer products Caption: Cloud, Hub, And Distribution Surfaces. Distribution logos mark where models become APIs, hubs, cl
I-0319	12	visual-board-lp-people-04	Plural Frontier Institutions	6	person Plural Frontier Institutions The lab-leader strip keeps Google, Anthropic, Meta, Microsoft, and Claude from becoming faceless product names Caption: Plural Frontier Institutions. The lab-leader strip keeps Google, Anthropic, Meta, Mi
I-0319	13	visual-board-lp-logo-02	Frontier Labs And Model Families	8	Frontier Labs And Model Families Lab and platform logos show the model race as a field of institutions, not only release names Caption: Frontier Labs And Model Families. Lab and platform logos show the model race as a field of institutions,
I-0319	14	visual-board-ss-pdf-05	Frontier Technical Reports Beyond The US Core	5	pdf deck report page Frontier Technical Reports Beyond The US Core Gemini, Qwen3, GLM-4, Kimi, and Nemotron surfaces widen the model-race evidence beyond a single lab axis Caption: Frontier Technical Reports Beyond The US Core. Gemini, Qwen
I-0319	15	visual-board-atlas-04	Labs, Open Weights, And Plural Frontier	10	Labs, Open Weights, And Plural Frontier Google, Meta, China, Anthropic, and open-model structure Caption: Labs, Open Weights, And Plural Frontier. Google, Meta, China, Anthropic, and open-model structure Interconnection Is A Queue, Not Atmo
I-0319	16	visual-board-atlas-03	Model Race And Benchmark Memory	10	Model Race And Benchmark Memory Yearly landscape tables and model-race memory aids that do not claim live rank Caption: Model Race And Benchmark Memory. Yearly landscape tables and model-race memory aids that do not claim live rank Figure 0
I-0319	17	visual-board-lp-logo-01	Compute And AI Factory Stack	7	Compute And AI Factory Stack Hardware, CPU, accelerator, and orchestration logos turn infrastructure from abstraction into institutions Caption: Compute And AI Factory Stack. Hardware, CPU, accelerator, and orchestration logos turn infrastr
I-0319	18	visual-board-lp-people-05	Hardware And Open Ecosystem Operators	5	person Hardware And Open Ecosystem Operators The final people strip links accelerators, frontier startups, and open-model infrastructure to named public actors Caption: Hardware And Open Ecosystem Operators. The final people strip links acc
I-0319	19	visual-board-ss-pdf-01	GTC Stagecraft: AI Factory Thesis	5	pdf deck report page GTC Stagecraft: AI Factory Thesis The first GTC gallery treats NVIDIA slides as attributed stage surfaces, not neutral infrastructure proof Caption: GTC Stagecraft: AI Factory Thesis. The first GTC gallery treats NVIDIA
I-0319	20	visual-board-ss-pdf-02	GTC Platform, Networking, And Facilities	5	pdf deck report page GTC Platform, Networking, And Facilities The second GTC gallery ties software, networking, accelerator systems, and facilities into the AI-factory stack Caption: GTC Platform, Networking, And Facilities. The second GTC 
I-0319	21	visual-board-atlas-05	Hardware, CUDA, And AI Factories	10	Hardware, CUDA, And AI Factories CUDA, accelerators, racks, networking, facilities, and token economics Caption: Hardware, CUDA, And AI Factories. CUDA, accelerators, racks, networking, facilities, and token economics Figure 14.2 - GPU Memo
I-0319	22	visual-board-ss-pdf-04	GTC Infrastructure Constraint Surfaces	5	pdf deck report page GTC Infrastructure Constraint Surfaces Blackwell/Rubin, NVLink, partners, power/cooling, and roadmap pages show infrastructure as staged argument Caption: GTC Infrastructure Constraint Surfaces. Blackwell/Rubin, NVLink,
I-0319	23	visual-board-atlas-06	Power, Data, And Token Supply Chains	10	Power, Data, And Token Supply Chains Electricity, cooling, interconnection, data, tokenization, and retrieval diagrams Caption: Power, Data, And Token Supply Chains. Electricity, cooling, interconnection, data, tokenization, and retrieval d
I-0319	24	visual-board-lp-logo-06	Data, Observability, And Service Infrastructure	8	Data, Observability, And Service Infrastructure Data stores, telemetry, distributed execution, search, and caches make the LLM product stack durable enough to operate Caption: Data, Observability, And Service Infrastructure. Data stores, te
I-0319	25	visual-board-lp-logo-05	Agent And Application Runtime Stack	8	Agent And Application Runtime Stack Agent software needs frameworks, APIs, runtimes, and web stacks; these marks make that dependency legible Caption: Agent And Application Runtime Stack. Agent software needs frameworks, APIs, runtimes, and
I-0319	26	visual-board-ss-paper-05	Open-Model, Code, And Benchmark Texture	5	paper report excerpt Open-Model, Code, And Benchmark Texture Code Llama, Mistral, Mixtral, Llama 3, and LiveCodeBench make open-model and coding-eval diversity visible Caption: Open-Model, Code, And Benchmark Texture. Code Llama, Mistral, M
I-0319	27	visual-board-atlas-07	Agents, Coding, And Tool Use	10	Agents, Coding, And Tool Use Tool use, coding benchmarks, repo loops, Claude Code, and software automation Caption: Agents, Coding, And Tool Use. Tool use, coding benchmarks, repo loops, Claude Code, and software automation Figure 12.2 - Cl
I-0319	28	visual-board-ss-paper-03	Reasoning, Coding, Tool Use, And Retrieval	5	paper report excerpt Reasoning, Coding, Tool Use, And Retrieval The gallery gives the reasoning and agent chapters primary-paper handles without turning benchmark pages into universal truth Caption: Reasoning, Coding, Tool Use, And Retrieva
I-0319	29	visual-board-atlas-08	Economics, Trust, And Evaluation	10	Economics, Trust, And Evaluation Pricing, productivity blockers, safety boundaries, eval caveats, and trust diagrams Caption: Economics, Trust, And Evaluation. Pricing, productivity blockers, safety boundaries, eval caveats, and trust diagr
I-0319	30	visual-board-atlas-09	And Source Notes	10	And Source Notes Paid access became a product surface source excerpt card svg Enterprise ChatGPT added workplace controls source excerpt card svg Release notes are product archaeology source excerpt card svg Figure 12.4 - The Tempting Claud
I-0319	31	visual-board-atlas-10	Reader Memory Rails	10	Reader Memory Rails Timelines, maps, network views, layout mockups, and chapter-spanning visual memory aids Caption: Reader Memory Rails. Timelines, maps, network views, layout mockups, and chapter-spanning visual memory aids Figure 1.3 - L
