"chapter"	"figure_id"	"asset_id"	"asset_type"	"figure_title"	"mock_page_band"	"mock_size"	"caption_mode"	"source_note_position"	"white_space_pressure"	"orphan_risk"	"reader_fatigue_risk"	"page_flow_risk"	"next_gate"
"CH08"	"F08.03"	"A-0058"	"svg_diagram"	"Inference Cost Stack: What The Chat Box Hides"	"late_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Keep for economics handoff."
"CH08"	"F08.04"	"A-0059"	"svg_diagram"	"Enterprise Claim Blocker Map"	"closing_or_handoff"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"May become appendix/sidebar if chapter feels over-diagrammed."
"CH09"	"F09.01"	"A-0086"	"svg_diagram"	"Research Became Product In Stages"	"opener_or_first_turn"	"large_or_half_page"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Keep benchmark/adoption blockers visible."
"CH09"	"F09.02"	"A-0087"	"svg_diagram"	"Google's Gemini Question Was Surface Conversion"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Check overlap with A-0086."
"CH09"	"F09.03"	"A-0088"	"svg_diagram"	"Long Context Became A Product Grammar"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Verify exact source rows before final caption."
"CH09"	"F09.04"	"A-0089"	"svg_diagram"	"The Tempting Gemini Claims Need Different Evidence"	"late_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Use if prose makes tempting claims nearby."
"CH09"	"F09.05"	"A-0129"	"screenshot_slot"	"Gemini/Bard Product Surface"	"closing_or_handoff"	"half_page_or_inset"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;claim_checked_caption"	"Capture/hash; block Search-share and productivity claims."
"CH10"	"F10.01"	"A-0030"	"svg_diagram"	"Llama Family Open-Weight Map"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Check current license-state caveats."
"CH10"	"F10.02"	"A-0112"	"svg_diagram"	"Open-Weight Control Stack"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Prioritize over duplicate Llama screenshots."
"CH10"	"F10.03"	"A-0113"	"svg_diagram"	"What Moves To The Adopter"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Use with Chapter 10 prose, not as generic open-source claim."
"CH10"	"F10.04"	"A-0044"	"screenshot_slot"	"LLaMA launch surface"	"late_middle"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;caption_gate_visible"	"Capture/hash; block adoption."
"CH10"	"F10.05"	"A-0047"	"screenshot_slot"	"Llama GitHub surface"	"closing_or_handoff"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;caption_gate_visible"	"Capture/hash; mutable repo numbers blocked."
"CH11"	"F11.01"	"A-0031"	"svg_diagram"	"China Open-Model Source Map"	"opener_or_first_turn"	"large_or_half_page"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Update if later Qwen/DeepSeek sources mature."
"CH11"	"F11.02"	"A-0118"	"svg_diagram"	"Supported Lanes And Visible Gaps"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Keep as chapter control surface."
"CH11"	"F11.03"	"A-0048"	"source_screenshot_slot"	"Qwen2 source surface"	"early_middle"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;caption_gate_visible"	"Capture/hash; do not rank."
"CH11"	"F11.04"	"A-0049"	"source_screenshot_slot"	"Qwen3 source surface"	"late_middle"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;caption_gate_visible"	"Capture/hash; Qwen 3.5/3.6 remains blocked."
"CH11"	"F11.05"	"A-0050"	"source_screenshot_slot"	"DeepSeek-R1 source surface"	"closing_or_handoff"	"half_page_or_inset"	"caption_gate_visible"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;caption_gate_visible"	"Capture/hash; benchmark extraction separate."
"CH12"	"F12.01"	"A-0094"	"svg_diagram"	"Constitutional AI As Behavior Grammar"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Confirm Chapter 12 title/placement."
"CH12"	"F12.02"	"A-0095"	"svg_diagram"	"Claude Becomes A Product Family"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Check overlap with A-0130."
"CH12"	"F12.03"	"A-0096"	"svg_diagram"	"From Assistant To Action Surface"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Pair with source screenshot only once."
"CH12"	"F12.04"	"A-0097"	"svg_diagram"	"The Tempting Claude Claims Are Not The Sourced Ones"	"late_middle"	"wide_with_short_caption"	"needs_short_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"needs_short_caption"	"Use near prose with safety temptation."
"CH12"	"F12.05"	"A-0119"	"screenshot_slot"	"Computer Use Source Surface"	"late_middle"	"half_page_or_inset"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;claim_checked_caption"	"Capture/hash; block autonomy."
"CH12"	"F12.06"	"A-0130"	"screenshot_slot"	"Claude Product Surface"	"closing_or_handoff"	"half_page_or_inset"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;claim_checked_caption"	"Capture/hash; block safety success."
"CH13"	"F13.01"	"A-0014"	"svg_diagram"	"How Arena Rows Become Rank Claims"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"comparison_cluster"	"claim_checked_caption;comparison_cluster"	"Keep before A-0013 in reading order."
"CH13"	"F13.02"	"A-0013"	"svg_chart"	"LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19."	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"comparison_cluster"	"claim_checked_caption;comparison_cluster"	"No live rank; snapshot caption required."
"CH13"	"F13.03"	"A-0019"	"svg_diagram"	"Price-Quality Exclusion Map"	"closing_or_handoff"	"wide_with_short_caption"	"needs_short_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"comparison_cluster"	"needs_short_caption;comparison_cluster"	"Keep if economics chapter does not repeat it."
"CH14"	"F14.01"	"A-0071"	"svg_diagram"	"CUDA Stack: The Moat Under The Moat"	"opener_or_first_turn"	"large_or_half_page"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"low"	"low"	"low"	"Do not broaden into all semiconductor history."
"CH14"	"F14.02"	"A-0072"	"svg_diagram"	"GPU Memory and Interconnect: The Traffic Pattern"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"low"	"low"	"low"	"Verify legibility at book trim."
"CH14"	"F14.03"	"A-0073"	"svg_diagram"	"Training vs Inference: Two Capacity Problems"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"low"	"low"	"claim_checked_caption"	"Keep if not redundant with GTC slides."
"CH14"	"F14.04"	"A-0133"	"photo_candidate_slot"	"Lithography/ASML proxy physical texture."	"late_middle"	"half_page_or_inset"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"low"	"low"	"selected_pending_rights_review"	"Find stronger ASML-machine photo or caption as proxy."
"CH14"	"F14.05"	"A-0134"	"photo_candidate_slot"	"Cleanroom manufacturing environment."	"late_middle"	"half_page_or_inset"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"low"	"low"	"selected_pending_rights_review"	"Verify exact license and attribution."
"CH14"	"F14.06"	"A-0136"	"photo_candidate_slot"	"Server racks as compute infrastructure."	"closing_or_handoff"	"half_page_or_inset"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"low"	"low"	"selected_pending_rights_review"	"Verify license; block named workload."
"CH15"	"F15.01"	"A-0012"	"svg_diagram"	"AI Factory Stack"	"opener_or_first_turn"	"large_or_half_page"	"caption_gate_visible"	"nearby_source_note"	"crowded"	"medium_caption_cluster"	"crowded"	"caption_gate_visible;crowded"	"Anchor before GTC source surfaces."
"CH15"	"F15.02"	"A-0024"	"svg_claim_card"	"GTC Page 29: AI Factory Thesis"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"crowded"	"medium_caption_cluster"	"crowded"	"claim_checked_caption;crowded"	"Choose card or slide render, not both if crowded."
"CH15"	"F15.03"	"A-0027"	"svg_claim_card"	"GTC Page 49: System Comparison"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"crowded"	"medium_caption_cluster"	"crowded"	"claim_checked_caption;crowded"	"Keep caption narrow."
"CH15"	"F15.04"	"A-0028"	"svg_claim_card"	"GTC Page 50: Roadmap Cadence"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"crowded"	"medium_caption_cluster"	"crowded"	"crowded"	"Block delivery/performance claims."
"CH15"	"F15.05"	"A-0029"	"svg_claim_card"	"GTC Page 51: DSX Platform Frame"	"late_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"crowded"	"medium_caption_cluster"	"crowded"	"claim_checked_caption;crowded"	"Pair with Chapter 16 handoff."
"CH15"	"F15.06"	"A-0004"	"extracted_slide_render"	"NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue."	"late_middle"	"half_page_or_inset"	"claim_checked_caption"	"source_note_gate_visible"	"crowded"	"medium_caption_cluster"	"crowded"	"selected_pending_source_surface_review;claim_checked_caption;source_note_gate_visible;crowded"	"Choose against A-0024; avoid duplication."
"CH15"	"F15.07"	"A-0106"	"source_screenshot_slot"	"NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric."	"closing_or_handoff"	"half_page_or_inset"	"caption_gate_visible"	"source_note_gate_visible"	"crowded"	"medium_caption_cluster"	"crowded"	"selected_pending_source_surface_review;caption_gate_visible;source_note_gate_visible;crowded"	"Use as private evidence handle or final source surface after rights review."
"CH16"	"F16.01"	"A-0015"	"svg_diagram"	"Power To Token Flow"	"opener_or_first_turn"	"large_or_half_page"	"standard_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"source_texture_cluster"	"Keep as physical-internet spine."
"CH16"	"F16.02"	"A-0020"	"svg_diagram"	"Data-Centre Load Scenarios"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"source_texture_cluster"	"Ensure forecasts stay labeled."
"CH16"	"F16.03"	"A-0021"	"svg_diagram"	"The Interconnection Queue"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"source_texture_cluster"	"Pair with physical grid photo if possible."
"CH16"	"F16.04"	"A-0022"	"svg_diagram"	"Cooling And Rack Density Are Constraints, Not Plumbing"	"early_middle"	"wide_with_short_caption"	"needs_short_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"needs_short_caption;source_texture_cluster"	"Consider replacing with photo if layout is diagram-heavy."
"CH16"	"F16.05"	"A-0023"	"svg_diagram"	"Clean Procurement Is Not Physical Supply"	"early_middle"	"wide_with_short_caption"	"needs_short_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"needs_short_caption;source_texture_cluster"	"Keep near PPA/clean-power prose."
"CH16"	"F16.06"	"A-0137"	"photo_candidate_slot"	"Data-center hall physical texture."	"late_middle"	"half_page_or_inset"	"standard_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"selected_pending_rights_review;source_texture_cluster"	"Verify original license trail."
"CH16"	"F16.07"	"A-0139"	"photo_candidate_slot"	"Grid interconnection texture."	"late_middle"	"half_page_or_inset"	"standard_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"selected_pending_rights_review;source_texture_cluster"	"Verify license; no site-service claim."
"CH16"	"F16.08"	"A-0141"	"photo_candidate_slot"	"Gas turbine speed-to-power texture."	"late_middle"	"half_page_or_inset"	"standard_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"selected_pending_rights_review;source_texture_cluster"	"Verify license and caption as generic."
"CH16"	"F16.09"	"A-0143"	"photo_candidate_slot"	"Nuclear/cooling tower power texture."	"closing_or_handoff"	"half_page_or_inset"	"standard_caption"	"nearby_source_note"	"crowded"	"low"	"source_texture_cluster"	"selected_pending_rights_review;source_texture_cluster"	"Verify license and attribution."
"CH17"	"F17.01"	"A-0064"	"svg_diagram"	"Tokenization Ladder"	"opener_or_first_turn"	"large_or_half_page"	"standard_caption"	"nearby_source_note"	"healthy"	"low"	"diagram_mechanism_run"	"diagram_mechanism_run"	"Verify tokenizer caveats stay visible."
"CH17"	"F17.02"	"A-0065"	"svg_diagram"	"Web Corpus Filter Funnel"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"healthy"	"low"	"diagram_mechanism_run"	"diagram_mechanism_run"	"Block closed-corpus composition claims."
"CH17"	"F17.03"	"A-0066"	"svg_diagram"	"Data Mixture Control Board"	"late_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"low"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Keep schematic, not measured shares."
"CH17"	"F17.04"	"A-0067"	"svg_diagram"	"Memorization and Contamination Blocker Map"	"closing_or_handoff"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"low"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Keep prevalence claims blocked."
"CH18"	"F18.01"	"A-0060"	"svg_diagram"	"RAG Evidence Conveyor"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Do not duplicate trust chapter."
"CH18"	"F18.02"	"A-0061"	"svg_diagram"	"Function-Call Boundary"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Pair with API docs screenshot."
"CH18"	"F18.03"	"A-0062"	"svg_diagram"	"Agent Loop as Harness"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Keep distinct from Chapter 20."
"CH18"	"F18.04"	"A-0063"	"svg_diagram"	"Prompt Injection Boundary"	"late_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Keep near untrusted-retrieval prose."
"CH18"	"F18.05"	"A-0124"	"screenshot_slot"	"ChatGPT Tool Surface"	"closing_or_handoff"	"half_page_or_inset"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;claim_checked_caption"	"Capture/hash; block adoption."
"CH19"	"F19.01"	"A-0090"	"svg_diagram"	"Code Was The Second Native Language"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Check density with prose."
"CH19"	"F19.02"	"A-0091"	"svg_diagram"	"The Assistant Entered At The Cursor"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Pair with one screenshot only."
"CH19"	"F19.03"	"A-0092"	"svg_diagram"	"Coding Scores Need A Harness Story"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Do not repeat Chapter 20 matrix."
"CH19"	"F19.04"	"A-0093"	"svg_diagram"	"The Repository Became The Prompt"	"late_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Keep as chapter-ending setup."
"CH19"	"F19.05"	"A-0127"	"screenshot_slot"	"GitHub Copilot Coding Surface"	"closing_or_handoff"	"half_page_or_inset"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;claim_checked_caption"	"Capture/hash; block productivity."
"CH20"	"F20.01"	"A-0032"	"svg_diagram"	"Coding Agent Harness Loop"	"opener_or_first_turn"	"large_or_half_page"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Keep human review boundary."
"CH20"	"F20.02"	"A-0033"	"svg_diagram"	"Coding Benchmark Caveat Matrix"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Keep near benchmark prose."
"CH20"	"F20.03"	"A-0034"	"svg_diagram"	"Tool-Call Lifecycle"	"early_middle"	"standard_inline"	"standard_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"low"	"Pair with Claude Code docs."
"CH20"	"F20.04"	"A-0035"	"svg_diagram"	"Productivity Claim Blocker Map"	"late_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"claim_checked_caption"	"Use if chapter has vendor-product claims."
"CH20"	"F20.05"	"A-0131"	"screenshot_slot"	"Claude Code Surface"	"closing_or_handoff"	"half_page_or_inset"	"claim_checked_caption"	"nearby_source_note"	"dense_but_workable"	"medium_caption_cluster"	"low"	"selected_pending_capture;claim_checked_caption"	"Capture/hash; block autonomy."
"CH21"	"F21.01"	"A-0078"	"svg_diagram"	"Reasoning Adds A New Compute Axis"	"opener_or_first_turn"	"large_or_half_page"	"standard_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"diagram_mechanism_run"	"Keep train-time vs answer-time distinction."
"CH21"	"F21.02"	"A-0079"	"svg_diagram"	"Reasoning Is A Loop, Not A Magic Thought Bubble"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Caption must block truth guarantees."
"CH21"	"F21.03"	"A-0080"	"svg_diagram"	"A Reasoning Score Needs An Inference Contract"	"late_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Use before benchmark mentions."
"CH21"	"F21.04"	"A-0081"	"svg_diagram"	"How Much Thinking Is This Worth? Fast path, think path, tool path, and human escalation/refusal are schematic routing lanes."	"closing_or_handoff"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Keep value claims blocked."
"CH22"	"F22.01"	"A-0082"	"svg_diagram"	"The Meter Is Visible Before The Margin Is Knowable"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Verify price/currentness caveats."
"CH22"	"F22.02"	"A-0083"	"svg_diagram"	"Routing, Caching, Batching, Distillation"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Keep distinct from Chapter 8 cost stack."
"CH22"	"F22.03"	"A-0084"	"svg_diagram"	"Intelligence Is Sold Through More Than One Door"	"late_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Caption blocks margin and ARR claims."
"CH22"	"F22.04"	"A-0085"	"svg_diagram"	"The Tempting Economics Claims Are Not The Sourced Ones"	"closing_or_handoff"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Use as sidebar if layout is dense."
"CH23"	"F23.01"	"A-0074"	"svg_diagram"	"Failure Modes Are Different Claims"	"opener_or_first_turn"	"large_or_half_page"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Prevent incident montage."
"CH23"	"F23.02"	"A-0075"	"svg_diagram"	"Trust Is A Stack"	"early_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Check if final chapter repeats it."
"CH23"	"F23.03"	"A-0076"	"svg_diagram"	"Every Evaluation Casts A Shadow"	"late_middle"	"standard_inline"	"claim_checked_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"claim_checked_caption;diagram_mechanism_run"	"Use with benchmark chapters cross-reference."
"CH23"	"F23.04"	"A-0077"	"svg_diagram"	"From Answer To Auditable Claim"	"closing_or_handoff"	"standard_inline"	"standard_caption"	"nearby_source_note"	"healthy"	"medium_caption_cluster"	"diagram_mechanism_run"	"diagram_mechanism_run"	"Pair with source-density prose."
