pass_id	boundary_id	from_chapter	to_chapter	transition_text	reader_job	claim_guardrail	integration_status
I-0247	BOUNDARY-12	CH12	CH13	A crowded frontier creates a measurement hunger. Once readers have met many labs and model families, the book has to slow down and ask what a rank, benchmark, or arena score can honestly prove.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-13	CH13	CH14	The measurement chapter explains why model comparisons are unstable; the hardware chapter asks a deeper question underneath them: what kind of machine and software stack makes any of these comparisons possible?	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-14	CH14	CH15	CUDA and GPUs are the hidden substrate; GTC is the theater where that substrate is sold back to the world as destiny. The next chapter treats NVIDIA's stagecraft as evidence of framing, not proof of fulfillment.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-15	CH15	CH16	The AI factory sounds abstract until it needs a site, a substation, cooling, transformers, and time. After the keynote, the book walks out of the convention hall and into the physical internet.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-16	CH16	CH17	Power is one input to the LLM machine; data is the other. Once the book has followed tokens to substations, it has to follow them backward into the libraries, crawls, filters, and tokenizers that feed training.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-17	CH17	CH18	Data gives a model memory-shaped material, but tools change what the model can do with a prompt. The next step is outward: retrieval, APIs, function calls, and action boundaries.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-18	CH18	CH19	General tool use shows the harness; code shows the first domain where language becomes executable and testable. The agent turn becomes sharper when the output must compile, run, and survive review.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-19	CH19	CH20	Code made the stakes measurable; Claude Code makes the workflow visible. The next chapter narrows from code as a second native language to repository work as a supervised industrial practice.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-20	CH20	CH21	Coding agents expose the cost of action, review, and retries. Reasoning systems expose a related cost inside inference itself: sometimes the machine spends more compute before it answers.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-21	CH21	CH22	If test-time compute becomes another scaling axis, then intelligence becomes not only a capability question but a pricing question. The next chapter turns the pause before an answer into a meter.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-22	CH22	CH23	Cheap fluency still has to be trusted. After the economics of tokens, the book turns to the failures that make every confident answer a claim needing context, provenance, and review.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
I-0247	BOUNDARY-23	CH23	CH24	The trust chapter leaves the reader with no simple crown, cure, or prophecy. The final chapter returns to the next token as both mechanism and responsibility: what humans choose to ask, build, meter, and believe.	handoff	No new factual claim beyond already sourced chapter-level scope; transition must connect mechanisms, not invent scenes or outcomes.	inserted_in_full_draft_as_i0247_stitch
