rank	candidate_id	chapter	candidate_ref	candidate_type	title	source_basis	readiness	likely_top100	selection_reason	blocker_or_gate
030	EC-0188-030	11	A-0031	svg_diagram	China source-permission map	Core source-lane guardrail for Chinese/open models.	ready_svg	yes	Selected in I-0182 master matrix	Update if later Qwen/DeepSeek sources mature.
031	EC-0188-031	11	A-0118	svg_diagram	supported-vs-gap board	Prevents logo parade and unsupported family claims.	ready_svg	yes	Selected in I-0182 master matrix	Keep as chapter control surface.
032	EC-0188-032	11	A-0048	source_screenshot_slot	Qwen2 source surface	Primary-paper texture for supported Qwen lane.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; do not rank.
033	EC-0188-033	11	A-0049	source_screenshot_slot	Qwen3 source surface	Supported cutoff-bounded Qwen source surface.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; Qwen 3.5/3.6 remains blocked.
034	EC-0188-034	11	A-0050	source_screenshot_slot	DeepSeek-R1 source surface	Bridge to reasoning chapter with source texture.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; benchmark extraction separate.
035	EC-0188-035	12	A-0094	svg_diagram	Constitutional AI behavior grammar	Best behavior-spec visual for Anthropic chapter.	ready_svg	yes	Selected in I-0182 master matrix	Confirm Chapter 12 title/placement.
036	EC-0188-036	12	A-0095	svg_diagram	Claude product family	Maps Claude product family without benchmark crown.	ready_svg	yes	Selected in I-0182 master matrix	Check overlap with A-0130.
037	EC-0188-037	12	A-0096	svg_diagram	assistant-to-action surface	Bridge from behavior to action surfaces.	ready_svg	yes	Selected in I-0182 master matrix	Pair with source screenshot only once.
038	EC-0188-038	12	A-0097	svg_diagram	Claude claim blockers	Keeps safety and adoption claims fenced.	ready_svg	yes	Selected in I-0182 master matrix	Use near prose with safety temptation.
039	EC-0188-039	12	A-0119	screenshot_slot	computer-use source surface	Important action-surface source texture.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block autonomy.
040	EC-0188-040	12	A-0130	screenshot_slot	Claude product source surface	Product texture for Claude as assistant family.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block safety success.
041	EC-0188-041	13	A-0014	svg_diagram	leaderboard methodology	Essential before any ranking visual.	ready_svg	yes	Selected in I-0182 master matrix	Keep before A-0013 in reading order.
042	EC-0188-042	13	A-0013	svg_chart	historical leaderboard slice	Useful only after methodology guardrails.	ready_svg	yes	Selected in I-0182 master matrix	No live rank; snapshot caption required.
043	EC-0188-043	13	A-0019	svg_diagram	price-quality exclusion map	Shows why price-quality frontier is blocked.	ready_svg	yes	Selected in I-0182 master matrix	Keep if economics chapter does not repeat it.
044	EC-0188-044	14	A-0071	svg_diagram	CUDA stack	Core NVIDIA/CUDA moat visual.	ready_svg	yes	Selected in I-0182 master matrix	Do not broaden into all semiconductor history.
045	EC-0188-045	14	A-0072	svg_diagram	GPU memory/interconnect	Explains traffic problem behind accelerators.	ready_svg	yes	Selected in I-0182 master matrix	Verify legibility at book trim.
046	EC-0188-046	14	A-0073	svg_diagram	training-vs-inference capacity	Sets up Chapter 15/16 split.	ready_svg	yes	Selected in I-0182 master matrix	Keep if not redundant with GTC slides.
047	EC-0188-047	14	A-0133	photo_candidate_slot	lithography/ASML proxy	Industrial texture for chipmaking constraints, with specificity caveat.	rights_review_needed	yes	Selected in I-0182 master matrix	Find stronger ASML-machine photo or caption as proxy.
048	EC-0188-048	14	A-0134	photo_candidate_slot	cleanroom photo	Credible physical manufacturing texture.	rights_review_needed	yes	Selected in I-0182 master matrix	Verify exact license and attribution.
049	EC-0188-049	14	A-0136	photo_candidate_slot	server rack photo	Compute infrastructure texture for hardware chapter.	rights_review_needed	yes	Selected in I-0182 master matrix	Verify license; block named workload.
050	EC-0188-050	15	A-0012	svg_diagram	AI factory stack	Best neutral explainer separating NVIDIA rhetoric from infrastructure layers.	ready_svg	yes	Selected in I-0182 master matrix	Anchor before GTC source surfaces.
051	EC-0188-051	15	A-0024	svg_claim_card	GTC AI-factory thesis card	Page-provenance claim card for GTC thesis.	ready_svg	yes	Selected in I-0182 master matrix	Choose card or slide render, not both if crowded.
052	EC-0188-052	15	A-0027	svg_claim_card	GTC system comparison card	Useful as rhetoric/economics stagecraft, not independent proof.	ready_svg	yes	Selected in I-0182 master matrix	Keep caption narrow.
053	EC-0188-053	15	A-0028	svg_claim_card	GTC roadmap cadence card	Shows roadmap sequencing as source rhetoric.	ready_svg	yes	Selected in I-0182 master matrix	Block delivery/performance claims.
054	EC-0188-054	15	A-0029	svg_claim_card	GTC DSX platform card	Bridge from GTC story to physical constraints.	ready_svg	yes	Selected in I-0182 master matrix	Pair with Chapter 16 handoff.
055	EC-0188-055	15	A-0004	extracted_slide_render	GTC page 29 slide render	High visual drama if rights/fair-use review passes.	local_ignored_hash_available	yes	Selected in I-0182 master matrix	Choose against A-0024; avoid duplication.
056	EC-0188-056	15	A-0106	source_screenshot_slot	page 29 hashed source surface	Provenance-ready GTC source surface.	local_ignored_hash_available	yes	Selected in I-0182 master matrix	Use as private evidence handle or final source surface after rights review.
057	EC-0188-057	16	A-0015	svg_diagram	power-to-token flow	Core Chapter 16 mechanism visual.	ready_svg	yes	Selected in I-0182 master matrix	Keep as physical-internet spine.
058	EC-0188-058	16	A-0020	svg_diagram	load scenarios	Best measured/scenario separation for demand.	ready_svg	yes	Selected in I-0182 master matrix	Ensure forecasts stay labeled.
059	EC-0188-059	16	A-0021	svg_diagram	interconnection queue	Shows timing bottleneck without project database overclaim.	ready_svg	yes	Selected in I-0182 master matrix	Pair with physical grid photo if possible.
060	EC-0188-060	16	A-0022	svg_diagram	cooling/rack-density note	Explains cooling constraint without engineering overreach.	ready_svg	yes	Selected in I-0182 master matrix	Consider replacing with photo if layout is diagram-heavy.
061	EC-0188-061	16	A-0023	svg_diagram	clean procurement vs physical supply	Important claim-control visual for power sourcing.	ready_svg	yes	Selected in I-0182 master matrix	Keep near PPA/clean-power prose.
062	EC-0188-062	16	A-0137	photo_candidate_slot	data-center hall photo	Needed real-world texture for compute rooms.	rights_review_needed	yes	Selected in I-0182 master matrix	Verify original license trail.
063	EC-0188-063	16	A-0139	photo_candidate_slot	substation photo	Physical grid texture for interconnection prose.	rights_review_needed	yes	Selected in I-0182 master matrix	Verify license; no site-service claim.
064	EC-0188-064	16	A-0141	photo_candidate_slot	gas turbine photo	Shows speed-to-power equipment without deployment claim.	rights_review_needed	yes	Selected in I-0182 master matrix	Verify license and caption as generic.
065	EC-0188-065	16	A-0143	photo_candidate_slot	nuclear/cooling tower photo	Power-supply debate texture without delivered-power claim.	rights_review_needed	yes	Selected in I-0182 master matrix	Verify license and attribution.
066	EC-0188-066	17	A-0064	svg_diagram	tokenization ladder	Core data chapter mechanism visual.	ready_svg	yes	Selected in I-0182 master matrix	Verify tokenizer caveats stay visible.
067	EC-0188-067	17	A-0065	svg_diagram	web-corpus filter funnel	Best data supply-chain process visual.	ready_svg	yes	Selected in I-0182 master matrix	Block closed-corpus composition claims.
068	EC-0188-068	17	A-0066	svg_diagram	data mixture control board	Shows hidden mixtures and controls.	ready_svg	yes	Selected in I-0182 master matrix	Keep schematic, not measured shares.
069	EC-0188-069	17	A-0067	svg_diagram	memorization blocker map	Useful trust/data caveat visual.	ready_svg	yes	Selected in I-0182 master matrix	Keep prevalence claims blocked.
070	EC-0188-070	18	A-0060	svg_diagram	RAG evidence conveyor	Core tools/retrieval mechanism.	ready_svg	yes	Selected in I-0182 master matrix	Do not duplicate trust chapter.
071	EC-0188-071	18	A-0061	svg_diagram	function-call boundary	Best tool-permission schematic.	ready_svg	yes	Selected in I-0182 master matrix	Pair with API docs screenshot.
072	EC-0188-072	18	A-0062	svg_diagram	agent loop as harness	General agent loop before coding specificity.	ready_svg	yes	Selected in I-0182 master matrix	Keep distinct from Chapter 20.
073	EC-0188-073	18	A-0063	svg_diagram	prompt-injection boundary	Safety/trust bridge for tool use.	ready_svg	yes	Selected in I-0182 master matrix	Keep near untrusted-retrieval prose.
074	EC-0188-074	18	A-0124	screenshot_slot	ChatGPT tools/GPTs surface	Product texture for tool turn.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block adoption.
075	EC-0188-075	19	A-0090	svg_diagram	code as language	Core Chapter 19 coding thesis visual.	ready_svg	yes	Selected in I-0182 master matrix	Check density with prose.
076	EC-0188-076	19	A-0091	svg_diagram	assistant at cursor	Shows product placement in the IDE/workflow.	ready_svg	yes	Selected in I-0182 master matrix	Pair with one screenshot only.
077	EC-0188-077	19	A-0092	svg_diagram	coding score harness	Benchmark context for code systems.	ready_svg	yes	Selected in I-0182 master matrix	Do not repeat Chapter 20 matrix.
078	EC-0188-078	19	A-0093	svg_diagram	repository as prompt	Strong workflow bridge into Chapter 20.	ready_svg	yes	Selected in I-0182 master matrix	Keep as chapter-ending setup.
079	EC-0188-079	19	A-0127	screenshot_slot	GitHub Copilot surface	Reader-recognition product surface.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block productivity.
080	EC-0188-080	20	A-0032	svg_diagram	coding-agent harness loop	Core Chapter 20 workflow figure.	ready_svg	yes	Selected in I-0182 master matrix	Keep human review boundary.
081	EC-0188-081	20	A-0033	svg_diagram	coding benchmark caveat matrix	Stops benchmark-to-productivity laundering.	ready_svg	yes	Selected in I-0182 master matrix	Keep near benchmark prose.
082	EC-0188-082	20	A-0034	svg_diagram	tool-call lifecycle	Shows permission boundary in coding agent work.	ready_svg	yes	Selected in I-0182 master matrix	Pair with Claude Code docs.
083	EC-0188-083	20	A-0035	svg_diagram	productivity blocker map	Keeps business claims blocked.	ready_svg	yes	Selected in I-0182 master matrix	Use if chapter has vendor-product claims.
084	EC-0188-084	20	A-0131	screenshot_slot	Claude Code surface	Product/docs texture for repository agent.	private_capture_needed	yes	Selected in I-0182 master matrix	Capture/hash; block autonomy.
085	EC-0188-085	21	A-0078	svg_diagram	reasoning compute axis	Core test-time compute visual.	ready_svg	yes	Selected in I-0182 master matrix	Keep train-time vs answer-time distinction.
086	EC-0188-086	21	A-0079	svg_diagram	reasoning loop	Explains loops without hidden-thought mysticism.	ready_svg	yes	Selected in I-0182 master matrix	Caption must block truth guarantees.
087	EC-0188-087	21	A-0080	svg_diagram	inference contract	Essential for reasoning benchmark claims.	ready_svg	yes	Selected in I-0182 master matrix	Use before benchmark mentions.
088	EC-0188-088	21	A-0081	svg_diagram	thinking cost tradeoff	Connects reasoning to economics.	ready_svg	yes	Selected in I-0182 master matrix	Keep value claims blocked.
089	EC-0188-089	22	A-0082	svg_diagram	visible meter	Core economics chapter anchor.	ready_svg	yes	Selected in I-0182 master matrix	Verify price/currentness caveats.
090	EC-0188-090	22	A-0083	svg_diagram	routing/caching/batching/distillation	Best cost-control mechanism map.	ready_svg	yes	Selected in I-0182 master matrix	Keep distinct from Chapter 8 cost stack.
091	EC-0188-091	22	A-0084	svg_diagram	business models	Shows monetization routes without revenue proof.	ready_svg	yes	Selected in I-0182 master matrix	Caption blocks margin and ARR claims.
092	EC-0188-092	22	A-0085	svg_diagram	economics claim blockers	Keeps price, margin, value claims fenced.	ready_svg	yes	Selected in I-0182 master matrix	Use as sidebar if layout is dense.
093	EC-0188-093	23	A-0074	svg_diagram	failure modes separation	Core trust chapter taxonomy.	ready_svg	yes	Selected in I-0182 master matrix	Prevent incident montage.
094	EC-0188-094	23	A-0075	svg_diagram	trust stack	Best whole-stack trust visual.	ready_svg	yes	Selected in I-0182 master matrix	Check if final chapter repeats it.
095	EC-0188-095	23	A-0076	svg_diagram	evaluation shadow	Connects eval design to blind spots.	ready_svg	yes	Selected in I-0182 master matrix	Use with benchmark chapters cross-reference.
096	EC-0188-096	23	A-0077	svg_diagram	auditable claim loop	Shows evidence trace into human judgment.	ready_svg	yes	Selected in I-0182 master matrix	Pair with source-density prose.
097	EC-0188-097	24	A-0108	svg_diagram	next-token system map	Final synthesis anchor.	ready_svg	yes	Selected in I-0182 master matrix	Keep from becoming generic summary wallpaper.
098	EC-0188-098	24	A-0109	svg_diagram	five conversion gates	Strong closing structure visual.	ready_svg	yes	Selected in I-0182 master matrix	Use if final prose follows conversion motif.
099	EC-0188-099	24	A-0110	svg_diagram	unsettled claims board	Honest unresolved-claims ending.	ready_svg	yes	Selected in I-0182 master matrix	Keep if not too apparatus-heavy.
100	EC-0188-100	24	A-0111	svg_diagram	human judgment loop	Best final human-boundary image.	ready_svg	yes	Selected in I-0182 master matrix	Use as closing visual if layout has room.
101	EC-0188-101	multi	A-0001	svg_diagram	Chronology rail prototype for launch, model, hardware, and cutoff-bounded timeline figures.	manuscript/00-visual-grammar.md	available	no	Reserve manifest row outside I-0182 top 100	Original lightweight SVG generated for this private manuscript workspace.
102	EC-0188-102	multi	A-0002	svg_diagram	Repository task lifecycle prototype for coding-agent and tool-use workflow figures.	manuscript/00-visual-grammar.md	available	no	Reserve manifest row outside I-0182 top 100	Original lightweight SVG generated for this private manuscript workspace.
103	EC-0188-103	multi	A-0003	svg_diagram	Tradeoff curve prototype for scaling, price-performance, latency-cost, and benchmark caveat figures.	manuscript/00-visual-grammar.md	available	no	Reserve manifest row outside I-0182 top 100	Original lightweight SVG generated for this private manuscript workspace.
104	EC-0188-104	multi	A-0005	extracted_slide_render	Figure 15.x - GTC 2026 slide for NVIDIA Groq 3 LPX inference compute, including NVIDIA-stated specs and Available 2H26.	manuscript/15-gtc-2026-source-pack.md	available_local_ignored	no	Reserve manifest row outside I-0182 top 100	Private-use local render from GTC-2026-Keynote.pdf; PNG is ignored and not committed; hash and dimensions in data/gtc_2026_rendered_pages.tsv; final caption and caveat in data/gtc_2026_slide_captions.tsv.
105	EC-0188-105	multi	A-0006	extracted_slide_render	Figure 15.x - NVIDIA announces Vera Rubin NVL72 launch partners with NVIDIA-stated perf-per-watt, NVFP4, HBM4, and NVLink6 claims.	manuscript/15-gtc-2026-source-pack.md	available_local_ignored	no	Reserve manifest row outside I-0182 top 100	Private-use local render from GTC-2026-Keynote.pdf; PNG is ignored and not committed; hash and dimensions in data/gtc_2026_rendered_pages.tsv; final caption and caveat in data/gtc_2026_slide_captions.tsv.
106	EC-0188-106	multi	A-0007	extracted_slide_render	Figure 15.x - NVIDIA compares a one-gigawatt X86-plus-Hopper AI factory with a Vera Rubin system across GPUs, FLOPS, bandwidth, and tokens per second.	manuscript/15-gtc-2026-source-pack.md	available_local_ignored	no	Reserve manifest row outside I-0182 top 100	Private-use local render from GTC-2026-Keynote.pdf; PNG is ignored and not committed; hash and dimensions in data/gtc_2026_rendered_pages.tsv; final caption and caveat in data/gtc_2026_slide_captions.tsv.
107	EC-0188-107	multi	A-0008	extracted_slide_render	Figure 15.x - NVIDIA's 2024-2026-2028 roadmap links Blackwell, Rubin, Feynman, Vera, BlueField, Spectrum, ConnectX, NVLink, and rack-scale systems.	manuscript/15-gtc-2026-source-pack.md	available_local_ignored	no	Reserve manifest row outside I-0182 top 100	Private-use local render from GTC-2026-Keynote.pdf; PNG is ignored and not committed; hash and dimensions in data/gtc_2026_rendered_pages.tsv; final caption and caveat in data/gtc_2026_slide_captions.tsv.
108	EC-0188-108	multi	A-0009	extracted_slide_render	Figure 15.x - NVIDIA presents DSX as an AI Factory Platform spanning chips, systems, facilities, software, reference designs, simulation, cooling, and power.	manuscript/15-gtc-2026-source-pack.md	available_local_ignored	no	Reserve manifest row outside I-0182 top 100	Private-use local render from GTC-2026-Keynote.pdf; PNG is ignored and not committed; hash and dimensions in data/gtc_2026_rendered_pages.tsv; final caption and caveat in data/gtc_2026_slide_captions.tsv.
109	EC-0188-109	multi	A-0017	svg_layout_mock	Figure 16.x - N16-1 Note Layout Mock. Single-page mock testing whether the LBNL/DOE paragraph can move CH16Q-003 through CH16Q-006 into a same-page note while CH16Q-017 and CH16Q-018 remain inline.	manuscript/16-note-layout-mock.md	available	no	Reserve manifest row outside I-0182 top 100	Original lightweight SVG generated from data/chapter16_note_layout_mock_i0063.tsv and checked against data/chapter16_note_layout_acceptance_i0063.tsv; no external image assets; C-0021/C-0047 remain active.
110	EC-0188-110	multi	A-0018	svg_layout_mock	Figure 16.x - Parent Inline-Cue Render. Lightweight page render showing the current LBNL/DOE paragraph before any N16-1 note move, with CH16Q-003 through CH16Q-006 still inline.	manuscript/16-n16-1-render-comparison.md	available	no	Reserve manifest row outside I-0182 top 100	Original lightweight SVG generated for this private manuscript workspace; no external image assets; not a production PDF screenshot.
111	EC-0188-111	multi	A-0025	svg_claim_card	Figure 15.x - GTC Page 45: Inference Compute Roadmap. Lightweight card labeling Groq 3 LPX and 2H26 availability language as NVIDIA roadmap/availability/performance evidence.	manuscript/15-gtc-2026-visual-source-pack-i0101.md	available	no	Reserve manifest row outside I-0182 top 100	Original lightweight SVG derived from GTC-2026-Keynote.pdf page 45 notes and A-0005 caption row; no external image assets; C-0047 remains active.
112	EC-0188-112	multi	A-0026	svg_claim_card	Figure 15.x - GTC Page 46: Vera Rubin NVL72. Lightweight card labeling launch-partner and rack-scale performance statements as NVIDIA announcement, partner, and performance claims.	manuscript/15-gtc-2026-visual-source-pack-i0101.md	available	no	Reserve manifest row outside I-0182 top 100	Original lightweight SVG derived from GTC-2026-Keynote.pdf page 46 notes and A-0006 caption row; no external image assets; C-0047 remains active.
113	EC-0188-113	multi	A-0040	screenshot_slot	Figure 12/20.x - Claude 4 launch surface. Private-use screenshot slot for model-line and benchmark-permission discussion.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; benchmark numbers need row extraction.
114	EC-0188-114	multi	A-0041	screenshot_slot	Figure 20.x - Claude Code best-practices docs. Private-use screenshot slot for coding-agent workflow documentation.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; no productivity/adoption claim.
115	EC-0188-115	multi	A-0042	screenshot_slot	Figure 20.x - Claude Code permissions/security. Private-use screenshot slot for tool trust and action boundaries.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; use for workflow-control evidence only.
116	EC-0188-116	multi	A-0043	screenshot_slot	Figure 20.x - Claude Code common workflows. Private-use screenshot slot for repo-task lifecycle.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; no enterprise outcome claim.
117	EC-0188-117	multi	A-0045	screenshot_slot	Figure 10.x - Llama 3 launch surface. Private-use screenshot slot for open-weight platform strategy.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; benchmark/adoption claims blocked.
118	EC-0188-118	multi	A-0046	screenshot_slot	Figure 10.x - Llama 3.1 launch surface. Private-use screenshot slot for larger/context-expanded open-weight strategy.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; exact spec claims need row extraction.
119	EC-0188-119	multi	A-0051	source_screenshot_slot	Figure 11.x - DeepSeek-V3 source surface. Private-use source screenshot slot for supported DeepSeek technical lane.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; no V4 inference.
120	EC-0188-120	multi	A-0052	screenshot_slot	Figure 9.x - Bard launch surface. Private-use screenshot slot for Google's defensive interface turn.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; vendor product framing only.
121	EC-0188-121	multi	A-0053	screenshot_slot	Figure 9.x - Gemini launch surface. Private-use screenshot slot for model-family banner.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; benchmark claims blocked.
122	EC-0188-122	multi	A-0054	screenshot_slot	Figure 9.x - Bard becomes Gemini. Private-use screenshot slot for product consolidation.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; no subscriber/revenue claim.
123	EC-0188-123	multi	A-0055	screenshot_slot	Figure 9/18.x - Gemini developer update. Private-use screenshot slot for developer access paths and long context.	manuscript/00-non-nvidia-visual-photo-acquisition-i0112.md	acquisition_ready	no	Reserve manifest row outside I-0182 top 100	Private-use acquisition slot only; do not commit raster; availability details need date-specific captions.
124	EC-0188-124	multi	A-0098	source_screenshot_slot	Figure 16.x candidate - IEA electricity-demand source surface for measured/forecast data-center lanes, with forecast and allocation caveats.	manuscript/15-16-physical-infrastructure-capture-execution-i0145.md	source_page_captured_screenshot_pending	no	Reserve manifest row outside I-0182 top 100	HTML source surface captured and hash-recorded; screenshot still pending; no energy-per-token, site-hour fuel-mix, deterministic forecast, or LLM-only demand claim.
125	EC-0188-125	multi	A-0099	source_screenshot_slot	Figure 16.x candidate - LBNL/DOE source surface for U.S. measured/scenario data-center electricity use.	manuscript/15-16-physical-infrastructure-capture-execution-i0145.md	partial_source_capture_lbnl_blocked	no	Reserve manifest row outside I-0182 top 100	LBNL shell capture blocked and recorded; DOE release page captured and hash-recorded; no forecast-as-history, exact campus load, universal trajectory, or LLM-only allocation claim.
126	EC-0188-126	multi	A-0100	source_screenshot_slot	Figure 16.x candidate - EPRI source surface for local concentration, lead-time, and utility-planning constraints.	manuscript/15-16-physical-infrastructure-capture-execution-i0145.md	binary_payload_removed_note	no	Reserve manifest row outside I-0182 top 100	EPRI shell request returned a binary payload, removed and replaced by a hash-recorded note; screenshot/permission review still pending; no complete project-delay database, named-campus delay proof, final query-energy value, or utility-wide causality claim.
