"figure_id"	"chapter"	"chapter_anchor"	"selected_rank"	"asset_id"	"asset_type"	"figure_title"	"final_role"	"planned_status"	"rights_status"	"source_ids"	"manifest_file_path"	"alt_text"	"caption_gate"	"provenance_gate"	"next_gate"
"F08.01"	"CH08"	"ch08-fig01"	"016"	"A-0056"	"svg_diagram"	"Microsoft/OpenAI: The Cloud Bargain Timeline"	"cloud bargain timeline"	"selected_pending_render"	"ready_svg"	"S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133"	"assets/visual_system/chapter8-microsoft-openai-partnership-chronology.svg"	"F08.01: Microsoft/OpenAI: The Cloud Bargain Timeline. Shows cloud bargain timeline. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Check if chapter can carry four diagrams."
"F08.02"	"CH08"	"ch08-fig02"	"017"	"A-0057"	"svg_diagram"	"Cloud-To-Product Flywheel"	"cloud-to-product flywheel"	"selected_pending_render"	"ready_svg"	"S-0125;S-0126;S-0127;S-0129;S-0130;S-0131;S-0132;S-0133"	"assets/visual_system/chapter8-cloud-to-product-flywheel.svg"	"F08.02: Cloud-To-Product Flywheel. Shows cloud-to-product flywheel. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Prune if it duplicates A-0056 in layout."
"F08.03"	"CH08"	"ch08-fig03"	"018"	"A-0058"	"svg_diagram"	"Inference Cost Stack: What The Chat Box Hides"	"inference cost stack"	"selected_pending_render"	"ready_svg"	"S-0041;S-0126;S-0129;S-0131;S-0133"	"assets/visual_system/chapter8-inference-cost-stack.svg"	"F08.03: Inference Cost Stack: What The Chat Box Hides. Shows inference cost stack. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Keep for economics handoff."
"F08.04"	"CH08"	"ch08-fig04"	"019"	"A-0059"	"svg_diagram"	"Enterprise Claim Blocker Map"	"enterprise blocker map"	"selected_pending_render"	"ready_svg"	"S-0129;S-0131;S-0132;S-0133"	"assets/visual_system/chapter8-enterprise-claim-blocker-map.svg"	"F08.04: Enterprise Claim Blocker Map. Shows enterprise blocker map. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"May become appendix/sidebar if chapter feels over-diagrammed."
"F09.01"	"CH09"	"ch09-fig01"	"020"	"A-0086"	"svg_diagram"	"Research Became Product In Stages"	"Google conversion timeline"	"selected_pending_render"	"ready_svg"	"S-0002;S-0016;S-0108;S-0115;S-0116;S-0117;S-0118;S-0119;S-0121;S-0122;S-0123;S-0124"	"assets/visual_system/chapter9-research-to-product-conversion-timeline.svg"	"F09.01: Research Became Product In Stages. Shows Google conversion timeline. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Keep benchmark/adoption blockers visible."
"F09.02"	"CH09"	"ch09-fig02"	"021"	"A-0087"	"svg_diagram"	"Google's Gemini Question Was Surface Conversion"	"Gemini surface conversion"	"selected_pending_render"	"ready_svg"	"S-0115;S-0118;S-0121;S-0122;S-0123;S-0124"	"assets/visual_system/chapter9-tpu-search-workspace-surface-map.svg"	"F09.02: Google's Gemini Question Was Surface Conversion. Shows Gemini surface conversion. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Check overlap with A-0086."
"F09.03"	"CH09"	"ch09-fig03"	"022"	"A-0088"	"svg_diagram"	"Long Context Became A Product Grammar"	"long-context product grammar"	"selected_pending_render"	"ready_svg"	"S-0117;S-0123;S-0124"	"assets/visual_system/chapter9-gemini-long-context-lane.svg"	"F09.03: Long Context Became A Product Grammar. Shows long-context product grammar. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Verify exact source rows before final caption."
"F09.04"	"CH09"	"ch09-fig04"	"023"	"A-0089"	"svg_diagram"	"The Tempting Gemini Claims Need Different Evidence"	"Gemini claim blockers"	"selected_pending_render"	"ready_svg"	"S-0061;S-0119;S-0120"	"assets/visual_system/chapter9-benchmark-adoption-blocker-grid.svg"	"F09.04: The Tempting Gemini Claims Need Different Evidence. Shows Gemini claim blockers. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Use if prose makes tempting claims nearby."
"F09.05"	"CH09"	"ch09-fig05"	"024"	"A-0129"	"screenshot_slot"	"Gemini/Bard Product Surface"	"Gemini/Bard source surface"	"selected_pending_capture"	"private_capture_needed"	"S-0119;S-0121;S-0123;S-0124"	"assets/private_use_screenshots/i0180/A-0129_gemini_bard_product_surface.png"	"F09.05: Gemini/Bard Product Surface. Shows Gemini/Bard source surface. Source and blocker notes remain required at placement."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; block Search-share and productivity claims."
"F10.01"	"CH10"	"ch10-fig01"	"025"	"A-0030"	"svg_diagram"	"Llama Family Open-Weight Map"	"Llama family map"	"selected_pending_render"	"ready_svg"	"S-0008;S-0023;S-0024;S-0025;S-0111;S-0113"	"assets/visual_system/llama-family-open-weight-map.svg"	"F10.01: Llama Family Open-Weight Map. Shows Llama family map. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Check current license-state caveats."
"F10.02"	"CH10"	"ch10-fig02"	"026"	"A-0112"	"svg_diagram"	"Open-Weight Control Stack"	"open-weight control stack"	"selected_pending_render"	"ready_svg"	"S-0023;S-0024;S-0025;S-0111;S-0112;S-0113;S-0114"	"assets/visual_system/chapter10-open-weight-control-stack.svg"	"F10.02: Open-Weight Control Stack. Shows open-weight control stack. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Prioritize over duplicate Llama screenshots."
"F10.03"	"CH10"	"ch10-fig03"	"027"	"A-0113"	"svg_diagram"	"What Moves To The Adopter"	"adopter burden transfer"	"selected_pending_render"	"ready_svg"	"S-0023;S-0024;S-0114"	"assets/visual_system/chapter10-adopter-burden-transfer.svg"	"F10.03: What Moves To The Adopter. Shows adopter burden transfer. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Use with Chapter 10 prose, not as generic open-source claim."
"F10.04"	"CH10"	"ch10-fig04"	"028"	"A-0044"	"screenshot_slot"	"LLaMA launch surface"	"LLaMA launch surface"	"selected_pending_capture"	"private_capture_needed"	"S-0111"	"assets/private_use_screenshots/i0112/A-0044_llama_launch_page.png"	"F10.04: LLaMA launch surface. Shows LLaMA launch surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; block adoption."
"F10.05"	"CH10"	"ch10-fig05"	"029"	"A-0047"	"screenshot_slot"	"Llama GitHub surface"	"Llama repository surface"	"selected_pending_capture"	"private_capture_needed"	"S-0114"	"assets/private_use_screenshots/i0112/A-0047_llama_github_repo.png"	"F10.05: Llama GitHub surface. Shows Llama repository surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; mutable repo numbers blocked."
"F11.01"	"CH11"	"ch11-fig01"	"030"	"A-0031"	"svg_diagram"	"China Open-Model Source Map"	"China source-permission map"	"selected_pending_render"	"ready_svg"	"S-0026;S-0027;S-0028;S-0029;S-0030;S-0031"	"assets/visual_system/china-open-model-source-map.svg"	"F11.01: China Open-Model Source Map. Shows China source-permission map. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Update if later Qwen/DeepSeek sources mature."
"F11.02"	"CH11"	"ch11-fig02"	"031"	"A-0118"	"svg_diagram"	"Supported Lanes And Visible Gaps"	"supported-vs-gap board"	"selected_pending_render"	"ready_svg"	"S-0026;S-0027;S-0028;S-0029;S-0030;S-0031"	"assets/visual_system/chapter11-supported-vs-gap-source-board.svg"	"F11.02: Supported Lanes And Visible Gaps. Shows supported-vs-gap board. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Keep as chapter control surface."
"F11.03"	"CH11"	"ch11-fig03"	"032"	"A-0048"	"source_screenshot_slot"	"Qwen2 source surface"	"Qwen2 source surface"	"selected_pending_capture"	"private_capture_needed"	"S-0026"	"assets/private_use_screenshots/i0112/A-0048_qwen2_arxiv_abs.png"	"F11.03: Qwen2 source surface. Shows Qwen2 source surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; do not rank."
"F11.04"	"CH11"	"ch11-fig04"	"033"	"A-0049"	"source_screenshot_slot"	"Qwen3 source surface"	"Qwen3 source surface"	"selected_pending_capture"	"private_capture_needed"	"S-0027"	"assets/private_use_screenshots/i0112/A-0049_qwen3_arxiv_abs.png"	"F11.04: Qwen3 source surface. Shows Qwen3 source surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; Qwen 3.5/3.6 remains blocked."
"F11.05"	"CH11"	"ch11-fig05"	"034"	"A-0050"	"source_screenshot_slot"	"DeepSeek-R1 source surface"	"DeepSeek-R1 source surface"	"selected_pending_capture"	"private_capture_needed"	"S-0029"	"assets/private_use_screenshots/i0112/A-0050_deepseek_r1_arxiv_abs.png"	"F11.05: DeepSeek-R1 source surface. Shows DeepSeek-R1 source surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; benchmark extraction separate."
"F12.01"	"CH12"	"ch12-fig01"	"035"	"A-0094"	"svg_diagram"	"Constitutional AI As Behavior Grammar"	"Constitutional AI behavior grammar"	"selected_pending_render"	"ready_svg"	"S-0019"	"assets/visual_system/chapter12-constitutional-ai-behavior-loop.svg"	"F12.01: Constitutional AI As Behavior Grammar. Shows Constitutional AI behavior grammar. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Confirm Chapter 12 title/placement."
"F12.02"	"CH12"	"ch12-fig02"	"036"	"A-0095"	"svg_diagram"	"Claude Becomes A Product Family"	"Claude product family"	"selected_pending_render"	"ready_svg"	"S-0007;S-0020;S-0021;S-0048;S-0109"	"assets/visual_system/chapter12-claude-model-family-timeline.svg"	"F12.02: Claude Becomes A Product Family. Shows Claude product family. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Check overlap with A-0130."
"F12.03"	"CH12"	"ch12-fig03"	"037"	"A-0096"	"svg_diagram"	"From Assistant To Action Surface"	"assistant-to-action surface"	"selected_pending_render"	"ready_svg"	"S-0007;S-0022;S-0049;S-0050;S-0051;S-0055;S-0109"	"assets/visual_system/chapter12-computer-use-mcp-code-bridge.svg"	"F12.03: From Assistant To Action Surface. Shows assistant-to-action surface. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Pair with source screenshot only once."
"F12.04"	"CH12"	"ch12-fig04"	"038"	"A-0097"	"svg_diagram"	"The Tempting Claude Claims Are Not The Sourced Ones"	"Claude claim blockers"	"selected_pending_render"	"ready_svg"	"S-0007;S-0035;S-0037;S-0060;S-0110"	"assets/visual_system/chapter12-safety-productivity-blocker-grid.svg"	"F12.04: The Tempting Claude Claims Are Not The Sourced Ones. Shows Claude claim blockers. Source and blocker notes remain required at placement."	"caption_long;claim_language_review"	"provenance_contract_ok"	"Use near prose with safety temptation."
"F12.05"	"CH12"	"ch12-fig05"	"039"	"A-0119"	"screenshot_slot"	"Computer Use Source Surface"	"computer-use source surface"	"selected_pending_capture"	"private_capture_needed"	"S-0109"	"assets/private_use_screenshots/i0148/A-0119_claude_computer_use_announcement.png"	"F12.05: Computer Use Source Surface. Shows computer-use source surface. Source and blocker notes remain required at placement."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; block autonomy."
"F12.06"	"CH12"	"ch12-fig06"	"040"	"A-0130"	"screenshot_slot"	"Claude Product Surface"	"Claude product source surface"	"selected_pending_capture"	"private_capture_needed"	"S-0007;S-0245"	"assets/private_use_screenshots/i0180/A-0130_claude_product_surface.png"	"F12.06: Claude Product Surface. Shows Claude product source surface. Source and blocker notes remain required at placement."	"claim_language_review;rights_or_private_use_cue_required"	"provenance_contract_ok"	"Capture/hash; block safety success."
"F13.01"	"CH13"	"ch13-fig01"	"041"	"A-0014"	"svg_diagram"	"How Arena Rows Become Rank Claims"	"leaderboard methodology"	"selected_pending_render"	"ready_svg"	"S-0036;S-0056;S-0057;S-0080"	"assets/visual_system/leaderboard-methodology-flow.svg"	"F13.01: How Arena Rows Become Rank Claims. Shows leaderboard methodology. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Keep before A-0013 in reading order."
"F13.02"	"CH13"	"ch13-fig02"	"042"	"A-0013"	"svg_chart"	"LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19."	"historical leaderboard slice"	"selected_pending_render"	"ready_svg"	"S-0080"	"assets/visual_system/lmarena-may19-text-style-control-top12.svg"	"F13.02: LMArena/Arena historical text_style_control leaderboard, latest split, overall category, top twelve rows published 2026-05-19.. Shows historical leaderboard slice. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"No live rank; snapshot caption required."
"F13.03"	"CH13"	"ch13-fig03"	"043"	"A-0019"	"svg_diagram"	"Price-Quality Exclusion Map"	"price-quality exclusion map"	"selected_pending_render"	"ready_svg"	"C-0046;data/price_quality_join_audit_i0036.tsv"	"assets/visual_system/price-quality-exclusion-map.svg"	"F13.03: Price-Quality Exclusion Map. Shows price-quality exclusion map. Source and blocker notes remain required at placement."	"caption_long"	"provenance_contract_ok"	"Keep if economics chapter does not repeat it."
"F14.01"	"CH14"	"ch14-fig01"	"044"	"A-0071"	"svg_diagram"	"CUDA Stack: The Moat Under The Moat"	"CUDA stack"	"selected_pending_render"	"ready_svg"	"S-0138;S-0141;S-0142"	"assets/visual_system/chapter14-cuda-stack.svg"	"F14.01: CUDA Stack: The Moat Under The Moat. Shows CUDA stack. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Do not broaden into all semiconductor history."
"F14.02"	"CH14"	"ch14-fig02"	"045"	"A-0072"	"svg_diagram"	"GPU Memory and Interconnect: The Traffic Pattern"	"GPU memory/interconnect"	"selected_pending_render"	"ready_svg"	"S-0039;S-0139;S-0140;S-0143"	"assets/visual_system/chapter14-gpu-memory-interconnect.svg"	"F14.02: GPU Memory and Interconnect: The Traffic Pattern. Shows GPU memory/interconnect. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Verify legibility at book trim."
"F14.03"	"CH14"	"ch14-fig03"	"046"	"A-0073"	"svg_diagram"	"Training vs Inference: Two Capacity Problems"	"training-vs-inference capacity"	"selected_pending_render"	"ready_svg"	"S-0139;S-0142;S-0143"	"assets/visual_system/chapter14-training-vs-inference-capacity.svg"	"F14.03: Training vs Inference: Two Capacity Problems. Shows training-vs-inference capacity. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Keep if not redundant with GTC slides."
"F14.04"	"CH14"	"ch14-fig04"	"047"	"A-0133"	"photo_candidate_slot"	"Lithography/ASML proxy physical texture."	"lithography/ASML proxy"	"selected_pending_rights_review"	"rights_review_needed"	"S-0273;S-0274"	"assets/photo_candidates/i0181/A-0133_lithography_asml_proxy_candidate.txt"	"F14.04: Lithography/ASML proxy physical texture.. Shows lithography/ASML proxy. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Find stronger ASML-machine photo or caption as proxy."
"F14.05"	"CH14"	"ch14-fig05"	"048"	"A-0134"	"photo_candidate_slot"	"Cleanroom manufacturing environment."	"cleanroom photo"	"selected_pending_rights_review"	"rights_review_needed"	"S-0275"	"assets/photo_candidates/i0181/A-0134_fab_cleanroom_candidate.txt"	"F14.05: Cleanroom manufacturing environment.. Shows cleanroom photo. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Verify exact license and attribution."
"F14.06"	"CH14"	"ch14-fig06"	"049"	"A-0136"	"photo_candidate_slot"	"Server racks as compute infrastructure."	"server rack photo"	"selected_pending_rights_review"	"rights_review_needed"	"S-0277"	"assets/photo_candidates/i0181/A-0136_gpu_server_rack_candidate.txt"	"F14.06: Server racks as compute infrastructure.. Shows server rack photo. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Verify license; block named workload."
"F15.01"	"CH15"	"ch15-fig01"	"050"	"A-0012"	"svg_diagram"	"AI Factory Stack"	"AI factory stack"	"selected_pending_render"	"ready_svg"	"local:data/ai_factory_stack_i0027.tsv"	"assets/visual_system/ai-factory-stack.svg"	"F15.01: AI Factory Stack. Shows AI factory stack. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"provenance_contract_ok"	"Anchor before GTC source surfaces."
"F15.02"	"CH15"	"ch15-fig02"	"051"	"A-0024"	"svg_claim_card"	"GTC Page 29: AI Factory Thesis"	"GTC AI-factory thesis card"	"selected_pending_render"	"ready_svg"	"S-0001"	"assets/visual_system/gtc-page29-ai-factory-thesis-card.svg"	"F15.02: GTC Page 29: AI Factory Thesis. Shows GTC AI-factory thesis card. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Choose card or slide render, not both if crowded."
"F15.03"	"CH15"	"ch15-fig03"	"052"	"A-0027"	"svg_claim_card"	"GTC Page 49: System Comparison"	"GTC system comparison card"	"selected_pending_render"	"ready_svg"	"S-0001;S-0010"	"assets/visual_system/gtc-page49-system-comparison-card.svg"	"F15.03: GTC Page 49: System Comparison. Shows GTC system comparison card. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Keep caption narrow."
"F15.04"	"CH15"	"ch15-fig04"	"053"	"A-0028"	"svg_claim_card"	"GTC Page 50: Roadmap Cadence"	"GTC roadmap cadence card"	"selected_pending_render"	"ready_svg"	"S-0001;S-0065;S-0067"	"assets/visual_system/gtc-page50-roadmap-card.svg"	"F15.04: GTC Page 50: Roadmap Cadence. Shows GTC roadmap cadence card. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Block delivery/performance claims."
"F15.05"	"CH15"	"ch15-fig05"	"054"	"A-0029"	"svg_claim_card"	"GTC Page 51: DSX Platform Frame"	"GTC DSX platform card"	"selected_pending_render"	"ready_svg"	"S-0001;S-0066"	"assets/visual_system/gtc-page51-dsx-platform-card.svg"	"F15.05: GTC Page 51: DSX Platform Frame. Shows GTC DSX platform card. Source and blocker notes remain required at placement."	"claim_language_review"	"provenance_contract_ok"	"Pair with Chapter 16 handoff."
"F15.06"	"CH15"	"ch15-fig06"	"055"	"A-0004"	"extracted_slide_render"	"NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue."	"GTC page 29 slide render"	"selected_pending_source_surface_review"	"local_ignored_hash_available"	"S-0001;local:GTC-2026-Keynote.pdf page 29"	"assets/gtc_2026/slides/page-029-ai-factories.png"	"F15.06: NVIDIA frames the AI factory as industrial infrastructure: inference is the workload, tokens are the commodity, and compute is revenue.. Shows GTC page 29 slide render. Source and blocker notes remain required at placement."	"claim_language_review;rights_or_private_use_cue_required"	"source_id_missing_for_non_codex;selection_rights_mismatch"	"Choose against A-0024; avoid duplication."
"F15.07"	"CH15"	"ch15-fig07"	"056"	"A-0106"	"source_screenshot_slot"	"NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric."	"page 29 hashed source surface"	"selected_pending_source_surface_review"	"local_ignored_hash_available"	"S-0001"	"assets/gtc_2026/slides/page-029-ai-factories.png"	"F15.07: NVIDIA's page 29 AI-factory thesis as attributed stagecraft/source rhetoric.. Shows page 29 hashed source surface. Source and blocker notes remain required at placement."	"rights_or_private_use_cue_required"	"selection_rights_mismatch"	"Use as private evidence handle or final source surface after rights review."
"F16.01"	"CH16"	"ch16-fig01"	"057"	"A-0015"	"svg_diagram"	"Power To Token Flow"	"power-to-token flow"	"selected_pending_render"	"ready_svg"	"S-0001;S-0039;S-0040;S-0066;S-0083;S-0084;S-0085;S-0086;S-0087;S-0088"	"assets/visual_system/power-to-token-flow.svg"	"F16.01: Power To Token Flow. Shows power-to-token flow. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Keep as physical-internet spine."
"F16.02"	"CH16"	"ch16-fig02"	"058"	"A-0020"	"svg_diagram"	"Data-Centre Load Scenarios"	"load scenarios"	"selected_pending_render"	"ready_svg"	"S-0083;S-0084;S-0085"	"assets/visual_system/chapter16-data-center-load-scenarios.svg"	"F16.02: Data-Centre Load Scenarios. Shows load scenarios. Source and blocker notes remain required at placement."	"caption_contract_ok"	"provenance_contract_ok"	"Ensure forecasts stay labeled."
