pass_id	inventory_id	visual_family	visual_category	asset_id	title	pdf_page_i0302	pdf_page_i0310	page_shift_i0310_vs_i0302	mapping_method_i0302	mapping_method_i0310	mapping_evidence_i0310	status
I-0310	FI-0029	expanded_300_exhibit	paper_report_excerpt	A-0285-008	Figure 10.05 - Llama 2 Report Page As Open-Weight Infrastructure	156	233	77	figure_or_section_id	figure_or_section_id	F10.05	mapped
I-0310	FI-0030	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-001	Figure 11.01 - Qwen3 Hugging Face Model Card	160	258	98	figure_or_section_id	figure_or_section_id	F11.01	mapped
I-0310	FI-0031	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-002	Figure 11.02 - DeepSeek-V3 Hugging Face Model Card	162	260	98	figure_or_section_id	figure_or_section_id	F11.02	mapped
I-0310	FI-0032	expanded_300_exhibit	paper_report_excerpt	A-0285-010	Figure 11.03 - Qwen2 Technical Report Page	166	264	98	figure_or_section_id	figure_or_section_id	F11.03	mapped
I-0310	FI-0033	expanded_300_exhibit	pdf_deck_report_page	A-0288-017	Figure 11.04 - Qwen3 Technical Report Page	169	267	98	figure_or_section_id	figure_or_section_id	F11.04	mapped
I-0310	FI-0034	expanded_300_exhibit	paper_report_excerpt	A-0285-011	Figure 11.05 - DeepSeek-V3 Technical Report Page	172	270	98	figure_or_section_id	figure_or_section_id	F11.05	mapped
I-0310	FI-0035	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0094	Figure 12.1 - Constitutional AI As Behavior Grammar. Written principles, critique/revision, AI feedback, and evaluation loops can shape assistant behavior, but they do not prove solved alignment or moral guarantees.	179	288	109	figure_or_section_id	figure_or_section_id	F12.01	mapped
I-0310	FI-0036	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0095	Figure 12.2 - Claude Becomes A Product Family. Haiku, Sonnet, Opus, computer use, Claude Code, and Claude 4 mark release surfaces and product positioning, not permanent best-model status.	181	290	109	figure_or_section_id	figure_or_section_id	F12.02	mapped
I-0310	FI-0037	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0096	Figure 12.3 - From Assistant To Action Surface. Anthropic's computer-use, MCP, and Claude Code materials show a move toward tool-connected assistants, with permissions and review as part of the system.	186	295	109	figure_or_section_id	figure_or_section_id	F12.03	mapped
I-0310	FI-0038	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0097	Figure 12.4 - The Tempting Claude Claims Are Not The Sourced Ones. Vendor launch pages and docs can show product direction, but outcome claims need benchmark, pricing, adoption, productivity, and safety evidence at the same scope.	191	300	109	figure_or_section_id	figure_or_section_id	F12.04	mapped
I-0310	FI-0039	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-017	Computer use was a product announcement	188	297	109	figure_or_section_id	figure_or_section_id	F12.05	mapped
I-0310	FI-0040	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-018	Claude is a model-family product surface	189	298	109	figure_or_section_id	figure_or_section_id	F12.06	mapped
I-0310	FI-0041	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0286-009	Figure 13.01 - LMArena Leaderboard Surface	204	320	116	figure_or_section_id	figure_or_section_id	F13.01	mapped
I-0310	FI-0042	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T005	Figure 13.02 - May 2026 Cutoff Model-Landscape Table	209	325	116	figure_or_section_id	figure_or_section_id	F13.02	mapped
I-0310	FI-0043	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T002	Figure 13.03 - 2024 Model-Landscape Table	214	329	115	figure_or_section_id	figure_or_section_id	F13.03	mapped
I-0310	FI-0044	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0071	Figure 14.1 - CUDA Stack: The Moat Under The Moat. Frameworks, libraries, CUDA programming model, runtime, accelerators, and cloud operations form one stack.	219	348	129	figure_or_section_id	figure_or_section_id	F14.01	mapped
I-0310	FI-0045	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0072	Figure 14.2 - GPU Memory and Interconnect: The Traffic Pattern. Host orchestration, HBM, GPU shards, and interconnect fabric make LLM systems a communication problem.	221	350	129	figure_or_section_id	figure_or_section_id	F14.02	mapped
I-0310	FI-0046	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0073	Figure 14.3 - Training vs Inference: Two Capacity Problems. Training runs and inference services stress the same GPU stack in different ways.	223	352	129	figure_or_section_id	figure_or_section_id	F14.03	mapped
I-0310	FI-0047	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-001	Lithography Texture Becomes Packaging Logic	227	356	129	figure_or_section_id	figure_or_section_id	F14.04	mapped
I-0310	FI-0048	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-002	Cleanrooms Are Too Weak Without Rights	230	358	128	figure_or_section_id	figure_or_section_id	F14.05	mapped
I-0310	FI-0049	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-002	Figure 14.06 - NVIDIA GB200 NVL72 Hardware Surface	233	361	128	figure_or_section_id	figure_or_section_id	F14.06	mapped
I-0310	FI-0050	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-001	Figure 15.01 - NVIDIA DGX Cloud Product Surface	236	388	152	figure_or_section_id	figure_or_section_id	F15.01	mapped
I-0310	FI-0051	expanded_300_exhibit	person_image	A-0284-051	Figure 15.02 - Jensen Huang Public Profile Texture	239	391	152	figure_or_section_id	figure_or_section_id	F15.02	mapped
I-0310	FI-0052	expanded_300_exhibit	pdf_deck_report_page	A-0285-019	Figure 15.03 - GTC 2026 Rack-Scale Comparison Page	242	394	152	figure_or_section_id	figure_or_section_id	F15.03	mapped
I-0310	FI-0053	expanded_300_exhibit	pdf_deck_report_page	A-0285-018	Figure 15.04 - GTC 2026 Hardware Roadmap Page	244	396	152	figure_or_section_id	figure_or_section_id	F15.04	mapped
I-0310	FI-0054	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0029	Figure 15.x - GTC Page 51: DSX Platform Frame. Lightweight card labeling DSX as NVIDIA reference-design and AI factory platform framing.	247	399	152	figure_or_section_id	figure_or_section_id	F15.05	mapped
I-0310	FI-0055	expanded_300_exhibit	pdf_deck_report_page	A-0285-017	Figure 15.06 - GTC 2026 AI Factory Framing Page	249	401	152	figure_or_section_id	figure_or_section_id	F15.06	mapped
I-0310	FI-0056	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-022	Inference compute is a roadmap argument	252	404	152	figure_or_section_id	figure_or_section_id	F15.07	mapped
I-0310	FI-0057	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0015	Figure 16.1 - Power To Token Flow. Sourced Chapter 16 flow diagram tracing electricity demand, grid interconnection, facility cooling, accelerators, inference scheduling, and token output with caveat bands.	258	436	178	figure_or_section_id	figure_or_section_id	F16.01	mapped
I-0310	FI-0058	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0020	Figure 16.2 - Data-Centre Load Scenarios. IEA, LBNL, and DOE rows show measured/current estimates separately from forecast and scenario ranges for global and U.S. data-centre electricity demand.	261	439	178	figure_or_section_id	figure_or_section_id	F16.02	mapped
I-0310	FI-0059	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0021	Figure 16.3 - The Interconnection Queue. EPRI and DOE-SEAB evidence can show facility-scale requests and one-to-three-year grid lead-time pressure, but not a complete project-level delay database.	263	441	178	figure_or_section_id	figure_or_section_id	F16.03	mapped
I-0310	FI-0060	expanded_300_exhibit	pdf_deck_report_page	A-0288-014	Figure 16.04 - GTC 2026 Data-Center Power/Cooling Page	266	444	178	figure_or_section_id	figure_or_section_id	F16.04	mapped
I-0310	FI-0061	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0023	Figure 16.5 - Clean Procurement Is Not Physical Supply. IEA supply-mix projection language and DOE-SEAB flexibility categories support a distinction between corporate contracts/certificates and the electricity physically serving a site at a given hour.	268	446	178	figure_or_section_id	figure_or_section_id	F16.05	mapped
I-0310	FI-0062	expanded_300_exhibit	real_photo_screenshot_source_image	A-0287-009	Figure 16.06 - Equinix AI Data-Center Surface	271	449	178	figure_or_section_id	figure_or_section_id	F16.06	mapped
I-0310	FI-0063	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-004	Interconnection Is A Queue, Not Atmosphere	273	451	178	figure_or_section_id	figure_or_section_id	F16.07	mapped
I-0310	FI-0064	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-005	Fast Power Is A Constraint Stack	277	454	177	figure_or_section_id	figure_or_section_id	F16.08	mapped
I-0310	FI-0065	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0261-006	Nuclear Texture Needs Evidence, Not Steam	279	456	177	figure_or_section_id	figure_or_section_id	F16.09	mapped
I-0310	FI-0066	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0064	Figure 17.1 - Tokenization Ladder. Human text becomes subword pieces, token IDs, context budget, and next-token prediction target.	281	467	186	figure_or_section_id	figure_or_section_id	F17.01	mapped
I-0310	FI-0067	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0065	Figure 17.2 - Web Corpus Filter Funnel. Common Crawl style data becomes a training-mixture candidate through filtering, deduplication, and documentation decisions.	284	470	186	figure_or_section_id	figure_or_section_id	F17.02	mapped
I-0310	FI-0068	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0066	Figure 17.3 - Data Mixture Control Board. Schematic corpus lanes show data mixtures as recipes with open-corpus rows and closed-corpus blockers.	289	475	186	figure_or_section_id	figure_or_section_id	F17.03	mapped
I-0310	FI-0069	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0067	Figure 17.4 - Memorization and Contamination Blocker Map. Duplication, benchmark contamination, memorization, extraction, and blocker families are separated.	292	478	186	figure_or_section_id	figure_or_section_id	F17.04	mapped
I-0310	FI-0070	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0060	Figure 18.1 - RAG Evidence Conveyor. Retrieval, ranking, context packing, generation, citation, and audit gates with failure labels.	296	492	196	figure_or_section_id	figure_or_section_id	F18.01	mapped
I-0310	FI-0071	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0061	Figure 18.2 - Function-Call Boundary. The model proposes typed calls; application validation, permissions, execution, and logging decide what happens.	298	494	196	figure_or_section_id	figure_or_section_id	F18.02	mapped
I-0310	FI-0072	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0062	Figure 18.3 - Agent Loop as Harness. Plan, act, observe, gate, context, and review form a bounded system loop.	302	498	196	figure_or_section_id	figure_or_section_id	F18.03	mapped
I-0310	FI-0073	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0063	Figure 18.4 - Prompt Injection Boundary. Untrusted retrieved content tries to cross from data into instruction before a tool action.	304	500	196	figure_or_section_id	figure_or_section_id	F18.04	mapped
I-0310	FI-0074	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0260-003	Release notes are product archaeology	307	503	196	figure_or_section_id	figure_or_section_id	F18.05	mapped
I-0310	FI-0075	expanded_300_exhibit	paper_report_excerpt	A-0288-006	Figure 19.01 - Code Llama Paper Page As Code-Model Lineage	312	514	202	figure_or_section_id	figure_or_section_id	F19.01	mapped
I-0310	FI-0076	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-007	Figure 19.02 - LiveCodeBench Leaderboard Surface	315	517	202	figure_or_section_id	figure_or_section_id	F19.02	mapped
I-0310	FI-0077	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T003	Figure 19.03 - 2025 Model-Landscape Table	318	520	202	figure_or_section_id	figure_or_section_id	F19.03	mapped
I-0310	FI-0078	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0286-008	Figure 19.04 - SWE-bench GitHub Repository Surface	320	522	202	figure_or_section_id	figure_or_section_id	F19.04	mapped
I-0310	FI-0079	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T004	Figure 19.05 - 2021 Model-Landscape Table	324	526	202	figure_or_section_id	figure_or_section_id	F19.05	mapped
I-0310	FI-0080	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-010	Figure 20.01 - OpenAI Evals Repository Surface	329	541	212	figure_or_section_id	figure_or_section_id	F20.01	mapped
I-0310	FI-0081	expanded_300_exhibit	paper_report_excerpt	A-0285-013	Figure 20.02 - SWE-bench Paper Page As Harness Evidence	331	543	212	figure_or_section_id	figure_or_section_id	F20.02	mapped
I-0310	FI-0082	expanded_300_exhibit	paper_report_excerpt	A-0285-014	Figure 20.03 - Toolformer Paper Page As Tool-Use Lineage	333	545	212	figure_or_section_id	figure_or_section_id	F20.03	mapped
I-0310	FI-0083	expanded_300_exhibit	model_card_hf_benchmark_repo_docs_surface	A-0289-008	Figure 20.04 - Berkeley Function Calling Leaderboard Surface	338	550	212	figure_or_section_id	figure_or_section_id	F20.04	mapped
I-0310	FI-0084	expanded_300_exhibit	real_photo_screenshot_source_image	A-0284-014	Figure 20.05 - GitHub Copilot Product Surface	341	553	212	figure_or_section_id	figure_or_section_id	F20.05	mapped
I-0310	FI-0085	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0289-T004	Figure 21.01 - 2026 Model-Landscape Table	346	582	236	figure_or_section_id	figure_or_section_id	F21.01	mapped
I-0310	FI-0086	expanded_300_exhibit	paper_report_excerpt	A-0288-005	Figure 21.02 - Chain-of-Thought Paper Page	347	583	236	figure_or_section_id	figure_or_section_id	F21.02	mapped
I-0310	FI-0087	expanded_300_exhibit	paper_report_excerpt	A-0285-012	Figure 21.03 - DeepSeek-R1 Report Page As Reasoning Surface	348	584	236	figure_or_section_id	figure_or_section_id	F21.03	mapped
I-0310	FI-0088	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T005	Figure 21.04 - 2022 Model-Landscape Table	349	585	236	figure_or_section_id	figure_or_section_id	F21.04	mapped
I-0310	FI-0089	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T001	Figure 22.01 - 2018 Model-Landscape Table	361	603	242	figure_or_section_id	figure_or_section_id	F22.01	mapped
I-0310	FI-0090	expanded_300_exhibit	logo	A-0287-026	Figure 22.02 - OpenRouter Logo As Routing-Ecosystem Handle	364	606	242	figure_or_section_id	figure_or_section_id	F22.02	mapped
I-0310	FI-0091	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T002	Figure 22.03 - 2019 Model-Landscape Table	367	609	242	figure_or_section_id	figure_or_section_id	F22.03	mapped
I-0310	FI-0092	expanded_300_exhibit	curated_chart_data_svg_visualization;benchmark_table	A-0286-T003	Figure 22.04 - 2020 Model-Landscape Table	370	612	242	figure_or_section_id	figure_or_section_id	F22.04	mapped
I-0310	FI-0093	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0074	Figure 23.1 - Failure Modes Are Different Claims. Hallucination/truth, sycophancy, adversarial, proxy, evidence, and measurement failures are separate evidence lanes.	375	621	246	figure_or_section_id	figure_or_section_id	F23.01	mapped
I-0310	FI-0094	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0075	Figure 23.2 - Trust Is A Stack. Evidence selection, evidence use, authority, evaluation, permission/action, and audit memory form layered controls.	376	622	246	figure_or_section_id	figure_or_section_id	F23.02	mapped
I-0310	FI-0095	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0076	Figure 23.3 - Every Evaluation Casts A Shadow. TruthfulQA, Arena preference, SWE-bench, and LiveCodeBench each illuminate a scoped slice and leave blind spots.	377	623	246	figure_or_section_id	figure_or_section_id	F23.03	mapped
I-0310	FI-0096	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0077	Figure 23.4 - From Answer To Auditable Claim. Question, retrieval, generation, audit, blocker, record, and publish steps separate fluent output from scoped evidence.	378	624	246	figure_or_section_id	figure_or_section_id	F23.04	mapped
I-0310	FI-0097	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0108	Figure 24.1 - From Next Token To Computing Stack. Next-token prediction is surrounded by data, architecture, training, products, tools, infrastructure, economics, and trust.	388	639	251	figure_or_section_id	figure_or_section_id	F24.01	mapped
I-0310	FI-0098	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0109	Figure 24.2 - Five Conversion Gates. Prediction-to-interface, interface-to-product, model-to-platform, compute-to-infrastructure, and fluency-to-trust are shown as overlapping pressures.	389	640	251	figure_or_section_id	figure_or_section_id	F24.02	mapped
I-0310	FI-0099	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0110	Figure 24.3 - Unsettled By The Cutoff. Tempting end-of-book claims are paired with the same-scope evidence still required.	390	641	251	figure_or_section_id	figure_or_section_id	F24.03	mapped
I-0310	FI-0100	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0111	Figure 24.4 - Human Judgment Loop. User intent, model tokens, tools, evidence trace, audit, blockers, and human decision form the closing loop.	391	642	251	figure_or_section_id	figure_or_section_id	F24.04	mapped
I-0310	FI-0101	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0001	Generated visual grammar prototype	402	482	80	figure_or_section_id	figure_or_section_id	VX001	mapped
I-0310	FI-0102	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0002	Generated visual grammar prototype	403	483	80	figure_or_section_id	figure_or_section_id	VX002	mapped
I-0310	FI-0103	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0003	Generated visual grammar prototype	404	80	-324	figure_or_section_id	figure_or_section_id	VX003	mapped
I-0310	FI-0104	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0010	Generated GPT lineage visual table	405	104	-301	figure_or_section_id	figure_or_section_id	VX004	mapped
I-0310	FI-0105	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0011	Generated RLHF and alignment pipeline visual	406	125	-281	figure_or_section_id	figure_or_section_id	VX005	mapped
I-0310	FI-0106	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0012	Generated AI factory stack visual	407	408	1	figure_or_section_id	figure_or_section_id	VX006	mapped
I-0310	FI-0107	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0013	Generated LMArena historical leaderboard chart	408	334	-74	figure_or_section_id	figure_or_section_id	VX007	mapped
I-0310	FI-0108	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0014	Generated Arena leaderboard methodology flow	409	335	-74	figure_or_section_id	figure_or_section_id	VX008	mapped
I-0310	FI-0109	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0017	Generated Chapter 16 N16-1 note layout mock	410	458	48	figure_or_section_id	figure_or_section_id	VX009	mapped
I-0310	FI-0110	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0018	Generated Chapter 16 parent inline-cue render	411	459	48	figure_or_section_id	figure_or_section_id	VX010	mapped
I-0310	FI-0111	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0019	Generated price-quality exclusion map	412	336	-76	figure_or_section_id	figure_or_section_id	VX011	mapped
I-0310	FI-0112	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0022	Generated Chapter 16 cooling and rack-density note	413	460	47	figure_or_section_id	figure_or_section_id	VX012	mapped
I-0310	FI-0113	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0024	Generated GTC page 29 AI factory thesis card	414	409	-5	figure_or_section_id	figure_or_section_id	VX013	mapped
I-0310	FI-0114	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0025	Generated GTC page 45 inference compute roadmap card	415	410	-5	figure_or_section_id	figure_or_section_id	VX014	mapped
I-0310	FI-0115	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0026	Generated GTC page 46 Vera Rubin partner card	416	411	-5	figure_or_section_id	figure_or_section_id	VX015	mapped
I-0310	FI-0116	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0027	Generated GTC page 49 system comparison card	417	412	-5	figure_or_section_id	figure_or_section_id	VX016	mapped
I-0310	FI-0117	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0028	Generated GTC page 50 roadmap card	418	413	-5	figure_or_section_id	figure_or_section_id	VX017	mapped
I-0310	FI-0118	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0030	Generated Llama family open-weight map	419	237	-182	figure_or_section_id	figure_or_section_id	VX018	mapped
I-0310	FI-0119	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0031	Generated China open-model source-permission map	420	275	-145	figure_or_section_id	figure_or_section_id	VX019	mapped
I-0310	FI-0120	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0032	Generated Chapter 20 coding-agent harness loop	421	557	136	figure_or_section_id	figure_or_section_id	VX020	mapped
I-0310	FI-0121	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0033	Generated Chapter 20 coding benchmark caveat matrix	422	558	136	figure_or_section_id	figure_or_section_id	VX021	mapped
I-0310	FI-0122	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0034	Generated Chapter 20 tool-call lifecycle	423	559	136	figure_or_section_id	figure_or_section_id	VX022	mapped
I-0310	FI-0123	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0035	Generated Chapter 20 productivity claim blocker map	424	560	136	figure_or_section_id	figure_or_section_id	VX023	mapped
I-0310	FI-0124	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0057	Generated Chapter 8 cloud-to-product flywheel	425	184	-241	figure_or_section_id	figure_or_section_id	VX024	mapped
I-0310	FI-0125	expanded_300_exhibit	curated_chart_data_svg_visualization	A-0068	Generated Chapter 1 ChatGPT shock chronology	426	18	-408	figure_or_section_id	figure_or_section_id	VX025	mapped
