"qa_id"	"chapter"	"asset_id"	"asset_type"	"file_path"	"width"	"height"	"min_font_px"	"tiny_font_count_under_14"	"very_tiny_count_under_12"	"thin_stroke_count_under_1_5"	"source_label_gate"	"caveat_label_gate"	"axis_annotation_gate"	"accessibility_metadata"	"color_count"	"text_color_count"	"min_text_contrast_proxy"	"issue_count"	"issue_mix"	"legibility_gate"	"next_action"
"I0219-LEG-015"	"9"	"A-0087"	"svg_diagram"	"assets/visual_system/chapter9-tpu-search-workspace-surface-map.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"25"	"9"	"5,93"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-016"	"9"	"A-0088"	"svg_diagram"	"assets/visual_system/chapter9-gemini-long-context-lane.svg"	"1200"	"760"	"15"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"16"	"6"	"5,95"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-017"	"9"	"A-0089"	"svg_diagram"	"assets/visual_system/chapter9-benchmark-adoption-blocker-grid.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"missing_or_implicit"	"yes"	"not_applicable"	"ok"	"15"	"5"	"5,95"	"2"	"print_scale_small_text;source_label_missing_or_implicit"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-018"	"10"	"A-0030"	"svg_diagram"	"assets/visual_system/llama-family-open-weight-map.svg"	"1200"	"760"	"12"	"2"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"1"	"18,1"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-019"	"10"	"A-0112"	"svg_diagram"	"assets/visual_system/chapter10-open-weight-control-stack.svg"	"1200"	"780"	"14"	"0"	"0"	"1"	"yes"	"yes"	"not_applicable"	"ok"	"6"	"3"	"1,27"	"2"	"thin_stroke_under_1_5px;text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-020"	"10"	"A-0113"	"svg_diagram"	"assets/visual_system/chapter10-adopter-burden-transfer.svg"	"1200"	"780"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"8"	"4"	"1,27"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-021"	"11"	"A-0031"	"svg_diagram"	"assets/visual_system/china-open-model-source-map.svg"	"1200"	"760"	"12"	"2"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"14"	"1"	"18,26"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-022"	"11"	"A-0118"	"svg_diagram"	"assets/visual_system/chapter11-supported-vs-gap-source-board.svg"	"1200"	"760"	"12"	"2"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"14"	"8"	"1,17"	"2"	"print_scale_small_text;text_contrast_proxy_review"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-023"	"12"	"A-0094"	"svg_diagram"	"assets/visual_system/chapter12-constitutional-ai-behavior-loop.svg"	"1200"	"720"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"12"	"4"	"7,13"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-024"	"12"	"A-0095"	"svg_diagram"	"assets/visual_system/chapter12-claude-model-family-timeline.svg"	"1200"	"720"	"12"	"2"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"10"	"2"	"6,42"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-025"	"12"	"A-0096"	"svg_diagram"	"assets/visual_system/chapter12-computer-use-mcp-code-bridge.svg"	"1200"	"720"	"14"	"0"	"0"	"0"	"missing_or_implicit"	"yes"	"not_applicable"	"ok"	"11"	"2"	"6,41"	"1"	"source_label_missing_or_implicit"	"annotation_review"	"Add visible source/caveat/axis annotation or caption-proximity proof before final use."
"I0219-LEG-026"	"12"	"A-0097"	"svg_diagram"	"assets/visual_system/chapter12-safety-productivity-blocker-grid.svg"	"1200"	"720"	"15"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"8"	"4"	"6,4"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-027"	"13"	"A-0014"	"svg_diagram"	"assets/visual_system/leaderboard-methodology-flow.svg"	"1400"	"860"	"18"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"9"	"3"	"5,93"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-028"	"13"	"A-0013"	"svg_chart"	"assets/visual_system/lmarena-may19-text-style-control-top12.svg"	"1400"	"900"	"20"	"0"	"0"	"0"	"yes"	"yes"	"yes"	"ok"	"8"	"2"	"6,29"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-029"	"13"	"A-0019"	"svg_diagram"	"assets/visual_system/price-quality-exclusion-map.svg"	"1200"	"760"	"18"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"12"	"2"	"5,34"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-030"	"14"	"A-0071"	"svg_diagram"	"assets/visual_system/chapter14-cuda-stack.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-031"	"14"	"A-0072"	"svg_diagram"	"assets/visual_system/chapter14-gpu-memory-interconnect.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-032"	"14"	"A-0073"	"svg_diagram"	"assets/visual_system/chapter14-training-vs-inference-capacity.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-033"	"15"	"A-0012"	"svg_diagram"	"assets/visual_system/ai-factory-stack.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"30"	"11"	"4,59"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-034"	"15"	"A-0024"	"svg_claim_card"	"assets/visual_system/gtc-page29-ai-factory-thesis-card.svg"	"1200"	"720"	"17"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"8"	"2"	"5,66"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-035"	"15"	"A-0027"	"svg_claim_card"	"assets/visual_system/gtc-page49-system-comparison-card.svg"	"1200"	"720"	"17"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"8"	"2"	"5,66"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-036"	"15"	"A-0028"	"svg_claim_card"	"assets/visual_system/gtc-page50-roadmap-card.svg"	"1200"	"720"	"17"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"8"	"2"	"5,66"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-037"	"15"	"A-0029"	"svg_claim_card"	"assets/visual_system/gtc-page51-dsx-platform-card.svg"	"1200"	"720"	"17"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"8"	"2"	"5,66"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-038"	"16"	"A-0015"	"svg_diagram"	"assets/visual_system/power-to-token-flow.svg"	"1280"	"760"	"11,5"	"4"	"1"	"1"	"yes"	"yes"	"not_applicable"	"ok"	"46"	"16"	"5,04"	"3"	"print_scale_small_text;very_tiny_text_under_12px;thin_stroke_under_1_5px"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-039"	"16"	"A-0020"	"svg_diagram"	"assets/visual_system/chapter16-data-center-load-scenarios.svg"	"1200"	"760"	"17"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"10"	"2"	"5,66"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-040"	"16"	"A-0021"	"svg_diagram"	"assets/visual_system/chapter16-interconnection-queue-schematic.svg"	"1200"	"760"	"17"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"2"	"5,66"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-041"	"16"	"A-0022"	"svg_diagram"	"assets/visual_system/chapter16-cooling-rack-density-note.svg"	"1200"	"760"	"17"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"2"	"5,66"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-042"	"16"	"A-0023"	"svg_diagram"	"assets/visual_system/chapter16-clean-power-physical-supply.svg"	"1200"	"760"	"17"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"12"	"2"	"5,15"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-043"	"17"	"A-0064"	"svg_diagram"	"assets/visual_system/chapter17-tokenization-ladder.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-044"	"17"	"A-0065"	"svg_diagram"	"assets/visual_system/chapter17-web-corpus-filter-funnel.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-045"	"17"	"A-0066"	"svg_diagram"	"assets/visual_system/chapter17-data-mixture-control-board.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-046"	"17"	"A-0067"	"svg_diagram"	"assets/visual_system/chapter17-memorization-contamination-blocker-map.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-047"	"18"	"A-0060"	"svg_diagram"	"assets/visual_system/chapter18-rag-evidence-conveyor.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-048"	"18"	"A-0061"	"svg_diagram"	"assets/visual_system/chapter18-function-call-boundary.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-049"	"18"	"A-0062"	"svg_diagram"	"assets/visual_system/chapter18-agent-loop-harness.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"missing_or_implicit"	"not_applicable"	"ok"	"13"	"2"	"5,43"	"2"	"print_scale_small_text;caveat_label_missing_or_implicit"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-050"	"18"	"A-0063"	"svg_diagram"	"assets/visual_system/chapter18-prompt-injection-boundary.svg"	"1200"	"760"	"12"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"2"	"5,43"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-051"	"19"	"A-0090"	"svg_diagram"	"assets/visual_system/chapter19-code-as-language-ladder.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"19"	"7"	"5,93"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-052"	"19"	"A-0091"	"svg_diagram"	"assets/visual_system/chapter19-editor-to-repository-workflow.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"21"	"7"	"5,93"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-053"	"19"	"A-0092"	"svg_diagram"	"assets/visual_system/chapter19-benchmark-ladder.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"19"	"7"	"5,93"	"1"	"print_scale_small_text"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-054"	"19"	"A-0093"	"svg_diagram"	"assets/visual_system/chapter19-repository-as-prompt.svg"	"1200"	"760"	"15"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"17"	"6"	"5,93"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-055"	"20"	"A-0032"	"svg_diagram"	"assets/visual_system/chapter20-coding-agent-harness-loop.svg"	"1200"	"760"	"15"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,34"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-056"	"20"	"A-0033"	"svg_diagram"	"assets/visual_system/chapter20-benchmark-caveat-matrix.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"11"	"3"	"5,34"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-057"	"20"	"A-0034"	"svg_diagram"	"assets/visual_system/chapter20-tool-call-lifecycle.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"13"	"2"	"5,34"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-058"	"20"	"A-0035"	"svg_diagram"	"assets/visual_system/chapter20-productivity-blocker-map.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"10"	"2"	"5,34"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-059"	"21"	"A-0078"	"svg_diagram"	"assets/visual_system/chapter21-train-vs-test-time-compute.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"12"	"5"	"1,11"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-060"	"21"	"A-0079"	"svg_diagram"	"assets/visual_system/chapter21-verifier-search-loop.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"18"	"11"	"1,11"	"2"	"print_scale_small_text;text_contrast_proxy_review"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-061"	"21"	"A-0080"	"svg_diagram"	"assets/visual_system/chapter21-inference-contract-matrix.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"10"	"4"	"4,83"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-062"	"21"	"A-0081"	"svg_diagram"	"assets/visual_system/chapter21-reasoning-budget-routing-map.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"18"	"9"	"1,11"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-063"	"22"	"A-0082"	"svg_diagram"	"assets/visual_system/chapter22-token-meter.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"16"	"9"	"1,11"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-064"	"22"	"A-0083"	"svg_diagram"	"assets/visual_system/chapter22-routing-caching-batching-levers.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"16"	"9"	"1,11"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-065"	"22"	"A-0084"	"svg_diagram"	"assets/visual_system/chapter22-subscription-api-bundle-map.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"16"	"9"	"1,11"	"2"	"print_scale_small_text;text_contrast_proxy_review"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-066"	"22"	"A-0085"	"svg_diagram"	"assets/visual_system/chapter22-margin-roi-blocker-grid.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"12"	"6"	"4,83"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-067"	"23"	"A-0074"	"svg_diagram"	"assets/visual_system/chapter23-failure-mode-map.svg"	"1200"	"760"	"13"	"1"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"21"	"12"	"1,11"	"2"	"print_scale_small_text;text_contrast_proxy_review"	"render_scale_review"	"Inspect or revise text scale before final PDF placement."
"I0219-LEG-068"	"23"	"A-0075"	"svg_diagram"	"assets/visual_system/chapter23-trust-stack.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"missing_or_implicit"	"not_applicable"	"ok"	"23"	"9"	"4,76"	"1"	"caveat_label_missing_or_implicit"	"annotation_review"	"Add visible source/caveat/axis annotation or caption-proximity proof before final use."
"I0219-LEG-069"	"23"	"A-0076"	"svg_diagram"	"assets/visual_system/chapter23-eval-blind-spot-matrix.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"10"	"4"	"4,83"	"0"	"none"	"legibility_proxy_ok"	"Carry into page-image render QA; do not certify final size until placed."
"I0219-LEG-070"	"23"	"A-0077"	"svg_diagram"	"assets/visual_system/chapter23-provenance-workflow.svg"	"1200"	"760"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"21"	"11"	"1,11"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-071"	"24"	"A-0108"	"svg_diagram"	"assets/visual_system/chapter24-next-token-stack-map.svg"	"1200"	"780"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"8"	"3"	"1,27"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-072"	"24"	"A-0109"	"svg_diagram"	"assets/visual_system/chapter24-five-conversion-gates.svg"	"1200"	"780"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"10"	"3"	"1,27"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
"I0219-LEG-073"	"24"	"A-0110"	"svg_diagram"	"assets/visual_system/chapter24-unsettled-claims-board.svg"	"1200"	"780"	"16"	"0"	"0"	"1"	"missing_or_implicit"	"yes"	"not_applicable"	"ok"	"6"	"2"	"6,46"	"2"	"source_label_missing_or_implicit;thin_stroke_under_1_5px"	"annotation_review"	"Add visible source/caveat/axis annotation or caption-proximity proof before final use."
"I0219-LEG-074"	"24"	"A-0111"	"svg_diagram"	"assets/visual_system/chapter24-human-judgment-loop.svg"	"1200"	"780"	"14"	"0"	"0"	"0"	"yes"	"yes"	"not_applicable"	"ok"	"5"	"3"	"1,27"	"1"	"text_contrast_proxy_review"	"style_metadata_review"	"Patch metadata/style fields before render QA."
