pass_id	surface_id	asset_id	related_figure_ids	related_asset_ids	source_ids	source_kind	source_title	source_url_or_path	source_anchor	input_local_path	input_exists	output_local_path	output_exists	file_size	sha256	capture_method	rights_or_private_use_note	quality_score	diversity_role	story_fit_note	blocked_claim_note	git_policy
I-0259	SSF-0259-011	A-0259-011	F09.05	A-0129	S-0117	arxiv_html	Gemini 1.5 arXiv source surface	https://arxiv.org/abs/2403.05530	S-0117 local capture	assets/source_docs/google_deepmind/S-0117_gemini15-arxiv-abs.html	yes	assets\source_surfaces\i0259\SSF-0259-011_gemini-1-5-arxiv-source-surface.png	yes	124202	1f92cbbc30f074fa9e08eb291c3cf577691dbfe68fd77eed0fe83d2d84207df7	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	64	technical-report source surface	Pairs Google product texture with an auditable technical-report page.	Does not prove current benchmark rank or product availability.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-012	A-0259-012	F10.04	A-0044	S-0111	company_html	Meta LLaMA launch blog source surface	https://ai.meta.com/blog/large-language-model-llama-meta-ai/	S-0111 local capture	assets/source_docs/meta/S-0111_llama-1-meta-ai-blog.html	yes	assets\source_surfaces\i0259\SSF-0259-012_meta-llama-launch-blog-source-surface.png	yes	146808	143d69bf29565d3406ee6050039544ba13b8a7697a13f376de65f39aa7f0a402	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	72	open-weight release surface	Shows LLaMA as a source-attributed release artifact.	Does not prove adoption, current license, downloads, safety, or benchmark superiority.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-013	A-0259-013	F10.05	A-0047	S-0114	repo_html	Meta Llama GitHub repository source surface	https://github.com/meta-llama/llama	S-0114 local capture	assets/source_docs/meta/S-0114_meta-llama-github.html	yes	assets\source_surfaces\i0259\SSF-0259-013_meta-llama-github-repository-source-surface.png	yes	77813	ef8ad889964dc60b0e8db11d60e7a31def971f67cfebc9acf9f706ddbdc6eb8f	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	46	repository/developer surface	Shows open weights as a developer artifact.	Does not prove stars, forks, current license, popularity, or deployment.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-014	A-0259-014	F11.03	A-0048	S-0026	arxiv_html	Qwen2 arXiv source surface	https://arxiv.org/abs/2407.10671	S-0026 local capture	assets/source_docs/china/S-0026_qwen2-arxiv-abs.html	yes	assets\source_surfaces\i0259\SSF-0259-014_qwen2-arxiv-source-surface.png	yes	105933	8732eb25e94de9be4a7422c0bae804198cfbf166dd796e1114962a28842e9572	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	61	China frontier paper surface	Gives the Qwen lane visible primary-source texture.	Does not prove benchmark rank, adoption, or later Qwen family claims.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-015	A-0259-015	F11.04	A-0049	S-0027	arxiv_html	Qwen3 arXiv source surface	https://arxiv.org/abs/2505.09388	S-0027 local capture	assets/source_docs/china/S-0027_qwen3-arxiv-abs.html	yes	assets\source_surfaces\i0259\SSF-0259-015_qwen3-arxiv-source-surface.png	yes	108438	7bea073f96e4ad46f80d7d293c8ecadaab4d6674708ea7c69c615da1e9b852b5	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	63	China frontier paper surface	Shows the supported Qwen3 source while later unsupported family claims stay quarantined.	Does not support Qwen 3.5/3.6 claims unless separately sourced.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-016	A-0259-016	F11.05	A-0050	S-0029	arxiv_html	DeepSeek-R1 arXiv source surface	https://arxiv.org/abs/2501.12948	S-0029 local capture	assets/source_docs/china/S-0029_deepseek-r1-arxiv-abs.html	yes	assets\source_surfaces\i0259\SSF-0259-016_deepseek-r1-arxiv-source-surface.png	yes	116495	617fe54f8a0bb8c53667b6d1d99b2d79da5b76ef78e6eeba6095fc657dc7f778	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	68	reasoning/open-model paper surface	Connects China/open-model story to the reasoning chapter through a real paper surface.	Does not prove benchmark superiority or later DeepSeek versions.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-017	A-0259-017	F12.05	A-0119	S-0109	company_html	Anthropic computer-use announcement source surface	https://www.anthropic.com/news/3-5-models-and-computer-use	S-0109 local capture	assets/source_docs/anthropic/S-0109_claude-3-5-computer-use.html	yes	assets\source_surfaces\i0259\SSF-0259-017_anthropic-computer-use-announcement-source-surface.png	yes	80582	f22b64c088a6bb2e475ce89fa0e9a909ce274e932966f31ce0c483443219b4b1	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	67	computer-use product surface	Anchors action-surface prose in a real Anthropic announcement.	Does not prove autonomy, reliability, safety, productivity, or broad deployment.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-018	A-0259-018	F12.06	A-0130	S-0007	company_html	Anthropic Claude product/model source surface	https://www.anthropic.com/news/claude-4	S-0007 local capture	assets/source_docs/anthropic/S-0007_claude-4.html	yes	assets\source_surfaces\i0259\SSF-0259-018_anthropic-claude-product-model-source-surface.png	yes	93234	044a5fd01f8ac270fe7a9bddfff330713f110d73a60853e901511a90610fa7ff	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	66	Claude product surface	Shows Claude as a source-attributed product/model family surface.	Does not prove safety success, usage, benchmark crown, or enterprise adoption.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-019	A-0259-019	F20.05	A-0131	S-0048	company_html	Claude 3.7 Sonnet and Claude Code source surface	https://www.anthropic.com/news/claude-3-7-sonnet	S-0048 local capture	assets/source_docs/anthropic/S-0048_claude-3-7-sonnet-claude-code.html	yes	assets\source_surfaces\i0259\SSF-0259-019_claude-3-7-sonnet-and-claude-code-source-surface.png	yes	92931	44edf7e7604a811bc26c3f3a83f9b71c84917b67fd8758b6e0b7f3603c7a9228	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	66	coding-agent product surface	Gives the Claude Code chapter a real product-announcement surface.	Does not prove replacement of developers, security, productivity, or adoption.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-020	A-0259-020	F19.05	A-0127	S-0070	company_html	GitHub Copilot AI pair programmer source surface	https://github.blog/news-insights/product-news/introducing-github-copilot-ai-pair-programmer/	S-0132 local capture	assets/source_docs/microsoft_openai/S-0132_github-copilot-ai-pair-programmer.html	yes	assets\source_surfaces\i0259\SSF-0259-020_github-copilot-ai-pair-programmer-source-surface.png	yes	165610	3fa585af6066fd209ab3d78c4abcf127209c2cf293b1da8753e58ac72e728035	html_screenshot	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	67	coding assistant launch surface	Shows code assistance entering developer workflow as a public product surface.	Does not prove productivity, correctness, code quality, or developer replacement.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-021	A-0259-021	F15.06;F15.07	A-0004;A-0106	S-0001;local:GTC-2026-Keynote.pdf page 29	gtc_slide_render	GTC 2026 page 29 AI factories slide render	local:GTC-2026-Keynote.pdf	page 29	assets/gtc_2026/slides/page-029-ai-factories.png	yes	assets\source_surfaces\i0259\SSF-0259-021_gtc-2026-page-29-ai-factories-slide-render.png	yes	2082470	5482214d4f378b4f8875ecfd7665e458dd3cf741990553a2561408ea4d27ea7f	copy_existing_png	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	100	NVIDIA keynote source surface	Shows NVIDIA's own AI-factory framing while preserving source-actor attribution.	Does not prove neutral economics, shipped capacity, customer deployment, or revenue.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-022	A-0259-022	F15.07	A-0106	S-0001;local:GTC-2026-Keynote.pdf page 45	gtc_slide_render	GTC 2026 page 45 inference compute slide render	local:GTC-2026-Keynote.pdf	page 45	assets/gtc_2026/slides/page-045-groq-3-lpx.png	yes	assets\source_surfaces\i0259\SSF-0259-022_gtc-2026-page-45-inference-compute-slide-render.png	yes	3588561	3a4ecdeb22ae798ce802f5eb5b2585f2c28478e341543667a1c9f52457ba6c10	copy_existing_png	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	100	NVIDIA roadmap/source-actor surface	Shows specialized inference compute as NVIDIA roadmap framing.	Does not prove availability, independent performance, or customer deployment.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-023	A-0259-023	F15.07	A-0106	S-0001;local:GTC-2026-Keynote.pdf page 49	gtc_slide_render	GTC 2026 page 49 rack comparison slide render	local:GTC-2026-Keynote.pdf	page 49	assets/gtc_2026/slides/page-049-seven-chips-five-racks.png	yes	assets\source_surfaces\i0259\SSF-0259-023_gtc-2026-page-49-rack-comparison-slide-render.png	yes	5430467	3ce3b9abb339b10237fb180c24044f14968f18315697e5e861cd899967d78f66	copy_existing_png	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	100	rack-scale AI factory source surface	Shows NVIDIA's system-level AI factory argument.	Does not convert promotional ratios into independent facts.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-024	A-0259-024	F15.07	A-0106	S-0001;local:GTC-2026-Keynote.pdf page 50	gtc_slide_render	GTC 2026 page 50 roadmap slide render	local:GTC-2026-Keynote.pdf	page 50	assets/gtc_2026/slides/page-050-roadmap.png	yes	assets\source_surfaces\i0259\SSF-0259-024_gtc-2026-page-50-roadmap-slide-render.png	yes	3655928	e5e1e3552ab514fd44de1c80100514dfc12ae89d8a2579c5ea9ba8762b13cde8	copy_existing_png	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	100	NVIDIA roadmap source surface	Gives the hardware chapter a cutoff-bounded roadmap surface.	Future roadmap items are not happened history or shipped products.	local_raster_ignored_commit_ledger_only
I-0259	SSF-0259-025	A-0259-025	F15.07;F16.06	A-0106;A-0137	S-0001;local:GTC-2026-Keynote.pdf page 51	gtc_slide_render	GTC 2026 page 51 DSX AI factory slide render	local:GTC-2026-Keynote.pdf	page 51	assets/gtc_2026/slides/page-051-dsx-ai-factory.png	yes	assets\source_surfaces\i0259\SSF-0259-025_gtc-2026-page-51-dsx-ai-factory-slide-render.png	yes	5465431	98f9add0157e7acf94a171fd4ce8ac09493a419c63274b48f4432430918496cc	copy_existing_png	Private-use/source-review surface; raster is ignored by Git; publication use requires rights, fair-use, crop, attribution, and caption review.	100	facility/reference-design source surface	Connects NVIDIA's DSX reference-design claim to datacenter/facility prose.	Does not prove deployed facility performance, customer adoption, or neutral definition.	local_raster_ignored_commit_ledger_only
